timesteps,reward_train,reward_ext,reward_intrinsic,reward_surprise,reward_dejavu,intrinsic_eta,intrinsic_volatility_factor,intrinsic_surprise_loss,intrinsic_dejavu_loss,intrinsic_warmup,episode_reward_mean,explained_variance,value_loss,entropy_loss,approx_kl
20,-0.35366883873939514,-0.35366883873939514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
40,0.207739919424057,0.207739919424057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
60,-0.0016872667474672198,-0.0016872667474672198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
80,1.2607821226119995,1.2607821226119995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
100,0.1536044031381607,0.1536044031381607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
120,0.17790670692920685,0.17790670692920685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
140,-0.5050453543663025,-0.5050453543663025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
160,0.05553438887000084,0.05553438887000084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
180,0.4045582115650177,0.4045582115650177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
200,0.19085069000720978,0.19085069000720978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
220,-0.08978493511676788,-0.08978493511676788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
240,0.07683026045560837,0.07683026045560837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
260,-0.003354700282216072,-0.003354700282216072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
280,0.08222392946481705,0.08222392946481705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
300,0.14199858903884888,0.14199858903884888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
320,0.07740619033575058,0.07740619033575058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
340,0.04883086681365967,0.04883086681365967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
360,0.20071151852607727,0.20071151852607727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
380,0.0017449103761464357,0.0017449103761464357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
400,0.01273413747549057,0.01273413747549057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
420,-0.0419728048145771,-0.0419728048145771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
440,-0.09073607623577118,-0.09073607623577118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
460,0.09689033031463623,0.09689033031463623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
480,-0.01956331357359886,-0.01956331357359886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
500,0.22400957345962524,0.22400957345962524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
520,-0.03926359862089157,-0.03926359862089157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
540,0.07217016071081161,0.07217016071081161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
560,0.2158994972705841,0.2158994972705841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
