timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,15.552449,139,,,
278,13.606889,139,,,
417,16.596722,139,,,
556,19.109044,139,,,
695,16.234877,139,,,
834,15.522462,139,,,
973,15.362173,139,,,
1112,15.850093,139,,,
1251,15.413064,139,,,
1390,16.19414,139,,,
1529,15.90152,139,,,
1668,20.669979,139,,,
1807,15.829373,139,,,
1946,14.199332,139,,,
2085,15.493561,139,,,
2224,13.4314,139,,,
2363,16.090646,139,,,
2502,15.7132,139,,,
2641,21.120644,139,,,
2780,29.943933,139,,,
2919,21.874845,139,,,
3058,8.870737,139,,,
3197,16.61797,139,,,
3336,14.719593,139,,,
3475,15.961721,139,,,
3614,18.991301,139,,,
3753,15.194328,139,,,
3892,16.339465,139,,,
4031,15.71482,139,-0.0049626827239990234,3.481139522790909,4.864483121037483
