timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-2.791006,139,,,
278,-5.460365,139,,,
417,-0.477192,139,,,
556,-0.218222,139,,,
695,-2.515387,139,,,
834,-3.248703,139,,,
973,-4.039649,139,,,
1112,-2.590767,139,,,
1251,-3.189049,139,,,
1390,-1.848543,139,,,
1529,-2.245361,139,,,
1668,1.671101,139,,,
1807,-4.639815,139,,,
1946,-5.545109,139,,,
2085,-3.912427,139,,,
2224,-5.394041,139,,,
2363,-3.601751,139,,,
2502,-2.671676,139,,,
2641,2.273859,139,,,
2780,10.410027,139,,,
2919,4.127292,139,,,
3058,-9.756736,139,,,
3197,-2.419891,139,,,
3336,-3.811719,139,,,
3475,-2.40033,139,,,
3614,0.315135,139,,,
3753,-3.618069,139,,,
3892,-2.740829,139,,,
4031,-3.43468,139,-0.0013308525085449219,3.492592251300812,4.350455120205879
