timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-2.834162,139,,,
278,-2.579873,139,,,
417,-3.436407,139,,,
556,-4.571064,139,,,
695,-5.010771,139,,,
834,-6.021909,139,,,
973,-4.078649,139,,,
1112,-4.430672,139,,,
1251,-2.992225,139,,,
1390,-2.335827,139,,,
1529,-2.754134,139,,,
1668,-2.940746,139,,,
1807,-3.683691,139,,,
1946,-3.044411,139,,,
2085,-6.042759,139,,,
2224,-9.905196,139,,,
2363,-11.302277,139,,,
2502,-5.015327,139,,,
2641,6.487138,139,,,
2780,7.507239,139,,,
2919,-2.391342,139,,,
3058,4.375842,139,,,
3197,4.452022,139,,,
3336,-2.130823,139,,,
3475,-3.392954,139,,,
3614,-3.297039,139,,,
3753,-1.640065,139,,,
3892,-5.251699,139,,,
4031,-2.686433,139,-0.007955431938171387,3.4778437197208403,5.027458801865578
4170,-2.735994,139,,,
4309,-2.722843,139,,,
4448,-9.153565,139,,,
4587,-3.566077,139,,,
4726,-3.813301,139,,,
4865,-2.562082,139,,,
5004,-2.068116,139,,,
5143,-3.183766,139,,,
5282,-3.460097,139,,,
5421,3.433238,139,,,
5560,-4.866194,139,,,
5699,-3.169938,139,,,
5838,-3.039021,139,,,
5977,-2.88332,139,,,
6116,-6.515507,139,0.17244386672973633,3.474999785423279,6.197768580913544
6255,-4.51485,139,,,
6394,-1.854326,139,,,
6533,-3.265223,139,,,
6672,-3.764359,139,,,
6811,-11.071843,139,,,
6950,-2.888505,139,,,
7089,-3.679285,139,,,
7228,-3.241575,139,,,
7367,0.348677,139,,,
7506,-3.652918,139,,,
7645,5.387264,139,,,
7784,2.943105,139,,,
7923,-2.414102,139,,,
8062,-2.570742,139,0.5426952838897705,3.4950303971767425,2.1628003135323524
8201,-2.451563,139,,,
8340,-10.525487,139,,,
8479,-3.031377,139,,,
8618,-1.831202,139,,,
8757,-2.420977,139,,,
8896,-3.043332,139,,,
9035,-2.837504,139,,,
9174,-1.959055,139,,,
9313,-8.182266,139,,,
9452,-2.108931,139,,,
9591,-1.872308,139,,,
9730,-2.358792,139,,,
9869,0.968591,139,,,
10008,-6.385053,139,,,
10147,-1.776621,139,0.5886085629463196,3.5096318900585173,1.9582430690526962
10286,0.420514,139,,,
10425,-4.9312,139,,,
10564,2.737813,139,,,
10703,-3.18871,139,,,
10842,-2.495847,139,,,
10981,-2.57612,139,,,
11120,-1.445971,139,,,
11259,-1.19263,139,,,
11398,-1.100216,139,,,
11537,-1.886538,139,,,
11676,-1.75205,139,,,
11815,-4.689969,139,,,
11954,-5.307555,139,,,
12093,-2.680972,139,,,
12232,-5.615319,139,0.7078342437744141,3.5181124299764632,2.6189219251275064
12371,-4.559446,139,,,
12510,-10.999849,139,,,
12649,-2.769091,139,,,
12788,-4.400372,139,,,
12927,-1.809663,139,,,
13066,-3.165812,139,,,
13205,-2.612945,139,,,
13344,-0.407253,139,,,
13483,1.005523,139,,,
13622,-2.057809,139,,,
13761,-6.319295,139,,,
13900,-1.157711,139,,,
14039,-1.103769,139,,,
14178,6.09457,139,,,
14317,-2.284138,139,0.7456610798835754,3.5422981798648836,1.923695094883442
14456,-3.153033,139,,,
14595,-2.018614,139,,,
14734,-5.530336,139,,,
14873,-3.044955,139,,,
15012,-0.21636,139,,,
15151,-2.978791,139,,,
15290,4.35109,139,,,
15429,7.856959,139,,,
15568,8.506097,139,,,
15707,0.289832,139,,,
15846,-3.671174,139,,,
15985,-2.395914,139,,,
16124,-2.843405,139,,,
16263,2.933933,139,0.7837396860122681,3.5697906374931336,2.866783407330513
16402,-3.56612,139,,,
16541,-1.97417,139,,,
16680,0.500248,139,,,
16819,-3.639901,139,,,
16958,-3.992866,139,,,
17097,-2.963778,139,,,
17236,-2.518981,139,,,
17375,-1.076073,139,,,
17514,-2.358354,139,,,
17653,-7.193386,139,,,
17792,1.105344,139,,,
17931,10.764,139,,,
18070,0.723917,139,,,
18209,-2.410182,139,,,
18348,-3.208001,139,0.7711529731750488,3.5884109407663347,2.6579530358314516
18487,-1.446943,139,,,
18626,-3.189389,139,,,
18765,-2.188123,139,,,
18904,-1.761571,139,,,
19043,-2.563446,139,,,
19182,-1.989159,139,,,
19321,-3.767949,139,,,
19460,-2.233376,139,,,
19599,1.36418,139,,,
19738,-1.620734,139,,,
19877,4.740689,139,,,
20016,2.494417,139,,,
20155,-2.55297,139,,,
20294,-3.102728,139,,,
20433,1.953593,139,0.7904475331306458,3.587771338224411,2.4797788113355637
20572,-3.06658,139,,,
20711,-0.925166,139,,,
20850,-3.222736,139,,,
20989,-1.74156,139,,,
21128,-4.288295,139,,,
21267,-9.15618,139,,,
21406,-3.898208,139,,,
21545,-0.473496,139,,,
21684,-3.139439,139,,,
21823,-10.894327,139,,,
21962,5.18115,139,,,
22101,7.691649,139,,,
22240,-1.676057,139,,,
22379,2.985506,139,,,
22518,-1.5619,139,0.798078179359436,3.5885944932699205,1.3119263499975204
22657,-1.907453,139,,,
22796,-1.421886,139,,,
22935,-2.204792,139,,,
23074,2.033818,139,,,
23213,-12.69699,139,,,
23352,-1.98025,139,,,
23491,-3.912524,139,,,
23630,-0.3317,139,,,
23769,-1.780712,139,,,
23908,4.930052,139,,,
24047,-4.306298,139,,,
24186,-0.330856,139,,,
24325,-0.073419,139,,,
24464,-3.813148,139,0.8210868835449219,3.6003088891506194,1.9773522928357123
24603,5.087299,139,,,
24742,-0.575057,139,,,
24881,-2.885604,139,,,
25020,-0.763104,139,,,
25159,-2.45794,139,,,
25298,4.557526,139,,,
25437,3.670647,139,,,
25576,-2.656267,139,,,
25715,-2.920917,139,,,
25854,-1.685089,139,,,
25993,-2.568495,139,,,
26132,1.719661,139,,,
26271,-1.119082,139,,,
26410,-3.150709,139,,,
26549,-3.144813,139,0.830946683883667,3.616365757584572,1.7159117996692657
26688,-2.170062,139,,,
26827,1.582394,139,,,
26966,-2.605054,139,,,
27105,2.237913,139,,,
27244,0.720251,139,,,
27383,-2.132885,139,,,
27522,-9.275552,139,,,
27661,0.13751,139,,,
27800,-4.768556,139,,,
27939,-1.598979,139,,,
28078,7.880484,139,,,
28217,-0.891365,139,,,
28356,-2.728613,139,,,
28495,-1.729645,139,,,
28634,-2.182809,139,0.8481387495994568,3.6283036321401596,1.5846314549446106
28773,-3.07737,139,,,
28912,-0.494047,139,,,
29051,-2.833345,139,,,
29190,2.061908,139,,,
29329,-2.695009,139,,,
29468,-2.299261,139,,,
29607,-1.334053,139,,,
29746,-2.182047,139,,,
29885,-1.955224,139,,,
30024,-2.082547,139,,,
30163,4.691364,139,,,
30302,-2.252989,139,,,
30441,-2.685145,139,,,
30580,-1.255924,139,,,
30719,-4.608362,139,0.8356233835220337,3.638661205768585,2.0267595812678336
30858,-2.278509,139,,,
30997,4.618145,139,,,
31136,-1.898337,139,,,
31275,2.710852,139,,,
31414,-1.09718,139,,,
31553,0.749997,139,,,
31692,-1.174063,139,,,
31831,8.924932,139,,,
31970,2.641941,139,,,
32109,7.719194,139,,,
32248,-2.1446,139,,,
32387,-0.17839,139,,,
32526,-0.7787,139,,,
32665,-1.436416,139,0.8685611486434937,3.6586299270391462,1.2695885092020034
32804,-1.334242,139,,,
32943,-2.576251,139,,,
33082,-1.850553,139,,,
33221,-0.579805,139,,,
33360,6.187112,139,,,
33499,0.589282,139,,,
33638,2.082507,139,,,
33777,-8.843056,139,,,
33916,-1.597866,139,,,
34055,1.80105,139,,,
34194,3.101774,139,,,
34333,1.454625,139,,,
34472,9.103727,139,,,
34611,-2.809303,139,,,
34750,-3.021627,139,0.879303514957428,3.6820970684289933,1.4471740864217282
34889,-1.862865,139,,,
35028,-9.755467,139,,,
35167,-1.394971,139,,,
35306,-2.578125,139,,,
35445,-0.818065,139,,,
35584,7.065015,139,,,
35723,-1.36671,139,,,
35862,1.580629,139,,,
36001,-1.035258,139,,,
36140,8.237378,139,,,
36279,1.324676,139,,,
36418,-1.790385,139,,,
36557,2.52231,139,,,
36696,0.235381,139,,,
36835,-1.431917,139,0.8782935738563538,3.7032714605331423,1.4889298588037492
