timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,31.537289,455,,,
910,21.513179,455,,,
1365,19.680744,455,,,
1820,21.673616,455,,,
2275,29.258875,455,,,
2730,25.426112,455,,,
3185,26.003468,455,,,
3640,28.983496,455,,,
4095,26.835753,455,-0.0020346641540527344,6.378305178880692,7.709175181388855
4550,29.667295,455,,,
5005,33.688101,455,,,
5460,17.502133,455,,,
5915,25.174981,455,0.1491779088973999,6.3744409561157225,3.2440209716558455
6370,18.838529,455,,,
6825,26.455842,455,,,
7280,16.789261,455,,,
7735,32.344154,455,,,
8190,25.000406,455,0.31065452098846436,6.394417923688889,4.51695242524147
8645,21.762594,455,,,
9100,14.380401,455,,,
9555,24.722734,455,,,
10010,16.17122,455,0.5472466945648193,6.413703852891922,4.330650788545609
10465,31.786773,455,,,
10920,33.748431,455,,,
11375,25.295335,455,,,
11830,14.868332,455,,,
12285,32.928484,455,0.66410893201828,6.421130865812302,4.623140180110932
12740,32.639087,455,,,
13195,28.868072,455,,,
13650,23.429414,455,,,
14105,38.811283,455,0.7774534225463867,6.4214985251426695,3.2644778549671174
14560,11.898789,455,,,
15015,25.324394,455,,,
15470,30.750763,455,,,
15925,27.296806,455,,,
16380,25.946197,455,0.8175581097602844,6.436623907089233,2.2882448390126227
16835,18.960448,455,,,
17290,26.529957,455,,,
17745,27.386187,455,,,
18200,15.339135,455,0.777642011642456,6.4457259953022,3.537105771899223
18655,32.796261,455,,,
19110,22.749984,455,,,
19565,24.990803,455,,,
20020,23.810034,455,,,
20475,21.638915,455,0.8173148036003113,6.445954412221909,3.049557641148567
20930,34.288282,455,,,
21385,16.605916,455,,,
21840,28.122838,455,,,
22295,20.265034,455,0.7958806157112122,6.446392214298248,3.529548579454422
22750,16.790401,455,,,
23205,25.084873,455,,,
23660,29.249816,455,,,
24115,29.179,455,,,
24570,14.593517,455,0.8087261319160461,6.441843783855438,3.2348192811012266
25025,21.096421,455,,,
25480,18.854984,455,,,
25935,22.376124,455,,,
26390,35.928957,455,0.8117696642875671,6.439150547981262,3.287101200222969
26845,18.560486,455,,,
27300,24.179099,455,,,
27755,28.486476,455,,,
28210,20.361792,455,,,
28665,27.385954,455,0.7957555055618286,6.451406085491181,3.602338767051697
29120,26.414829,455,,,
29575,19.343353,455,,,
30030,40.815757,455,,,
30485,10.587166,455,0.8247002363204956,6.462023651599884,3.8579139202833175
30940,31.672322,455,,,
31395,20.844551,455,,,
31850,17.98162,455,,,
32305,27.929463,455,,,
32760,32.547918,455,0.8350284695625305,6.463531601428985,3.5444824248552322
33215,21.436021,455,,,
33670,19.093706,455,,,
34125,21.729975,455,,,
