timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,37.711255,455,,,
910,30.807945,455,,,
1365,22.599991,455,,,
1820,17.495423,455,,,
2275,30.638025,455,,,
2730,35.41357,455,,,
3185,28.281437,455,,,
3640,36.420888,455,,,
4095,34.078193,455,-0.008493304252624512,6.390774017572403,3.588375213742256
4550,25.044146,455,,,
5005,12.741713,455,,,
5460,40.810093,455,,,
5915,24.077226,455,0.41262364387512207,6.396814846992493,2.5695894435048103
6370,36.912653,455,,,
6825,39.308993,455,,,
7280,28.722106,455,,,
7735,28.725028,455,,,
8190,31.104724,455,0.5929485559463501,6.412218558788299,2.7606938600540163
8645,36.593567,455,,,
9100,26.556574,455,,,
9555,33.785928,455,,,
10010,30.799071,455,0.7330422401428223,6.4282359957695006,2.2475892558693884
10465,12.495515,455,,,
10920,25.299219,455,,,
11375,27.275503,455,,,
11830,27.498836,455,,,
12285,29.083523,455,0.7314994931221008,6.423427265882492,2.5083141013979913
12740,20.173453,455,,,
13195,19.228978,455,,,
13650,35.392562,455,,,
14105,19.583737,455,0.8634529709815979,6.413040155172348,1.5805456936359406
14560,24.738989,455,,,
15015,19.027054,455,,,
15470,27.684158,455,,,
15925,17.764374,455,,,
16380,32.844265,455,0.8458205461502075,6.419529747962952,2.0436579689383505
16835,20.167659,455,,,
17290,31.318,455,,,
17745,28.449296,455,,,
18200,25.412959,455,0.8749442100524902,6.439156967401504,1.81037138402462
18655,24.80015,455,,,
19110,35.263207,455,,,
19565,30.016396,455,,,
20020,28.52206,455,,,
20475,31.90295,455,0.8686482310295105,6.448672109842301,2.340830610692501
20930,22.59455,455,,,
21385,37.429983,455,,,
21840,17.383136,455,,,
22295,34.381298,455,0.866220235824585,6.4615191400051115,1.8473076567053794
22750,30.72275,455,,,
23205,20.261495,455,,,
23660,21.999223,455,,,
24115,29.920873,455,,,
24570,34.196445,455,0.8820070624351501,6.468352508544922,1.7479219675064086
25025,21.202527,455,,,
25480,23.768071,455,,,
25935,39.229194,455,,,
26390,25.846743,455,0.8665335774421692,6.465548408031464,1.958409669995308
26845,37.907244,455,,,
27300,25.566352,455,,,
27755,31.90774,455,,,
28210,26.417485,455,,,
28665,27.497483,455,0.8631531000137329,6.453094267845154,2.1250336453318597
29120,27.044586,455,,,
29575,23.922884,455,,,
30030,32.432645,455,,,
30485,34.151359,455,0.8704458475112915,6.449848115444183,2.055450427532196
30940,28.890821,455,,,
31395,28.402467,455,,,
