timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,3.332418,455,,,
910,-12.77527,455,,,
1365,2.343663,455,,,
1820,-3.268051,455,,,
2275,-18.082621,455,,,
2730,19.199017,455,,,
3185,11.478005,455,,,
3640,26.928536,455,,,
4095,0.021637,455,0.012328624725341797,6.3817530333995816,6.746962380409241
4550,-3.652388,455,,,
5005,-11.455664,455,,,
5460,1.348764,455,,,
5915,0.112918,455,0.4857276678085327,6.376413422822952,4.308040747046471
6370,3.01589,455,,,
6825,10.86443,455,,,
7280,4.574836,455,,,
7735,7.410324,455,,,
8190,-6.502931,455,0.6627494096755981,6.368308216333389,4.325700640678406
8645,5.712468,455,,,
9100,-7.242843,455,,,
9555,8.243785,455,,,
10010,-5.227331,455,0.7824789881706238,6.350346565246582,3.7640421271324156
10465,11.23446,455,,,
10920,13.604373,455,,,
11375,-11.99649,455,,,
11830,-0.8685,455,,,
12285,17.696038,455,0.8202424645423889,6.3553720831871034,4.1301649659872055
12740,13.177079,455,,,
13195,3.748208,455,,,
13650,-16.372711,455,,,
14105,-9.863474,455,0.8599106669425964,6.371588206291198,3.804348814487457
14560,4.45397,455,,,
15015,-11.445552,455,,,
15470,-16.25273,455,,,
15925,10.655293,455,,,
16380,-7.317501,455,0.8767915964126587,6.376054430007935,3.8195462942123415
16835,-3.252869,455,,,
17290,12.252107,455,,,
17745,-4.323289,455,,,
18200,-3.313766,455,0.8782991170883179,6.389579772949219,3.6374068349599837
18655,7.284261,455,,,
19110,2.795295,455,,,
19565,3.223068,455,,,
20020,-0.516407,455,,,
20475,5.972294,455,0.8896509408950806,6.4047827303409575,3.28627872467041
20930,10.678352,455,,,
21385,3.331891,455,,,
21840,-8.76025,455,,,
22295,6.84333,455,0.8843659162521362,6.414674264192581,3.3461071878671644
22750,-1.133168,455,,,
23205,8.857775,455,,,
23660,-6.100262,455,,,
24115,6.220326,455,,,
24570,-5.32624,455,0.9098607301712036,6.42565101981163,3.1879427313804625
25025,-2.347867,455,,,
25480,3.957899,455,,,
25935,-13.147055,455,,,
26390,1.48096,455,0.9157193303108215,6.429024124145508,2.911630818247795
26845,-0.059875,455,,,
27300,8.421229,455,,,
27755,-3.219817,455,,,
28210,8.333444,455,,,
28665,-0.426217,455,0.9131472110748291,6.441753005981445,3.1583458572626113
29120,17.558719,455,,,
29575,-3.934692,455,,,
30030,0.124014,455,,,
30485,3.212548,455,0.8949495553970337,6.459366565942764,3.172831743955612
30940,6.736163,455,,,
31395,6.454786,455,,,
31850,1.728802,455,,,
32305,9.462189,455,,,
32760,25.975101,455,0.90802001953125,6.462694853544235,3.0273493736982346
33215,0.630917,455,,,
33670,9.993568,455,,,
34125,9.3728,455,,,
34580,-7.334291,455,0.9122596979141235,6.466039383411408,2.4545814990997314
35035,17.998563,455,,,
35490,8.921506,455,,,
35945,9.641579,455,,,
36400,11.446386,455,,,
36855,10.123779,455,0.9081435203552246,6.475474154949188,2.7965100675821306
37310,-1.400408,455,,,
37765,5.525971,455,,,
38220,11.620722,455,,,
38675,-5.270877,455,0.9137951731681824,6.470788162946701,2.515059380233288
39130,5.719936,455,,,
39585,-15.99464,455,,,
40040,11.815586,455,,,
40495,-6.321227,455,,,
40950,12.867195,455,0.9077901840209961,6.4532115161418915,2.3117427080869675
41405,15.161978,455,,,
