timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-3.811365,455,,,
910,-5.768194,455,,,
1365,-13.665519,455,,,
1820,-0.258539,455,,,
2275,5.412722,455,,,
2730,9.88674,455,,,
3185,2.795184,455,,,
3640,4.326754,455,,,
4095,5.405441,455,-0.031291961669921875,6.3938047051429745,4.4698181480169294
4550,4.774545,455,,,
5005,6.237584,455,,,
5460,-3.577232,455,,,
5915,0.31126,455,0.4114007353782654,6.400120973587036,1.8549907684326172
6370,-4.840542,455,,,
6825,-10.12882,455,,,
7280,-4.925743,455,,,
7735,-0.325753,455,,,
8190,-4.531283,455,0.6068674325942993,6.396288478374482,2.6277790397405623
8645,-6.426186,455,,,
9100,-10.422452,455,,,
9555,-1.43612,455,,,
10010,-11.484889,455,0.7011611461639404,6.38714462518692,2.6139045000076293
10465,3.168629,455,,,
10920,5.268363,455,,,
11375,7.99517,455,,,
11830,-3.699993,455,,,
12285,6.255856,455,0.7199941873550415,6.38948141336441,3.331860935688019
12740,14.908852,455,,,
13195,-10.890645,455,,,
13650,-4.581664,455,,,
14105,-1.437737,455,0.8313051462173462,6.407801812887191,2.3130770713090896
14560,6.680981,455,,,
15015,-7.058004,455,,,
15470,-8.756776,455,,,
15925,6.804782,455,,,
16380,-6.040963,455,0.8705772161483765,6.420454996824264,1.9302936121821404
16835,-6.537484,455,,,
17290,-4.041819,455,,,
17745,-7.693117,455,,,
18200,-10.442119,455,0.8342849612236023,6.427771061658859,2.57839662283659
18655,0.236188,455,,,
19110,-11.282242,455,,,
19565,-0.298845,455,,,
20020,-1.965224,455,,,
20475,-11.933344,455,0.8615788817405701,6.44132045507431,2.5725475952029226
20930,0.96934,455,,,
21385,-10.918404,455,,,
21840,-5.425968,455,,,
22295,-9.999498,455,0.8510048389434814,6.4522032022476195,3.0537892878055573
22750,-1.10172,455,,,
23205,10.794219,455,,,
23660,-6.216871,455,,,
24115,-1.229606,455,,,
24570,-8.028204,455,0.8651533722877502,6.453807705640793,2.7386890798807144
25025,-14.093724,455,,,
25480,-14.800637,455,,,
25935,-14.413578,455,,,
26390,2.565036,455,0.8780969977378845,6.458643984794617,2.66318279504776
26845,-7.230504,455,,,
27300,-13.575647,455,,,
27755,-2.187686,455,,,
28210,-8.990891,455,,,
28665,-12.030937,455,0.8809692859649658,6.475287300348282,2.5868703067302703
29120,0.58355,455,,,
29575,2.262605,455,,,
30030,2.302184,455,,,
30485,-5.972879,455,0.874367356300354,6.49878813624382,2.6961467236280443
30940,7.555834,455,,,
31395,1.620349,455,,,
31850,2.610979,455,,,
32305,5.216226,455,,,
32760,6.883257,455,0.8820334076881409,6.505857962369919,2.4221444234251974
33215,-16.077833,455,,,
33670,2.535447,455,,,
34125,5.21063,455,,,
34580,9.242767,455,0.8967249393463135,6.510959523916244,2.4025450989604
35035,7.411323,455,,,
35490,0.038083,455,,,
35945,10.557388,455,,,
36400,-1.287948,455,,,
36855,1.92658,455,0.8940465450286865,6.50847242474556,2.4371858194470404
37310,3.38047,455,,,
37765,10.774871,455,,,
38220,4.534873,455,,,
