timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-67.814251,455,,,
910,-84.141587,455,,,
1365,-68.012675,455,,,
1820,-73.910545,455,,,
2275,-89.453692,455,,,
2730,-54.207803,455,,,
3185,-59.065069,455,,,
3640,-45.319874,455,,,
4095,-70.271906,455,0.014410436153411865,6.388749825954437,8.563927286863327
4550,-74.328895,455,,,
5005,-84.433897,455,,,
5460,-70.954626,455,,,
5915,-72.255734,455,0.35861629247665405,6.392020148038864,4.994657021760941
6370,-67.293191,455,,,
6825,-60.99904,455,,,
7280,-65.889284,455,,,
7735,-63.532336,455,,,
8190,-77.600574,455,0.59888756275177,6.383499616384507,6.006559336185456
8645,-65.012071,455,,,
9100,-79.23871,455,,,
9555,-63.14798,455,,,
10010,-76.597706,455,0.706527590751648,6.368103754520416,5.4457750648260115
10465,-61.278008,455,,,
10920,-57.409069,455,,,
11375,-82.985021,455,,,
11830,-71.772957,455,,,
12285,-55.005329,455,0.7628411054611206,6.3852547883987425,5.884976416826248
12740,-58.716521,455,,,
13195,-67.40931,455,,,
13650,-88.284128,455,,,
14105,-80.115776,455,0.7950541973114014,6.4093496084213255,5.196953818202019
14560,-66.272481,455,,,
15015,-83.548774,455,,,
15470,-87.863184,455,,,
15925,-61.20445,455,,,
16380,-77.375896,455,0.8332459926605225,6.426223772764206,5.155951422452927
16835,-74.118477,455,,,
17290,-60.115637,455,,,
17745,-75.725468,455,,,
18200,-74.87552,455,0.8621048927307129,6.4440415620803835,5.041623637080193
18655,-65.010245,455,,,
19110,-68.44244,455,,,
19565,-65.602618,455,,,
20020,-72.14444,455,,,
20475,-65.074483,455,0.8738629817962646,6.472994756698609,4.606019234657287
20930,-58.048348,455,,,
21385,-68.977047,455,,,
21840,-79.424053,455,,,
22295,-65.686127,455,0.8586413264274597,6.4889701187610624,4.669816890358925
22750,-72.628976,455,,,
23205,-63.787295,455,,,
23660,-78.000476,455,,,
24115,-64.297646,455,,,
24570,-77.083876,455,0.8897547721862793,6.500317376852036,4.487637510895729
25025,-75.706179,455,,,
25480,-67.354837,455,,,
25935,-86.589791,455,,,
26390,-69.856637,455,0.9023079872131348,6.509280633926392,4.026558747887611
26845,-70.290578,455,,,
27300,-62.816062,455,,,
27755,-76.273595,455,,,
28210,-62.492371,455,,,
28665,-70.517852,455,0.8960056304931641,6.516464245319367,4.166450640559196
29120,-51.182632,455,,,
29575,-75.587963,455,,,
30030,-73.785551,455,,,
30485,-67.070368,455,0.8956969380378723,6.528503394126892,3.52362399995327
30940,-66.517978,455,,,
31395,-66.166586,455,,,
31850,-70.126932,455,,,
32305,-61.367842,455,,,
32760,-47.692313,455,0.9011049270629883,6.53133105635643,3.6708321273326874
33215,-73.351751,455,,,
33670,-63.285639,455,,,
34125,-63.93521,455,,,
34580,-82.018525,455,0.9171181321144104,6.542665308713913,2.8256709933280946
35035,-53.718513,455,,,
35490,-63.469697,455,,,
35945,-63.073632,455,,,
