timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-50.173627,455,,,
910,-40.561868,455,,,
1365,-33.923432,455,,,
1820,-37.342849,455,,,
2275,-48.310475,455,,,
2730,-42.686089,455,,,
3185,-35.797933,455,,,
3640,-50.127326,455,,,
4095,-49.742254,455,0.0016919374465942383,6.418179148435593,6.611773985624313
4550,-39.374139,455,,,
5005,-44.798321,455,,,
5460,-51.306957,455,,,
5915,-56.924777,455,0.19340330362319946,6.457378703355789,4.434389075636863
6370,-49.263552,455,,,
6825,-47.439689,455,,,
7280,-39.096158,455,,,
7735,-62.034258,455,,,
8190,-62.028919,455,0.4223501682281494,6.496680736541748,4.555843016505241
8645,-33.269091,455,,,
9100,-42.432709,455,,,
9555,-33.899158,455,,,
10010,-31.343547,455,0.5868926048278809,6.524273627996445,3.7759159982204435
10465,-54.497116,455,,,
10920,-35.911178,455,,,
11375,-34.633016,455,,,
11830,-47.753097,455,,,
12285,-42.029209,455,0.5904925465583801,6.524234360456466,4.5562080413103105
12740,-38.148964,455,,,
13195,-35.962179,455,,,
13650,-36.299438,455,,,
14105,-51.341239,455,0.7255370616912842,6.5199074149131775,3.2920700043439863
14560,-37.564009,455,,,
15015,-41.427341,455,,,
15470,-47.385791,455,,,
15925,-52.544921,455,,,
16380,-48.240921,455,0.7262164354324341,6.5297648966312405,4.22633650302887
16835,-44.32464,455,,,
17290,-63.803126,455,,,
17745,-46.327668,455,,,
18200,-43.377254,455,0.7800338864326477,6.537164175510407,3.2199537724256517
18655,-39.897918,455,,,
19110,-49.807591,455,,,
19565,-39.035164,455,,,
20020,-41.506173,455,,,
20475,-44.534478,455,0.7670011520385742,6.546824461221695,3.5557158917188643
20930,-45.903173,455,,,
21385,-40.029312,455,,,
21840,-59.652837,455,,,
22295,-48.936923,455,0.7906729578971863,6.554150015115738,2.964933717250824
22750,-34.413686,455,,,
23205,-46.431131,455,,,
23660,-35.140217,455,,,
24115,-27.853591,455,,,
24570,-46.973425,455,0.7977008819580078,6.558585005998611,3.5847221672534944
25025,-47.979132,455,,,
25480,-39.136987,455,,,
25935,-47.3072,455,,,
26390,-43.957171,455,0.8258706331253052,6.566568785905838,2.874560236930847
26845,-39.145223,455,,,
27300,-34.298162,455,,,
27755,-36.545805,455,,,
28210,-34.769994,455,,,
28665,-36.278648,455,0.8171699047088623,6.571672105789185,2.967851769924164
29120,-20.741183,455,,,
29575,-38.198146,455,,,
30030,-39.951006,455,,,
30485,-52.694693,455,0.8339819312095642,6.597297704219818,2.630183996260166
30940,-41.758513,455,,,
31395,-39.777548,455,,,
31850,-38.361048,455,,,
32305,-37.949641,455,,,
32760,-27.171839,455,0.7969706058502197,6.613569098711014,3.2474439978599547
33215,-37.559393,455,,,
33670,-38.538632,455,,,
34125,-47.544982,455,,,
34580,-24.59114,455,0.8135389089584351,6.602593111991882,3.142876872420311
