timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,22.534284,455,,,
910,26.065484,455,,,
1365,29.280882,455,,,
1820,30.466601,455,,,
2275,23.81954,455,,,
2730,22.607135,455,,,
3185,22.90685,455,,,
3640,24.742884,455,,,
4095,23.116848,455,0.004861176013946533,6.368711888790131,7.410893994569778
4550,26.418173,455,,,
5005,24.058585,455,,,
5460,34.473238,455,,,
5915,24.210131,455,0.12128257751464844,6.365131086111068,0.5612416543066502
6370,40.438505,455,,,
6825,23.891668,455,,,
7280,38.731679,455,,,
7735,25.304714,455,,,
8190,23.662237,455,0.24268966913223267,6.368172717094422,2.575693766772747
8645,42.665244,455,,,
9100,20.44726,455,,,
9555,36.437413,455,,,
10010,21.821066,455,0.3948121666908264,6.360399836301804,3.082697354257107
10465,23.203293,455,,,
10920,24.104046,455,,,
11375,25.262221,455,,,
11830,38.370169,455,,,
12285,24.97542,455,0.4842376708984375,6.36621385216713,5.438363072276116
12740,24.100592,455,,,
13195,25.57178,455,,,
13650,25.070178,455,,,
14105,23.682004,455,0.6660220623016357,6.371453028917313,1.5343792900443076
14560,35.136234,455,,,
15015,44.979111,455,,,
15470,26.247742,455,,,
15925,24.256788,455,,,
16380,38.250337,455,0.772689700126648,6.364070653915405,0.5794568385928869
16835,42.373652,455,,,
17290,24.729197,455,,,
17745,25.867091,455,,,
18200,36.053063,455,0.6661337614059448,6.3625135779380795,2.9921875178813933
18655,27.329661,455,,,
19110,33.276426,455,,,
19565,26.890459,455,,,
20020,33.672415,455,,,
20475,34.034687,455,0.7521101236343384,6.370521354675293,2.1614311203360557
20930,27.083339,455,,,
21385,28.980174,455,,,
21840,24.718553,455,,,
22295,34.735718,455,0.7516275644302368,6.38084557056427,3.48640715777874
22750,24.46226,455,,,
23205,26.193735,455,,,
23660,40.996412,455,,,
24115,25.192728,455,,,
24570,31.688302,455,0.7930034399032593,6.380422085523605,2.139381802082062
25025,31.920017,455,,,
25480,22.881408,455,,,
25935,29.785024,455,,,
26390,24.963469,455,0.8260143399238586,6.380272626876831,2.2977403908967973
26845,34.15766,455,,,
27300,27.547834,455,,,
27755,37.705111,455,,,
28210,43.486724,455,,,
28665,30.344739,455,0.8179051876068115,6.377273297309875,2.9636125639081
29120,23.880571,455,,,
29575,26.097256,455,,,
30030,25.625393,455,,,
30485,25.908481,455,0.8153029084205627,6.375606030225754,4.216100299358368
30940,25.530599,455,,,
31395,32.864886,455,,,
31850,31.015317,455,,,
32305,23.411111,455,,,
32760,25.768173,455,0.8435826301574707,6.373948210477829,1.712755125761032
33215,36.483529,455,,,
33670,24.138563,455,,,
34125,28.965246,455,,,
34580,33.528228,455,0.8269124627113342,6.368712377548218,1.840147815644741
35035,24.902092,455,,,
35490,25.519489,455,,,
35945,27.034915,455,,,
36400,38.449974,455,,,
36855,24.989477,455,0.8347885012626648,6.378487342596054,2.439979986846447
37310,34.139794,455,,,
37765,26.497373,455,,,
38220,25.337138,455,,,
38675,33.114519,455,0.8700035214424133,6.383966451883316,1.0613014966249465
39130,24.185576,455,,,
39585,22.94943,455,,,
40040,24.775431,455,,,
40495,32.708966,455,,,
40950,24.736442,455,0.8661203384399414,6.390222018957138,1.4753639303147792
41405,23.934812,455,,,
41860,24.99947,455,,,
42315,40.309665,455,,,
42770,26.598552,455,0.911945641040802,6.402971476316452,0.7106648862361908
43225,30.019045,455,,,
43680,26.589953,455,,,
44135,38.008377,455,,,
44590,26.771284,455,,,
45045,24.788416,455,0.8718043565750122,6.416131007671356,0.9110815923660993
45500,27.758763,455,,,
45955,46.031422,455,,,
46410,45.013308,455,,,
46865,26.841673,455,0.8951742053031921,6.42482373714447,0.9583985809236765
47320,27.643165,455,,,
47775,38.892927,455,,,
48230,25.82118,455,,,
48685,33.238938,455,,,
49140,25.048529,455,0.8681524991989136,6.434880393743515,1.7591275900602341
49595,34.214148,455,,,
50050,24.863356,455,,,
50505,26.481874,455,,,
50960,32.430662,455,0.8811609148979187,6.439991003274917,1.4686212249100208
51415,24.183201,455,,,
51870,38.786686,455,,,
52325,27.480108,455,,,
52780,26.887855,455,,,
53235,24.636822,455,0.885408341884613,6.4319987952709194,1.5698864139616489
53690,45.736681,455,,,
54145,27.696706,455,,,
54600,41.32312,455,,,
55055,31.518337,455,0.9024640917778015,6.428615230321884,0.9898217167705298
55510,36.983403,455,,,
55965,28.416146,455,,,
56420,29.223221,455,,,
56875,25.65358,455,,,
57330,43.328159,455,0.8617192506790161,6.427524971961975,2.633012939989567
57785,25.157574,455,,,
58240,40.905518,455,,,
58695,30.954569,455,,,
59150,34.110997,455,0.8711791038513184,6.433889830112458,2.102149026095867
59605,29.493779,455,,,
60060,30.655299,455,,,
60515,27.51032,455,,,
60970,25.727832,455,,,
61425,42.126356,455,0.8870577216148376,6.442798966169358,1.8469709560275078
61880,41.556078,455,,,
62335,29.932046,455,,,
62790,25.402668,455,,,
63245,28.538715,455,0.9307571649551392,6.440970402956009,0.7506262484937907
63700,36.018716,455,,,
64155,29.135707,455,,,
64610,29.843195,455,,,
65065,27.830538,455,,,
65520,30.335216,455,0.9264706373214722,6.435439473390579,0.7820217754691839
65975,37.017297,455,,,
66430,26.589643,455,,,
66885,41.999767,455,,,
67340,29.667346,455,0.9180013537406921,6.434079110622406,0.9976228583604098
67795,54.579682,455,,,
68250,28.084314,455,,,
68705,39.401662,455,,,
69160,42.898765,455,,,
69615,34.225043,455,0.9014711380004883,6.449534237384796,1.5356420263648034
70070,27.938078,455,,,
70525,39.090203,455,,,
70980,26.953741,455,,,
71435,28.167903,455,0.888900876045227,6.466857153177261,2.431952618062496
71890,45.758409,455,,,
72345,26.929712,455,,,
72800,25.405678,455,,,
73255,45.272458,455,,,
73710,45.289806,455,0.9160106778144836,6.469097477197647,0.7731304425746203
74165,48.703846,455,,,
74620,26.781993,455,,,
75075,25.761485,455,,,
75530,53.088322,455,0.8833317756652832,6.469212472438812,2.1411593809723852
75985,47.532513,455,,,
76440,28.764342,455,,,
76895,27.966098,455,,,
77350,29.114344,455,,,
77805,48.755333,455,0.8958866596221924,6.463825833797455,1.4466265991330147
78260,27.515764,455,,,
78715,43.064169,455,,,
79170,39.59619,455,,,
79625,28.317942,455,0.9209151268005371,6.4696679532527925,1.2251220755279064
80080,28.980392,455,,,
80535,28.375826,455,,,
80990,27.983543,455,,,
81445,27.933164,455,,,
81900,29.183304,455,0.9144452810287476,6.473845070600509,1.1044945605099201
82355,28.447704,455,,,
82810,42.104621,455,,,
83265,46.766521,455,,,
83720,28.22238,455,0.9781442284584045,6.469800853729248,0.23538769437000157
84175,28.996755,455,,,
84630,34.322365,455,,,
85085,32.490125,455,,,
85540,30.397456,455,,,
85995,29.8034,455,0.8997969627380371,6.454560983181,1.252441443502903
86450,28.441532,455,,,
86905,32.933802,455,,,
87360,28.577088,455,,,
