timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,19.551759,455,,,
910,34.379228,455,,,
1365,34.704292,455,,,
1820,31.273825,455,,,
2275,19.949276,455,,,
2730,19.884769,455,,,
3185,19.105715,455,,,
3640,20.329231,455,,,
4095,20.389061,455,-0.00015437602996826172,6.368996578454971,3.625666171312332
4550,19.755201,455,,,
5005,21.115883,455,,,
5460,29.703902,455,,,
5915,20.3961,455,0.007397770881652832,6.352114421129227,0.15383303612470628
6370,34.607123,455,,,
6825,19.810268,455,,,
7280,36.41816,455,,,
7735,19.88004,455,,,
8190,20.996097,455,0.05560958385467529,6.357543832063675,1.4720840334892273
8645,32.949991,455,,,
9100,37.501532,455,,,
9555,26.959797,455,,,
10010,30.416162,455,0.0945097804069519,6.356487023830414,1.5499143540859222
10465,19.913187,455,,,
10920,19.347816,455,,,
11375,19.648611,455,,,
11830,31.373542,455,,,
12285,20.127217,455,0.23309648036956787,6.354638022184372,3.6771287739276888
12740,19.71161,455,,,
13195,21.576902,455,,,
13650,19.624529,455,,,
14105,21.031764,455,0.4161633849143982,6.366352117061615,0.9359463050961494
14560,40.283279,455,,,
15015,24.730033,455,,,
15470,19.698347,455,,,
15925,19.466423,455,,,
16380,36.526619,455,0.5470850467681885,6.3609860956668856,0.5269097659736872
16835,29.174084,455,,,
17290,20.322795,455,,,
17745,20.761874,455,,,
18200,32.433187,455,0.5605286359786987,6.363764274120331,1.6576787829399109
18655,21.347059,455,,,
19110,34.514714,455,,,
19565,20.037634,455,,,
20020,33.812491,455,,,
20475,31.199365,455,0.6531784534454346,6.365343993902206,1.3589470654726028
20930,21.549589,455,,,
21385,41.343262,455,,,
21840,20.742754,455,,,
22295,38.807878,455,0.7103592157363892,6.361935502290725,1.8129429757595061
22750,19.756185,455,,,
23205,20.023998,455,,,
23660,35.005687,455,,,
24115,21.275247,455,,,
24570,28.23234,455,0.7389642000198364,6.362455016374588,1.4958237551152707
25025,29.492748,455,,,
25480,42.758539,455,,,
25935,36.226739,455,,,
26390,20.901797,455,0.7730517387390137,6.3685346126556395,1.363256986439228
26845,30.300127,455,,,
27300,28.556773,455,,,
27755,30.760493,455,,,
28210,34.801848,455,,,
