timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,19.870942,455,,,
910,21.500289,455,,,
1365,19.687119,455,,,
1820,21.665302,455,,,
2275,21.219261,455,,,
2730,21.051777,455,,,
3185,20.30585,455,,,
3640,19.881038,455,,,
4095,20.701496,455,-0.0020096302032470703,6.388948655128479,6.109466791152954
4550,20.138058,455,,,
5005,20.421857,455,,,
5460,17.118088,455,,,
5915,20.33223,455,0.43237894773483276,6.397312021255493,0.14295159364119173
6370,18.246501,455,,,
6825,20.347768,455,,,
7280,16.046805,455,,,
7735,20.018171,455,,,
8190,19.039996,455,0.22257691621780396,6.415679806470871,2.6855259105563163
8645,21.583074,455,,,
9100,14.887908,455,,,
9555,24.884535,455,,,
10010,16.140794,455,0.4432793855667114,6.426682907342911,2.5352788135409354
10465,21.053469,455,,,
10920,20.224477,455,,,
11375,20.836237,455,,,
11830,15.185135,455,,,
12285,20.373257,455,0.593858003616333,6.425941073894501,4.784549149870872
12740,20.665297,455,,,
13195,20.155287,455,,,
13650,20.447051,455,,,
14105,20.754679,455,0.7904490232467651,6.4138327717781065,1.2219642728567124
14560,11.814373,455,,,
15015,24.962602,455,,,
15470,21.163274,455,,,
15925,21.129353,455,,,
16380,25.591052,455,0.8415244817733765,6.409728682041168,0.6409241238608956
16835,18.192424,455,,,
17290,21.398147,455,,,
17745,20.666704,455,,,
18200,15.830425,455,0.7983152866363525,6.408456873893738,2.6305452033877375
18655,21.304573,455,,,
19110,22.277532,455,,,
19565,20.904279,455,,,
20020,24.266615,455,,,
20475,21.297898,455,0.8391516208648682,6.414633518457412,1.7941265791654586
20930,21.387772,455,,,
21385,17.160517,455,,,
21840,21.886972,455,,,
22295,20.340237,455,0.842923641204834,6.414080232381821,2.762066160142422
22750,19.926436,455,,,
23205,20.807965,455,,,
23660,28.828209,455,,,
24115,21.44428,455,,,
24570,13.81146,455,0.855619490146637,6.407691138982773,1.6953368306159973
25025,21.411236,455,,,
25480,19.525996,455,,,
25935,21.242847,455,,,
26390,20.517043,455,0.8531003594398499,6.398180735111237,1.8356717690825461
26845,19.503614,455,,,
