timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,22.665006,455,,,
910,0.690469,455,,,
1365,-5.942671,455,,,
1820,-11.687715,455,,,
2275,22.69683,455,,,
2730,23.864415,455,,,
3185,23.339168,455,,,
3640,22.998557,455,,,
4095,22.757494,455,-0.019900798797607422,6.3656213819980625,4.398762357234955
4550,23.383748,455,,,
5005,22.577299,455,,,
5460,-0.493688,455,,,
5915,23.804072,455,0.4264451265335083,6.357036525011063,0.3466006198897958
6370,5.514424,455,,,
6825,24.448353,455,,,
7280,-14.06003,455,,,
7735,22.950463,455,,,
8190,22.11747,455,0.32979482412338257,6.374822866916657,1.9803040221333503
8645,-5.422765,455,,,
9100,2.064764,455,,,
9555,-12.383596,455,,,
10010,-8.581469,455,0.5119481086730957,6.380434632301331,2.184444560110569
10465,22.072947,455,,,
10920,23.131185,455,,,
11375,22.17831,455,,,
11830,-3.979468,455,,,
12285,23.637033,455,0.5512795448303223,6.375307404994965,3.745775058865547
12740,22.833688,455,,,
13195,22.769154,455,,,
13650,23.587708,455,,,
14105,21.868255,455,0.8054715394973755,6.365799778699875,1.108469121158123
14560,2.431294,455,,,
15015,3.309308,455,,,
15470,23.607364,455,,,
15925,23.8979,455,,,
16380,-1.976146,455,0.8944060802459717,6.369581705331802,0.31618829164654016
16835,1.805353,455,,,
17290,23.318607,455,,,
17745,24.08829,455,,,
18200,1.74522,455,0.7424658536911011,6.366305232048035,2.311046028137207
18655,22.388613,455,,,
19110,-3.718296,455,,,
19565,23.902319,455,,,
20020,-0.277845,455,,,
20475,-4.86522,455,0.8405396342277527,6.376012760400772,1.5809991747140884
20930,23.126654,455,,,
21385,-10.622174,455,,,
21840,22.636096,455,,,
22295,-5.24676,455,0.8037706613540649,6.383031815290451,2.1052853971719743
22750,24.073325,455,,,
23205,22.580472,455,,,
23660,-7.121658,455,,,
24115,22.678383,455,,,
24570,-3.901115,455,0.8774550557136536,6.37479093670845,1.5543223544955254
25025,-14.300336,455,,,
25480,-6.049088,455,,,
25935,-3.819001,455,,,
26390,23.823809,455,0.8789373636245728,6.376077395677567,1.495678462088108
26845,-11.649991,455,,,
27300,-4.730689,455,,,
27755,-2.052116,455,,,
28210,4.454614,455,,,
28665,-8.14521,455,0.8550090789794922,6.382606846094132,1.9472149059176445
29120,22.649737,455,,,
29575,2.398605,455,,,
30030,22.992226,455,,,
30485,-8.602768,455,0.8330596685409546,6.3744808614254,2.6524697721004484
30940,23.40437,455,,,
31395,-2.391005,455,,,
31850,-3.565772,455,,,
32305,21.757955,455,,,
32760,21.942079,455,0.9259384274482727,6.373402726650238,1.2096174620091915
33215,-0.931934,455,,,
33670,23.128343,455,,,
34125,-7.788637,455,,,
