timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-47.116144,455,,,
910,-69.709147,455,,,
1365,-72.309576,455,,,
1820,-78.279608,455,,,
2275,-48.095948,455,,,
2730,-49.542379,455,,,
3185,-46.943574,455,,,
3640,-50.703896,455,,,
4095,-45.377706,455,-0.0017447471618652344,6.413603985309601,6.81358373761177
4550,-45.905596,455,,,
5005,-47.57004,455,,,
5460,-74.173655,455,,,
5915,-48.509048,455,0.04700767993927002,6.441235548257827,0.7014773096889257
6370,-67.998631,455,,,
6825,-47.716534,455,,,
7280,-72.373178,455,,,
7735,-47.501675,455,,,
8190,-47.146985,455,0.012111961841583252,6.479031711816788,3.452451264858246
8645,-69.345767,455,,,
9100,-65.593737,455,,,
9555,-57.100041,455,,,
10010,-76.134224,455,0.08866804838180542,6.506307685375214,4.2235496759414675
10465,-47.516733,455,,,
10920,-46.925836,455,,,
11375,-46.694722,455,,,
11830,-81.518046,455,,,
12285,-49.005434,455,0.2600451707839966,6.512834930419922,7.788438183069229
12740,-47.47952,455,,,
13195,-46.870624,455,,,
13650,-47.497296,455,,,
14105,-47.000328,455,0.38798367977142334,6.517887657880783,2.9406376749277117
14560,-67.526511,455,,,
15015,-74.974316,455,,,
15470,-48.023382,455,,,
15925,-48.251186,455,,,
16380,-68.692016,455,0.2800551652908325,6.530325663089752,1.7891763359308244
16835,-81.49074,455,,,
17290,-47.09635,455,,,
17745,-47.725558,455,,,
18200,-87.10026,455,0.5423954725265503,6.539734548330307,4.452896085381508
18655,-47.444893,455,,,
19110,-76.719393,455,,,
19565,-45.16712,455,,,
20020,-62.96716,455,,,
20475,-69.935724,455,0.6809216141700745,6.548033493757248,3.515562665462494
20930,-45.793995,455,,,
21385,-65.88455,455,,,
21840,-47.628933,455,,,
22295,-91.625417,455,0.7633241415023804,6.571611511707306,3.8814131408929824
22750,-47.607916,455,,,
23205,-45.581271,455,,,
23660,-65.132213,455,,,
24115,-46.098965,455,,,
24570,-80.967136,455,0.808476448059082,6.585866034030914,3.0802807614207266
25025,-75.010977,455,,,
25480,-73.782033,455,,,
25935,-73.178514,455,,,
26390,-46.41442,455,0.8328999280929565,6.603093326091766,3.0608698278665543
26845,-74.115036,455,,,
27300,-68.317902,455,,,
27755,-67.515742,455,,,
28210,-76.980351,455,,,
28665,-62.315324,455,0.8551191091537476,6.609159934520721,3.967927449941635
29120,-42.183537,455,,,
29575,-63.62252,455,,,
30030,-46.564069,455,,,
30485,-69.088828,455,0.8953264951705933,6.610116469860077,4.294168695807457
30940,-47.094153,455,,,
31395,-70.302927,455,,,
31850,-72.635357,455,,,
32305,-44.846719,455,,,
32760,-45.069648,455,0.8993059992790222,6.62170923948288,2.0881653785705567
33215,-71.311274,455,,,
33670,-45.817099,455,,,
34125,-65.397976,455,,,
34580,-74.36648,455,0.9027994871139526,6.634676039218903,2.4417485028505324
35035,-43.388035,455,,,
35490,-44.161128,455,,,
35945,-45.867756,455,,,
36400,-71.830514,455,,,
36855,-43.922846,455,0.9206355214118958,6.639048790931701,2.7256926208734513
37310,-66.400911,455,,,
37765,-46.046943,455,,,
38220,-46.077095,455,,,
38675,-70.086868,455,0.9254138469696045,6.644636577367782,1.258515178412199
39130,-45.257805,455,,,
39585,-45.354523,455,,,
40040,-45.368558,455,,,
40495,-69.344913,455,,,
40950,-47.013607,455,0.9435428977012634,6.654115641117096,1.5899851948022843
41405,-44.016937,455,,,
41860,-46.805416,455,,,
42315,-67.356432,455,,,
42770,-43.866492,455,0.9475721120834351,6.659468871355057,1.0029037557542324
43225,-46.23244,455,,,
43680,-49.624241,455,,,
44135,-74.817442,455,,,
44590,-43.377736,455,,,
45045,-44.388688,455,0.9511079788208008,6.670830196142196,0.8746864318847656
45500,-45.47097,455,,,
45955,-63.397815,455,,,
46410,-73.401764,455,,,
46865,-44.416151,455,0.9375731348991394,6.680730491876602,1.115629718452692
47320,-46.385867,455,,,
47775,-71.52724,455,,,
48230,-43.704696,455,,,
48685,-62.651933,455,,,
49140,-44.810903,455,0.9468898773193359,6.6848928272724155,1.5460734322667122
49595,-71.06225,455,,,
50050,-44.405378,455,,,
50505,-45.262755,455,,,
50960,-70.869889,455,0.9440602660179138,6.689690500497818,1.5514132708311081
51415,-44.013178,455,,,
51870,-55.87892,455,,,
52325,-46.344199,455,,,
52780,-44.805085,455,,,
53235,-43.86314,455,0.947603166103363,6.677393943071365,1.507600025832653
53690,-78.16602,455,,,
54145,-45.677145,455,,,
54600,-72.96874,455,,,
55055,-65.002746,455,0.95765221118927,6.674774008989334,0.7971758395433426
55510,-65.690347,455,,,
55965,-45.472672,455,,,
56420,-42.022533,455,,,
56875,-61.699815,455,,,
57330,-69.448342,455,0.9474797248840332,6.688955068588257,2.5841035708785056
57785,-41.104412,455,,,
58240,-66.397582,455,,,
58695,-74.609753,455,,,
59150,-55.014408,455,0.957036018371582,6.7055682122707365,1.7273505672812461
59605,-43.150098,455,,,
60060,-42.898185,455,,,
60515,-44.70608,455,,,
60970,-44.174476,455,,,
61425,-70.616987,455,0.9569495320320129,6.726643019914627,1.9462663486599923
61880,-66.534193,455,,,
62335,-43.133647,455,,,
62790,-45.401684,455,,,
63245,-44.090005,455,0.9684249758720398,6.750346219539642,0.7597437508404254
63700,-72.906185,455,,,
64155,-42.469757,455,,,
64610,-44.645626,455,,,
65065,-43.400739,455,,,
65520,-69.221689,455,0.9634560346603394,6.763284730911255,1.0611739844083785
65975,-74.449209,455,,,
66430,-44.846444,455,,,
66885,-68.287139,455,,,
67340,-43.638968,455,0.960595965385437,6.778522282838821,1.0198332764208318
67795,-77.246249,455,,,
68250,-44.717636,455,,,
68705,-62.926084,455,,,
69160,-79.729625,455,,,
69615,-62.77111,455,0.959321916103363,6.789616709947586,1.7932886093854905
70070,-44.553819,455,,,
70525,-72.802409,455,,,
70980,-44.327956,455,,,
71435,-45.369025,455,0.9613364934921265,6.796590006351471,2.0406365782022475
71890,-81.817152,455,,,
72345,-44.686815,455,,,
72800,-69.522815,455,,,
73255,-61.305505,455,,,
73710,-64.862949,455,0.9633736610412598,6.818191117048263,1.0246705658733846
74165,-61.796112,455,,,
74620,-43.394571,455,,,
75075,-43.032262,455,,,
75530,-72.419218,455,0.9578238725662231,6.831491363048554,1.922561201453209
75985,-61.78487,455,,,
76440,-44.166763,455,,,
76895,-43.375631,455,,,
77350,-43.057066,455,,,
77805,-69.812632,455,0.9669100642204285,6.831980216503143,1.367100788652897
78260,-43.854543,455,,,
78715,-58.396696,455,,,
79170,-77.001278,455,,,
79625,-45.682648,455,0.9680198431015015,6.853758358955384,0.8844137355685234
80080,-43.276334,455,,,
80535,-43.573277,455,,,
80990,-42.464567,455,,,
81445,-43.414328,455,,,
81900,-42.281855,455,0.96452796459198,6.880078595876694,1.3474844351410866
82355,-41.193991,455,,,
82810,-64.8778,455,,,
83265,-69.263049,455,,,
83720,-41.87151,455,0.9823548793792725,6.936829388141632,0.1065158904530108
84175,-43.969922,455,,,
84630,-65.339334,455,,,
85085,-67.994661,455,,,
85540,-40.559401,455,,,
85995,-43.825173,455,0.967043399810791,6.970925360918045,1.0542615540325642
86450,-43.869658,455,,,
86905,-59.39365,455,,,
87360,-43.03894,455,,,
87815,-43.637752,455,0.9725058078765869,6.975005656480789,1.0303264372050762
88270,-69.582156,455,,,
88725,-43.368929,455,,,
89180,-43.646591,455,,,
89635,-74.807125,455,,,
90090,-41.228958,455,0.9659872651100159,6.990760791301727,0.9315390892326831
90545,-40.41934,455,,,
91000,-43.070457,455,,,
91455,-54.179894,455,,,
91910,-62.825532,455,0.9680922627449036,7.010431110858917,0.8800282940268517
92365,-41.197453,455,,,
92820,-67.515816,455,,,
93275,-41.577594,455,,,
93730,-42.661933,455,,,
94185,-41.197297,455,0.9654155969619751,7.032643181085587,1.2073418565094471
94640,-54.932558,455,,,
95095,-66.074228,455,,,
95550,-43.13457,455,,,
96005,-65.136385,455,0.9741744995117188,7.056450724601746,0.601284246519208
96460,-60.583783,455,,,
96915,-56.24693,455,,,
97370,-42.175866,455,,,
97825,-54.165329,455,,,
98280,-54.651324,455,0.9590016603469849,7.083097088336944,1.9152060583233834
98735,-40.00336,455,,,
99190,-53.595237,455,,,
99645,-40.085078,455,,,
100100,-39.837564,455,0.9638493061065674,7.085780012607574,1.7440830871462822
100555,-41.714879,455,,,
101010,-57.944463,455,,,
101465,-55.56792,455,,,
101920,-62.711118,455,,,
102375,-41.815428,455,0.9714956283569336,7.098053812980652,0.5297526873648166
102830,-41.735095,455,,,
103285,-53.583887,455,,,
103740,-41.017651,455,,,
104195,-41.004903,455,0.9646248817443848,7.1143466293811795,1.5701546497642993
104650,-59.291561,455,,,
105105,-39.834377,455,,,
105560,-63.55193,455,,,
106015,-41.779555,455,,,
106470,-40.489979,455,0.9644590020179749,7.129532116651535,1.3062826737761497
106925,-55.177326,455,,,
107380,-40.133954,455,,,
107835,-59.248363,455,,,
108290,-41.083709,455,0.9710461497306824,7.148678249120712,0.8199641160666943
108745,-50.491276,455,,,
109200,-40.562796,455,,,
109655,-48.362864,455,,,
110110,-39.02346,455,,,
110565,-39.602329,455,0.9689221382141113,7.166307735443115,1.1644938006997108
111020,-57.238486,455,,,
111475,-40.27344,455,,,
111930,-42.285342,455,,,
112385,-41.57213,455,0.9635392427444458,7.185826969146729,0.8497306682169438
112840,-40.559399,455,,,
113295,-60.615617,455,,,
113750,-42.79016,455,,,
114205,-54.487404,455,,,
114660,-60.110935,455,0.9651826024055481,7.198478639125824,0.5075828544795513
115115,-42.548671,455,,,
115570,-40.306296,455,,,
116025,-53.38328,455,,,
116480,-53.501356,455,0.9600582122802734,7.206405472755432,1.5659281983971596
116935,-40.500843,455,,,
117390,-47.066753,455,,,
117845,-41.344341,455,,,
118300,-39.541639,455,,,
118755,-39.861343,455,0.9670013189315796,7.217737913131714,0.9219187438488007
119210,-58.104731,455,,,
119665,-37.598529,455,,,
120120,-63.024416,455,,,
120575,-55.978265,455,0.9665540456771851,7.240553545951843,0.5611362021416426
121030,-70.989957,455,,,
121485,-39.772668,455,,,
121940,-61.651288,455,,,
122395,-59.339097,455,,,
122850,-59.151596,455,0.9677221179008484,7.272293126583099,1.6359410732984543
123305,-39.40229,455,,,
123760,-37.694702,455,,,
124215,-45.72945,455,,,
124670,-38.704944,455,0.9702402949333191,7.309183758497238,1.6860775843262672
125125,-38.521511,455,,,
125580,-37.535903,455,,,
126035,-37.398621,455,,,
126490,-51.420228,455,,,
126945,-36.112557,455,0.9742662906646729,7.356941765546798,0.5305060155689716
127400,-36.533634,455,,,
127855,-37.542154,455,,,
128310,-38.350088,455,,,
128765,-38.017107,455,0.9733441472053528,7.410777306556701,0.5237371690571309
129220,-50.892347,455,,,
129675,-37.921503,455,,,
130130,-37.807541,455,,,
130585,-58.758807,455,,,
131040,-36.274989,455,0.9664037823677063,7.436825901269913,0.40589914210140704
131495,-36.879392,455,,,
131950,-56.674187,455,,,
132405,-58.216121,455,,,
132860,-56.898565,455,0.9656866788864136,7.457847720384597,0.8026706919074058
133315,-49.799767,455,,,
133770,-64.990063,455,,,
134225,-46.141694,455,,,
134680,-37.501461,455,,,
135135,-53.807001,455,0.9690373539924622,7.470760303735733,1.465531188249588
135590,-34.336715,455,,,
136045,-36.691229,455,,,
136500,-35.98305,455,,,
136955,-36.665379,455,0.9630127549171448,7.477269524335862,1.67958160340786
137410,-36.260371,455,,,
137865,-61.346918,455,,,
138320,-35.074026,455,,,
138775,-38.576015,455,,,
139230,-34.840082,455,0.9759816527366638,7.529941231012344,0.11184800090268254
139685,-36.36012,455,,,
140140,-33.931872,455,,,
140595,-34.545778,455,,,
141050,-47.306882,455,0.9682310819625854,7.585585027933121,0.4850935429334641
141505,-56.912648,455,,,
141960,-61.058015,455,,,
142415,-36.679733,455,,,
142870,-60.546538,455,,,
143325,-36.723416,455,0.9740796685218811,7.596375668048859,0.6999225974082947
143780,-65.608613,455,,,
144235,-35.480499,455,,,
144690,-57.955307,455,,,
145145,-43.382038,455,0.9725027084350586,7.615423458814621,1.00634483769536
145600,-34.211049,455,,,
146055,-34.735775,455,,,
146510,-60.180719,455,,,
146965,-36.04951,455,,,
147420,-58.245543,455,0.9684775471687317,7.638017857074738,1.3591598212718963
147875,-33.872465,455,,,
148330,-56.878134,455,,,
148785,-46.976856,455,,,
149240,-34.811911,455,0.9696518182754517,7.67497039437294,1.0366853527724742
149695,-55.289802,455,,,
150150,-53.809792,455,,,
150605,-33.446548,455,,,
151060,-47.430668,455,,,
151515,-34.205869,455,0.9665011763572693,7.712553083896637,1.3398626305162906
151970,-50.250661,455,,,
152425,-67.031639,455,,,
152880,-33.746806,455,,,
153335,-33.651804,455,0.9717499613761902,7.725017160177231,1.0183886960148811
153790,-32.754222,455,,,
154245,-56.263628,455,,,
154700,-31.48844,455,,,
155155,-62.743881,455,,,
155610,-33.739191,455,0.9724247455596924,7.740393704175949,0.8578717015683651
156065,-35.137644,455,,,
156520,-36.29898,455,,,
156975,-35.076653,455,,,
157430,-47.17237,455,0.9715217351913452,7.749027478694916,0.8607125900685787
157885,-45.060905,455,,,
158340,-33.770811,455,,,
158795,-64.623725,455,,,
159250,-35.912558,455,,,
159705,-32.056209,455,0.9706547856330872,7.771309107542038,0.6861052233725786
160160,-59.965529,455,,,
160615,-35.416055,455,,,
161070,-34.468342,455,,,
161525,-57.889145,455,0.9699727296829224,7.802549517154693,0.6664012406021357
161980,-44.223081,455,,,
162435,-33.864014,455,,,
162890,-29.972062,455,,,
163345,-54.119524,455,,,
163800,-64.226035,455,0.9701232314109802,7.837408846616745,1.047118493914604
164255,-34.870227,455,,,
164710,-32.865422,455,,,
165165,-53.345546,455,,,
165620,-48.672592,455,0.9700726270675659,7.863411086797714,1.0556601844727993
166075,-48.046529,455,,,
166530,-47.804445,455,,,
166985,-32.113477,455,,,
167440,-57.141778,455,,,
167895,-32.753958,455,0.9674152731895447,7.8864332914352415,1.0679693140089512
168350,-55.881955,455,,,
168805,-63.614436,455,,,
169260,-52.484457,455,,,
169715,-62.07748,455,0.9681297540664673,7.912161767482758,1.1029360495507716
170170,-31.679882,455,,,
170625,-32.722586,455,,,
171080,-30.354685,455,,,
171535,-56.221855,455,,,
171990,-52.677485,455,0.9659847617149353,7.95808921456337,1.5388055831193923
172445,-33.426461,455,,,
172900,-51.472579,455,,,
173355,-65.382485,455,,,
173810,-59.59409,455,0.9707731604576111,8.010843843221664,0.8038905009627342
174265,-33.271271,455,,,
174720,-51.047189,455,,,
175175,-33.265387,455,,,
175630,-32.71571,455,,,
176085,-52.922407,455,0.9690201282501221,8.035326170921326,1.2011937506496906
176540,-52.013952,455,,,
176995,-31.059174,455,,,
177450,-33.330683,455,,,
177905,-31.610845,455,0.9738765358924866,8.056497299671173,0.7655349116772413
178360,-30.438733,455,,,
178815,-29.79123,455,,,
179270,-30.575041,455,,,
179725,-32.040438,455,,,
180180,-55.040574,455,0.972736120223999,8.084827816486358,0.4874146733433008
180635,-31.051031,455,,,
181090,-58.380544,455,,,
181545,-56.321268,455,,,
182000,-47.351059,455,0.9669869542121887,8.124845659732818,0.49870137199759484
182455,-46.477808,455,,,
182910,-29.551677,455,,,
183365,-64.745778,455,,,
183820,-52.305884,455,,,
184275,-56.801371,455,0.963911771774292,8.133893859386443,1.3915961489081383
184730,-31.163468,455,,,
185185,-60.9187,455,,,
185640,-30.763096,455,,,
186095,-50.254174,455,0.968061625957489,8.144269847869873,1.41318169683218
186550,-28.578011,455,,,
187005,-31.479405,455,,,
187460,-28.624496,455,,,
187915,-31.188917,455,,,
188370,-28.877387,455,0.9715514183044434,8.161876237392425,0.9220538981258869
188825,-29.420246,455,,,
189280,-29.503322,455,,,
189735,-30.609056,455,,,
190190,-28.354034,455,0.975866436958313,8.197500264644622,0.09025161331519485
190645,-28.6938,455,,,
191100,-52.335043,455,,,
191555,-28.557536,455,,,
192010,-51.290166,455,,,
192465,-30.170925,455,0.9735749363899231,8.300339460372925,0.11620987551286817
192920,-39.804547,455,,,
193375,-29.504046,455,,,
193830,-28.60389,455,,,
194285,-28.618579,455,0.9691542387008667,8.362512731552124,0.8860882095992565
194740,-28.917953,455,,,
195195,-52.582119,455,,,
195650,-29.111436,455,,,
196105,-49.585358,455,,,
196560,-28.133281,455,0.9748767018318176,8.380554723739625,0.39535183608531954
197015,-27.791805,455,,,
197470,-27.282184,455,,,
197925,-29.168997,455,,,
198380,-29.986207,455,0.9764281511306763,8.415865099430084,0.8719689108431339
198835,-55.881414,455,,,
199290,-61.418568,455,,,
199745,-54.071396,455,,,
200200,-26.839948,455,,,
200655,-26.340362,455,0.979404091835022,8.456029331684112,0.3473930645734072
