timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-51.237422,455,,,
910,-49.864176,455,,,
1365,-50.685435,455,,,
1820,-48.960878,455,,,
2275,-50.207239,455,,,
2730,-52.046173,455,,,
3185,-49.673299,455,,,
3640,-52.194728,455,,,
4095,-49.31525,455,-0.0018856525421142578,6.399019420146942,6.673397290706634
4550,-49.274495,455,,,
5005,-51.631534,455,,,
5460,-53.549972,455,,,
5915,-51.200465,455,-0.12024867534637451,6.431175953149795,0.331587790697813
6370,-50.631478,455,,,
6825,-49.720856,455,,,
7280,-51.909637,455,,,
7735,-49.769369,455,,,
8190,-50.806236,455,0.004977285861968994,6.476542007923126,3.4298944801092146
8645,-46.759519,455,,,
9100,-55.652344,455,,,
9555,-44.354581,455,,,
10010,-52.782081,455,0.06485003232955933,6.507978701591492,4.149213188886643
10465,-49.853828,455,,,
10920,-49.625907,455,,,
11375,-48.907067,455,,,
11830,-54.171257,455,,,
12285,-51.242427,455,0.18107283115386963,6.5167160630226135,7.382244455814361
12740,-49.943304,455,,,
13195,-50.163919,455,,,
13650,-50.196666,455,,,
14105,-48.719516,455,0.3650658130645752,6.51749804019928,2.2783263444900514
14560,-58.452295,455,,,
15015,-45.792689,455,,,
15470,-49.54611,455,,,
15925,-49.832998,455,,,
16380,-42.780818,455,0.3192642331123352,6.5269902646541595,1.065012975782156
16835,-51.890127,455,,,
17290,-50.19859,455,,,
17745,-50.334645,455,,,
18200,-55.981634,455,0.5026816725730896,6.536106884479523,3.9535291284322738
18655,-49.678519,455,,,
19110,-48.777214,455,,,
19565,-48.355101,455,,,
20020,-46.831631,455,,,
20475,-48.960859,455,0.5956456661224365,6.550135642290115,2.6631308883428573
20930,-47.314524,455,,,
21385,-53.064268,455,,,
21840,-48.685788,455,,,
22295,-50.668302,455,0.6631122827529907,6.562455499172211,3.151352435350418
22750,-50.607049,455,,,
23205,-48.845521,455,,,
23660,-42.574792,455,,,
24115,-47.888008,455,,,
24570,-55.701574,455,0.7104518413543701,6.565237313508987,2.1614169999957085
25025,-51.050538,455,,,
25480,-50.390566,455,,,
25935,-49.149454,455,,,
26390,-48.940244,455,0.7069399356842041,6.5673082888126375,2.361493618786335
26845,-49.840359,455,,,
27300,-44.697244,455,,,
27755,-40.138767,455,,,
28210,-48.658097,455,,,
28665,-40.27359,455,0.6919898390769958,6.582034754753113,3.793896323442459
29120,-46.678894,455,,,
29575,-49.068087,455,,,
30030,-49.877811,455,,,
30485,-55.413641,455,0.7635672092437744,6.600936990976334,4.20500019788742
30940,-49.717106,455,,,
31395,-48.551734,455,,,
31850,-50.367092,455,,,
32305,-47.007517,455,,,
32760,-48.008833,455,0.7813477516174316,6.608074551820755,2.000128473341465
33215,-47.784801,455,,,
33670,-49.020849,455,,,
34125,-47.336978,455,,,
34580,-56.094562,455,0.8046828508377075,6.613923346996307,1.9872414395213127
35035,-47.868133,455,,,
35490,-46.656712,455,,,
35945,-48.032281,455,,,
36400,-47.5521,455,,,
36855,-46.93669,455,0.7963539361953735,6.630320596694946,2.5654748171567916
37310,-54.777899,455,,,
37765,-47.923939,455,,,
38220,-48.364075,455,,,
38675,-45.434412,455,0.8354476690292358,6.646452409029007,1.0233546629548074
39130,-47.882322,455,,,
39585,-48.680139,455,,,
40040,-48.745547,455,,,
40495,-44.676843,455,,,
40950,-49.15545,455,0.8224072456359863,6.657884573936462,1.622794008255005
41405,-45.719393,455,,,
41860,-48.281884,455,,,
42315,-40.397161,455,,,
42770,-46.346156,455,0.8442396521568298,6.664047425985336,1.031749752908945
43225,-47.244518,455,,,
43680,-50.53367,455,,,
44135,-58.644699,455,,,
44590,-46.520061,455,,,
45045,-45.296613,455,0.8669431209564209,6.6704390943050385,0.9739950582385063
45500,-46.956073,455,,,
45955,-53.619914,455,,,
