timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-50.598126,455,,,
910,-33.966903,455,,,
1365,-53.214175,455,,,
1820,-34.637595,455,,,
2275,-50.468978,455,,,
2730,-51.781037,455,,,
3185,-47.298188,455,,,
3640,-49.519637,455,,,
4095,-46.856865,455,0.0028340816497802734,6.4028721153736115,6.247260254621506
4550,-46.64838,455,,,
5005,-52.165508,455,,,
5460,-40.041207,455,,,
5915,-49.9496,455,0.12941676378250122,6.435598081350326,1.033882597833872
6370,-29.413795,455,,,
6825,-48.92902,455,,,
7280,-27.724902,455,,,
7735,-48.306117,455,,,
8190,-47.392921,455,0.0820954442024231,6.465633594989777,4.548204106092453
8645,-18.638919,455,,,
9100,-35.289869,455,,,
9555,-29.848602,455,,,
10010,-25.152125,455,0.26201826333999634,6.484114587306976,2.9522977009415627
10465,-48.634565,455,,,
10920,-47.512107,455,,,
11375,-48.878692,455,,,
11830,-29.14563,455,,,
12285,-49.906338,455,0.3643307685852051,6.496443074941635,5.9996286034584045
12740,-47.833212,455,,,
13195,-50.144202,455,,,
13650,-49.947892,455,,,
14105,-49.501273,455,0.5531281232833862,6.516311675310135,1.8626224294304847
14560,-27.36658,455,,,
15015,-27.137419,455,,,
15470,-47.946927,455,,,
15925,-47.533016,455,,,
16380,-28.926377,455,0.6389458179473877,6.528407323360443,1.6293311610817909
16835,-30.717952,455,,,
17290,-48.610027,455,,,
17745,-48.731976,455,,,
18200,-30.870823,455,0.6714909076690674,6.530333828926087,3.254689761996269
18655,-49.148434,455,,,
19110,-35.756788,455,,,
19565,-45.442304,455,,,
20020,-26.940496,455,,,
20475,-26.049777,455,0.7194496393203735,6.53819300532341,2.584786130487919
20930,-45.685027,455,,,
21385,-32.873284,455,,,
21840,-46.924705,455,,,
22295,-22.39023,455,0.7307479977607727,6.557912141084671,3.5904536813497545
22750,-48.160387,455,,,
23205,-46.914468,455,,,
23660,-34.551167,455,,,
24115,-46.583981,455,,,
24570,-37.525439,455,0.7835200428962708,6.576191610097885,2.2058013916015624
25025,-32.620802,455,,,
25480,-33.165447,455,,,
25935,-30.161122,455,,,
26390,-47.039202,455,0.8007055521011353,6.592926096916199,2.0363374546170236
26845,-30.131274,455,,,
27300,-44.241128,455,,,
27755,-28.798492,455,,,
28210,-19.333107,455,,,
28665,-26.810134,455,0.7821486592292786,6.605168390274048,3.348222878575325
29120,-44.846489,455,,,
29575,-39.024751,455,,,
30030,-47.103955,455,,,
30485,-32.056819,455,0.7854635715484619,6.6134974420070645,3.812970280647278
30940,-48.294629,455,,,
31395,-31.244095,455,,,
31850,-25.092917,455,,,
32305,-45.31126,455,,,
32760,-47.014811,455,0.8785944581031799,6.615725839138031,1.8386035501956939
33215,-26.755986,455,,,
33670,-47.405664,455,,,
34125,-28.899107,455,,,
34580,-30.039811,455,0.8693824410438538,6.6302559792995455,1.8221213944256305
35035,-46.000093,455,,,
35490,-46.387249,455,,,
35945,-45.044846,455,,,
36400,-31.139774,455,,,
36855,-44.665514,455,0.8720899224281311,6.6503853559494015,2.272279827296734
37310,-44.325463,455,,,
37765,-47.386315,455,,,
38220,-48.426042,455,,,
38675,-26.405499,455,0.916591465473175,6.6666280150413515,0.912603123486042
39130,-44.034339,455,,,
39585,-47.981237,455,,,
40040,-45.15409,455,,,
40495,-33.882948,455,,,
40950,-46.766318,455,0.8936519026756287,6.681813406944275,1.518012623488903
41405,-43.573488,455,,,
41860,-47.909098,455,,,
42315,-40.610936,455,,,
42770,-46.286688,455,0.9178666472434998,6.688514304161072,1.2524934254586697
43225,-47.748926,455,,,
43680,-51.48525,455,,,
44135,-35.688603,455,,,
44590,-43.493216,455,,,
45045,-43.627667,455,0.9166078567504883,6.699278831481934,1.0521668519824743
45500,-46.273451,455,,,
45955,-32.743063,455,,,
46410,-25.69298,455,,,
46865,-44.808795,455,0.9145734906196594,6.711655110120773,1.1058202713727951
47320,-44.707963,455,,,
47775,-17.408142,455,,,
48230,-46.71067,455,,,
48685,-26.164148,455,,,
49140,-47.352154,455,0.8882016539573669,6.728624480962753,1.50766546651721
49595,-39.798691,455,,,
50050,-46.644751,455,,,
50505,-44.161459,455,,,
50960,-47.029184,455,0.8899978995323181,6.737720006704331,1.5237881153821946
51415,-47.60526,455,,,
51870,-30.926692,455,,,
52325,-47.040473,455,,,
52780,-45.960296,455,,,
53235,-44.337087,455,0.8852208852767944,6.7506980240345005,1.687265618145466
53690,-18.486001,455,,,
54145,-47.964831,455,,,
54600,-27.400985,455,,,
55055,-18.358918,455,0.9281781911849976,6.7680371582508085,0.8669083852320909
55510,-35.385498,455,,,
