timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-46.070706,455,,,
910,-40.660659,455,,,
1365,-47.775203,455,,,
1820,-53.254142,455,,,
2275,-47.423131,455,,,
2730,-50.54683,455,,,
3185,-44.888684,455,,,
3640,-46.664957,455,,,
4095,-45.58504,455,-0.005559802055358887,6.411603456735611,3.3340561032295226
4550,-43.622208,455,,,
5005,-47.064113,455,,,
5460,-30.590938,455,,,
5915,-46.218415,455,0.06050276756286621,6.445465672016144,0.8228710435330868
6370,-32.012242,455,,,
6825,-44.056299,455,,,
7280,-41.112873,455,,,
7735,-43.897625,455,,,
8190,-44.265432,455,0.047654807567596436,6.472909241914749,2.1531370162963865
8645,-33.374658,455,,,
9100,-44.070501,455,,,
9555,-36.264576,455,,,
10010,-38.581521,455,0.07839465141296387,6.5140066862106325,2.340174639225006
10465,-44.678302,455,,,
10920,-44.136401,455,,,
11375,-44.133899,455,,,
11830,-42.638658,455,,,
12285,-47.371721,455,0.07587701082229614,6.535078012943268,3.7900261133909225
12740,-43.199061,455,,,
13195,-44.965399,455,,,
13650,-43.572394,455,,,
14105,-42.62286,455,0.2887919545173645,6.5406550705432895,1.7084288582205773
14560,-45.688452,455,,,
15015,-50.836688,455,,,
15470,-43.450967,455,,,
15925,-44.956175,455,,,
16380,-36.361746,455,0.45579439401626587,6.55476343035698,1.1844100214540958
16835,-50.318204,455,,,
17290,-44.770545,455,,,
17745,-43.43081,455,,,
18200,-44.966582,455,0.48613399267196655,6.574335408210755,2.307039995491505
18655,-45.34175,455,,,
19110,-34.953447,455,,,
19565,-41.021093,455,,,
20020,-40.702448,455,,,
20475,-38.402196,455,0.5618159770965576,6.597875046730041,2.2019995585083962
20930,-42.552202,455,,,
21385,-33.193891,455,,,
21840,-44.368603,455,,,
22295,-35.785661,455,0.6397665739059448,6.620419996976852,2.155246452987194
22750,-44.058508,455,,,
23205,-44.092317,455,,,
23660,-50.449584,455,,,
24115,-43.653691,455,,,
24570,-36.028337,455,0.7377835512161255,6.626420766115189,1.56782256513834
25025,-50.874402,455,,,
25480,-45.459406,455,,,
25935,-32.835177,455,,,
26390,-41.48351,455,0.7730895280838013,6.6304573833942415,1.5236767664551736
26845,-30.530467,455,,,
27300,-43.264226,455,,,
27755,-37.576332,455,,,
28210,-42.524873,455,,,
28665,-40.746117,455,0.7194445133209229,6.641000026464463,2.3335261806845664
29120,-41.854609,455,,,
29575,-45.85845,455,,,
30030,-43.253321,455,,,
30485,-33.627684,455,0.7822650074958801,6.647684466838837,2.490248069167137
30940,-45.062424,455,,,
31395,-40.723615,455,,,
31850,-46.219367,455,,,
32305,-42.337017,455,,,
32760,-41.435035,455,0.8191865682601929,6.656812620162964,1.420804277807474
33215,-39.920441,455,,,
33670,-43.171926,455,,,
34125,-32.671676,455,,,
34580,-43.476874,455,0.8629917502403259,6.668561398983002,1.2865029223263265
35035,-44.247575,455,,,
35490,-40.199518,455,,,
35945,-42.7953,455,,,
36400,-33.467456,455,,,
36855,-41.480953,455,0.7730648517608643,6.685383147001266,1.899166512489319
37310,-27.479815,455,,,
37765,-44.345596,455,,,
38220,-40.756033,455,,,
38675,-46.598559,455,0.8960047960281372,6.708387625217438,0.7839011896401644
39130,-41.179924,455,,,
39585,-42.01163,455,,,
40040,-42.617534,455,,,
40495,-49.088247,455,,,
40950,-41.508576,455,0.8707135915756226,6.727101677656174,1.1482402570545673
41405,-38.459073,455,,,
41860,-41.985783,455,,,
42315,-33.385429,455,,,
42770,-40.617343,455,0.9157744646072388,6.7393324196338655,0.7578572236001492
43225,-41.539291,455,,,
43680,-43.722579,455,,,
44135,-32.387491,455,,,
44590,-39.910961,455,,,
45045,-41.302634,455,0.9129213094711304,6.7427565336227415,0.6697086934000254
45500,-41.836358,455,,,
45955,-35.043892,455,,,
46410,-41.314725,455,,,
46865,-40.021302,455,0.9106996059417725,6.756913030147553,0.6699030619114638
47320,-41.609605,455,,,
47775,-31.576644,455,,,
48230,-39.66743,455,,,
48685,-35.958053,455,,,
49140,-39.432363,455,0.8647205233573914,6.773492527008057,1.0958996728062629
49595,-40.606662,455,,,
50050,-40.652799,455,,,
50505,-40.723654,455,,,
50960,-34.4014,455,0.878812313079834,6.774983668327332,1.0052753247320652
51415,-40.76125,455,,,
51870,-37.485921,455,,,
52325,-40.545391,455,,,
52780,-41.047786,455,,,
53235,-39.75792,455,0.8938905596733093,6.778687065839767,1.0366594284772872
53690,-33.159428,455,,,
54145,-41.601859,455,,,
54600,-44.394474,455,,,
55055,-40.722269,455,0.9337934255599976,6.791848987340927,0.5033085659146309
55510,-36.001998,455,,,
55965,-41.494611,455,,,
56420,-37.102151,455,,,
56875,-50.769817,455,,,
57330,-42.939489,455,0.8266478180885315,6.799052113294602,1.419608722627163
57785,-35.646712,455,,,
58240,-31.348354,455,,,
58695,-37.724311,455,,,
59150,-39.429522,455,0.8812496662139893,6.823388332128525,1.0980876222252847
59605,-36.475388,455,,,
60060,-39.366965,455,,,
60515,-39.523733,455,,,
60970,-38.199491,455,,,
61425,-48.254951,455,0.8474135994911194,6.849099189043045,1.2988690286874771
61880,-35.24779,455,,,
62335,-39.456244,455,,,
62790,-39.175574,455,,,
63245,-39.274613,455,0.9395102262496948,6.868406271934509,0.5450693815946579
63700,-40.174985,455,,,
64155,-37.304256,455,,,
64610,-39.072564,455,,,
65065,-37.784022,455,,,
65520,-42.251941,455,0.9273797273635864,6.895593440532684,0.8397630799561739
65975,-29.351513,455,,,
66430,-37.294063,455,,,
66885,-54.112485,455,,,
67340,-37.421517,455,0.9343394637107849,6.921223539113998,0.8864424433559179
67795,-31.595537,455,,,
68250,-38.678411,455,,,
68705,-39.114765,455,,,
69160,-27.661421,455,,,
69615,-44.740823,455,0.883931040763855,6.9281007051467896,1.07865939065814
70070,-39.195038,455,,,
70525,-38.635676,455,,,
70980,-38.709383,455,,,
71435,-41.30319,455,0.8770180344581604,6.9425638020038605,1.2287539944052697
71890,-38.477622,455,,,
72345,-36.576662,455,,,
72800,-31.738138,455,,,
73255,-31.732042,455,,,
73710,-29.518467,455,0.9321290850639343,6.96513649225235,0.6218782387673855
74165,-31.303488,455,,,
74620,-37.020169,455,,,
75075,-36.256656,455,,,
75530,-26.829011,455,0.8969258666038513,6.976246690750122,1.2264194749295712
75985,-26.222688,455,,,
76440,-38.2963,455,,,
76895,-38.437393,455,,,
77350,-38.431725,455,,,
77805,-36.97251,455,0.9034067392349243,6.987692207098007,0.8784294106066227
78260,-35.494881,455,,,
78715,-39.166783,455,,,
79170,-33.524347,455,,,
79625,-38.340197,455,0.9399786591529846,7.0023033797740935,0.6331664096564055
80080,-36.245632,455,,,
80535,-38.341812,455,,,
80990,-34.560222,455,,,
