timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,11.157703,455,,,
910,37.326315,455,,,
1365,16.975477,455,,,
1820,35.838692,455,,,
2275,6.617597,455,,,
2730,11.506515,455,,,
3185,8.914381,455,,,
3640,10.384636,455,,,
4095,10.019198,455,0.01084280014038086,6.384425276517868,9.91508600115776
4550,10.065893,455,,,
5005,8.815495,455,,,
5460,31.124016,455,,,
5915,10.236109,455,0.24506258964538574,6.382833778858185,10.086675816774369
6370,39.455807,455,,,
6825,7.716629,455,,,
7280,41.362483,455,,,
7735,9.088971,455,,,
8190,10.537321,455,0.6198166608810425,6.377047657966614,7.951527971029281
8645,49.916002,455,,,
9100,33.69643,455,,,
9555,38.590782,455,,,
10010,42.597436,455,0.790176272392273,6.365187066793442,5.756864982843399
10465,10.618335,455,,,
10920,10.140455,455,,,
11375,10.937909,455,,,
11830,39.710737,455,,,
12285,10.102649,455,0.6161127090454102,6.3537244379520414,5.816640564799309
12740,7.830366,455,,,
13195,9.655989,455,,,
13650,8.474738,455,,,
14105,8.000778,455,0.8752840161323547,6.354178297519684,3.461409991979599
14560,41.39868,455,,,
15015,42.778286,455,,,
15470,12.53625,455,,,
15925,5.187806,455,,,
16380,39.978503,455,0.9199362993240356,6.348029124736786,3.018564210832119
16835,38.171727,455,,,
17290,11.201959,455,,,
17745,13.78504,455,,,
18200,39.091835,455,0.8818444609642029,6.338315415382385,4.189868557453155
18655,11.915445,455,,,
19110,34.333421,455,,,
19565,8.742043,455,,,
20020,41.922496,455,,,
20475,43.881624,455,0.9301196932792664,6.351684582233429,2.978617398440838
20930,8.69888,455,,,
21385,36.284458,455,,,
21840,11.116678,455,,,
22295,47.45403,455,0.8896534442901611,6.36396341919899,4.092800095677376
22750,10.249084,455,,,
23205,10.620037,455,,,
23660,35.042109,455,,,
24115,9.014207,455,,,
24570,31.603036,455,0.9376024007797241,6.3639945685863495,2.7590569347143172
25025,36.944976,455,,,
25480,34.443439,455,,,
25935,40.282314,455,,,
