timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-12.242137,455,,,
910,26.785851,455,,,
1365,23.564383,455,,,
1820,26.578912,455,,,
2275,-12.411549,455,,,
2730,-11.732212,455,,,
3185,-10.488527,455,,,
3640,-13.238082,455,,,
4095,-11.110004,455,0.002732515335083008,6.395355081558227,8.416060936450958
4550,-11.288247,455,,,
5005,-12.268858,455,,,
5460,21.696417,455,,,
5915,-11.94469,455,0.32835638523101807,6.40408478975296,2.599493232369423
6370,22.655291,455,,,
6825,-13.032145,455,,,
7280,31.453932,455,,,
7735,-11.433199,455,,,
8190,-13.119604,455,0.6037400960922241,6.40134614109993,3.725907030701637
8645,24.636381,455,,,
9100,27.2301,455,,,
9555,24.670032,455,,,
10010,33.276971,455,0.7185308933258057,6.410433542728424,4.064888510107994
10465,-13.535421,455,,,
10920,-12.178149,455,,,
11375,-12.973394,455,,,
11830,27.083969,455,,,
12285,-12.331163,455,0.6231229305267334,6.412933301925659,6.524841856956482
12740,-10.417476,455,,,
13195,-11.699344,455,,,
13650,-13.355845,455,,,
14105,-12.066957,455,0.8490816354751587,6.403988927602768,2.5879757910966874
14560,17.069502,455,,,
15015,33.901103,455,,,
15470,-11.450142,455,,,
15925,-13.710921,455,,,
16380,26.212598,455,0.8962422609329224,6.405610519647598,1.3364599257707597
16835,36.657146,455,,,
17290,-11.183604,455,,,
17745,-11.444078,455,,,
18200,36.370719,455,0.8313507437705994,6.4102723300457,3.8134639501571654
18655,-11.979395,455,,,
19110,30.493949,455,,,
19565,-12.281756,455,,,
20020,19.599944,455,,,
20475,28.668431,455,0.8755598068237305,6.414767664670944,3.1223576560616495
20930,-13.233754,455,,,
21385,11.320856,455,,,
21840,-12.377787,455,,,
22295,21.532412,455,0.8794134259223938,6.421625131368637,3.695697557926178
22750,-12.320548,455,,,
23205,-10.241272,455,,,
23660,30.926474,455,,,
24115,-11.147732,455,,,
24570,29.534253,455,0.9139677882194519,6.425471448898316,2.227136659622192
25025,33.283585,455,,,
25480,24.803371,455,,,
25935,19.418957,455,,,
26390,-7.175718,455,0.9129226207733154,6.426385879516602,2.5612362056970595
26845,24.619455,455,,,
27300,13.909117,455,,,
27755,33.460046,455,,,
28210,21.261861,455,,,
28665,28.673256,455,0.8783555030822754,6.429478198289871,3.492792274057865
29120,-10.504786,455,,,
29575,28.333372,455,,,
30030,-10.948374,455,,,
30485,7.596831,455,0.7987959384918213,6.4260433614254,4.095613849163056
30940,-12.393078,455,,,
31395,31.624487,455,,,
31850,18.814824,455,,,
