timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,7.126364,455,,,
910,40.061019,455,,,
1365,46.245359,455,,,
1820,37.568324,455,,,
2275,7.755613,455,,,
2730,8.225074,455,,,
3185,10.808493,455,,,
3640,9.278012,455,,,
4095,8.720327,455,0.005310952663421631,6.397172003984451,10.055074077844619
4550,10.249267,455,,,
5005,9.266184,455,,,
5460,42.015017,455,,,
5915,7.224528,455,0.27373695373535156,6.402089071273804,10.114701443910599
6370,59.769127,455,,,
6825,9.347948,455,,,
7280,48.682737,455,,,
7735,10.84933,455,,,
8190,7.996211,455,0.5982859134674072,6.394117915630341,8.15257939696312
8645,45.391706,455,,,
9100,37.866865,455,,,
9555,46.645567,455,,,
10010,46.946937,455,0.7758973836898804,6.38088014125824,5.449558281898499
10465,10.661937,455,,,
10920,11.263658,455,,,
11375,6.986446,455,,,
11830,45.61943,455,,,
12285,9.445486,455,0.6300696730613708,6.370219773054123,6.329076606035232
12740,7.51195,455,,,
13195,12.210916,455,,,
13650,8.454187,455,,,
14105,8.044682,455,0.8465960025787354,6.373271059989929,4.403796389698982
14560,28.836853,455,,,
15015,39.964621,455,,,
15470,7.046686,455,,,
15925,7.200587,455,,,
16380,34.074095,455,0.8896065354347229,6.369413751363754,3.3250951305031777
16835,31.9133,455,,,
17290,12.268112,455,,,
17745,5.979423,455,,,
18200,50.560941,455,0.8646982908248901,6.350247699022293,4.2902404308319095
18655,10.640017,455,,,
19110,46.534825,455,,,
19565,12.937178,455,,,
20020,39.295091,455,,,
20475,28.593904,455,0.9047050476074219,6.350828683376312,3.9240360796451568
20930,9.906245,455,,,
21385,35.810562,455,,,
21840,9.461349,455,,,
22295,26.488245,455,0.8534330129623413,6.3592854797840115,5.463337397575378
22750,12.408483,455,,,
23205,11.345031,455,,,
23660,58.550911,455,,,
24115,12.176771,455,,,
24570,42.972737,455,0.9134108424186707,6.360312968492508,3.46791672706604
25025,39.043883,455,,,
25480,42.020179,455,,,
25935,41.033447,455,,,
26390,11.419407,455,0.9211763143539429,6.362802046537399,3.330763393640518
26845,41.68844,455,,,
27300,35.41756,455,,,
27755,32.488868,455,,,
28210,35.534184,455,,,
28665,40.444998,455,0.8742784261703491,6.372635132074356,4.053636279702187
29120,10.305097,455,,,
29575,43.011576,455,,,
30030,8.727661,455,,,
30485,49.720203,455,0.7488897442817688,6.377826702594757,3.824521842598915
30940,14.097284,455,,,
31395,37.612721,455,,,
31850,51.270846,455,,,
32305,10.414495,455,,,
32760,14.083128,455,0.9241593480110168,6.384345883131028,3.0984665259718893
33215,51.105853,455,,,
33670,12.057367,455,,,
34125,47.411641,455,,,
34580,47.815781,455,0.9465810060501099,6.394018918275833,2.4255587458610535
35035,12.561628,455,,,
35490,13.266533,455,,,
35945,14.074931,455,,,
36400,44.803023,455,,,
36855,9.611295,455,0.9190365672111511,6.3958094120025635,3.242469181120396
37310,39.643589,455,,,
37765,11.939849,455,,,
38220,15.640481,455,,,
38675,40.937514,455,0.9667299389839172,6.399803549051285,2.06293905377388
39130,15.845718,455,,,
39585,15.14998,455,,,
40040,15.890386,455,,,
40495,27.569397,455,,,
40950,22.279711,455,0.9463124871253967,6.398187303543091,2.431753118336201
41405,17.309068,455,,,
41860,15.936548,455,,,
42315,36.591247,455,,,
42770,16.073536,455,0.9714834690093994,6.39727903008461,1.3879550293087959
43225,12.25588,455,,,
43680,18.608596,455,,,
44135,38.917468,455,,,
44590,15.548568,455,,,
45045,18.817907,455,0.9725606441497803,6.413164985179901,1.7277763143181801
45500,16.995752,455,,,
45955,36.915739,455,,,
46410,49.537701,455,,,
46865,18.329719,455,0.976802408695221,6.4240728437900545,1.5757231205701827
47320,18.688055,455,,,
47775,39.780683,455,,,
48230,18.701156,455,,,
48685,46.207697,455,,,
49140,19.910718,455,0.9510461688041687,6.424153304100036,2.1927047058939935
49595,50.570284,455,,,
50050,18.322149,455,,,
50505,19.99341,455,,,
50960,37.025688,455,0.9593393206596375,6.4271299004554745,2.228068308532238
51415,17.804244,455,,,
51870,58.745258,455,,,
52325,19.82539,455,,,
52780,22.037174,455,,,
53235,24.683832,455,0.953765869140625,6.431975370645523,2.4474011778831484
53690,49.264207,455,,,
54145,18.184654,455,,,
54600,54.330669,455,,,
55055,37.718856,455,0.9800065159797668,6.43231486082077,1.6396616458892823
55510,48.028375,455,,,
55965,19.152118,455,,,
56420,20.104522,455,,,
56875,54.461581,455,,,
57330,46.070869,455,0.9116520881652832,6.43974706530571,3.2450637251138685
57785,22.279741,455,,,
58240,41.96668,455,,,
58695,43.654194,455,,,
59150,40.105933,455,0.950188159942627,6.462951773405075,2.2486321300268175
59605,17.935581,455,,,
60060,20.508469,455,,,
60515,18.011221,455,,,
60970,15.023619,455,,,
61425,49.146978,455,0.9283530712127686,6.468444097042084,2.711572453379631
61880,48.02131,455,,,
62335,18.786627,455,,,
62790,18.463942,455,,,
63245,22.027732,455,0.9843019247055054,6.4658247590065,1.0609554685652256
63700,43.443995,455,,,
64155,22.567779,455,,,
64610,23.197317,455,,,
65065,23.211792,455,,,
65520,39.032906,455,0.9765852689743042,6.468366783857346,1.4568445041775704
65975,47.648316,455,,,
66430,23.469154,455,,,
66885,44.752876,455,,,
67340,22.038323,455,0.976712703704834,6.480442249774933,1.4207473576068879
67795,43.397359,455,,,
68250,24.497168,455,,,
68705,34.71608,455,,,
69160,46.412665,455,,,
69615,42.454563,455,0.955832839012146,6.492166328430176,2.3192827865481376
70070,22.085386,455,,,
70525,50.398594,455,,,
70980,22.1899,455,,,
71435,22.855276,455,0.9179908037185669,6.488318634033203,2.81170933842659
71890,51.061127,455,,,
72345,26.476251,455,,,
72800,44.407682,455,,,
73255,46.199856,455,,,
73710,40.64047,455,0.977658212184906,6.496821373701096,1.3254993192851543
74165,51.862907,455,,,
74620,24.472335,455,,,
75075,25.904211,455,,,
75530,31.161919,455,0.9217240214347839,6.507010871171952,2.7561026945710183
75985,41.274223,455,,,
76440,21.783558,455,,,
76895,20.533942,455,,,
77350,24.042362,455,,,
77805,44.550352,455,0.9594754576683044,6.508249950408936,2.0917650744318963
78260,31.402603,455,,,
78715,54.24953,455,,,
79170,35.895594,455,,,
79625,22.015509,455,0.9803586602210999,6.511571449041367,1.2368401490151881
80080,30.230394,455,,,
80535,28.640676,455,,,
80990,30.37671,455,,,
81445,30.279174,455,,,
81900,31.843517,455,0.9674338102340698,6.507257699966431,1.6815122738480568
82355,34.709364,455,,,
82810,51.200181,455,,,
83265,53.651189,455,,,
83720,35.465695,455,0.9951619505882263,6.507919204235077,0.4695593614131212
84175,30.052161,455,,,
84630,39.443597,455,,,
85085,57.776002,455,,,
85540,35.151278,455,,,
85995,33.421094,455,0.9670006036758423,6.5046929001808165,1.8194172389805316
86450,35.263767,455,,,
86905,51.906885,455,,,
87360,31.425991,455,,,
87815,35.230885,455,0.971648097038269,6.5060775578022,1.8257317215204238
88270,41.623465,455,,,
88725,36.138348,455,,,
89180,33.900715,455,,,
89635,33.772191,455,,,
90090,34.223426,455,0.9772019386291504,6.511720234155655,1.5651675686240196
90545,32.303352,455,,,
91000,39.884824,455,,,
91455,48.009311,455,,,
91910,28.604608,455,0.9808063507080078,6.507519280910492,1.2509826831519604
92365,34.13575,455,,,
92820,45.939952,455,,,
93275,41.216289,455,,,
93730,38.676827,455,,,
94185,39.047409,455,0.9703320264816284,6.516522181034088,1.6191671647131443
94640,51.87357,455,,,
95095,48.91653,455,,,
95550,37.943077,455,,,
96005,42.995783,455,0.9896964430809021,6.54266242980957,0.8149580448865891
96460,43.883412,455,,,
96915,49.64542,455,,,
97370,34.13956,455,,,
97825,49.908127,455,,,
98280,46.29456,455,0.9391556978225708,6.55845855474472,2.7937500193715095
98735,39.949603,455,,,
99190,39.001041,455,,,
99645,40.022253,455,,,
100100,39.199496,455,0.9415944814682007,6.580831289291382,2.1759389713406563
100555,37.889454,455,,,
101010,34.136236,455,,,
101465,42.165846,455,,,
101920,42.007725,455,,,
102375,38.303928,455,0.9876496195793152,6.600096356868744,1.1955189414322376
102830,39.142453,455,,,
103285,32.245814,455,,,
103740,50.387544,455,,,
104195,45.921944,455,0.9558000564575195,6.614118963479996,2.4618746474385262
104650,53.541057,455,,,
105105,44.256541,455,,,
105560,52.066221,455,,,
106015,42.19274,455,,,
106470,42.420531,455,0.9688713550567627,6.61334331035614,1.9629617378115654
106925,45.942418,455,,,
107380,42.913608,455,,,
107835,43.209016,455,,,
108290,40.794937,455,0.9850984811782837,6.612907117605209,1.2290829442441464
108745,51.566708,455,,,
109200,42.55856,455,,,
109655,50.555833,455,,,
110110,37.937868,455,,,
110565,42.447545,455,0.9768600463867188,6.615831393003464,1.5249761626124383
111020,44.808975,455,,,
111475,45.510216,455,,,
111930,46.108063,455,,,
112385,41.506015,455,0.9866854548454285,6.6162169277668,1.0706404775381089
112840,44.332161,455,,,
113295,37.577281,455,,,
113750,45.599519,455,,,
114205,55.235989,455,,,
114660,49.355566,455,0.991303563117981,6.618000036478042,0.8259381432086229
115115,43.240453,455,,,
115570,48.483897,455,,,
116025,44.558646,455,,,
116480,46.216639,455,0.9679663181304932,6.59556280374527,1.9566890716552734
116935,48.36806,455,,,
117390,48.253715,455,,,
117845,46.575214,455,,,
118300,44.413549,455,,,
118755,43.50992,455,0.9799329042434692,6.57669438123703,1.7238480761647224
119210,53.714243,455,,,
119665,50.47036,455,,,
120120,38.463676,455,,,
120575,52.437093,455,0.9930017590522766,6.572958618402481,0.7605492021888495
121030,57.226589,455,,,
121485,45.968304,455,,,
121940,52.498175,455,,,
122395,44.826659,455,,,
122850,47.113569,455,0.9525780081748962,6.556124860048294,2.319077676534653
123305,49.85333,455,,,
123760,48.620729,455,,,
124215,50.504105,455,,,
124670,52.313444,455,0.9500376582145691,6.547048515081405,2.3221295937895774
125125,48.107194,455,,,
125580,50.751734,455,,,
126035,46.724254,455,,,
126490,55.78442,455,,,
126945,51.146171,455,0.9914430975914001,6.5642932713031765,0.910632498934865
127400,56.250533,455,,,
127855,54.70151,455,,,
128310,53.398608,455,,,
128765,51.781105,455,0.9920071959495544,6.581403356790543,0.8966557115316391
129220,47.294352,455,,,
129675,57.658033,455,,,
130130,62.6766,455,,,
130585,67.11679,455,,,
131040,55.783084,455,0.994419276714325,6.587480163574218,0.7895388465374709
131495,55.540693,455,,,
131950,45.568718,455,,,
132405,53.974804,455,,,
132860,50.343241,455,0.9881833791732788,6.573897957801819,1.201770719885826
133315,48.163272,455,,,
133770,67.707341,455,,,
134225,65.636482,455,,,
134680,60.117865,455,,,
135135,45.424006,455,0.9508496522903442,6.56623146533966,2.2247999593615533
135590,63.00206,455,,,
136045,60.291557,455,,,
136500,58.090508,455,,,
136955,62.016532,455,0.9549909234046936,6.568150568008423,2.192684268951416
137410,58.213803,455,,,
137865,51.507854,455,,,
138320,61.492232,455,,,
138775,65.854386,455,,,
139230,64.672222,455,0.996728241443634,6.549568516016007,0.5128303024917841
139685,61.585055,455,,,
140140,62.880032,455,,,
140595,62.938519,455,,,
141050,44.182518,455,0.9907021522521973,6.534856897592545,1.1576234638690948
141505,53.460233,455,,,
141960,46.398321,455,,,
142415,64.937056,455,,,
142870,56.933036,455,,,
143325,64.885176,455,0.9885081648826599,6.5313720345497135,1.1975717857480048
143780,50.84966,455,,,
144235,63.798721,455,,,
144690,48.202178,455,,,
145145,53.691655,455,0.9823713898658752,6.535232675075531,1.4862268894910813
145600,71.647352,455,,,
146055,69.212694,455,,,
146510,34.893988,455,,,
146965,69.631282,455,,,
147420,44.497611,455,0.9684109091758728,6.529900455474854,1.9989944368600845
147875,70.623656,455,,,
148330,39.027312,455,,,
148785,49.860742,455,,,
149240,66.971043,455,0.9851462244987488,6.535417914390564,1.4655825845897197
149695,48.114315,455,,,
150150,49.731853,455,,,
150605,69.147928,455,,,
151060,51.349342,455,,,
151515,72.838424,455,0.9816661477088928,6.540493965148926,1.7785790115594864
151970,42.046247,455,,,
152425,37.33782,455,,,
152880,69.652392,455,,,
153335,67.593168,455,0.9863107800483704,6.538237398862838,1.7819456547498702
153790,74.813042,455,,,
154245,43.05007,455,,,
154700,71.653589,455,,,
155155,45.540611,455,,,
155610,73.779998,455,0.9888872504234314,6.528416419029236,1.3752723656594754
156065,75.44119,455,,,
156520,77.754662,455,,,
156975,75.235815,455,,,
157430,46.436185,455,0.9883536100387573,6.517003035545349,1.9956010356545448
157885,45.165162,455,,,
158340,78.427468,455,,,
158795,54.850667,455,,,
159250,76.863972,455,,,
159705,80.076819,455,0.9895142316818237,6.522452700138092,1.3834709748625755
160160,48.738663,455,,,
160615,78.343393,455,,,
161070,80.948883,455,,,
161525,53.405813,455,0.9927475452423096,6.549400353431702,1.1114611573517323
161980,44.291088,455,,,
162435,83.160252,455,,,
162890,82.619927,455,,,
163345,52.139679,455,,,
163800,49.711907,455,0.9868175387382507,6.56657874584198,1.704770529270172
164255,85.486032,455,,,
164710,84.709739,455,,,
165165,40.688506,455,,,
165620,45.779146,455,0.9876240491867065,6.5665517210960385,1.7802257299423219
166075,49.050219,455,,,
166530,56.026418,455,,,
166985,89.209267,455,,,
167440,58.079231,455,,,
167895,84.329078,455,0.9854756593704224,6.561786252260208,1.7296865671873092
168350,50.751847,455,,,
168805,68.290455,455,,,
169260,42.577061,455,,,
169715,57.432366,455,0.9878110885620117,6.5498885869979855,1.5568099930882453
170170,79.836495,455,,,
170625,79.758273,455,,,
171080,76.52129,455,,,
171535,54.946688,455,,,
171990,48.93893,455,0.9382836222648621,6.543946433067322,2.053483156859875
172445,83.637286,455,,,
172900,48.083337,455,,,
173355,47.347112,455,,,
173810,57.22514,455,0.9925538301467896,6.547954505681991,1.5717355862259865
174265,77.861612,455,,,
174720,41.016801,455,,,
175175,77.855212,455,,,
175630,74.978275,455,,,
176085,62.660867,455,0.9823803305625916,6.5516218602657315,1.6630195826292038
176540,53.877493,455,,,
176995,83.44927,455,,,
177450,81.479201,455,,,
177905,80.584099,455,0.989232063293457,6.542718756198883,1.5735263898968697
178360,88.258035,455,,,
178815,87.653721,455,,,
179270,87.144998,455,,,
179725,92.560722,455,,,
180180,49.705019,455,0.9959090948104858,6.540967482328415,0.8559191599488258
180635,91.593116,455,,,
181090,46.848863,455,,,
181545,55.947798,455,,,
182000,55.887803,455,0.9941417574882507,6.5462423145771025,1.5158143319189548
182455,46.592484,455,,,
182910,86.936956,455,,,
183365,51.37469,455,,,
183820,36.050408,455,,,
184275,41.233478,455,0.9721725583076477,6.547165089845658,2.0669039726257323
184730,86.848476,455,,,
185185,50.230494,455,,,
185640,88.079716,455,,,
186095,45.901592,455,0.9715474247932434,6.55184451341629,1.9470308765769004
186550,89.267258,455,,,
187005,91.797256,455,,,
187460,87.466337,455,,,
187915,89.905409,455,,,
188370,85.9171,455,0.991473913192749,6.551481872797012,1.327974096685648
188825,90.553846,455,,,
189280,89.683596,455,,,
189735,94.619504,455,,,
190190,94.773532,455,0.9973873496055603,6.540038859844207,0.8623435292392969
190645,91.089671,455,,,
191100,53.040307,455,,,
191555,90.387728,455,,,
192010,56.402816,455,,,
192465,86.49929,455,0.9969922304153442,6.520185446739196,0.7203369073569774
192920,39.39614,455,,,
193375,88.963453,455,,,
193830,93.539365,455,,,
194285,92.41042,455,0.9909029603004456,6.519069218635559,1.4652063727378846
194740,91.048092,455,,,
195195,59.95276,455,,,
195650,89.480963,455,,,
196105,46.81626,455,,,
196560,96.509142,455,0.995129406452179,6.525261563062668,1.0724409617483617
197015,96.725412,455,,,
197470,95.138019,455,,,
197925,92.53253,455,,,
198380,96.051861,455,0.9924690127372742,6.538252365589142,1.7415428832173347
198835,49.862228,455,,,
