timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,5.763498,455,,,
910,34.550393,455,,,
1365,46.36282,455,,,
1820,31.056161,455,,,
2275,6.631847,455,,,
2730,5.054383,455,,,
3185,3.849738,455,,,
3640,6.092215,455,,,
4095,3.833115,455,0.005255341529846191,6.38713161945343,9.6471677005291
4550,3.89573,455,,,
5005,5.512689,455,,,
5460,48.394634,455,,,
5915,5.268417,455,0.22565317153930664,6.375196862220764,4.907841515541077
6370,39.609517,455,,,
6825,8.338549,455,,,
7280,44.476083,455,,,
7735,4.968288,455,,,
8190,7.031957,455,0.5779974460601807,6.390392327308655,5.0463492333889
8645,34.986091,455,,,
9100,44.889574,455,,,
9555,38.509948,455,,,
10010,37.351121,455,0.6938754320144653,6.412280094623566,5.9615119874477385
10465,6.177893,455,,,
10920,3.84526,455,,,
11375,3.664057,455,,,
11830,42.074973,455,,,
12285,5.886513,455,0.5639843344688416,6.413512593507766,6.611278557777405
12740,4.980646,455,,,
13195,4.482396,455,,,
13650,3.911196,455,,,
14105,4.743031,455,0.8469471335411072,6.4078924596309665,2.653068223595619
14560,40.889596,455,,,
15015,25.512982,455,,,
15470,5.62407,455,,,
15925,4.392128,455,,,
16380,25.58147,455,0.9260496497154236,6.4173325300216675,1.1081773586571217
16835,43.682372,455,,,
17290,3.555074,455,,,
17745,2.294926,455,,,
18200,31.665784,455,0.8292208909988403,6.42641881108284,4.1629107147455215
18655,4.061623,455,,,
19110,44.333638,455,,,
19565,4.818224,455,,,
20020,40.716078,455,,,
20475,20.820662,455,0.9062966108322144,6.427930599451065,2.8966247901320457
20930,5.59699,455,,,
21385,40.451542,455,,,
21840,3.639216,455,,,
22295,36.277351,455,0.8716622591018677,6.435283231735229,3.680359420180321
22750,7.449222,455,,,
23205,5.976422,455,,,
23660,54.563918,455,,,
24115,6.366404,455,,,
24570,28.598731,455,0.9239909052848816,6.4512746930122375,2.604913394153118
25025,47.421341,455,,,
25480,47.492197,455,,,
25935,38.615776,455,,,
26390,5.584871,455,0.9295927286148071,6.470668637752533,2.5853747382760046
26845,45.064446,455,,,
27300,45.303864,455,,,
27755,42.258327,455,,,
28210,33.59246,455,,,
28665,44.788767,455,0.8876128196716309,6.478179866075516,3.2879206761717796
29120,3.387581,455,,,
29575,49.390776,455,,,
30030,3.771792,455,,,
30485,31.127471,455,0.8137238025665283,6.477513873577118,4.189591780304909
30940,6.590085,455,,,
31395,47.662271,455,,,
31850,46.841438,455,,,
32305,6.432944,455,,,
32760,3.452041,455,0.9488879442214966,6.482358402013778,2.1704292386770248
33215,38.933705,455,,,
33670,6.637731,455,,,
34125,34.159263,455,,,
34580,41.551265,455,0.9523933529853821,6.483940994739532,2.225385624170303
35035,8.479571,455,,,
35490,6.257479,455,,,
35945,7.532699,455,,,
36400,41.356999,455,,,
36855,8.129971,455,0.9222619533538818,6.474411445856094,3.548508642613888
37310,33.724816,455,,,
37765,7.273204,455,,,
38220,5.649619,455,,,
38675,41.096298,455,0.9739540815353394,6.481595224142074,1.228609061986208
39130,8.359471,455,,,
39585,6.034882,455,,,
40040,6.406961,455,,,
40495,35.261911,455,,,
40950,9.497308,455,0.9563265442848206,6.4861091613769535,2.0263078436255455
41405,9.225316,455,,,
41860,7.361639,455,,,
42315,44.509501,455,,,
42770,8.770939,455,0.9715631008148193,6.498353058099747,1.1998659417033195
43225,11.344225,455,,,
43680,9.147839,455,,,
44135,38.185338,455,,,
44590,8.230793,455,,,
45045,9.582979,455,0.9715980291366577,6.5123238384723665,1.3160823591053485
45500,11.248176,455,,,
45955,44.268861,455,,,
46410,33.472979,455,,,
46865,10.60816,455,0.9751346111297607,6.520443004369736,1.1328375607728958
47320,10.447542,455,,,
47775,40.56041,455,,,
48230,12.369081,455,,,
48685,34.89271,455,,,
49140,11.834207,455,0.949901282787323,6.517422860860824,2.0408296287059784
49595,45.609224,455,,,
50050,9.098714,455,,,
50505,9.904312,455,,,
50960,29.690552,455,0.9466588497161865,6.519338005781174,2.0712474063038826
51415,13.584769,455,,,
51870,29.952438,455,,,
52325,13.283243,455,,,
52780,13.025135,455,,,
53235,14.562152,455,0.9557498693466187,6.511134845018387,1.699564428627491
53690,45.376628,455,,,
54145,13.631896,455,,,
54600,33.343698,455,,,
55055,44.561453,455,0.9770951867103577,6.508824855089188,1.0202973909676074
55510,30.404098,455,,,
55965,10.457915,455,,,
56420,13.010747,455,,,
56875,40.09156,455,,,
57330,38.238184,455,0.9094442129135132,6.509821754693985,2.530158717930317
57785,14.481935,455,,,
58240,46.306301,455,,,
58695,38.458779,455,,,
59150,46.638122,455,0.9421352744102478,6.513336628675461,2.1928023412823676
59605,12.941049,455,,,
60060,13.345667,455,,,
60515,12.947824,455,,,
60970,13.782398,455,,,
61425,34.829243,455,0.932077169418335,6.512168085575103,2.441072332859039
61880,25.394876,455,,,
62335,12.834205,455,,,
62790,12.957669,455,,,
63245,13.967444,455,0.9762517213821411,6.501375091075897,1.0019486181437969
63700,36.653307,455,,,
64155,18.073108,455,,,
64610,16.011499,455,,,
65065,14.754305,455,,,
65520,31.921551,455,0.9732328653335571,6.492180860042572,1.0228441923856735
65975,49.103146,455,,,
66430,17.557394,455,,,
66885,33.662339,455,,,
67340,12.392533,455,0.9693990349769592,6.495449191331863,1.3347054190933705
67795,52.908003,455,,,
68250,18.288134,455,,,
68705,42.168583,455,,,
69160,39.053414,455,,,
69615,43.872929,455,0.945055365562439,6.501245361566544,1.852745532989502
70070,17.756521,455,,,
70525,44.178597,455,,,
70980,20.274357,455,,,
71435,18.64819,455,0.9304817318916321,6.497045469284058,2.255765677988529
71890,42.927347,455,,,
72345,18.916185,455,,,
72800,41.754716,455,,,
73255,32.315064,455,,,
73710,46.238649,455,0.9761365652084351,6.496409565210342,1.761390932649374
74165,32.193596,455,,,
74620,16.103679,455,,,
75075,17.583813,455,,,
75530,43.713999,455,0.9172834157943726,6.492466902732849,2.862578569352627
75985,33.221146,455,,,
76440,16.076478,455,,,
76895,16.732393,455,,,
77350,20.828617,455,,,
77805,36.222681,455,0.9590374827384949,6.480938118696213,1.57416255697608
78260,21.589381,455,,,
78715,34.42532,455,,,
79170,32.378164,455,,,
79625,20.37795,455,0.9729030132293701,6.463543045520782,1.1613141387701034
80080,20.552286,455,,,
80535,23.24337,455,,,
80990,18.323148,455,,,
81445,18.731894,455,,,
81900,21.112283,455,0.9657875895500183,6.453254318237304,1.624141900986433
82355,24.342149,455,,,
82810,43.05989,455,,,
83265,34.206327,455,,,
83720,22.878946,455,0.9945836067199707,6.446141248941421,0.30669875368475913
84175,24.225995,455,,,
84630,46.123107,455,,,
85085,34.83484,455,,,
85540,23.274191,455,,,
85995,23.747362,455,0.965612530708313,6.443340432643891,1.5696663059294225
86450,24.781105,455,,,
86905,37.827083,455,,,
87360,24.746578,455,,,
87815,23.342561,455,0.9686523079872131,6.4358584642410275,1.3909422233700752
88270,42.173781,455,,,
88725,23.715926,455,,,
89180,21.37671,455,,,
89635,44.180954,455,,,
90090,24.097816,455,0.9767667055130005,6.429660069942474,1.0909529156982898
90545,25.222533,455,,,
91000,23.915988,455,,,
91455,43.058735,455,,,
91910,43.378085,455,0.9717943668365479,6.426336401700974,1.3349927552044392
92365,25.408162,455,,,
92820,50.170914,455,,,
93275,25.549826,455,,,
93730,24.023505,455,,,
94185,25.865364,455,0.9700610041618347,6.410541033744812,1.2911911882460116
94640,35.932827,455,,,
95095,43.648073,455,,,
95550,26.339484,455,,,
96005,41.263265,455,0.9844201803207397,6.403160566091538,0.9071540113538503
96460,51.90158,455,,,
96915,41.611515,455,,,
97370,24.725112,455,,,
97825,46.6164,455,,,
98280,42.245095,455,0.930915117263794,6.396993976831436,2.4009956985712053
98735,28.645247,455,,,
99190,36.393447,455,,,
99645,25.825414,455,,,
100100,25.866023,455,0.935178279876709,6.403259414434433,2.27778497338295
100555,25.67765,455,,,
101010,49.328691,455,,,
101465,41.472995,455,,,
101920,45.562334,455,,,
102375,25.545284,455,0.9858077764511108,6.421642184257507,0.8068698842078448
102830,29.296107,455,,,
103285,51.229304,455,,,
103740,28.307167,455,,,
104195,27.005752,455,0.9536300897598267,6.429346299171447,2.03121502995491
104650,44.554084,455,,,
105105,26.792531,455,,,
105560,38.166296,455,,,
106015,31.644861,455,,,
106470,28.04789,455,0.9467074275016785,6.425418710708618,2.0589090406894686
106925,47.263224,455,,,
107380,29.701879,455,,,
107835,47.534606,455,,,
108290,25.338315,455,0.9734506607055664,6.426091873645783,1.2000344485044478
108745,48.16251,455,,,
109200,30.869517,455,,,
109655,56.225704,455,,,
110110,29.930194,455,,,
110565,27.666357,455,0.9582836031913757,6.433636730909347,1.5566399291157722
111020,38.205833,455,,,
111475,26.852807,455,,,
111930,29.439604,455,,,
112385,29.878816,455,0.9723778963088989,6.439339262247086,1.3732446491718293
112840,29.581647,455,,,
113295,43.804195,455,,,
113750,27.098938,455,,,
114205,34.577547,455,,,
114660,34.395393,455,0.987226128578186,6.439918971061706,0.7347666442394256
115115,30.365127,455,,,
115570,33.228739,455,,,
116025,38.840499,455,,,
116480,42.687863,455,0.9509344696998596,6.43359614610672,1.7894151657819748
116935,28.437442,455,,,
117390,42.04377,455,,,
117845,29.008433,455,,,
118300,31.298971,455,,,
118755,28.981423,455,0.9684033989906311,6.440312713384628,1.2874089010059833
119210,53.056507,455,,,
119665,33.695685,455,,,
120120,51.018018,455,,,
120575,57.11869,455,0.9860568046569824,6.454787230491638,0.8266795743256807
121030,38.536178,455,,,
121485,34.482277,455,,,
121940,41.797124,455,,,
122395,46.800624,455,,,
122850,52.575314,455,0.9192479848861694,6.462931615114212,2.4087212279438974
123305,34.544556,455,,,
123760,34.607424,455,,,
124215,53.630229,455,,,
124670,31.620408,455,0.9323318600654602,6.455919951200485,2.6224398225545884
125125,34.974213,455,,,
125580,35.770431,455,,,
126035,31.845904,455,,,
126490,40.632964,455,,,
126945,33.357809,455,0.9849274754524231,6.458014714717865,0.8446888267993927
127400,38.301563,455,,,
127855,36.143525,455,,,
128310,37.580864,455,,,
128765,36.266648,455,0.9841188192367554,6.462049198150635,0.9078915245831013
129220,33.661192,455,,,
129675,37.797666,455,,,
130130,36.06383,455,,,
130585,42.06645,455,,,
131040,36.914622,455,0.9929150342941284,6.458975315093994,0.5375283658504486
131495,40.387819,455,,,
131950,33.299801,455,,,
132405,32.286801,455,,,
132860,46.760908,455,0.976468563079834,6.46515662074089,1.272053700685501
133315,44.519026,455,,,
133770,48.073211,455,,,
134225,54.104543,455,,,
134680,37.463318,455,,,
135135,42.307755,455,0.9380610585212708,6.456207400560379,2.0657280564308165
135590,38.048114,455,,,
136045,37.105063,455,,,
136500,39.959179,455,,,
136955,37.661939,455,0.9382290840148926,6.448285460472107,2.4867890402674675
137410,40.792814,455,,,
137865,45.121589,455,,,
138320,39.804951,455,,,
138775,39.077796,455,,,
139230,42.062841,455,0.9968993067741394,6.451512229442597,0.2557766500860453
139685,42.259497,455,,,
140140,44.107254,455,,,
140595,42.65792,455,,,
141050,45.458587,455,0.9885969758033752,6.448197090625763,0.7914569489657879
141505,47.596974,455,,,
141960,46.217546,455,,,
142415,42.393024,455,,,
142870,45.490896,455,,,
143325,43.884079,455,0.9836284518241882,6.422994697093964,1.0861415706574917
143780,46.408905,455,,,
144235,45.546502,455,,,
144690,39.628191,455,,,
145145,52.465856,455,0.9632404446601868,6.422550719976425,1.8917731374502182
145600,44.679259,455,,,
146055,45.491208,455,,,
146510,46.095633,455,,,
146965,45.846456,455,,,
147420,46.055704,455,0.9491114020347595,6.4421754539012905,2.063824585080147
147875,44.497623,455,,,
148330,51.554997,455,,,
148785,40.869633,455,,,
149240,45.426629,455,0.975950300693512,6.441684675216675,1.3804636277258395
149695,49.738505,455,,,
150150,41.289986,455,,,
150605,47.365527,455,,,
151060,41.16681,455,,,
151515,50.419964,455,0.9708518981933594,6.439238357543945,1.5383502565324307
151970,50.254865,455,,,
152425,58.50762,455,,,
152880,48.539631,455,,,
153335,49.392655,455,0.969245970249176,6.454240298271179,1.7488147392868996
153790,44.709559,455,,,
154245,45.794293,455,,,
154700,47.882288,455,,,
155155,41.368695,455,,,
155610,49.525357,455,0.9662916660308838,6.460567146539688,1.5834915906190872
156065,46.256117,455,,,
156520,48.720709,455,,,
156975,47.55274,455,,,
157430,37.426021,455,0.9747087359428406,6.456097555160523,1.4511768408119678
157885,43.007009,455,,,
158340,50.295989,455,,,
158795,46.026268,455,,,
159250,48.336445,455,,,
159705,47.75434,455,0.9833921790122986,6.448759281635285,1.271200519055128
160160,37.459319,455,,,
160615,47.364136,455,,,
161070,49.063792,455,,,
161525,42.103407,455,0.9814673662185669,6.4519301652908325,1.3177427604794503
161980,55.114437,455,,,
162435,54.036717,455,,,
162890,49.22456,455,,,
163345,43.476337,455,,,
163800,41.44691,455,0.9733247756958008,6.463044363260269,1.5643483065068722
164255,55.889977,455,,,
164710,53.799722,455,,,
165165,48.67356,455,,,
165620,43.866843,455,0.9677568078041077,6.4757587790489195,2.0923694908618926
166075,42.171411,455,,,
166530,48.247935,455,,,
166985,52.008138,455,,,
167440,50.891855,455,,,
167895,50.020259,455,0.970187783241272,6.4902380287647246,1.719915083050728
168350,39.990649,455,,,
168805,43.181652,455,,,
169260,57.220482,455,,,
169715,48.101253,455,0.9740858674049377,6.499305486679077,1.5936679989099503
170170,51.203218,455,,,
170625,57.551753,455,,,
171080,55.373742,455,,,
171535,36.228668,455,,,
171990,40.333119,455,0.911193311214447,6.512364012002945,2.626770243048668
172445,48.823281,455,,,
172900,58.320293,455,,,
173355,37.339834,455,,,
173810,38.51464,455,0.9794292449951172,6.507550060749054,1.4343065455555917
174265,52.807799,455,,,
174720,36.430003,455,,,
175175,54.111246,455,,,
175630,52.581895,455,,,
176085,45.771426,455,0.9526945352554321,6.500486409664154,2.14167350679636
176540,34.533116,455,,,
176995,53.225814,455,,,
177450,51.254279,455,,,
177905,51.214071,455,0.9758235812187195,6.490570169687271,1.4817725822329522
178360,55.973726,455,,,
178815,55.775383,455,,,
179270,57.195946,455,,,
179725,59.096161,455,,,
180180,45.788604,455,0.9904161095619202,6.484391444921494,0.7211743734776974
180635,57.751842,455,,,
181090,32.518337,455,,,
181545,41.713858,455,,,
182000,51.975049,455,0.9906821250915527,6.493082451820373,0.79431236051023
182455,53.29384,455,,,
182910,55.791597,455,,,
183365,41.883014,455,,,
183820,42.625549,455,,,
184275,25.392509,455,0.9435729384422302,6.500660765171051,2.706277388334274
184730,59.991605,455,,,
185185,48.167537,455,,,
185640,58.691169,455,,,
186095,41.566018,455,0.9407679438591003,6.499339228868484,2.4281681299209597
186550,58.867981,455,,,
187005,63.318644,455,,,
187460,59.34876,455,,,
187915,58.446831,455,,,
188370,62.901441,455,0.974649965763092,6.495921510457992,1.5300711922347545
188825,61.218889,455,,,
189280,62.331152,455,,,
189735,58.791987,455,,,
190190,58.372625,455,0.9972008466720581,6.509493631124497,0.40903186108917
190645,58.987246,455,,,
191100,44.002873,455,,,
191555,66.578825,455,,,
192010,42.037695,455,,,
192465,65.703021,455,0.9981819987297058,6.49739573597908,0.33662966582924125
192920,34.011997,455,,,
193375,60.132237,455,,,
193830,62.921148,455,,,
194285,61.119551,455,0.9775688648223877,6.484775942564011,1.4750233232975005
194740,54.128322,455,,,
195195,26.052091,455,,,
195650,49.53991,455,,,
196105,24.536028,455,,,
196560,50.392866,455,0.9902645945549011,6.5061979472637175,0.7769251007586717
197015,49.709329,455,,,
197470,53.993822,455,,,
197925,52.371339,455,,,
198380,50.882759,455,0.9641599655151367,6.518239665031433,2.1994050100445746
198835,33.339496,455,,,
199290,30.696074,455,,,
199745,43.398973,455,,,
200200,51.282161,455,,,
200655,51.626507,455,0.9895423054695129,6.5264558553695675,0.922517966479063
