timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,9.612901,139,,,
278,12.992408,139,,,
417,15.30513,139,,,
556,1.815248,139,,,
695,12.705848,139,,,
834,12.920962,139,,,
973,27.218645,139,,,
1112,13.973056,139,,,
1251,13.171905,139,,,
1390,17.129053,139,,,
1529,19.219913,139,,,
1668,14.338902,139,,,
1807,16.186434,139,,,
1946,10.866265,139,,,
2085,13.391198,139,,,
2224,8.594894,139,,,
2363,7.343602,139,,,
2502,13.050281,139,,,
2641,25.886389,139,,,
2780,27.033955,139,,,
2919,16.638894,139,,,
3058,23.470379,139,,,
3197,22.898112,139,,,
3336,13.509959,139,,,
3475,14.49055,139,,,
3614,3.72913,139,,,
3753,13.525768,139,,,
3892,12.969211,139,,,
4031,17.345443,139,0.001109778881072998,3.4711533814668654,11.041562497615814
4170,7.444927,139,,,
4309,7.305293,139,,,
4448,11.467155,139,,,
4587,12.81502,139,,,
4726,24.52697,139,,,
4865,10.083023,139,,,
5004,17.82542,139,,,
5143,15.825931,139,,,
5282,12.823535,139,,,
5421,22.997282,139,,,
5560,14.77106,139,,,
5699,9.977234,139,,,
5838,8.769237,139,,,
5977,12.154076,139,,,
6116,12.12965,139,0.18761420249938965,3.462754762172699,10.261057817935944
6255,13.305376,139,,,
6394,22.970424,139,,,
6533,22.244271,139,,,
6672,21.39589,139,,,
6811,9.117863,139,,,
6950,13.654649,139,,,
7089,11.065816,139,,,
7228,17.263637,139,,,
7367,17.916212,139,,,
7506,18.558291,139,,,
7645,24.85522,139,,,
7784,21.994978,139,,,
7923,15.442072,139,,,
8062,19.682013,139,0.5204727649688721,3.4677501410245894,7.655576121807099
8201,19.634051,139,,,
8340,8.421776,139,,,
8479,17.100839,139,,,
8618,15.748584,139,,,
8757,14.227086,139,,,
8896,17.280403,139,,,
9035,15.099829,139,,,
9174,17.102933,139,,,
9313,10.218735,139,,,
9452,9.192373,139,,,
9591,22.80154,139,,,
9730,9.139464,139,,,
9869,19.162678,139,,,
10008,10.909556,139,,,
10147,16.204314,139,0.6984020471572876,3.4729301899671556,7.074592864513397
10286,17.815869,139,,,
10425,17.274581,139,,,
10564,19.695599,139,,,
10703,9.634354,139,,,
10842,15.933965,139,,,
10981,18.589891,139,,,
11120,8.264657,139,,,
11259,8.724152,139,,,
11398,17.838188,139,,,
11537,18.808812,139,,,
11676,16.491533,139,,,
11815,5.658376,139,,,
11954,13.303215,139,,,
12093,13.844944,139,,,
12232,12.443799,139,0.7815684676170349,3.482167422771454,5.389240264892578
12371,15.518506,139,,,
12510,8.276313,139,,,
12649,12.491701,139,,,
12788,13.665165,139,,,
12927,16.076185,139,,,
13066,14.600434,139,,,
13205,16.014512,139,,,
13344,18.085611,139,,,
13483,18.410239,139,,,
13622,10.963233,139,,,
13761,11.651175,139,,,
13900,21.911961,139,,,
14039,13.921622,139,,,
14178,23.537054,139,,,
14317,12.279922,139,0.7965222597122192,3.491929769515991,5.42887756228447
14456,18.420253,139,,,
14595,15.517608,139,,,
14734,11.9716,139,,,
14873,17.875605,139,,,
15012,17.769379,139,,,
15151,9.94939,139,,,
15290,21.909908,139,,,
15429,26.126297,139,,,
15568,25.988313,139,,,
15707,19.224692,139,,,
15846,2.921924,139,,,
15985,14.312812,139,,,
16124,14.124769,139,,,
16263,20.117094,139,0.8054051995277405,3.4945426523685454,4.6404556095600125
16402,15.189554,139,,,
16541,15.746651,139,,,
16680,18.564421,139,,,
16819,20.046279,139,,,
16958,13.243082,139,,,
17097,10.712355,139,,,
17236,15.747395,139,,,
17375,17.236343,139,,,
17514,15.023301,139,,,
17653,12.358939,139,,,
17792,18.66734,139,,,
17931,28.258926,139,,,
18070,19.074984,139,,,
18209,16.496094,139,,,
18348,20.096968,139,0.8285801410675049,3.4952394306659698,4.622789543867111
18487,14.144889,139,,,
18626,13.970395,139,,,
18765,10.950132,139,,,
18904,14.054049,139,,,
19043,17.125364,139,,,
19182,22.153009,139,,,
19321,40.768901,139,,,
19460,14.390975,139,,,
19599,19.399089,139,,,
19738,15.653835,139,,,
19877,22.203574,139,,,
20016,21.368258,139,,,
20155,6.268958,139,,,
20294,23.707951,139,,,
20433,18.682384,139,0.8438969254493713,3.4918082147836684,3.9709998071193695
20572,18.641044,139,,,
20711,6.783019,139,,,
20850,14.345068,139,,,
20989,21.212353,139,,,
21128,14.659058,139,,,
21267,9.526298,139,,,
21406,16.838026,139,,,
21545,17.62805,139,,,
21684,7.959076,139,,,
21823,7.036868,139,,,
21962,24.317322,139,,,
22101,25.149013,139,,,
22240,12.782907,139,,,
22379,21.150599,139,,,
22518,8.042065,139,0.8461565971374512,3.4966993808746336,4.486587959527969
22657,19.288132,139,,,
22796,11.4956,139,,,
22935,6.897423,139,,,
23074,20.251126,139,,,
23213,3.647252,139,,,
23352,17.893004,139,,,
23491,14.011342,139,,,
23630,20.906169,139,,,
23769,11.722759,139,,,
23908,24.388025,139,,,
24047,23.000047,139,,,
24186,17.377564,139,,,
24325,18.487288,139,,,
24464,17.721811,139,0.8688768148422241,3.5085391283035277,3.916498935222626
24603,23.456647,139,,,
24742,17.996197,139,,,
24881,20.246158,139,,,
25020,16.39635,139,,,
25159,20.970183,139,,,
25298,22.060717,139,,,
25437,24.318334,139,,,
25576,22.107861,139,,,
25715,16.815937,139,,,
25854,16.546553,139,,,
25993,15.785558,139,,,
26132,18.894178,139,,,
26271,14.665185,139,,,
26410,18.246194,139,,,
26549,13.71908,139,0.8722352981567383,3.5150428831577303,4.131151410937309
26688,16.300712,139,,,
26827,21.82268,139,,,
26966,12.967006,139,,,
27105,19.725492,139,,,
27244,22.27157,139,,,
27383,15.953896,139,,,
27522,9.581481,139,,,
27661,18.085358,139,,,
27800,12.723447,139,,,
27939,20.166241,139,,,
28078,26.85307,139,,,
28217,16.851433,139,,,
28356,19.522528,139,,,
28495,16.44561,139,,,
28634,17.018874,139,0.8894743919372559,3.518515995144844,3.6680806666612624
28773,19.320564,139,,,
28912,19.310306,139,,,
29051,25.211739,139,,,
29190,19.786727,139,,,
29329,16.747557,139,,,
29468,14.861618,139,,,
29607,18.626866,139,,,
29746,20.130878,139,,,
29885,24.286822,139,,,
30024,22.745169,139,,,
30163,24.168472,139,,,
30302,15.887272,139,,,
30441,9.958863,139,,,
30580,26.29534,139,,,
30719,14.547725,139,0.8889251351356506,3.5165297597646714,3.920422539114952
30858,23.09551,139,,,
30997,24.604868,139,,,
31136,11.349547,139,,,
31275,20.8678,139,,,
31414,17.480461,139,,,
31553,18.748427,139,,,
31692,17.867371,139,,,
31831,31.784929,139,,,
31970,22.530455,139,,,
32109,25.508387,139,,,
32248,32.210883,139,,,
32387,18.484497,139,,,
32526,19.503967,139,,,
32665,22.134598,139,0.9018859267234802,3.5171224772930145,3.5624542474746703
32804,12.630067,139,,,
32943,16.268677,139,,,
33082,17.911651,139,,,
33221,34.854115,139,,,
33360,26.435795,139,,,
33499,18.484288,139,,,
33638,22.7539,139,,,
33777,10.07402,139,,,
33916,15.152769,139,,,
34055,23.609971,139,,,
34194,22.08997,139,,,
34333,20.637491,139,,,
34472,28.696512,139,,,
34611,13.450083,139,,,
34750,21.744933,139,0.9056451320648193,3.5213438004255293,3.576923480629921
34889,18.050082,139,,,
35028,9.262025,139,,,
35167,17.35926,139,,,
35306,18.423926,139,,,
35445,17.513621,139,,,
35584,26.82922,139,,,
35723,18.025742,139,,,
35862,19.114779,139,,,
36001,19.01472,139,,,
36140,26.797719,139,,,
36279,21.375249,139,,,
36418,8.893581,139,,,
36557,22.087214,139,,,
36696,19.253401,139,,,
36835,22.563141,139,0.9051116704940796,3.5238182693719864,3.641924890875816
36974,31.267081,139,,,
37113,26.809337,139,,,
37252,26.393445,139,,,
37391,25.138767,139,,,
37530,17.04782,139,,,
37669,20.224715,139,,,
37808,18.99241,139,,,
37947,28.446543,139,,,
38086,35.076965,139,,,
38225,20.171352,139,,,
38364,21.576543,139,,,
38503,15.537104,139,,,
38642,29.459176,139,,,
38781,27.239088,139,0.9068906903266907,3.5364270746707915,3.5011098742485047
38920,23.760281,139,,,
39059,23.484872,139,,,
39198,18.267682,139,,,
39337,17.44416,139,,,
39476,25.200313,139,,,
39615,20.939196,139,,,
39754,25.910935,139,,,
39893,11.599279,139,,,
40032,21.523093,139,,,
40171,20.910627,139,,,
40310,21.706405,139,,,
40449,22.27244,139,,,
40588,20.031636,139,,,
40727,26.064265,139,,,
40866,25.373409,139,0.8966041207313538,3.5464096695184706,3.6347049951553343
41005,19.625406,139,,,
41144,26.311071,139,,,
41283,24.694867,139,,,
41422,16.94615,139,,,
41561,31.882651,139,,,
41700,26.82107,139,,,
41839,20.677912,139,,,
41978,19.245314,139,,,
42117,21.325718,139,,,
42256,21.024374,139,,,
42395,25.05121,139,,,
42534,22.836156,139,,,
42673,23.209976,139,,,
42812,27.436998,139,,,
42951,31.180559,139,0.8948273658752441,3.547970342636108,3.831884500384331
43090,21.673131,139,,,
43229,22.592696,139,,,
43368,30.754305,139,,,
43507,20.964653,139,,,
43646,20.985498,139,,,
43785,19.013547,139,,,
43924,9.99643,139,,,
44063,12.683616,139,,,
44202,29.747844,139,,,
44341,23.386554,139,,,
44480,30.599715,139,,,
44619,18.94322,139,,,
44758,22.997572,139,,,
44897,24.446316,139,,,
45036,25.943686,139,0.9082221388816833,3.549886006116867,3.5933271646499634
45175,38.172367,139,,,
45314,23.940919,139,,,
45453,25.252357,139,,,
45592,17.535471,139,,,
45731,18.81634,139,,,
45870,27.181189,139,,,
46009,24.211285,139,,,
46148,19.134115,139,,,
46287,28.014595,139,,,
46426,20.47616,139,,,
46565,20.511028,139,,,
46704,26.784694,139,,,
46843,12.53666,139,,,
46982,20.528213,139,0.9135273098945618,3.5541717559099197,3.7070324599742888
47121,21.087395,139,,,
47260,25.847989,139,,,
47399,26.648578,139,,,
47538,17.483075,139,,,
47677,25.937871,139,,,
47816,27.763599,139,,,
47955,23.851058,139,,,
48094,22.002629,139,,,
48233,20.303306,139,,,
48372,14.876254,139,,,
48511,24.77208,139,,,
48650,20.800561,139,,,
48789,20.526763,139,,,
48928,14.759869,139,,,
49067,21.271119,139,0.915248692035675,3.5633559703826903,3.7244708448648454
49206,27.663668,139,,,
49345,20.535772,139,,,
49484,26.830696,139,,,
49623,11.543264,139,,,
49762,29.344365,139,,,
49901,21.294045,139,,,
50040,21.589211,139,,,
50179,29.455601,139,,,
50318,19.817813,139,,,
50457,21.569144,139,,,
50596,27.338647,139,,,
50735,27.095464,139,,,
50874,9.549633,139,,,
51013,32.679596,139,,,
51152,25.11419,139,0.9243553876876831,3.5823151230812074,3.589526242017746
51291,19.624813,139,,,
51430,23.265793,139,,,
51569,24.215129,139,,,
51708,19.076053,139,,,
51847,29.164975,139,,,
51986,32.456316,139,,,
52125,23.06858,139,,,
52264,28.46842,139,,,
52403,28.238754,139,,,
52542,30.766157,139,,,
52681,21.366455,139,,,
52820,35.271116,139,,,
52959,32.877856,139,,,
53098,33.714662,139,,,
53237,31.949039,139,0.904187023639679,3.600632718205452,3.696974462270737
53376,19.135949,139,,,
53515,25.584219,139,,,
53654,21.406652,139,,,
53793,23.353729,139,,,
53932,32.05289,139,,,
54071,24.692373,139,,,
54210,20.984914,139,,,
54349,27.214636,139,,,
54488,23.242752,139,,,
54627,24.486585,139,,,
54766,18.729808,139,,,
54905,19.557197,139,,,
55044,25.047092,139,,,
55183,19.029994,139,0.9122587442398071,3.615033507347107,3.388850137591362
55322,24.363247,139,,,
55461,15.494511,139,,,
55600,24.066323,139,,,
55739,19.56944,139,,,
55878,16.307117,139,,,
56017,26.676767,139,,,
56156,19.211765,139,,,
56295,24.615743,139,,,
56434,22.997286,139,,,
56573,16.570701,139,,,
56712,22.29954,139,,,
56851,20.519852,139,,,
56990,15.82198,139,,,
57129,18.373187,139,,,
57268,12.774101,139,0.925054132938385,3.619335800409317,2.846373271942139
57407,10.001097,139,,,
57546,20.318939,139,,,
57685,21.242227,139,,,
57824,25.494034,139,,,
57963,27.36157,139,,,
58102,22.611037,139,,,
58241,15.55153,139,,,
58380,22.180532,139,,,
58519,23.352158,139,,,
58658,27.442714,139,,,
