timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-36.846618,455,,,
910,-40.763092,455,,,
1365,-48.047409,455,,,
1820,-53.487609,455,,,
2275,-39.667818,455,,,
2730,-45.360426,455,,,
3185,-34.300157,455,,,
3640,-37.555072,455,,,
4095,-34.835897,455,0.015278398990631104,6.398654663562775,7.570541816949844
4550,-34.995693,455,,,
5005,-37.551519,455,,,
5460,-31.58843,455,,,
5915,-36.116284,455,0.2584889531135559,6.413522559404373,7.0349541157484055
6370,-33.639687,455,,,
6825,-38.081031,455,,,
7280,-41.981878,455,,,
7735,-35.854967,455,,,
8190,-36.90372,455,0.6817388534545898,6.424410277605057,5.110246282815933
8645,-34.274361,455,,,
9100,-44.939002,455,,,
9555,-37.58677,455,,,
10010,-40.272683,455,0.769411563873291,6.446102803945541,4.318618306517601
10465,-33.159571,455,,,
10920,-35.498696,455,,,
11375,-38.755087,455,,,
11830,-43.256457,455,,,
12285,-39.232534,455,0.7151932716369629,6.465552902221679,3.2345662117004395
12740,-31.68286,455,,,
13195,-36.441103,455,,,
13650,-35.446602,455,,,
14105,-35.225172,455,0.8475040197372437,6.467975687980652,3.26371333450079
14560,-47.276876,455,,,
15015,-52.966021,455,,,
15470,-37.505009,455,,,
15925,-38.977126,455,,,
16380,-38.288681,455,0.8749104142189026,6.469103837013245,3.509163278341293
16835,-51.488733,455,,,
17290,-34.314356,455,,,
17745,-33.314545,455,,,
18200,-48.159374,455,0.8535600304603577,6.476878517866135,3.2200400859117506
18655,-33.742578,455,,,
19110,-36.054456,455,,,
19565,-31.423518,455,,,
20020,-42.301925,455,,,
20475,-40.757607,455,0.8865941762924194,6.49409847855568,3.290031276643276
20930,-31.495349,455,,,
21385,-34.643298,455,,,
21840,-37.098393,455,,,
22295,-38.186939,455,0.846691906452179,6.517332899570465,2.4483172625303267
22750,-33.195253,455,,,
23205,-32.914407,455,,,
23660,-51.031832,455,,,
24115,-30.579711,455,,,
24570,-36.856127,455,0.898450493812561,6.537373405694962,2.9814467817544936
25025,-50.931474,455,,,
25480,-47.472123,455,,,
25935,-35.278032,455,,,
26390,-31.551972,455,0.9026209712028503,6.553364843130112,2.423260110616684
26845,-32.378936,455,,,
27300,-44.862463,455,,,
27755,-40.68821,455,,,
28210,-44.431589,455,,,
28665,-43.364059,455,0.8689844608306885,6.562870490550995,2.3627186194062233
29120,-27.393335,455,,,
29575,-46.20101,455,,,
30030,-29.836502,455,,,
30485,-35.035998,455,0.8441275954246521,6.571701204776764,2.1340327337384224
30940,-33.088061,455,,,
31395,-42.688642,455,,,
31850,-46.60828,455,,,
32305,-29.372024,455,,,
32760,-31.464921,455,0.9183814525604248,6.581574612855912,2.57539439201355
33215,-41.88988,455,,,
33670,-31.299477,455,,,
34125,-33.991534,455,,,
34580,-46.400919,455,0.9269712567329407,6.5908417165279385,1.9413724035024642
35035,-31.971436,455,,,
35490,-29.314274,455,,,
35945,-31.882438,455,,,
36400,-34.989074,455,,,
36855,-29.529573,455,0.9066537022590637,6.606863808631897,2.413935160636902
37310,-28.614583,455,,,
37765,-27.386783,455,,,
38220,-27.970839,455,,,
38675,-48.383141,455,0.9450557827949524,6.63243020772934,1.9011582769453526
39130,-26.747846,455,,,
39585,-27.549901,455,,,
40040,-27.998943,455,,,
40495,-51.066609,455,,,
40950,-30.417239,455,0.9394460916519165,6.657392144203186,2.154823887348175
41405,-23.764096,455,,,
41860,-33.071318,455,,,
42315,-34.841335,455,,,
42770,-27.176506,455,0.9498680233955383,6.672755521535874,1.6852764375507832
43225,-26.84946,455,,,
43680,-28.995305,455,,,
44135,-36.110409,455,,,
44590,-25.187481,455,,,
45045,-28.04178,455,0.9589221477508545,6.676970994472503,1.7069151282310486
45500,-27.551724,455,,,
45955,-36.33977,455,,,
46410,-44.944502,455,,,
46865,-22.862814,455,0.9603462219238281,6.682155436277389,1.3838367857038976
47320,-25.825596,455,,,
47775,-34.658085,455,,,
48230,-20.99771,455,,,
48685,-37.90003,455,,,
49140,-27.538718,455,0.9528934359550476,6.699969643354416,1.5900298565626145
49595,-42.155596,455,,,
50050,-23.565484,455,,,
50505,-26.502333,455,,,
50960,-36.200178,455,0.9513217806816101,6.703886461257935,1.2883927576243877
51415,-23.211563,455,,,
51870,-39.449276,455,,,
52325,-24.276296,455,,,
52780,-22.972692,455,,,
53235,-22.957286,455,0.9604072570800781,6.726055723428726,1.4637265846133232
53690,-34.124851,455,,,
54145,-22.244624,455,,,
54600,-46.005008,455,,,
