timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-66.305119,455,,,
910,-49.862177,455,,,
1365,-50.681188,455,,,
1820,-48.967573,455,,,
2275,-65.0335,455,,,
2730,-68.048202,455,,,
3185,-63.234326,455,,,
3640,-66.289035,455,,,
4095,-65.422908,455,-0.002331852912902832,6.396284878253937,7.811033433675766
4550,-65.94191,455,,,
5005,-65.333221,455,,,
5460,-53.91544,455,,,
5915,-67.723342,455,0.10866576433181763,6.419943553209305,3.988520899415016
6370,-51.268416,455,,,
6825,-65.041248,455,,,
7280,-52.897528,455,,,
7735,-65.129834,455,,,
8190,-64.754555,455,0.10397863388061523,6.452728754281997,5.547638726234436
8645,-47.575685,455,,,
9100,-56.490094,455,,,
9555,-44.602994,455,,,
10010,-53.472257,455,0.27638739347457886,6.486867839097977,5.643272268772125
10465,-66.126601,455,,,
10920,-64.368037,455,,,
11375,-65.195267,455,,,
11830,-54.428745,455,,,
12285,-66.923787,455,0.3958922028541565,6.5023013651371,6.958952575922012
12740,-66.071985,455,,,
13195,-67.146336,455,,,
13650,-65.667155,455,,,
14105,-64.33397,455,0.47871190309524536,6.5040875434875485,4.167969951033593
14560,-58.410555,455,,,
15015,-45.904858,455,,,
15470,-63.303181,455,,,
15925,-64.162719,455,,,
16380,-42.876023,455,0.5297515392303467,6.510034883022309,3.29488465487957
16835,-51.784452,455,,,
17290,-66.092943,455,,,
17745,-64.113631,455,,,
18200,-56.208989,455,0.5999466776847839,6.522366464138031,5.101643568277359
18655,-63.855849,455,,,
19110,-48.849352,455,,,
19565,-62.33761,455,,,
20020,-46.167367,455,,,
20475,-49.119481,455,0.6877704858779907,6.531872129440307,3.8531779259443284
20930,-61.480708,455,,,
21385,-53.735902,455,,,
21840,-63.762273,455,,,
22295,-50.987136,455,0.6910760402679443,6.54941828250885,4.273789796233177
22750,-66.00555,455,,,
23205,-62.677114,455,,,
23660,-42.649505,455,,,
24115,-59.755533,455,,,
24570,-56.456491,455,0.7443856000900269,6.560528206825256,3.2873309016227723
25025,-50.656069,455,,,
25480,-51.04806,455,,,
25935,-50.417224,455,,,
26390,-63.54225,455,0.7242151498794556,6.565336740016937,3.5839689463377
26845,-50.802505,455,,,
27300,-44.392772,455,,,
27755,-41.322359,455,,,
28210,-49.28339,455,,,
28665,-41.70379,455,0.7466306686401367,6.580663317441941,4.001566988229752
29120,-60.91348,455,,,
29575,-50.386949,455,,,
30030,-64.578525,455,,,
30485,-56.842813,455,0.7827867269515991,6.596762079000473,4.428109934926033
30940,-64.316595,455,,,
31395,-50.417402,455,,,
31850,-51.869144,455,,,
32305,-62.356328,455,,,
32760,-62.812992,455,0.7956247925758362,6.605350756645203,2.6050062477588654
33215,-47.955577,455,,,
33670,-64.672837,455,,,
34125,-48.339289,455,,,
34580,-56.692537,455,0.8269935846328735,6.613130456209182,2.6811385482549666
35035,-61.945184,455,,,
35490,-61.734585,455,,,
35945,-64.029596,455,,,
36400,-46.882786,455,,,
36855,-60.721905,455,0.8312305212020874,6.6360987544059755,2.955042710900307
37310,-57.809426,455,,,
37765,-64.3377,455,,,
38220,-64.377385,455,,,
38675,-46.707866,455,0.8665664792060852,6.6525579512119295,1.8448240116238594
39130,-62.250174,455,,,
39585,-63.630261,455,,,
40040,-63.028851,455,,,
40495,-45.850627,455,,,
40950,-64.681231,455,0.8768116235733032,6.667671948671341,2.0541470840573313
41405,-59.318093,455,,,
41860,-64.103701,455,,,
42315,-42.934647,455,,,
42770,-62.340957,455,0.912697434425354,6.672784847021103,1.4957958228886128
43225,-63.478632,455,,,
43680,-68.206929,455,,,
44135,-59.717432,455,,,
44590,-61.951532,455,,,
45045,-62.225951,455,0.9273492097854614,6.672994327545166,1.2978459104895592
45500,-62.829189,455,,,
45955,-53.295005,455,,,
46410,-39.452941,455,,,
46865,-62.138834,455,0.9273195862770081,6.689495569467544,1.3354623638093472
47320,-63.248796,455,,,
47775,-52.354228,455,,,
48230,-63.249676,455,,,
48685,-54.222671,455,,,
49140,-63.658539,455,0.900482714176178,6.7083593010902405,1.8390546530485152
49595,-57.794025,455,,,
50050,-63.098893,455,,,
50505,-64.175528,455,,,
50960,-56.739397,455,0.915675163269043,6.714492154121399,1.8319439217448235
51415,-61.523858,455,,,
51870,-60.618633,455,,,
52325,-61.320725,455,,,
52780,-63.758902,455,,,
53235,-61.843121,455,0.9243286848068237,6.723633915185928,1.6438664853572846
53690,-58.071484,455,,,
54145,-62.54014,455,,,
54600,-42.709835,455,,,
55055,-60.622269,455,0.9476194977760315,6.732109695672989,0.9993003949522972
55510,-50.591348,455,,,
55965,-63.942973,455,,,
56420,-60.947681,455,,,
56875,-51.981628,455,,,
57330,-59.40766,455,0.8819947838783264,6.744668745994568,2.2894846171140673
57785,-60.273952,455,,,
58240,-52.816539,455,,,
58695,-55.703532,455,,,
59150,-46.321798,455,0.9225807189941406,6.767532366514206,1.8204186335206032
59605,-60.327461,455,,,
60060,-62.189962,455,,,
60515,-61.925909,455,,,
60970,-63.48578,455,,,
61425,-51.481352,455,0.9155799150466919,6.787021684646606,1.87284704297781
61880,-53.465679,455,,,
62335,-63.177612,455,,,
62790,-63.220325,455,,,
63245,-62.99692,455,0.9607415795326233,6.7960543751716616,0.9366896271705627
63700,-51.788696,455,,,
64155,-59.372807,455,,,
64610,-61.594988,455,,,
65065,-61.521653,455,,,
65520,-54.581724,455,0.9396841526031494,6.817516136169433,1.1917360618710517
65975,-50.86285,455,,,
66430,-60.910846,455,,,
66885,-47.309599,455,,,
67340,-62.341058,455,0.9521790146827698,6.8431365370750425,1.1999666646122933
67795,-53.103665,455,,,
68250,-61.60252,455,,,
68705,-52.267668,455,,,
69160,-53.895353,455,,,
69615,-52.161059,455,0.9284500479698181,6.851671296358108,1.6771052092313767
70070,-61.79278,455,,,
70525,-57.007786,455,,,
70980,-62.047761,455,,,
71435,-62.441844,455,0.9122804999351501,6.86064258813858,1.9268192112445832
71890,-57.533092,455,,,
72345,-61.425907,455,,,
72800,-60.778876,455,,,
73255,-44.424545,455,,,
73710,-51.274515,455,0.9502291083335876,6.867296057939529,1.0567163981497287
74165,-33.746924,455,,,
74620,-61.556226,455,,,
75075,-60.693314,455,,,
75530,-46.173424,455,0.901278018951416,6.883698856830597,2.204443651437759
75985,-43.910435,455,,,
76440,-61.456968,455,,,
76895,-61.544571,455,,,
77350,-59.038188,455,,,
77805,-48.730766,455,0.9267734885215759,6.898483258485794,1.519115675985813
78260,-59.608409,455,,,
78715,-45.339413,455,,,
79170,-46.456532,455,,,
79625,-61.190551,455,0.9572468400001526,6.914919573068619,0.9335679665207863
80080,-59.479796,455,,,
80535,-60.798551,455,,,
80990,-57.089674,455,,,
81445,-59.941495,455,,,
81900,-57.778833,455,0.9461789131164551,6.948516368865967,1.3223579503595828
82355,-59.625941,455,,,
82810,-50.462291,455,,,
83265,-46.767673,455,,,
83720,-58.117866,455,0.9897996187210083,6.991841512918472,0.17840971359983088
84175,-61.204458,455,,,
84630,-45.276408,455,,,
85085,-50.934406,455,,,
85540,-58.081018,455,,,
85995,-60.289902,455,0.9443776607513428,7.02385174036026,1.290324155986309
86450,-58.595643,455,,,
86905,-59.335172,455,,,
87360,-60.490913,455,,,
87815,-58.612712,455,0.9454002976417542,7.04083212018013,1.2527289651334286
88270,-58.670855,455,,,
88725,-58.238723,455,,,
89180,-58.388912,455,,,
89635,-35.135464,455,,,
90090,-57.682969,455,0.9539047479629517,7.100608628988266,0.9239484645426274
90545,-57.436953,455,,,
91000,-59.313596,455,,,
91455,-31.741129,455,,,
91910,-46.624701,455,0.9573649764060974,7.162104904651642,0.938836544752121
92365,-56.966149,455,,,
92820,-59.691827,455,,,
93275,-57.717554,455,,,
93730,-59.268743,455,,,
94185,-57.725249,455,0.9427241086959839,7.201359063386917,1.231696578860283
94640,-39.644305,455,,,
95095,-46.318965,455,,,
95550,-62.150455,455,,,
96005,-48.636386,455,0.9681234359741211,7.223353165388107,0.6785141348838806
96460,-37.538,455,,,
96915,-49.708079,455,,,
97370,-60.630304,455,,,
97825,-45.820692,455,,,
98280,-43.002015,455,0.9128228425979614,7.254054963588715,1.875243803858757
98735,-57.20598,455,,,
99190,-45.304,455,,,
99645,-58.750494,455,,,
100100,-58.064063,455,0.9124765396118164,7.2655395567417145,2.1039740800857545
100555,-59.59538,455,,,
101010,-44.583953,455,,,
101465,-34.121354,455,,,
101920,-54.786288,455,,,
102375,-59.318398,455,0.9678649306297302,7.294587028026581,0.6600647736340761
102830,-58.54729,455,,,
103285,-47.58775,455,,,
103740,-38.040896,455,,,
104195,-58.111531,455,0.9059669375419617,7.326070588827133,1.8556454703211784
104650,-45.278552,455,,,
105105,-57.881172,455,,,
105560,-35.98559,455,,,
106015,-60.671918,455,,,
106470,-54.97969,455,0.9303336143493652,7.340637773275375,1.6088210210204124
106925,-35.008955,455,,,
107380,-58.765915,455,,,
107835,-49.01411,455,,,
108290,-58.835816,455,0.9604023098945618,7.359168058633804,0.8285106733441353
108745,-49.614059,455,,,
109200,-57.571769,455,,,
109655,-40.862969,455,,,
110110,-56.748913,455,,,
110565,-57.613216,455,0.9334045648574829,7.370265477895737,1.3780772969126702
111020,-39.508635,455,,,
111475,-57.421346,455,,,
111930,-58.993557,455,,,
112385,-58.931864,455,0.9641183614730835,7.387595468759537,0.9705264069139957
112840,-55.978104,455,,,
113295,-49.414091,455,,,
113750,-59.603688,455,,,
114205,-35.212479,455,,,
114660,-45.913213,455,0.970098614692688,7.404672002792358,0.6049949612468482
115115,-58.040033,455,,,
115570,-57.035696,455,,,
116025,-48.6647,455,,,
116480,-39.215912,455,0.9257484674453735,7.421017301082611,1.6818645671010017
116935,-56.730458,455,,,
117390,-46.551078,455,,,
117845,-55.109554,455,,,
118300,-55.357935,455,,,
118755,-57.438358,455,0.9536154270172119,7.434644043445587,1.170663944631815
119210,-42.377681,455,,,
119665,-55.363767,455,,,
120120,-41.95653,455,,,
120575,-47.462085,455,0.9706382751464844,7.458887660503388,0.6465710557997226
121030,-36.920478,455,,,
121485,-55.996023,455,,,
121940,-41.648794,455,,,
122395,-43.308418,455,,,
122850,-39.957498,455,0.9093316197395325,7.486870145797729,1.8972555562853812
123305,-55.486211,455,,,
123760,-55.719177,455,,,
124215,-51.109554,455,,,
