timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-59.94166,455,,,
910,-34.084315,455,,,
1365,-53.394644,455,,,
1820,-34.823956,455,,,
2275,-64.766852,455,,,
2730,-61.886207,455,,,
3185,-61.196056,455,,,
3640,-61.983096,455,,,
4095,-60.237167,455,0.012620627880096436,6.395816045999527,10.560758137702942
4550,-60.383456,455,,,
5005,-64.312918,455,,,
5460,-40.945169,455,,,
5915,-62.255704,455,0.1920861005783081,6.402116352319718,12.377428978681564
6370,-30.854254,455,,,
6825,-63.67468,455,,,
7280,-28.993596,455,,,
7735,-61.880814,455,,,
8190,-60.400091,455,0.5170149207115173,6.397845667600632,10.07066205739975
8645,-20.688999,455,,,
9100,-37.350986,455,,,
9555,-31.621584,455,,,
10010,-27.437015,455,0.7259459495544434,6.384397464990616,7.421930903196335
10465,-62.214419,455,,,
10920,-61.556468,455,,,
11375,-60.646489,455,,,
11830,-30.714888,455,,,
12285,-63.368768,455,0.6744883060455322,6.380427139997482,5.453889721632004
12740,-64.080812,455,,,
13195,-62.205511,455,,,
13650,-63.591889,455,,,
14105,-63.062552,455,0.7882526516914368,6.392496180534363,5.957503852248192
14560,-28.740884,455,,,
15015,-28.184866,455,,,
15470,-59.406157,455,,,
15925,-67.006343,455,,,
16380,-30.104672,455,0.8390547037124634,6.390349626541138,6.07183892428875
16835,-31.614775,455,,,
17290,-61.932441,455,,,
17745,-59.028499,455,,,
18200,-32.483347,455,0.8572250604629517,6.383758944272995,5.2969196945428845
18655,-61.39977,455,,,
19110,-36.733232,455,,,
19565,-62.086692,455,,,
20020,-28.068492,455,,,
20475,-27.097373,455,0.8856885433197021,6.40309106707573,4.455829218029976
20930,-61.665935,455,,,
21385,-33.824975,455,,,
21840,-61.041948,455,,,
22295,-23.275032,455,0.854008674621582,6.423981374502182,4.88508395254612
22750,-61.978192,455,,,
23205,-60.880723,455,,,
23660,-36.002258,455,,,
24115,-61.445099,455,,,
24570,-38.441366,455,0.9075033068656921,6.428316485881806,3.9782845824956894
25025,-34.112622,455,,,
25480,-33.710985,455,,,
25935,-31.011985,455,,,
26390,-58.053765,455,0.9007171392440796,6.43361988067627,4.19585468173027
26845,-31.039098,455,,,
27300,-45.132077,455,,,
27755,-30.116391,455,,,
28210,-20.504552,455,,,
28665,-28.329961,455,0.8794893622398376,6.448672533035278,3.93727588057518
29120,-57.08713,455,,,
29575,-39.519589,455,,,
30030,-59.569104,455,,,
30485,-32.020807,455,0.813257098197937,6.45661945939064,4.162410861253738
30940,-61.358199,455,,,
31395,-31.508998,455,,,
31850,-25.377209,455,,,
32305,-55.627369,455,,,
32760,-54.620863,455,0.9248813986778259,6.449271142482758,2.7980889305472374
33215,-27.598309,455,,,
33670,-62.634763,455,,,
34125,-28.627247,455,,,
34580,-30.600022,455,0.9275055527687073,6.4505800902843475,3.014649310708046
35035,-61.333809,455,,,
35490,-59.839543,455,,,
35945,-59.178275,455,,,
36400,-31.751004,455,,,
36855,-57.220142,455,0.9249864816665649,6.4636487603187565,3.239294758439064
37310,-44.627925,455,,,
37765,-59.301775,455,,,
38220,-58.292884,455,,,
38675,-25.513452,455,0.9480007886886597,6.46995387673378,3.069159869849682
39130,-56.078792,455,,,
39585,-60.055613,455,,,
40040,-59.920616,455,,,
40495,-36.130952,455,,,
40950,-61.299129,455,0.9483652114868164,6.46911284327507,2.501326338946819
41405,-58.472667,455,,,
41860,-61.565539,455,,,
42315,-39.698721,455,,,
42770,-58.332997,455,0.9545309543609619,6.4729332506656645,2.465165360271931
43225,-59.121069,455,,,
43680,-61.323557,455,,,
44135,-35.622894,455,,,
44590,-57.22282,455,,,
45045,-57.842726,455,0.9636991024017334,6.4764582991600035,2.041584184765816
45500,-58.88544,455,,,
45955,-33.065232,455,,,
46410,-27.340403,455,,,
46865,-57.616058,455,0.9551870226860046,6.470934665203094,2.6771663218736648
47320,-52.666988,455,,,
47775,-17.448129,455,,,
48230,-57.208011,455,,,
48685,-26.454788,455,,,
49140,-56.738284,455,0.9551465511322021,6.467712885141372,2.2830475136637687
49595,-39.317618,455,,,
50050,-58.17886,455,,,
50505,-53.262276,455,,,
50960,-49.70704,455,0.9398844838142395,6.467845290899277,3.038210341334343
51415,-52.764556,455,,,
51870,-31.607404,455,,,
52325,-55.011557,455,,,
52780,-55.14007,455,,,
53235,-60.207697,455,0.9526388049125671,6.476721912622452,2.230766646564007
53690,-20.228553,455,,,
54145,-52.615811,455,,,
54600,-27.403613,455,,,
55055,-19.839466,455,0.9642010927200317,6.5107216238975525,1.945907138288021
55510,-36.686601,455,,,
55965,-53.080985,455,,,
56420,-49.826864,455,,,
56875,-38.935297,455,,,
57330,-29.31631,455,0.9017531871795654,6.544118845462799,3.121782571077347
57785,-50.868038,455,,,
58240,-42.173019,455,,,
58695,-28.945104,455,,,
59150,-27.126584,455,0.9580750465393066,6.55942547917366,1.7863131962716579
59605,-53.452537,455,,,
60060,-54.968239,455,,,
60515,-51.578958,455,,,
60970,-53.254529,455,,,
61425,-28.655058,455,0.9472777843475342,6.5753347158432005,1.9828015580773353
61880,-20.257694,455,,,
62335,-49.596158,455,,,
62790,-52.168793,455,,,
63245,-53.054966,455,0.9696135520935059,6.587671893835068,1.584953423589468
63700,-23.234707,455,,,
64155,-55.124634,455,,,
64610,-51.427609,455,,,
65065,-51.810477,455,,,
65520,-28.481384,455,0.967159628868103,6.58243020772934,1.7007154941558837
65975,-29.387372,455,,,
66430,-51.055244,455,,,
66885,-32.968636,455,,,
67340,-50.851398,455,0.9726651906967163,6.580090808868408,1.8833735570311547
67795,-31.593508,455,,,
68250,-53.914691,455,,,
68705,-34.881921,455,,,
69160,-31.038729,455,,,
69615,-25.599561,455,0.9565143585205078,6.60281423330307,1.8278412953019143
70070,-51.395899,455,,,
70525,-34.268778,455,,,
70980,-51.667241,455,,,
71435,-55.49005,455,0.928144097328186,6.618609094619751,2.337912839651108
71890,-34.446654,455,,,
72345,-51.777294,455,,,
72800,-21.66031,455,,,
73255,-30.766655,455,,,
73710,-33.656034,455,0.9653477668762207,6.621410059928894,1.9050566956400872
74165,-30.19568,455,,,
74620,-53.642904,455,,,
75075,-49.104462,455,,,
75530,-36.877323,455,0.9302943348884583,6.634827643632889,2.2071556612849235
75985,-18.532701,455,,,
76440,-47.849086,455,,,
76895,-52.75459,455,,,
77350,-52.243693,455,,,
77805,-27.574494,455,0.9561299085617065,6.6516846239566805,1.8666244596242905
78260,-49.349195,455,,,
78715,-23.605977,455,,,
79170,-18.392022,455,,,
79625,-49.525754,455,0.974231481552124,6.6764762043952945,1.30843258574605
80080,-52.609539,455,,,
80535,-51.680778,455,,,
80990,-50.131928,455,,,
81445,-51.603073,455,,,
81900,-49.156909,455,0.9695214629173279,6.697365301847458,1.5639465004205704
82355,-42.8507,455,,,
82810,-37.095151,455,,,
83265,-21.727909,455,,,
83720,-47.686665,455,0.9872385263442993,6.714843744039536,0.9732961811125278
84175,-48.348162,455,,,
84630,-23.322017,455,,,
85085,-28.860283,455,,,
85540,-45.057647,455,,,
85995,-50.816654,455,0.9696489572525024,6.721411848068238,1.555114784091711
86450,-47.200991,455,,,
86905,-25.118627,455,,,
87360,-41.660246,455,,,
87815,-47.660582,455,0.9689148664474487,6.734626221656799,1.5989071696996688
88270,-6.530392,455,,,
88725,-44.101621,455,,,
89180,-47.295332,455,,,
89635,-23.558961,455,,,
90090,-43.107829,455,0.9700344204902649,6.758874177932739,1.5932512059807777
90545,-42.890796,455,,,
91000,-47.279177,455,,,
91455,-31.305542,455,,,
91910,-38.036754,455,0.9803494811058044,6.794608616828919,1.1338413789868356
92365,-41.778641,455,,,
92820,-39.699246,455,,,
93275,-44.44206,455,,,
93730,-40.065848,455,,,
94185,-45.251679,455,0.971337616443634,6.807353121042252,1.4781922601163386
94640,-20.927415,455,,,
95095,-44.298468,455,,,
95550,-42.256786,455,,,
96005,-23.828073,455,0.9804435968399048,6.812888306379318,1.0519142620265485
96460,-31.769563,455,,,
96915,-27.244178,455,,,
97370,-41.628364,455,,,
97825,-30.333774,455,,,
98280,-30.735463,455,0.9218864440917969,6.81268692612648,2.707933561503887
98735,-39.003174,455,,,
99190,-36.675451,455,,,
99645,-39.526944,455,,,
100100,-37.943389,455,0.94199538230896,6.821650564670563,2.0074925020337107
100555,-42.683863,455,,,
101010,-25.581142,455,,,
101465,-24.494241,455,,,
101920,-28.31816,455,,,
102375,-40.185716,455,0.9860877990722656,6.839871346950531,0.8113402757793665
102830,-39.60302,455,,,
103285,-23.2076,455,,,
103740,-25.344811,455,,,
104195,-40.286637,455,0.9520626664161682,6.871144205331802,1.9335720986127853
104650,-13.006574,455,,,
105105,-38.87287,455,,,
105560,-14.872268,455,,,
106015,-41.031722,455,,,
106470,-35.416221,455,0.9572244882583618,6.888726246356964,1.75320658236742
106925,-31.447349,455,,,
107380,-37.115924,455,,,
107835,-19.929162,455,,,
108290,-40.994056,455,0.9838338494300842,6.8903283953666685,0.9006693258881568
108745,-37.397177,455,,,
109200,-38.415395,455,,,
109655,-16.351874,455,,,
110110,-37.571027,455,,,
110565,-41.432409,455,0.9536013007164001,6.900530135631561,1.906569480895996
111020,-27.96349,455,,,
111475,-38.211844,455,,,
111930,-39.483499,455,,,
112385,-40.098043,455,0.9831185340881348,6.917379069328308,0.9692598015069962
112840,-32.341819,455,,,
113295,-34.777928,455,,,
113750,-39.587483,455,,,
114205,-32.333239,455,,,
114660,-26.581052,455,0.9872433543205261,6.940081828832627,0.8827530413866043
115115,-38.239027,455,,,
115570,-37.893032,455,,,
116025,-24.239311,455,,,
116480,-13.029137,455,0.9503147006034851,6.951993846893311,1.8171914577484132
116935,-36.990767,455,,,
117390,-24.989446,455,,,
117845,-37.626358,455,,,
118300,-37.868824,455,,,
118755,-36.281732,455,0.9710122346878052,6.96929948925972,1.6046449288725853
119210,-6.581943,455,,,
119665,-34.818459,455,,,
120120,-23.089705,455,,,
120575,-20.5111,455,0.985935389995575,6.993516385555267,1.0797904215753078
121030,-24.830982,455,,,
