timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-8.658352,139,,,
278,-5.459582,139,,,
417,-0.467506,139,,,
556,-0.191059,139,,,
695,2.647324,139,,,
834,-11.229752,139,,,
973,-14.217528,139,,,
1112,-5.455547,139,,,
1251,4.856852,139,,,
1390,-5.998183,139,,,
1529,2.350064,139,,,
1668,1.681902,139,,,
1807,-3.422601,139,,,
1946,-5.541157,139,,,
2085,-3.923104,139,,,
2224,-5.573607,139,,,
2363,-8.917989,139,,,
2502,-1.852316,139,,,
2641,2.496717,139,,,
2780,10.30002,139,,,
2919,4.006175,139,,,
3058,-9.728091,139,,,
3197,-12.85663,139,,,
3336,-7.873844,139,,,
3475,-1.774591,139,,,
3614,0.334805,139,,,
3753,-5.838579,139,,,
3892,-18.481029,139,,,
4031,-8.308742,139,-0.0020227432250976562,3.4991439878940582,12.587966740131378
