timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-45.705883,455,,,
910,-84.323796,455,,,
1365,-68.31512,455,,,
1820,-74.119397,455,,,
2275,-44.672768,455,,,
2730,-48.675359,455,,,
3185,-42.658745,455,,,
3640,-45.716628,455,,,
4095,-42.868903,455,0.005844593048095703,6.39429794549942,7.1540824472904205
4550,-41.205447,455,,,
5005,-44.60468,455,,,
5460,-71.328813,455,,,
5915,-45.24903,455,0.3135339021682739,6.398360705375671,1.8521678179502488
6370,-67.622125,455,,,
6825,-44.43332,455,,,
7280,-66.270239,455,,,
7735,-40.659965,455,,,
8190,-44.06872,455,0.41921019554138184,6.387905883789062,3.9872943818569184
8645,-65.297302,455,,,
9100,-79.599219,455,,,
9555,-63.054006,455,,,
10010,-76.360607,455,0.6672455668449402,6.392111128568649,3.1161825209856033
10465,-45.64958,455,,,
10920,-44.140436,455,,,
11375,-42.142553,455,,,
11830,-71.815493,455,,,
12285,-44.398737,455,0.6120314598083496,6.405315232276917,6.407320284843445
12740,-42.456194,455,,,
13195,-43.708417,455,,,
13650,-43.962148,455,,,
14105,-42.091572,455,0.8544526696205139,6.433082872629166,2.2485348150134086
14560,-66.34587,455,,,
15015,-82.388564,455,,,
15470,-43.396127,455,,,
15925,-42.597184,455,,,
16380,-76.731789,455,0.9066058993339539,6.461823987960815,1.6300223872065545
16835,-73.129619,455,,,
17290,-43.960056,455,,,
17745,-41.628541,455,,,
18200,-74.588485,455,0.8692194223403931,6.482645732164383,3.542543503642082
18655,-43.086602,455,,,
19110,-67.84228,455,,,
19565,-39.826359,455,,,
20020,-71.210989,455,,,
20475,-64.595538,455,0.8921234011650085,6.498633772134781,2.8001385539770127
20930,-41.393654,455,,,
21385,-68.470971,455,,,
21840,-42.835927,455,,,
22295,-64.960361,455,0.875165581703186,6.504086649417877,3.9104261964559557
22750,-40.893945,455,,,
23205,-39.974237,455,,,
23660,-78.067226,455,,,
24115,-37.518027,455,,,
24570,-76.455913,455,0.9106893539428711,6.507366049289703,2.670778477191925
25025,-74.674558,455,,,
25480,-66.647462,455,,,
25935,-85.710125,455,,,
26390,-39.508271,455,0.9210516810417175,6.510029000043869,2.703196828067303
26845,-69.807351,455,,,
27300,-62.781641,455,,,
27755,-75.678262,455,,,
28210,-61.895846,455,,,
28665,-70.265431,455,0.8962486386299133,6.507784879207611,4.106675988435745
29120,-38.658701,455,,,
29575,-74.941453,455,,,
30030,-41.090573,455,,,
30485,-67.184541,455,0.8744480609893799,6.5163655281066895,4.02486777305603
30940,-41.592593,455,,,
31395,-65.280983,455,,,
31850,-70.168934,455,,,
32305,-40.049435,455,,,
32760,-40.544274,455,0.9393319487571716,6.515059405565262,2.058381749689579
33215,-71.670108,455,,,
33670,-39.034166,455,,,
34125,-61.663978,455,,,
34580,-81.030742,455,0.9464459419250488,6.526446563005448,1.817932403087616
35035,-37.802674,455,,,
35490,-37.575019,455,,,
35945,-39.717209,455,,,
36400,-60.163685,455,,,
36855,-38.329951,455,0.9252220988273621,6.542546260356903,2.838747611641884
37310,-72.202339,455,,,
37765,-38.409278,455,,,
38220,-39.105009,455,,,
38675,-77.466036,455,0.9654501676559448,6.5623439133167265,1.1463872835040092
39130,-39.891496,455,,,
39585,-39.870938,455,,,
40040,-38.630769,455,,,
40495,-77.234058,455,,,
40950,-39.552122,455,0.9522543549537659,6.579601496458054,1.8043816149234773
41405,-37.332568,455,,,
41860,-40.655807,455,,,
42315,-64.108647,455,,,
42770,-34.659092,455,0.9742595553398132,6.583236020803452,0.9605447150766849
43225,-38.749298,455,,,
43680,-42.816533,455,,,
44135,-65.917058,455,,,
44590,-35.582806,455,,,
45045,-36.031708,455,0.9674315452575684,6.601164627075195,1.0741079427301883
45500,-36.124454,455,,,
45955,-65.923217,455,,,
46410,-69.947603,455,,,
46865,-36.363157,455,0.9720364212989807,6.632907682657242,0.9860351748764515
47320,-35.553554,455,,,
47775,-62.237236,455,,,
48230,-35.408669,455,,,
48685,-63.642324,455,,,
49140,-37.480126,455,0.9600982069969177,6.657176411151886,1.6828405991196633
49595,-69.914754,455,,,
50050,-36.227442,455,,,
50505,-35.82798,455,,,
50960,-71.782632,455,0.959794819355011,6.679659605026245,1.6699779495596885
51415,-37.916257,455,,,
51870,-63.208896,455,,,
52325,-35.381234,455,,,
52780,-35.76341,455,,,
53235,-34.119781,455,0.9605053067207336,6.707911819219589,1.5137286484241486
53690,-70.018312,455,,,
54145,-38.217837,455,,,
54600,-62.457788,455,,,
55055,-74.486482,455,0.9758300185203552,6.731931799650193,0.8568032659590245
55510,-69.110831,455,,,
55965,-35.414861,455,,,
56420,-33.64207,455,,,
56875,-61.216094,455,,,
57330,-66.453462,455,0.9446033835411072,6.746393024921417,2.771037596464157
57785,-34.29493,455,,,
58240,-67.925583,455,,,
58695,-63.261587,455,,,
59150,-69.349407,455,0.9574904441833496,6.761621594429016,1.7686359375715255
59605,-32.643002,455,,,
60060,-35.27763,455,,,
60515,-33.51008,455,,,
60970,-34.397595,455,,,
61425,-72.269809,455,0.9544833898544312,6.782292985916138,2.1281023994088173
61880,-66.640676,455,,,
62335,-34.022399,455,,,
62790,-34.383576,455,,,
63245,-33.744458,455,0.9772153496742249,6.805013948678971,0.9121318541467189
63700,-71.761157,455,,,
64155,-32.75851,455,,,
64610,-34.361491,455,,,
65065,-32.9676,455,,,
65520,-71.16737,455,0.9723677039146423,6.820135527849198,1.207235960662365
65975,-65.725442,455,,,
66430,-34.408697,455,,,
66885,-62.516367,455,,,
67340,-33.749194,455,0.9721519947052002,6.8278709053993225,1.0079785667359829
67795,-75.209847,455,,,
68250,-33.324022,455,,,
68705,-55.358092,455,,,
69160,-67.915328,455,,,
69615,-77.798942,455,0.9642431735992432,6.840366405248642,1.8241324469447135
70070,-32.992578,455,,,
70525,-66.630928,455,,,
70980,-33.443266,455,,,
71435,-35.171066,455,0.9559372067451477,6.856745952367783,2.1158413231372832
71890,-63.572845,455,,,
72345,-32.123862,455,,,
72800,-64.247554,455,,,
73255,-66.273257,455,,,
73710,-78.91449,455,0.9736546874046326,6.869562315940857,1.1079503498971461
74165,-63.13096,455,,,
74620,-31.101418,455,,,
75075,-30.984531,455,,,
75530,-71.283921,455,0.9596157073974609,6.878909766674042,2.045745128393173
75985,-73.922144,455,,,
76440,-33.451068,455,,,
76895,-31.198511,455,,,
77350,-32.139939,455,,,
77805,-64.645521,455,0.9692179560661316,6.889607745409012,1.545536433160305
78260,-29.883679,455,,,
78715,-67.468951,455,,,
79170,-73.666177,455,,,
79625,-31.888529,455,0.9782741665840149,6.924150043725968,0.7941542513668537
80080,-31.116821,455,,,
80535,-33.464318,455,,,
80990,-28.863381,455,,,
81445,-29.337464,455,,,
81900,-29.943593,455,0.9724327921867371,6.948471879959106,1.2673732198774814
82355,-25.995473,455,,,
82810,-68.122748,455,,,
83265,-74.543705,455,,,
83720,-27.978611,455,0.9952126145362854,6.973116672039032,0.21921656774356962
84175,-29.222548,455,,,
84630,-52.370041,455,,,
85085,-64.696081,455,,,
85540,-26.023244,455,,,
85995,-26.977148,455,0.9705591201782227,7.0238856136798855,1.1912477977573872
86450,-29.269439,455,,,
86905,-56.479974,455,,,
87360,-28.803349,455,,,
87815,-29.76879,455,0.9735391736030579,7.049453264474868,1.2133902303874493
88270,-61.867385,455,,,
88725,-27.682063,455,,,
89180,-26.732495,455,,,
89635,-61.181816,455,,,
90090,-24.959909,455,0.9774570465087891,7.076005440950394,1.018417312949896
90545,-24.661658,455,,,
91000,-25.530712,455,,,
91455,-61.71934,455,,,
91910,-48.268114,455,0.9767618179321289,7.101150393486023,0.8154458463191986
92365,-25.157521,455,,,
92820,-58.863047,455,,,
93275,-26.442022,455,,,
93730,-25.385674,455,,,
94185,-25.759812,455,0.9728958606719971,7.123718726634979,1.0160025082528592
94640,-63.269913,455,,,
95095,-56.751436,455,,,
95550,-25.445658,455,,,
96005,-48.646452,455,0.9811459183692932,7.144140565395356,0.6119437959045172
96460,-62.505618,455,,,
96915,-59.278692,455,,,
97370,-25.613867,455,,,
97825,-58.452239,455,,,
98280,-66.809039,455,0.9546996355056763,7.15731343626976,2.0220209494233132
98735,-26.080803,455,,,
99190,-55.656268,455,,,
99645,-24.189779,455,,,
100100,-20.526134,455,0.9585511684417725,7.157515627145767,1.8220652863383293
100555,-24.523226,455,,,
101010,-61.65206,455,,,
101465,-63.480016,455,,,
101920,-64.8325,455,,,
102375,-24.374867,455,0.9813452363014221,7.175633752346039,0.6297011088579894
102830,-23.191725,455,,,
103285,-66.06137,455,,,
103740,-50.68902,455,,,
104195,-21.797348,455,0.9662246704101562,7.217309141159058,1.596618714928627
104650,-61.348078,455,,,
105105,-21.619795,455,,,
105560,-58.966423,455,,,
106015,-24.263945,455,,,
106470,-22.737041,455,0.9738220572471619,7.230268627405167,1.4815687090158463
106925,-65.41498,455,,,
107380,-19.030193,455,,,
107835,-55.945174,455,,,
108290,-22.710501,455,0.9802873134613037,7.238141393661499,0.7567243859171867
108745,-48.40246,455,,,
109200,-19.025165,455,,,
109655,-63.134999,455,,,
110110,-19.197059,455,,,
110565,-16.630658,455,0.970636248588562,7.254108208417892,1.4946464642882347
111020,-62.243522,455,,,
111475,-16.139695,455,,,
111930,-19.666764,455,,,
112385,-18.535482,455,0.9799488186836243,7.265880966186524,0.7874138750135898
112840,-17.512426,455,,,
113295,-47.514035,455,,,
113750,-18.238675,455,,,
114205,-66.10108,455,,,
114660,-64.97836,455,0.9824831485748291,7.262233752012253,0.6295680567622185
115115,-16.979299,455,,,
115570,-18.341368,455,,,
116025,-55.622109,455,,,
116480,-50.595384,455,0.9687249064445496,7.269070547819138,1.4995439514517783
116935,-16.896968,455,,,
117390,-51.390778,455,,,
117845,-15.984508,455,,,
118300,-15.928063,455,,,
118755,-17.608079,455,0.9770624041557312,7.2919185817241665,1.019272780418396
119210,-49.423119,455,,,
119665,-13.682703,455,,,
120120,-44.669265,455,,,
120575,-52.372386,455,0.9863251447677612,7.31213658452034,0.5314503286033869
121030,-59.624854,455,,,
121485,-15.237928,455,,,
121940,-52.230663,455,,,
122395,-56.574574,455,,,
122850,-72.218689,455,0.9635109305381775,7.320396661758423,1.7474996581673623
123305,-16.819284,455,,,
123760,-16.221039,455,,,
124215,-53.822301,455,,,
124670,-15.606795,455,0.9666380286216736,7.314320766925812,1.4838048055768014
125125,-14.9977,455,,,
125580,-16.29132,455,,,
126035,-11.871189,455,,,
126490,-50.237806,455,,,
126945,-15.511415,455,0.9870330691337585,7.3077389061450955,0.5299055613577366
127400,-12.536948,455,,,
127855,-13.076602,455,,,
128310,-15.319605,455,,,
128765,-13.981655,455,0.9846756458282471,7.321040034294128,0.6207501742988825
129220,-48.333106,455,,,
129675,-12.063387,455,,,
130130,-12.001359,455,,,
130585,-55.421606,455,,,
131040,-13.890034,455,0.9903296828269958,7.3355558037757875,0.4209065463393927
131495,-11.081673,455,,,
131950,-61.878306,455,,,
132405,-49.32003,455,,,
132860,-45.990952,455,0.9807328581809998,7.346604883670807,0.7261480521410704
133315,-67.926077,455,,,
133770,-55.30316,455,,,
134225,-51.666781,455,,,
134680,-11.111744,455,,,
135135,-57.416603,455,0.9690424799919128,7.35596512556076,1.7829193502664566
135590,-7.741913,455,,,
136045,-8.10894,455,,,
136500,-9.682761,455,,,
136955,-9.632729,455,0.969558596611023,7.3629655003547665,1.5739103585481644
137410,-7.637838,455,,,
137865,-54.398854,455,,,
138320,-8.065505,455,,,
138775,-9.243167,455,,,
139230,-5.762317,455,0.9950130581855774,7.400513571500778,0.16242118487134577
139685,-4.218982,455,,,
140140,-4.745489,455,,,
140595,-6.057582,455,,,
141050,-54.084641,455,0.9868137836456299,7.457288759946823,0.5625047456473112
141505,-47.99658,455,,,
141960,-55.684446,455,,,
142415,-7.185793,455,,,
142870,-53.326518,455,,,
143325,-8.991275,455,0.9824495315551758,7.493090838193893,0.9449839204549789
143780,-46.80218,455,,,
144235,-2.815258,455,,,
144690,-46.976089,455,,,
145145,-63.252767,455,0.9787946939468384,7.506151127815246,1.1736617684364319
145600,-0.322797,455,,,
146055,-3.146816,455,,,
146510,-62.129289,455,,,
146965,-3.701511,455,,,
147420,-54.687154,455,0.9725616574287415,7.514794135093689,1.3467443525791167
147875,-0.542352,455,,,
148330,-52.172272,455,,,
148785,-51.017866,455,,,
149240,-2.104844,455,0.9801862835884094,7.536772829294205,1.0482109673321247
149695,-50.188832,455,,,
150150,-62.811198,455,,,
150605,-0.064394,455,,,
151060,-55.079992,455,,,
151515,-0.710175,455,0.9803349375724792,7.562682962417602,1.203351704031229
151970,-54.909981,455,,,
152425,-45.796075,455,,,
152880,-0.688988,455,,,
153335,-1.278606,455,0.9809523820877075,7.592309749126434,1.0591726019978522
153790,4.400266,455,,,
154245,-65.066234,455,,,
154700,3.698636,455,,,
155155,-53.786446,455,,,
155610,2.860327,455,0.9782841205596924,7.628191465139389,1.0038561828434467
156065,4.055453,455,,,
156520,-1.918796,455,,,
156975,3.260602,455,,,
157430,-54.926358,455,0.9815840721130371,7.653086632490158,0.9512800648808479
157885,-63.991518,455,,,
158340,6.44411,455,,,
158795,-47.160837,455,,,
159250,4.714464,455,,,
159705,6.396357,455,0.9852815270423889,7.669071346521378,0.9292987011373043
160160,-50.134013,455,,,
160615,5.581712,455,,,
161070,6.960122,455,,,
161525,-52.255357,455,0.984516978263855,7.682118088006973,0.7558317985385656
161980,-53.364644,455,,,
162435,6.334864,455,,,
162890,8.427522,455,,,
163345,-56.335068,455,,,
163800,-58.809176,455,0.9814976453781128,7.718499684333802,1.2191402532160283
164255,7.954712,455,,,
164710,6.854974,455,,,
165165,-43.544991,455,,,
165620,-59.651038,455,0.981823742389679,7.744295537471771,1.061394502967596
166075,-49.618421,455,,,
166530,-57.986904,455,,,
166985,8.608985,455,,,
167440,-59.354929,455,,,
167895,11.465837,455,0.9841028451919556,7.755287200212479,1.295754849910736
168350,-54.412782,455,,,
168805,-48.665661,455,,,
169260,-42.074071,455,,,
169715,-53.263463,455,0.9819822311401367,7.764381945133209,1.1448523342609405
170170,8.851213,455,,,
170625,11.502458,455,,,
171080,11.740449,455,,,
171535,-48.457775,455,,,
171990,-55.047076,455,0.9652799963951111,7.773561364412307,1.763775849342346
172445,12.159099,455,,,
172900,-53.777202,455,,,
173355,-54.300347,455,,,
173810,-58.069317,455,0.9859101176261902,7.795845091342926,0.9413086920976639
174265,13.619292,455,,,
174720,-56.530257,455,,,
175175,12.759641,455,,,
175630,12.263686,455,,,
176085,-45.259029,455,0.976298451423645,7.810364705324173,1.311068370193243
176540,-44.765295,455,,,
176995,14.923499,455,,,
177450,15.847223,455,,,
177905,15.986009,455,0.9843615293502808,7.8420093059539795,1.1165043152868748
178360,15.449043,455,,,
178815,14.524641,455,,,
179270,15.931957,455,,,
179725,15.768099,455,,,
180180,-51.985925,455,0.9891987442970276,7.870053505897522,0.5264708824455738
180635,14.589426,455,,,
181090,-55.947068,455,,,
181545,-46.387832,455,,,
182000,-47.851582,455,0.9890906810760498,7.874443066120148,0.5500509236007929
182455,-60.635146,455,,,
182910,16.830461,455,,,
183365,-50.208593,455,,,
183820,-44.226275,455,,,
184275,-48.159531,455,0.9729986190795898,7.890364474058151,1.5999839261174202
184730,17.368838,455,,,
185185,-49.520478,455,,,
185640,16.659501,455,,,
186095,-43.072478,455,0.9757773280143738,7.893162059783935,1.4452571451663971
186550,20.812144,455,,,
187005,16.204873,455,,,
187460,15.616437,455,,,
187915,18.563662,455,,,
188370,15.656799,455,0.985683023929596,7.893675351142884,0.9159940786659717
188825,19.593941,455,,,
189280,18.289303,455,,,
189735,18.806006,455,,,
190190,16.879971,455,0.9936292767524719,7.932678872346878,0.23036446012556552
190645,18.324483,455,,,
191100,-54.602123,455,,,
191555,21.115945,455,,,
192010,-50.028977,455,,,
192465,19.439214,455,0.995538592338562,7.984020882844925,0.20575849171727895
192920,-50.556917,455,,,
193375,21.542232,455,,,
193830,23.339306,455,,,
194285,22.959167,455,0.9821496605873108,8.00705543756485,0.9739844985306263
194740,21.923317,455,,,
195195,-48.572579,455,,,
195650,20.100972,455,,,
196105,-32.867368,455,,,
196560,22.589791,455,0.9872029423713684,8.017604267597198,0.484130984172225
197015,27.087974,455,,,
197470,27.611452,455,,,
197925,26.618641,455,,,
198380,27.372125,455,0.983584463596344,8.021646213531493,0.9490319199860096
198835,-49.527849,455,,,
199290,-63.803424,455,,,
199745,-47.055264,455,,,
200200,27.174626,455,,,
200655,28.714722,455,0.9892654418945312,8.03463044166565,0.5598748426884412
