timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-57.481329,455,,,
910,-77.265171,455,,,
1365,-84.298238,455,,,
1820,-70.932696,455,,,
2275,-60.92954,455,,,
2730,-61.554462,455,,,
3185,-60.551909,455,,,
3640,-60.067729,455,,,
4095,-61.137968,455,-0.0077522993087768555,6.405325120687484,8.214551085233689
4550,-57.060738,455,,,
5005,-62.427066,455,,,
5460,-76.192158,455,,,
5915,-56.765153,455,0.08938747644424438,6.439502644538879,8.07440289258957
6370,-74.664624,455,,,
6825,-55.742098,455,,,
7280,-75.334667,455,,,
7735,-57.022901,455,,,
8190,-60.48154,455,0.3907790780067444,6.468301057815552,6.9464860439300535
8645,-75.774101,455,,,
9100,-81.598115,455,,,
9555,-71.34674,455,,,
10010,-81.725164,455,0.47449374198913574,6.47728945016861,6.755913415551186
10465,-58.677379,455,,,
10920,-58.612426,455,,,
11375,-55.952539,455,,,
11830,-74.339539,455,,,
12285,-60.463355,455,0.5040589570999146,6.48012929558754,5.420364043116569
12740,-59.010672,455,,,
13195,-58.933758,455,,,
13650,-58.827258,455,,,
14105,-54.14662,455,0.6878423690795898,6.496318858861923,4.713375833630562
14560,-66.81091,455,,,
15015,-78.711706,455,,,
15470,-59.189216,455,,,
15925,-57.791648,455,,,
16380,-77.628932,455,0.7837730050086975,6.515412402153015,4.192829537391662
16835,-80.040896,455,,,
17290,-57.930503,455,,,
17745,-56.910295,455,,,
18200,-82.772781,455,0.7427020072937012,6.5267242133617405,4.337185317277909
18655,-58.456428,455,,,
19110,-83.325122,455,,,
19565,-51.115915,455,,,
20020,-74.939616,455,,,
20475,-84.502774,455,0.7841429710388184,6.546565675735474,4.210656633973121
20930,-49.785634,455,,,
21385,-84.024129,455,,,
21840,-53.845653,455,,,
22295,-84.580762,455,0.7776409983634949,6.561422377824783,3.1637024372816085
22750,-57.542507,455,,,
23205,-56.101975,455,,,
23660,-80.396215,455,,,
24115,-57.404949,455,,,
24570,-80.812385,455,0.8389783501625061,6.571243476867676,3.4222606122493744
25025,-89.426804,455,,,
25480,-88.63653,455,,,
25935,-90.155972,455,,,
26390,-57.686298,455,0.8453888893127441,6.5799992144107815,2.8284192398190497
26845,-79.632889,455,,,
27300,-85.640944,455,,,
27755,-76.817056,455,,,
28210,-81.819952,455,,,
28665,-83.917333,455,0.8415145874023438,6.586886191368103,2.9786451786756514
29120,-53.135976,455,,,
29575,-71.022846,455,,,
30030,-55.456669,455,,,
30485,-77.986214,455,0.831179141998291,6.60146923661232,3.2133131980895997
30940,-57.711788,455,,,
31395,-71.835354,455,,,
31850,-70.685866,455,,,
32305,-53.8165,455,,,
32760,-56.43126,455,0.8555785417556763,6.610099941492081,3.233652599155903
33215,-88.082222,455,,,
33670,-56.321285,455,,,
34125,-66.958276,455,,,
34580,-64.300851,455,0.8864536285400391,6.620857059955597,2.500322699546814
35035,-54.431537,455,,,
35490,-54.246495,455,,,
35945,-57.312541,455,,,
36400,-73.965522,455,,,
36855,-51.732718,455,0.8828791379928589,6.633574503660202,3.0449779748916628
37310,-69.60827,455,,,
37765,-53.854209,455,,,
38220,-53.78773,455,,,
38675,-76.345726,455,0.9143701195716858,6.6356648921966555,1.9441252820193768
39130,-51.289507,455,,,
39585,-55.793082,455,,,
40040,-55.775401,455,,,
40495,-69.225601,455,,,
40950,-53.699759,455,0.91416996717453,6.659696108102798,2.1825887992978097
41405,-55.773588,455,,,
41860,-57.708772,455,,,
42315,-78.161058,455,,,
42770,-54.293792,455,0.9386062622070312,6.684726297855377,1.3911251910030842
43225,-52.98578,455,,,
43680,-54.496068,455,,,
44135,-88.28733,455,,,
44590,-51.928845,455,,,
45045,-51.449655,455,0.9146867990493774,6.697271829843521,2.2741557225584983
45500,-53.974806,455,,,
45955,-77.567314,455,,,
46410,-70.823043,455,,,
46865,-52.491923,455,0.941749632358551,6.710720062255859,1.523114401847124
47320,-51.754374,455,,,
47775,-69.702171,455,,,
48230,-50.558438,455,,,
48685,-71.990121,455,,,
49140,-57.079185,455,0.9283788204193115,6.732010024785995,2.005463536083698
49595,-70.858606,455,,,
50050,-52.822309,455,,,
50505,-52.424029,455,,,
50960,-74.457985,455,0.9284565448760986,6.7534963428974155,1.9067635476589202
51415,-49.595379,455,,,
51870,-64.00291,455,,,
52325,-47.232779,455,,,
52780,-56.747104,455,,,
53235,-52.57736,455,0.9363864660263062,6.769760340452194,1.7380520224571228
53690,-82.528252,455,,,
54145,-47.832761,455,,,
54600,-73.712909,455,,,
55055,-75.04558,455,0.9494145512580872,6.7843093276023865,1.3393234863877297
55510,-72.525054,455,,,
55965,-50.416749,455,,,
56420,-46.250238,455,,,
56875,-81.137628,455,,,
57330,-83.111034,455,0.9323318004608154,6.8003010749816895,1.8379122987389565
57785,-46.055688,455,,,
58240,-87.251604,455,,,
58695,-85.01823,455,,,
59150,-75.103686,455,0.9472976922988892,6.819158732891083,1.7141301661729813
59605,-44.291363,455,,,
60060,-45.075626,455,,,
60515,-46.386557,455,,,
60970,-44.858938,455,,,
61425,-84.023989,455,0.9420797824859619,6.834946233034134,1.85048651099205
61880,-72.729712,455,,,
62335,-45.566153,455,,,
62790,-47.879366,455,,,
63245,-48.210974,455,0.964728593826294,6.846696001291275,1.114946012943983
63700,-71.091125,455,,,
64155,-40.946735,455,,,
64610,-45.228721,455,,,
65065,-44.191383,455,,,
65520,-66.063554,455,0.9658655524253845,6.8759392619133,0.9590856440365314
65975,-73.636751,455,,,
66430,-44.04487,455,,,
66885,-74.061608,455,,,
67340,-43.021861,455,0.9654964208602905,6.910813313722611,1.1497945740818978
67795,-76.416793,455,,,
68250,-46.68477,455,,,
68705,-68.728207,455,,,
69160,-68.801724,455,,,
69615,-62.948045,455,0.9541871547698975,6.933210062980652,1.2715131275355815
70070,-49.138665,455,,,
70525,-83.862243,455,,,
70980,-42.980082,455,,,
71435,-41.165774,455,0.9455803632736206,6.94499164223671,1.9078424260020257
71890,-72.740802,455,,,
72345,-43.854507,455,,,
72800,-74.79196,455,,,
73255,-75.705629,455,,,
73710,-73.04838,455,0.9619194865226746,6.957596272230148,1.095200964063406
74165,-74.020344,455,,,
74620,-42.958077,455,,,
75075,-41.180543,455,,,
75530,-86.49214,455,0.9388990998268127,6.976205760240555,2.097556035220623
75985,-67.661514,455,,,
76440,-46.186011,455,,,
76895,-42.366982,455,,,
77350,-41.271111,455,,,
77805,-73.587246,455,0.9614542722702026,7.013963067531586,1.2381108790636062
78260,-39.001096,455,,,
78715,-75.510131,455,,,
79170,-81.11913,455,,,
79625,-40.543225,455,0.970773458480835,7.0612900912761685,0.9977324448525906
80080,-35.946213,455,,,
80535,-38.314779,455,,,
80990,-37.679931,455,,,
81445,-38.414096,455,,,
81900,-37.836783,455,0.9670252203941345,7.085352265834809,1.1157057374715804
82355,-38.269278,455,,,
82810,-65.027197,455,,,
83265,-68.026727,455,,,
83720,-40.060401,455,0.9882524609565735,7.104243052005768,0.3389059977605939
84175,-41.26704,455,,,
84630,-84.500995,455,,,
85085,-72.257753,455,,,
85540,-38.500866,455,,,
85995,-36.955458,455,0.9670926332473755,7.126232993602753,1.178760678321123
86450,-36.986842,455,,,
86905,-88.232706,455,,,
87360,-37.450979,455,,,
87815,-39.419849,455,0.9672040939331055,7.146275734901428,1.0791698649525643
88270,-75.060833,455,,,
88725,-36.25734,455,,,
89180,-35.866887,455,,,
89635,-62.369897,455,,,
90090,-31.469995,455,0.9734162092208862,7.159528142213821,0.7541143488138914
90545,-33.194722,455,,,
91000,-36.200211,455,,,
91455,-76.060306,455,,,
91910,-75.344366,455,0.9772350788116455,7.158916163444519,0.9069110371172429
92365,-32.665529,455,,,
92820,-77.665658,455,,,
93275,-33.609411,455,,,
93730,-32.869996,455,,,
94185,-35.718126,455,0.9723745584487915,7.163095086812973,1.003808381408453
94640,-71.817556,455,,,
95095,-82.457098,455,,,
95550,-33.367787,455,,,
96005,-79.938801,455,0.9803500175476074,7.176275533437729,0.6869303412735462
96460,-79.814557,455,,,
96915,-72.76725,455,,,
97370,-35.87002,455,,,
97825,-68.041135,455,,,
98280,-71.822751,455,0.9578104019165039,7.188958615064621,1.4410792857408523
98735,-31.076898,455,,,
99190,-68.795912,455,,,
99645,-30.850426,455,,,
100100,-33.758958,455,0.9642373919487,7.2100645840168,1.526844622194767
100555,-32.614478,455,,,
101010,-70.493021,455,,,
101465,-69.982842,455,,,
101920,-67.545169,455,,,
102375,-32.759741,455,0.9814383387565613,7.233547115325928,0.5945490218698979
102830,-30.164429,455,,,
103285,-67.689708,455,,,
103740,-64.703898,455,,,
104195,-33.683829,455,0.9666489958763123,7.244862914085388,1.2729614675045013
104650,-65.934873,455,,,
105105,-33.353731,455,,,
105560,-75.372302,455,,,
106015,-28.093226,455,,,
106470,-31.248826,455,0.962319016456604,7.25769807100296,1.0758527308702468
106925,-77.603625,455,,,
107380,-30.604049,455,,,
107835,-73.290993,455,,,
108290,-29.040706,455,0.9728071093559265,7.286152195930481,0.9347065158188343
108745,-76.13969,455,,,
109200,-31.229227,455,,,
109655,-66.775825,455,,,
110110,-27.794274,455,,,
110565,-30.516362,455,0.9716527462005615,7.301793974637985,0.9317087896168232
111020,-75.358689,455,,,
111475,-31.436391,455,,,
111930,-30.760621,455,,,
112385,-31.383908,455,0.9791200160980225,7.305098408460617,0.8190863654017448
112840,-28.625648,455,,,
113295,-72.442284,455,,,
113750,-29.595286,455,,,
114205,-69.552773,455,,,
114660,-69.519786,455,0.9889789819717407,7.353047549724579,0.4415572337806225
115115,-29.256481,455,,,
115570,-27.631012,455,,,
116025,-67.770459,455,,,
116480,-69.142923,455,0.9695797562599182,7.382794696092605,1.1129338562488555
116935,-27.666489,455,,,
117390,-66.571668,455,,,
117845,-24.774674,455,,,
118300,-22.234961,455,,,
118755,-24.973351,455,0.9753518104553223,7.3961178183555605,0.832147179543972
119210,-70.048041,455,,,
119665,-23.851083,455,,,
120120,-79.605547,455,,,
120575,-79.638407,455,0.977051854133606,7.41112072467804,0.5260371170938015
121030,-67.256688,455,,,
121485,-18.364647,455,,,
121940,-70.790176,455,,,
122395,-71.76472,455,,,
122850,-69.11417,455,0.9610186815261841,7.430960816144943,1.2379987843334674
123305,-24.333302,455,,,
123760,-21.298307,455,,,
124215,-59.484703,455,,,
124670,-25.55673,455,0.9644181728363037,7.441402113437652,1.3856755584478377
125125,-22.998118,455,,,
125580,-19.957773,455,,,
126035,-19.50224,455,,,
126490,-65.789094,455,,,
126945,-19.924026,455,0.9844605326652527,7.461267727613449,0.4853409755975008
127400,-20.301448,455,,,
127855,-20.342356,455,,,
128310,-22.729933,455,,,
128765,-18.81211,455,0.9864419102668762,7.485199576616287,0.5204637084156275
129220,-76.059597,455,,,
129675,-19.169261,455,,,
130130,-19.208874,455,,,
130585,-76.134059,455,,,
131040,-19.113705,455,0.9909244179725647,7.496769684553146,0.36620577406138183
131495,-17.291501,455,,,
131950,-70.95742,455,,,
132405,-71.221406,455,,,
132860,-77.808079,455,0.9839724898338318,7.526191157102585,0.7225603945553303
133315,-75.667532,455,,,
133770,-69.987991,455,,,
134225,-67.849489,455,,,
134680,-18.965786,455,,,
135135,-69.291245,455,0.9376194477081299,7.5507860600948336,1.2896944724023343
135590,-13.567345,455,,,
136045,-14.795531,455,,,
136500,-13.79744,455,,,
136955,-18.068616,455,0.9692040085792542,7.5699352622032166,1.2634362146258353
137410,-18.860518,455,,,
137865,-66.979259,455,,,
138320,-12.682541,455,,,
138775,-16.163808,455,,,
139230,-10.936707,455,0.9934883117675781,7.595761859416962,0.3101568216457963
139685,-12.79593,455,,,
140140,-9.610035,455,,,
140595,-11.283003,455,,,
141050,-76.210564,455,0.9830614924430847,7.630886727571488,0.6514757066965103
141505,-73.196326,455,,,
141960,-79.014973,455,,,
142415,-11.256293,455,,,
142870,-75.542028,455,,,
143325,-12.787663,455,0.9771446585655212,7.64934486746788,0.6209282539784908
143780,-81.875994,455,,,
144235,-10.392129,455,,,
144690,-80.486338,455,,,
145145,-74.031901,455,0.9642297029495239,7.671698015928269,1.2991720534861089
145600,-9.168384,455,,,
146055,-12.151564,455,,,
146510,-73.803343,455,,,
146965,-13.108798,455,,,
147420,-72.794714,455,0.9684142470359802,7.67798461318016,1.4360623858869075
147875,-10.283333,455,,,
148330,-86.850494,455,,,
148785,-69.544886,455,,,
149240,-11.109203,455,0.9807332158088684,7.69331579208374,0.9628671258687973
149695,-60.832424,455,,,
150150,-71.687239,455,,,
150605,-10.570509,455,,,
151060,-72.52684,455,,,
151515,-10.76741,455,0.9653855562210083,7.701323688030243,1.1507339768111706
151970,-75.52249,455,,,
152425,-58.814762,455,,,
152880,-10.822039,455,,,
153335,-10.505805,455,0.9760448336601257,7.695913249254227,1.0888532005250453
153790,-7.54039,455,,,
154245,-68.758007,455,,,
154700,-12.44171,455,,,
155155,-74.315324,455,,,
155610,-11.153657,455,0.9832354784011841,7.6931698501110075,0.8157860189676285
156065,-9.326006,455,,,
156520,-11.344621,455,,,
156975,-11.933319,455,,,
157430,-74.098657,455,0.9840842485427856,7.719259005784989,0.8593009904026985
157885,-72.09489,455,,,
158340,-4.586786,455,,,
158795,-70.016263,455,,,
159250,-9.266124,455,,,
159705,-7.382603,455,0.9876536130905151,7.746385937929153,0.529056815430522
160160,-73.504712,455,,,
160615,-7.516107,455,,,
161070,-8.205868,455,,,
161525,-69.751965,455,0.9855420589447021,7.778204649686813,0.76561384126544
161980,-65.209882,455,,,
162435,-8.267613,455,,,
162890,-7.303152,455,,,
163345,-71.516202,455,,,
163800,-74.486236,455,0.9777926206588745,7.830138039588928,0.9724466487765312
164255,-5.705211,455,,,
164710,-5.133436,455,,,
165165,-63.923144,455,,,
165620,-66.079936,455,0.9786829948425293,7.878732115030289,1.2511804029345512
166075,-67.504763,455,,,
166530,-68.842826,455,,,
166985,-4.825151,455,,,
167440,-66.914157,455,,,
167895,-4.510397,455,0.9712845087051392,7.901688021421433,0.9921480350196361
168350,-63.797169,455,,,
168805,-68.948199,455,,,
169260,-66.288511,455,,,
169715,-71.879426,455,0.9784577488899231,7.90743607878685,1.0110941097140311
170170,-4.131156,455,,,
170625,-6.020032,455,,,
171080,-4.978599,455,,,
171535,-76.069387,455,,,
171990,-70.526792,455,0.9637017250061035,7.896201574802399,1.3877581775188446
172445,-4.901294,455,,,
172900,-67.822516,455,,,
173355,-69.017115,455,,,
173810,-70.828365,455,0.9849501848220825,7.901570188999176,0.8341230154037476
174265,-7.635105,455,,,
174720,-67.86051,455,,,
175175,-0.506822,455,,,
175630,-6.518568,455,,,
176085,-74.570619,455,0.9722527861595154,7.918035537004471,1.1145251169800758
176540,-80.776228,455,,,
176995,0.884594,455,,,
177450,-3.36773,455,,,
177905,0.670254,455,0.9816575646400452,7.929122519493103,0.9233787424862385
178360,-0.916246,455,,,
178815,-1.277788,455,,,
179270,3.730405,455,,,
179725,-0.781458,455,,,
180180,-61.376875,455,0.9899801015853882,7.948261153697968,0.5780019156634808
180635,-0.267049,455,,,
181090,-76.943349,455,,,
181545,-71.452493,455,,,
182000,-58.170967,455,0.9921437501907349,7.973777347803116,0.5152248919010163
182455,-77.163174,455,,,
182910,2.128401,455,,,
183365,-65.570926,455,,,
183820,-77.415771,455,,,
184275,-65.407337,455,0.9461175799369812,7.998089385032654,1.3862872451543808
184730,-0.579297,455,,,
185185,-79.07966,455,,,
185640,1.054705,455,,,
186095,-76.443337,455,0.97284996509552,8.007612788677216,1.2241736821830274
186550,0.479993,455,,,
187005,3.421998,455,,,
187460,0.713837,455,,,
187915,0.630467,455,,,
188370,3.576212,455,0.9835500121116638,8.030400598049164,0.7778173536062241
188825,3.46298,455,,,
189280,3.106878,455,,,
189735,2.357528,455,,,
190190,4.595118,455,0.9944370985031128,8.095103991031646,0.25587615836411715
190645,6.447773,455,,,
191100,-68.340321,455,,,
191555,6.793279,455,,,
192010,-55.07661,455,,,
192465,8.948246,455,0.9955028295516968,8.142625820636749,0.28753078253939746
192920,-61.193817,455,,,
193375,7.022725,455,,,
193830,5.773099,455,,,
