timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-54.024811,455,,,
910,-69.809218,455,,,
1365,-72.484592,455,,,
1820,-78.54841,455,,,
2275,-55.35379,455,,,
2730,-55.157462,455,,,
3185,-55.252489,455,,,
3640,-56.68622,455,,,
4095,-54.975424,455,-0.006577014923095703,6.414475291967392,6.860119569301605
4550,-53.554397,455,,,
5005,-55.702375,455,,,
5460,-75.229657,455,,,
5915,-55.836732,455,0.11028355360031128,6.438169848918915,2.1845581769943236
6370,-68.566245,455,,,
6825,-56.040714,455,,,
7280,-73.340265,455,,,
7735,-55.486449,455,,,
8190,-53.586259,455,0.3296072483062744,6.470144641399384,3.753997114300728
8645,-70.650004,455,,,
9100,-66.915413,455,,,
9555,-57.393369,455,,,
10010,-76.423071,455,0.5588586330413818,6.504264545440674,3.7826237469911574
10465,-54.326835,455,,,
10920,-54.512336,455,,,
11375,-54.815948,455,,,
11830,-82.324523,455,,,
12285,-58.147901,455,0.5356541872024536,6.509630227088929,6.7260830998420715
12740,-56.360214,455,,,
13195,-53.833331,455,,,
13650,-54.837728,455,,,
14105,-54.118579,455,0.8255873918533325,6.513906717300415,2.1650366827845575
14560,-68.021432,455,,,
15015,-75.694615,455,,,
15470,-56.601558,455,,,
15925,-56.701566,455,,,
16380,-69.263676,455,0.9119973182678223,6.521256756782532,1.1549900844693184
16835,-82.419312,455,,,
17290,-55.210008,455,,,
17745,-54.076943,455,,,
18200,-87.277643,455,0.8399375677108765,6.534367167949677,3.38080672621727
18655,-55.503039,455,,,
19110,-77.662573,455,,,
19565,-51.602723,455,,,
20020,-63.716775,455,,,
20475,-71.30913,455,0.8837713599205017,6.543623369932175,2.7208532348275183
20930,-52.710094,455,,,
21385,-66.042291,455,,,
21840,-54.53923,455,,,
22295,-91.983861,455,0.8954751491546631,6.562773442268371,3.1058016180992127
22750,-52.253758,455,,,
23205,-53.641303,455,,,
23660,-65.528656,455,,,
24115,-53.263534,455,,,
24570,-81.051744,455,0.9113524556159973,6.579819583892823,2.5176440879702566
25025,-77.169935,455,,,
25480,-74.533279,455,,,
25935,-73.898986,455,,,
26390,-51.783648,455,0.9215857982635498,6.598004120588302,2.5123775362968446
26845,-75.95229,455,,,
27300,-69.730098,455,,,
