timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-36.848743,455,,,
910,-40.763092,455,,,
1365,-48.047409,455,,,
1820,-53.487609,455,,,
2275,-39.660232,455,,,
2730,-45.291181,455,,,
3185,-34.228458,455,,,
3640,-37.500255,455,,,
4095,-34.775552,455,0.015320658683776855,6.398570966720581,7.567472648620606
4550,-34.708148,455,,,
5005,-37.370787,455,,,
5460,-31.716219,455,,,
5915,-35.924943,455,0.25956833362579346,6.414493131637573,7.0174600094556805
6370,-33.553132,455,,,
6825,-38.384675,455,,,
7280,-42.069783,455,,,
7735,-36.141372,455,,,
8190,-37.252009,455,0.6827160120010376,6.427955627441406,4.974767261743546
8645,-34.934701,455,,,
9100,-45.767853,455,,,
9555,-38.042163,455,,,
10010,-40.933848,455,0.7795566916465759,6.448952639102936,4.420008170604706
10465,-33.716118,455,,,
10920,-36.014619,455,,,
11375,-39.656596,455,,,
11830,-43.984845,455,,,
12285,-39.884915,455,0.7190380096435547,6.471428680419922,3.1194212973117827
12740,-32.551319,455,,,
13195,-37.377737,455,,,
13650,-36.105824,455,,,
14105,-35.933174,455,0.8492902517318726,6.477546513080597,3.35138867944479
14560,-48.411209,455,,,
15015,-53.614775,455,,,
15470,-38.031636,455,,,
15925,-39.635975,455,,,
16380,-39.233914,455,0.8795731067657471,6.486656612157821,3.597549447417259
16835,-52.316097,455,,,
17290,-35.171014,455,,,
17745,-34.671891,455,,,
18200,-49.937733,455,0.8550383448600769,6.492625159025192,3.283993920683861
18655,-34.998672,455,,,
19110,-36.788241,455,,,
19565,-31.970585,455,,,
20020,-43.044726,455,,,
20475,-41.717042,455,0.8870576024055481,6.51155042052269,3.3380843475461006
20930,-32.275531,455,,,
21385,-36.344295,455,,,
21840,-37.687844,455,,,
22295,-39.57839,455,0.8519245386123657,6.53204316496849,2.5838052526116373
22750,-33.446644,455,,,
23205,-32.83771,455,,,
23660,-51.67609,455,,,
24115,-30.533404,455,,,
24570,-37.579968,455,0.8984842896461487,6.541706508398056,3.2450049832463264
25025,-53.17548,455,,,
25480,-47.715276,455,,,
25935,-35.395356,455,,,
26390,-31.957446,455,0.8998188972473145,6.5610857009887695,2.5494904592633247
26845,-33.217642,455,,,
27300,-46.238489,455,,,
27755,-42.070257,455,,,
28210,-45.622328,455,,,
28665,-44.345207,455,0.8681804537773132,6.569360733032227,2.714908558130264
29120,-27.238442,455,,,
29575,-48.6939,455,,,
30030,-29.89437,455,,,
30485,-36.151644,455,0.8333063721656799,6.57285053730011,2.1329363971948623
30940,-32.985994,455,,,
31395,-43.244273,455,,,
31850,-48.938672,455,,,
32305,-30.027235,455,,,
32760,-32.315117,455,0.9134409427642822,6.580853831768036,2.9801268860697747
33215,-42.487026,455,,,
33670,-32.054601,455,,,
34125,-34.432407,455,,,
34580,-48.486126,455,0.9203264117240906,6.590125554800034,2.161371096968651
35035,-33.032477,455,,,
35490,-29.579656,455,,,
35945,-32.352945,455,,,
36400,-36.040097,455,,,
36855,-30.223259,455,0.9023699164390564,6.599444997310639,2.715337060391903
37310,-28.753321,455,,,
37765,-27.69463,455,,,
38220,-28.381872,455,,,
38675,-48.899409,455,0.9365415573120117,6.635553842782974,2.118250098824501
39130,-27.239306,455,,,
39585,-27.486535,455,,,
40040,-27.581015,455,,,
40495,-51.27318,455,,,
40950,-30.498018,455,0.935691773891449,6.663235825300217,2.4984798029065134
41405,-23.213171,455,,,
41860,-32.717129,455,,,
42315,-35.410251,455,,,
42770,-26.600574,455,0.9453652501106262,6.672991281747818,2.1176385655999184
43225,-26.352359,455,,,
43680,-29.64174,455,,,
44135,-36.694645,455,,,
44590,-25.430606,455,,,
45045,-28.964831,455,0.9555331468582153,6.669809323549271,1.8112628921866416
45500,-28.31352,455,,,
45955,-37.628012,455,,,
46410,-45.772426,455,,,
46865,-24.595345,455,0.9591524004936218,6.688174390792847,1.4177778117358684
47320,-27.399248,455,,,
47775,-34.458434,455,,,
48230,-22.630406,455,,,
48685,-38.386524,455,,,
49140,-29.091191,455,0.9496425986289978,6.707389909029007,1.8631594076752662
49595,-43.379526,455,,,
50050,-25.407816,455,,,
50505,-28.457709,455,,,
50960,-36.89913,455,0.9442180395126343,6.7130028247833256,1.5459099769592286
51415,-24.425082,455,,,
51870,-40.980631,455,,,
52325,-25.676929,455,,,
52780,-25.171387,455,,,
53235,-25.276917,455,0.952983021736145,6.722712224721908,2.0730352833867074
