timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-53.078412,455,,,
910,-63.690659,455,,,
1365,-61.336152,455,,,
1820,-62.21492,455,,,
2275,-51.704809,455,,,
2730,-55.349084,455,,,
3185,-50.908774,455,,,
3640,-52.206451,455,,,
4095,-49.165455,455,0.006112575531005859,6.383743584156036,7.729633873701095
4550,-47.641141,455,,,
5005,-51.239017,455,,,
5460,-67.46244,455,,,
5915,-51.728666,455,0.15811407566070557,6.376128762960434,7.111512833833695
6370,-69.769835,455,,,
6825,-49.739223,455,,,
7280,-67.478552,455,,,
7735,-50.542515,455,,,
8190,-46.767727,455,0.49857181310653687,6.369427800178528,5.668250194191932
8645,-67.079323,455,,,
9100,-71.873916,455,,,
9555,-63.875089,455,,,
10010,-67.659488,455,0.6333969831466675,6.374177944660187,5.571524804830551
10465,-51.946196,455,,,
10920,-46.295096,455,,,
11375,-45.612399,455,,,
11830,-55.159651,455,,,
12285,-47.699047,455,0.6065150499343872,6.3854654967784885,5.235065421462059
12740,-49.71318,455,,,
13195,-49.420978,455,,,
13650,-48.434288,455,,,
14105,-49.03682,455,0.7514272928237915,6.4025212824344635,3.8077551767230036
14560,-68.637067,455,,,
15015,-69.784227,455,,,
15470,-47.173647,455,,,
15925,-45.518212,455,,,
16380,-69.334289,455,0.8225311040878296,6.414336597919464,4.135563509166241
16835,-79.373866,455,,,
17290,-44.087794,455,,,
17745,-44.636397,455,,,
18200,-67.621433,455,0.8144872784614563,6.423600965738297,3.7776429504156113
18655,-46.512894,455,,,
19110,-69.390933,455,,,
19565,-45.117313,455,,,
20020,-55.814877,455,,,
20475,-67.125207,455,0.8637464046478271,6.4330503106117245,3.956904262304306
20930,-47.795893,455,,,
21385,-61.880307,455,,,
21840,-45.457687,455,,,
22295,-66.889713,455,0.8427929878234863,6.452403277158737,3.184206834435463
22750,-45.457976,455,,,
23205,-49.945095,455,,,
23660,-65.07594,455,,,
24115,-49.084667,455,,,
24570,-62.545481,455,0.8919567465782166,6.462152588367462,3.506850804388523
25025,-74.283588,455,,,
25480,-61.667522,455,,,
25935,-71.746489,455,,,
26390,-46.305546,455,0.8908524513244629,6.4681317687034605,2.942183588445187
26845,-47.820489,455,,,
27300,-69.719617,455,,,
27755,-58.761312,455,,,
28210,-79.112183,455,,,
28665,-61.671064,455,0.8521199822425842,6.479360979795456,3.273091071844101
29120,-42.871707,455,,,
29575,-67.530807,455,,,
30030,-44.46849,455,,,
30485,-59.384972,455,0.8448365926742554,6.486096334457398,2.9232725471258165
30940,-45.979737,455,,,
31395,-70.607524,455,,,
31850,-71.793031,455,,,
32305,-45.246738,455,,,
32760,-45.736889,455,0.9081699848175049,6.505408316850662,2.966232332587242
33215,-67.415822,455,,,
33670,-41.088648,455,,,
34125,-75.94007,455,,,
34580,-68.240009,455,0.9182335138320923,6.516795122623444,2.447974035143852
35035,-44.386651,455,,,
35490,-45.542956,455,,,
35945,-44.591909,455,,,
36400,-73.009694,455,,,
36855,-43.404076,455,0.9032835960388184,6.524993181228638,3.065758500993252
37310,-71.271007,455,,,
37765,-46.260716,455,,,
38220,-45.327966,455,,,
38675,-61.26819,455,0.9307539463043213,6.536013686656952,2.1335914872586725
39130,-45.753103,455,,,
39585,-42.354036,455,,,
40040,-43.083279,455,,,
40495,-64.117431,455,,,
40950,-44.779112,455,0.9300707578659058,6.549680072069168,2.431073118746281
41405,-43.16429,455,,,
41860,-38.730563,455,,,
42315,-65.283616,455,,,
42770,-37.212028,455,0.9482083320617676,6.575452619791031,1.6449569001793862
43225,-43.469192,455,,,
43680,-43.364047,455,,,
44135,-58.588854,455,,,
44590,-39.028397,455,,,
45045,-43.653324,455,0.955803394317627,6.602784913778305,1.6543753564357757
45500,-41.005639,455,,,
45955,-72.205836,455,,,
46410,-79.786262,455,,,
46865,-40.469609,455,0.9576306939125061,6.614880758523941,1.5259256392717362
47320,-39.611961,455,,,
47775,-65.758873,455,,,
48230,-40.008438,455,,,
48685,-62.773931,455,,,
49140,-39.247026,455,0.9449464082717896,6.627682226896286,1.7540279462933541
49595,-52.230726,455,,,
50050,-39.475307,455,,,
50505,-42.026232,455,,,
50960,-72.139918,455,0.9549127221107483,6.63489031791687,1.6044340670108794
51415,-43.748007,455,,,
51870,-54.472663,455,,,
52325,-40.985233,455,,,
52780,-40.597373,455,,,
53235,-34.607809,455,0.9543567895889282,6.639470791816711,2.416708950698376
53690,-57.215828,455,,,
54145,-36.4979,455,,,
54600,-60.452074,455,,,
