timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-66.322166,455,,,
910,-49.862177,455,,,
1365,-50.681188,455,,,
1820,-48.967573,455,,,
2275,-65.016588,455,,,
2730,-67.99685,455,,,
3185,-63.132529,455,,,
3640,-66.315326,455,,,
4095,-65.387046,455,-0.0023616552352905273,6.396529799699783,7.810618054866791
4550,-66.02386,455,,,
5005,-65.480297,455,,,
5460,-53.882844,455,,,
5915,-67.799957,455,0.10973560810089111,6.419561487436295,3.964310830831528
6370,-51.190208,455,,,
6825,-65.147653,455,,,
7280,-52.625003,455,,,
7735,-65.153984,455,,,
8190,-64.732275,455,0.11250394582748413,6.448865538835525,5.510458242893219
8645,-47.306583,455,,,
9100,-56.302786,455,,,
9555,-44.631523,455,,,
10010,-53.379293,455,0.2785946726799011,6.482390403747559,5.610103899240494
10465,-66.463588,455,,,
10920,-64.462952,455,,,
11375,-65.358848,455,,,
11830,-54.365403,455,,,
12285,-67.069129,455,0.3940008282661438,6.496573573350906,6.609935456514359
12740,-66.211262,455,,,
13195,-67.162316,455,,,
13650,-65.746879,455,,,
14105,-64.373208,455,0.5139279365539551,6.4979474425315855,3.8925588369369506
14560,-58.081413,455,,,
15015,-45.819195,455,,,
15470,-63.556073,455,,,
15925,-64.264956,455,,,
16380,-42.82697,455,0.5505074262619019,6.509687858819961,3.2109090059995653
16835,-52.202865,455,,,
17290,-66.039395,455,,,
17745,-64.044307,455,,,
18200,-55.876471,455,0.6185577511787415,6.515103256702423,4.991071051359176
18655,-64.024611,455,,,
19110,-48.563419,455,,,
19565,-62.430766,455,,,
20020,-46.213018,455,,,
20475,-48.908287,455,0.6861396431922913,6.5192847609519955,3.8404812425374986
20930,-61.318521,455,,,
21385,-53.302578,455,,,
21840,-63.587339,455,,,
22295,-51.347755,455,0.7079794406890869,6.531009155511856,4.208533057570458
22750,-65.767397,455,,,
23205,-62.228439,455,,,
23660,-42.488171,455,,,
24115,-59.378554,455,,,
24570,-56.771709,455,0.742857038974762,6.537890279293061,3.2873336166143416
25025,-50.601939,455,,,
25480,-50.680727,455,,,
25935,-50.342815,455,,,
26390,-63.433017,455,0.7523407340049744,6.5438198208808895,3.4665343880653383
26845,-50.693244,455,,,
27300,-44.699439,455,,,
27755,-41.488467,455,,,
28210,-49.179204,455,,,
28665,-42.238962,455,0.7592132091522217,6.559196108579636,3.9033749490976333
29120,-60.491925,455,,,
29575,-50.104113,455,,,
30030,-64.005484,455,,,
30485,-57.797588,455,0.7858370542526245,6.577905529737473,4.368152987957001
30940,-63.762974,455,,,
31395,-49.152633,455,,,
31850,-52.087987,455,,,
32305,-61.401335,455,,,
32760,-61.886514,455,0.8156557083129883,6.585490280389786,2.551821394264698
33215,-47.999218,455,,,
33670,-63.943784,455,,,
