timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-9.109059,139,,,
278,-6.123696,139,,,
417,-3.45585,139,,,
556,-18.900867,139,,,
695,-4.979883,139,,,
834,-5.995281,139,,,
973,8.16584,139,,,
1112,-4.404744,139,,,
1251,-6.133555,139,,,
1390,-2.344862,139,,,
1529,0.56432,139,,,
1668,-4.305349,139,,,
1807,-3.654893,139,,,
1946,-8.953221,139,,,
2085,-5.941155,139,,,
2224,-9.678655,139,,,
2363,-11.092334,139,,,
2502,-4.792878,139,,,
2641,6.565365,139,,,
2780,7.601314,139,,,
2919,-2.154489,139,,,
3058,4.502472,139,,,
3197,4.456406,139,,,
3336,-4.464923,139,,,
3475,-4.288838,139,,,
3614,-15.344291,139,,,
3753,-3.72205,139,,,
3892,-5.284363,139,,,
4031,-2.447951,139,0.0003991127014160156,3.4734187006950377,10.685247778892517
4170,-11.154045,139,,,
4309,-11.486539,139,,,
4448,-8.531381,139,,,
4587,-6.393998,139,,,
4726,4.726614,139,,,
4865,-9.076663,139,,,
5004,-0.409745,139,,,
5143,-3.183931,139,,,
5282,-6.624154,139,,,
5421,3.770912,139,,,
5560,-4.460972,139,,,
5699,-8.99806,139,,,
5838,-10.243249,139,,,
5977,-6.387992,139,,,
6116,-6.177002,139,0.17789417505264282,3.4668276757001877,9.314510262012481
6255,-6.402953,139,,,
6394,4.117164,139,,,
6533,2.737604,139,,,
6672,2.336645,139,,,
6811,-11.065694,139,,,
6950,-4.70119,139,,,
7089,-7.552734,139,,,
7228,-1.97358,139,,,
7367,0.40668,139,,,
7506,-0.792835,139,,,
7645,5.492182,139,,,
7784,3.028367,139,,,
7923,-2.374606,139,,,
8062,0.834857,139,0.5438574552536011,3.4773160219192505,7.072375571727752
8201,0.772002,139,,,
8340,-10.65438,139,,,
8479,-2.786116,139,,,
8618,-1.454702,139,,,
8757,-3.707905,139,,,
8896,-1.178936,139,,,
9035,-2.65613,139,,,
9174,-1.523892,139,,,
9313,-8.485726,139,,,
9452,-7.909914,139,,,
9591,5.414893,139,,,
9730,-9.218164,139,,,
9869,1.280946,139,,,
10008,-6.531338,139,,,
10147,-0.588781,139,0.6638756990432739,3.492802804708481,6.493053281307221
10286,0.499194,139,,,
10425,-1.795711,139,,,
10564,2.751815,139,,,
10703,-8.914407,139,,,
10842,-2.532193,139,,,
10981,0.814694,139,,,
11120,-8.843316,139,,,
11259,-8.758203,139,,,
11398,-1.237715,139,,,
11537,1.150729,139,,,
11676,-1.694422,139,,,
11815,-13.871297,139,,,
11954,-5.401749,139,,,
12093,-4.310777,139,,,
12232,-5.268201,139,0.7445428967475891,3.504802966117859,5.217085438966751
12371,-4.338191,139,,,
12510,-10.851856,139,,,
12649,-5.574393,139,,,
12788,-4.75264,139,,,
12927,-1.941903,139,,,
13066,-3.31324,139,,,
13205,-2.435796,139,,,
13344,-0.496703,139,,,
13483,1.147073,139,,,
13622,-7.527548,139,,,
13761,-6.246228,139,,,
13900,4.900639,139,,,
14039,-2.830118,139,,,
14178,5.804917,139,,,
14317,-6.15399,139,0.7621008157730103,3.5192817777395247,5.0460912674665455
14456,0.034958,139,,,
14595,-2.498988,139,,,
14734,-5.623431,139,,,
14873,-0.883739,139,,,
15012,-0.697496,139,,,
15151,-9.392736,139,,,
15290,3.935232,139,,,
15429,7.682583,139,,,
15568,8.173498,139,,,
15707,0.310132,139,,,
15846,-16.119471,139,,,
15985,-4.664056,139,,,
16124,-3.322887,139,,,
