timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,38.585531,455,,,
910,0.70875,455,,,
1365,-0.747603,455,,,
1820,-0.666673,455,,,
2275,69.433289,455,,,
2730,36.167854,455,,,
3185,34.549181,455,,,
3640,46.343407,455,,,
4095,36.107051,455,0.01472008228302002,6.390979343652726,6.962107384204865
4550,31.470687,455,,,
5005,51.491612,455,,,
5460,-7.84539,455,,,
5915,34.280322,455,0.49850547313690186,6.3952204287052155,3.612408456206322
6370,1.198085,455,,,
6825,51.642447,455,,,
7280,-13.025358,455,,,
7735,27.015949,455,,,
8190,38.70806,455,0.6883578300476074,6.398255783319473,4.3601312845945355
8645,-2.204427,455,,,
9100,-6.975769,455,,,
9555,0.600837,455,,,
10010,-4.68148,455,0.7926115989685059,6.403195339441299,4.345723727345467
10465,56.086377,455,,,
10920,49.797134,455,,,
11375,37.121768,455,,,
11830,6.562432,455,,,
12285,33.007504,455,0.6997841000556946,6.424550431966781,5.62329643368721
12740,30.694362,455,,,
13195,60.688515,455,,,
13650,39.304056,455,,,
14105,49.158251,455,0.872473418712616,6.433409917354584,3.5616975277662277
14560,-5.127032,455,,,
15015,-7.583754,455,,,
15470,63.197079,455,,,
15925,32.926267,455,,,
16380,1.321454,455,0.9318651556968689,6.426978939771653,2.608392706513405
16835,-2.810962,455,,,
17290,38.020998,455,,,
17745,39.262967,455,,,
18200,-4.599083,455,0.900907576084137,6.42013543844223,3.649740308523178
18655,31.259234,455,,,
19110,-5.435283,455,,,
19565,37.961852,455,,,
20020,-4.657148,455,,,
20475,6.008164,455,0.909324049949646,6.416340112686157,3.859299486875534
20930,37.083777,455,,,
21385,-12.155743,455,,,
21840,45.145106,455,,,
22295,0.837568,455,0.9010286331176758,6.41484814286232,3.6610635578632356
22750,64.657757,455,,,
23205,57.260275,455,,,
23660,4.74121,455,,,
24115,39.329153,455,,,
24570,-2.101431,455,0.9328863620758057,6.424776232242584,3.3302786529064177
25025,-1.307527,455,,,
25480,1.469371,455,,,
25935,1.179548,455,,,
26390,63.382598,455,0.9483708739280701,6.442978590726852,3.0046514540910723
26845,3.184078,455,,,
27300,7.17066,455,,,
27755,-3.867856,455,,,
28210,-3.727989,455,,,
28665,9.574233,455,0.928267776966095,6.447041547298431,3.7754735708236695
29120,39.201307,455,,,
29575,-3.076958,455,,,
30030,62.267028,455,,,
30485,2.202415,455,0.8515604734420776,6.453904062509537,4.435283643007279
30940,32.795868,455,,,
31395,-2.493279,455,,,
31850,-13.989025,455,,,
32305,50.19616,455,,,
32760,57.066466,455,0.9531977772712708,6.447012090682984,2.598720650374889
33215,3.758976,455,,,
33670,46.538207,455,,,
34125,2.344107,455,,,
34580,-10.264852,455,0.93024080991745,6.447321408987046,3.5052948623895643
35035,41.75887,455,,,
35490,42.76809,455,,,
