timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,68.722228,455,,,
910,0.592838,455,,,
1365,-6.090574,455,,,
1820,-11.77214,455,,,
2275,33.985888,455,,,
2730,37.633328,455,,,
3185,64.251531,455,,,
3640,35.484221,455,,,
4095,67.169498,455,0.021486282348632812,6.378850203752518,7.465988796949387
4550,33.749259,455,,,
5005,38.367569,455,,,
5460,-1.112574,455,,,
5915,36.598906,455,0.21582132577896118,6.372257316112519,5.518240198493004
6370,4.322549,455,,,
6825,34.06661,455,,,
7280,-15.808055,455,,,
7735,40.904711,455,,,
8190,65.96749,455,0.40796196460723877,6.386364215612412,4.638349929451943
8645,-6.686669,455,,,
9100,0.544342,455,,,
9555,-13.77923,455,,,
10010,-9.439715,455,0.6134257316589355,6.397475254535675,5.201815044879913
10465,34.958916,455,,,
10920,66.872094,455,,,
11375,74.760513,455,,,
11830,-4.892941,455,,,
12285,34.81247,455,0.29917049407958984,6.398291164636612,5.001420676708221
12740,31.396791,455,,,
13195,40.599297,455,,,
13650,77.382874,455,,,
14105,45.029905,455,0.7727196216583252,6.392933756113052,4.161526209115982
14560,1.193847,455,,,
15015,1.516606,455,,,
15470,34.69552,455,,,
15925,84.014671,455,,,
16380,-3.60486,455,0.9036063551902771,6.396854633092881,2.4951970636844636
16835,0.294527,455,,,
17290,39.204504,455,,,
17745,34.644697,455,,,
18200,-0.221978,455,0.8769791722297668,6.386893182992935,3.9979412496089934
18655,68.159855,455,,,
19110,-4.405175,455,,,
19565,72.994739,455,,,
20020,-1.766696,455,,,
20475,-5.576568,455,0.9079038500785828,6.3999033033847805,3.064517605304718
20930,36.85741,455,,,
21385,-10.504775,455,,,
21840,72.285082,455,,,
22295,-6.025518,455,0.9185940027236938,6.416220265626907,3.5323511213064194
22750,42.66347,455,,,
23205,36.373174,455,,,
23660,-7.999956,455,,,
24115,46.879739,455,,,
24570,-5.316422,455,0.9350305795669556,6.422893643379211,2.9790904760360717
25025,-15.215856,455,,,
25480,-7.57898,455,,,
25935,-4.516193,455,,,
26390,47.995222,455,0.9444904327392578,6.4265904545784,2.591554491221905
26845,-11.760752,455,,,
27300,-5.668563,455,,,
27755,-2.544236,455,,,
28210,4.376808,455,,,
28665,-8.493341,455,0.9156728982925415,6.432458162307739,2.5931871116161345
29120,68.203279,455,,,
29575,1.888488,455,,,
30030,42.622286,455,,,
30485,-9.250356,455,0.8169029355049133,6.426341080665589,3.2995051771402357
30940,34.137219,455,,,
31395,-2.150514,455,,,
31850,-3.455171,455,,,
32305,76.644967,455,,,
32760,41.291227,455,0.958390474319458,6.423585391044616,2.0556050166487694
33215,-1.83671,455,,,
33670,39.019962,455,,,
34125,-8.387392,455,,,
34580,-2.774474,455,0.9547239542007446,6.4329185605049135,2.1156302228569985
35035,91.090571,455,,,
35490,46.578336,455,,,
35945,53.848715,455,,,
36400,-9.664616,455,,,
36855,42.152597,455,0.9513242244720459,6.441813385486602,2.3194725647568704
37310,0.351312,455,,,
37765,89.9545,455,,,
38220,35.23101,455,,,
38675,1.496847,455,0.9447834491729736,6.441739416122436,2.7981675922870637
39130,41.503465,455,,,
39585,33.738255,455,,,
40040,42.994474,455,,,
40495,-8.399968,455,,,
40950,44.829814,455,0.9669443964958191,6.4351611495018,1.9889453575015068
41405,42.635163,455,,,
41860,38.111127,455,,,
42315,-4.096619,455,,,
42770,50.242509,455,0.9727254509925842,6.429415863752365,1.3769280537962914
43225,44.773587,455,,,
43680,39.975184,455,,,
44135,-3.811552,455,,,
44590,49.124172,455,,,
45045,37.990085,455,0.9630255699157715,6.430266571044922,1.9847685292363166
45500,33.915845,455,,,
45955,6.461524,455,,,
46410,-5.502606,455,,,
46865,40.3993,455,0.9689580798149109,6.423262912034988,1.8975597783923148
47320,47.402777,455,,,
47775,-7.506682,455,,,
48230,83.201851,455,,,
48685,-9.282926,455,,,
49140,43.067709,455,0.9727498292922974,6.4168221175670626,1.4142554327845573
49595,-1.319343,455,,,
50050,46.683541,455,,,
50505,72.198885,455,,,
50960,-0.154376,455,0.9625039100646973,6.407669430971145,2.316467472910881
51415,38.607915,455,,,
51870,1.749196,455,,,
52325,54.175695,455,,,
52780,100.819484,455,,,
53235,33.469415,455,0.9656156897544861,6.405476200580597,1.658523254096508
53690,-7.63325,455,,,
54145,43.255885,455,,,
54600,0.036213,455,,,
55055,-6.152169,455,0.9705747365951538,6.414554417133331,1.520482037961483
55510,4.973688,455,,,
55965,41.399616,455,,,
56420,84.196362,455,,,
56875,-6.718586,455,,,
57330,-6.264794,455,0.9530550837516785,6.427739262580872,1.9581007167696953
57785,40.815009,455,,,
58240,-12.008868,455,,,
58695,-0.351641,455,,,
59150,-5.281565,455,0.9656115770339966,6.429200822114945,2.150487996637821
59605,89.66067,455,,,
60060,76.082806,455,,,
60515,32.224716,455,,,
60970,77.297532,455,,,
61425,7.685784,455,0.959996223449707,6.427185130119324,2.316871793568134
61880,-8.304764,455,,,
62335,41.509367,455,,,
62790,95.376062,455,,,
63245,52.855212,455,0.9731023907661438,6.438358873128891,1.543922482430935
63700,-11.272215,455,,,
64155,93.208695,455,,,
64610,86.053481,455,,,
65065,51.46514,455,,,
65520,4.444914,455,0.9750565886497498,6.460754626989365,1.529512768983841
65975,4.036084,455,,,
66430,52.05285,455,,,
66885,-5.027001,455,,,
67340,58.477527,455,0.9733039736747742,6.469441622495651,2.0944445043802262
67795,-5.095984,455,,,
68250,45.836457,455,,,
68705,-2.967845,455,,,
69160,4.3636,455,,,
69615,4.865756,455,0.9744395017623901,6.482923102378845,1.666922102868557
70070,93.959193,455,,,
70525,-10.422938,455,,,
70980,43.039308,455,,,
71435,54.536553,455,0.9603326320648193,6.504445600509643,1.861520405113697
71890,-13.500587,455,,,
72345,60.1474,455,,,
72800,-7.321953,455,,,
73255,13.177971,455,,,
73710,-6.512701,455,0.9804616570472717,6.509184777736664,1.5471200853586198
74165,0.505985,455,,,
74620,55.887772,455,,,
75075,50.70596,455,,,
75530,-7.026088,455,0.964986264705658,6.523572039604187,2.1843956381082537
75985,3.774551,455,,,
76440,54.67976,455,,,
76895,53.201463,455,,,
77350,85.580595,455,,,
77805,2.394733,455,0.9771770238876343,6.534473776817322,1.7220174014568328
78260,57.583472,455,,,
78715,-5.683473,455,,,
79170,-9.822296,455,,,
79625,63.84474,455,0.9806654453277588,6.5381847560405735,1.521759058535099
80080,39.058296,455,,,
80535,45.39555,455,,,
80990,68.313172,455,,,
81445,75.794872,455,,,
81900,51.245754,455,0.9743438363075256,6.551173549890518,1.8129855334758758
82355,65.193237,455,,,
82810,2.685742,455,,,
83265,-13.445911,455,,,
83720,47.304415,455,0.9694063067436218,6.562629067897797,1.4812175504863263
84175,44.208401,455,,,
84630,-2.88724,455,,,
85085,-2.988159,455,,,
85540,74.887563,455,,,
85995,94.23914,455,0.9750669002532959,6.552371752262116,1.586154016852379
86450,97.637817,455,,,
86905,-3.561439,455,,,
87360,100.983592,455,,,
87815,95.442995,455,0.9755865335464478,6.5362918972969055,2.0909041285514833
88270,-4.908776,455,,,
88725,75.666132,455,,,
89180,93.563399,455,,,
89635,-4.321998,455,,,
90090,53.039811,455,0.981626033782959,6.532295078039169,1.5818326756358148
90545,72.557006,455,,,
91000,94.23755,455,,,
91455,-0.04587,455,,,
91910,10.335513,455,0.9722253084182739,6.526940435171127,2.2107998237013815
92365,43.840667,455,,,
92820,-6.253469,455,,,
93275,108.943829,455,,,
93730,108.642051,455,,,
94185,67.958236,455,0.9765563607215881,6.5296277642250065,1.946567463874817
94640,3.626354,455,,,
95095,-6.534163,455,,,
95550,47.74365,455,,,
96005,4.047149,455,0.9757353663444519,6.544456261396408,1.961065974831581
96460,1.352774,455,,,
96915,1.534504,455,,,
97370,50.073213,455,,,
97825,4.612451,455,,,
98280,-5.040353,455,0.9614081382751465,6.562271589040757,1.6499498009681701
98735,75.677648,455,,,
99190,1.566537,455,,,
99645,77.565917,455,,,
100100,43.636005,455,0.9599907994270325,6.5586072444915775,1.872599619626999
100555,73.65812,455,,,
101010,6.730969,455,,,
101465,-3.938644,455,,,
101920,-8.276127,455,,,
102375,83.259775,455,0.9788737297058105,6.557620179653168,1.8094268999993801
102830,98.05295,455,,,
103285,-3.871244,455,,,
103740,-0.528177,455,,,
104195,57.999796,455,0.9748836755752563,6.551559376716614,2.3960683226585386
104650,-18.705055,455,,,
105105,51.058918,455,,,
105560,4.959703,455,,,
106015,110.770926,455,,,
106470,44.93507,455,0.9831310510635376,6.542512130737305,1.4211195200681686
106925,2.322489,455,,,
107380,110.547164,455,,,
107835,2.959377,455,,,
108290,52.877561,455,0.981561541557312,6.526852464675903,1.3767205446958541
108745,-4.09934,455,,,
109200,76.005591,455,,,
109655,3.935723,455,,,
110110,58.865501,455,,,
110565,51.430055,455,0.9843116998672485,6.518029993772506,1.476498892903328
111020,-9.776341,455,,,
111475,37.169525,455,,,
111930,128.131204,455,,,
112385,101.455026,455,0.9814299941062927,6.5219445586204525,1.6258374340832233
112840,90.068026,455,,,
113295,-15.615626,455,,,
113750,74.613427,455,,,
114205,-2.604408,455,,,
114660,1.167608,455,0.9811800122261047,6.5244686841964725,1.7554142758250237
115115,77.863975,455,,,
115570,53.471504,455,,,
116025,0.401085,455,,,
116480,-0.147053,455,0.9739131927490234,6.5220348000526425,2.971413390338421
116935,87.541629,455,,,
117390,-1.657521,455,,,
117845,48.197452,455,,,
118300,57.039136,455,,,
118755,53.521461,455,0.9842062592506409,6.514522391557693,1.5254879891872406
119210,2.937531,455,,,
119665,58.299973,455,,,
120120,2.378569,455,,,
120575,-7.312494,455,0.9740109443664551,6.514843845367432,1.5830802977085114
121030,-2.326247,455,,,
121485,109.322333,455,,,
121940,-8.600993,455,,,
122395,-4.05608,455,,,
122850,-9.506445,455,0.9644312262535095,6.513920652866363,1.4587725430727005
123305,47.751389,455,,,
123760,86.340448,455,,,
124215,-2.832012,455,,,
124670,52.449437,455,0.9837227463722229,6.508603554964066,1.7612992852926255
125125,45.581809,455,,,
125580,98.652358,455,,,
126035,90.240171,455,,,
126490,-1.013903,455,,,
126945,100.299213,455,0.9845595955848694,6.518547517061234,1.3106520853936672
127400,98.016499,455,,,
127855,98.97311,455,,,
128310,59.037245,455,,,
128765,99.722859,455,0.9727405905723572,6.534333646297455,4.22877403497696
129220,-7.700918,455,,,
129675,105.215743,455,,,
130130,69.03237,455,,,
130585,3.721809,455,,,
131040,61.124759,455,0.9742308855056763,6.536879825592041,3.308832737803459
131495,115.062972,455,,,
131950,-0.978302,455,,,
132405,-7.370905,455,,,
132860,-4.946325,455,0.9800085425376892,6.54224317073822,2.278927578032017
133315,0.860544,455,,,
133770,9.016303,455,,,
134225,5.754588,455,,,
134680,122.288326,455,,,
135135,4.573926,455,0.9815629720687866,6.555798292160034,1.8009875863790512
135590,91.414633,455,,,
136045,62.445223,455,,,
136500,55.055632,455,,,
136955,104.377962,455,0.981488049030304,6.560916173458099,2.078162471950054
137410,117.578585,455,,,
137865,-2.087189,455,,,
138320,58.836968,455,,,
138775,132.529286,455,,,
139230,63.90534,455,0.9705895185470581,6.556851786375046,3.5676784723997117
139685,115.998576,455,,,
140140,63.610811,455,,,
140595,108.505889,455,,,
141050,3.074313,455,0.9836356043815613,6.5603904843330385,1.4992937594652176
141505,-0.46499,455,,,
141960,10.571777,455,,,
142415,62.30523,455,,,
142870,4.823249,455,,,
143325,120.930739,455,0.9831997156143188,6.557784235477447,2.8694245353341103
143780,5.005372,455,,,
144235,65.994553,455,,,
144690,-3.732187,455,,,
145145,0.756264,455,0.9852909445762634,6.570247757434845,1.7752264514565468
145600,118.784974,455,,,
146055,129.034431,455,,,
146510,1.863147,455,,,
146965,120.131918,455,,,
147420,5.578425,455,0.9873685240745544,6.578973716497421,1.3544021248817444
147875,72.264858,455,,,
148330,3.645675,455,,,
148785,7.594041,455,,,
149240,60.503822,455,0.9775257706642151,6.590795403718948,4.792155361175537
149695,-3.698739,455,,,
150150,-4.156056,455,,,
150605,117.228988,455,,,
151060,-3.899071,455,,,
151515,134.121111,455,0.9823946952819824,6.605679458379745,1.3165589332580567
151970,-1.344699,455,,,
152425,-3.434407,455,,,
152880,109.955248,455,,,
153335,64.240997,455,0.979764997959137,6.613810878992081,3.6483993500471117
153790,143.908961,455,,,
154245,-5.641523,455,,,
154700,117.705225,455,,,
155155,3.583773,455,,,
