timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-23.332644,455,,,
910,-36.879929,455,,,
1365,-35.665004,455,,,
1820,-39.382187,455,,,
2275,-19.315394,455,,,
2730,-34.130018,455,,,
3185,-19.684021,455,,,
3640,-21.483612,455,,,
4095,-20.322955,455,-0.02708613872528076,6.373720747232437,5.32400281727314
4550,-31.475391,455,,,
5005,-29.682226,455,,,
5460,-42.328905,455,,,
5915,-29.965364,455,0.3147522211074829,6.371775543689727,1.9446612171828748
6370,-35.267924,455,,,
6825,-23.359779,455,,,
7280,-34.304488,455,,,
7735,-22.182194,455,,,
8190,-20.416118,455,0.5784730911254883,6.404297548532486,2.3402105018496515
8645,-36.968828,455,,,
9100,-33.750056,455,,,
9555,-43.35622,455,,,
10010,-39.493821,455,0.6906819343566895,6.429656302928924,2.179446941614151
10465,-31.186891,455,,,
10920,-22.2488,455,,,
11375,-19.983606,455,,,
11830,-39.716625,455,,,
12285,-28.259207,455,0.6743921041488647,6.443547308444977,3.5343599021434784
12740,-27.745703,455,,,
13195,-20.8272,455,,,
13650,-21.119093,455,,,
14105,-27.264569,455,0.7371062636375427,6.468871259689331,1.0806932225823402
14560,-31.38637,455,,,
15015,-47.246015,455,,,
15470,-14.840953,455,,,
15925,-22.611449,455,,,
16380,-33.974841,455,0.9032675623893738,6.483964747190475,1.3683900505304336
16835,-40.848839,455,,,
17290,-30.977534,455,,,
17745,-24.940044,455,,,
18200,-38.558018,455,0.8507365584373474,6.489379251003266,2.2350734159350396
18655,-21.31235,455,,,
19110,-36.036851,455,,,
19565,-19.277898,455,,,
20020,-36.957037,455,,,
20475,-40.248692,455,0.8202803134918213,6.496679055690765,1.439379160106182
20930,-27.715446,455,,,
21385,-29.095483,455,,,
21840,-17.779626,455,,,
22295,-32.482051,455,0.8358603119850159,6.5032284498214725,1.7712505459785461
22750,-19.824335,455,,,
23205,-17.854865,455,,,
23660,-37.661056,455,,,
24115,-22.108115,455,,,
24570,-42.208304,455,0.9018263816833496,6.522631072998047,1.6997283473610878
25025,-42.271248,455,,,
25480,-27.202491,455,,,
25935,-35.603195,455,,,
26390,-7.935515,455,0.9119827151298523,6.543330520391464,1.759721504151821
26845,-39.18454,455,,,
27300,-40.020238,455,,,
27755,-38.616539,455,,,
28210,-34.835366,455,,,
28665,-44.016401,455,0.9051421880722046,6.552714318037033,2.458292934298515
29120,-18.371958,455,,,
29575,-40.173162,455,,,
30030,-15.67539,455,,,
30485,-29.732284,455,0.8940595984458923,6.557713067531585,2.219589826464653
30940,-27.314478,455,,,
31395,-40.413242,455,,,
31850,-37.216541,455,,,
32305,-19.613087,455,,,
32760,-22.850738,455,0.931220531463623,6.5573542475700375,1.5119804725050927
33215,-39.334304,455,,,
33670,-26.226486,455,,,
34125,-41.272793,455,,,
34580,-34.755193,455,0.902896523475647,6.555010038614273,1.207892956584692
35035,-15.345132,455,,,
35490,-31.051977,455,,,
35945,-22.182027,455,,,
36400,-38.191308,455,,,
36855,1.533366,455,0.9051663279533386,6.566170185804367,1.335111428052187
37310,-36.794054,455,,,
37765,-19.566207,455,,,
38220,-7.903091,455,,,
38675,-37.816584,455,0.9343976974487305,6.59106696844101,1.1811717115342617
39130,1.501712,455,,,
39585,-6.075499,455,,,
40040,-22.245544,455,,,
40495,-38.086625,455,,,
40950,-7.619694,455,0.9532740116119385,6.631314319372177,1.6982905507087707
41405,-21.304067,455,,,
41860,-29.614356,455,,,
42315,-38.527603,455,,,
42770,-19.579149,455,0.9669359922409058,6.645026504993439,1.3821255639195442
43225,-21.999123,455,,,
43680,-24.33519,455,,,
44135,-34.92085,455,,,
44590,-19.011001,455,,,
45045,-20.765616,455,0.9337308406829834,6.644788992404938,0.9162970099598169
45500,-8.501176,455,,,
45955,-39.163676,455,,,
46410,-38.974203,455,,,
46865,-9.006349,455,0.9443840980529785,6.64948622584343,0.7921839918941259
47320,-23.750595,455,,,
47775,-32.222977,455,,,
48230,-15.435746,455,,,
48685,-38.373385,455,,,
49140,-27.417155,455,0.9614256620407104,6.652697306871414,1.6486960396170616
49595,-35.572695,455,,,
50050,0.604853,455,,,
50505,-15.4582,455,,,
50960,-30.105983,455,0.9249892234802246,6.656660723686218,0.9677995204925537
51415,-5.010038,455,,,
51870,-35.590995,455,,,
52325,-0.064211,455,,,
52780,-18.399282,455,,,
53235,-23.651989,455,0.9610296487808228,6.661263447999954,1.5366498671472073
53690,-40.435582,455,,,
54145,-17.777489,455,,,
54600,-32.227129,455,,,
55055,-33.632785,455,0.9608272910118103,6.669493651390075,0.9296973690390586
55510,-32.321905,455,,,
55965,-20.278436,455,,,
56420,-16.212488,455,,,
56875,-35.093723,455,,,
57330,-39.085798,455,0.9257736802101135,6.6693572223186495,1.3623922616243362
57785,-16.486247,455,,,
58240,-43.677332,455,,,
58695,-29.204988,455,,,
59150,-34.362753,455,0.9368144869804382,6.6826415181159975,1.1400356948375703
59605,-14.56053,455,,,
60060,-15.623046,455,,,
60515,19.449171,455,,,
60970,-15.7517,455,,,
61425,-32.284998,455,0.9370309710502625,6.69567346572876,1.157287809252739
61880,-31.482922,455,,,
62335,14.233864,455,,,
62790,-19.015532,455,,,
