timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-27.219294,455,,,
910,-59.32144,455,,,
1365,-54.646107,455,,,
1820,-52.000421,455,,,
2275,19.337878,455,,,
2730,-26.485454,455,,,
3185,-34.941398,455,,,
3640,17.811888,455,,,
4095,-12.113432,455,0.017747581005096436,6.407357841730118,6.729422217607498
4550,-34.994848,455,,,
5005,13.301804,455,,,
5460,-63.734863,455,,,
5915,-31.571499,455,0.32306915521621704,6.424824738502503,3.861447107791901
6370,-66.491547,455,,,
6825,18.849231,455,,,
7280,-53.536675,455,,,
7735,-38.03442,455,,,
8190,-20.701778,455,0.5190824270248413,6.428143405914307,5.2490736693143845
8645,-60.867086,455,,,
9100,-58.58939,455,,,
9555,-54.151268,455,,,
10010,-52.07078,455,0.7691436409950256,6.439640504121781,3.6228581935167314
10465,18.431736,455,,,
10920,-24.763867,455,,,
11375,-23.152606,455,,,
11830,-49.471045,455,,,
12285,-39.407778,455,0.6927260160446167,6.455943924188614,5.955089336633682
12740,-25.931854,455,,,
13195,25.439142,455,,,
13650,-31.814587,455,,,
14105,33.140521,455,0.8661956787109375,6.470434767007828,2.9570897668600082
14560,-58.884405,455,,,
15015,-56.019165,455,,,
15470,24.935009,455,,,
15925,-28.723557,455,,,
16380,-57.233235,455,0.9261943697929382,6.482439321279526,2.445196259021759
16835,-54.939651,455,,,
17290,-30.376941,455,,,
17745,-24.421201,455,,,
18200,-53.226689,455,0.9023049473762512,6.490151119232178,3.4996739119291305
18655,-18.577863,455,,,
19110,-54.400402,455,,,
19565,-13.652665,455,,,
20020,-64.322431,455,,,
20475,-53.249148,455,0.9160783290863037,6.499959349632263,3.139254626631737
20930,-31.444746,455,,,
21385,-44.211513,455,,,
21840,-26.661542,455,,,
22295,-54.708367,455,0.8700954914093018,6.512442553043366,3.85711170732975
22750,25.914767,455,,,
23205,16.887953,455,,,
23660,-62.95508,455,,,
24115,-30.589088,455,,,
24570,-55.019028,455,0.9384470582008362,6.533537882566452,2.7488639786839486
25025,-57.451339,455,,,
25480,-57.424728,455,,,
25935,-48.878419,455,,,
26390,30.596934,455,0.9590175747871399,6.551849377155304,2.519019204378128
26845,-43.339869,455,,,
27300,-51.049608,455,,,
27755,-47.720615,455,,,
28210,-60.660304,455,,,
28665,-41.992651,455,0.9384505152702332,6.549550616741181,3.5561010211706163
29120,-16.269178,455,,,
29575,-48.091258,455,,,
30030,27.89995,455,,,
30485,-48.914989,455,0.8991124629974365,6.548893237113953,3.929660606384277
30940,-23.457045,455,,,
31395,-57.099751,455,,,
31850,-44.51117,455,,,
32305,-20.629505,455,,,
32760,-29.899612,455,0.961127758026123,6.556297683715821,2.340917521715164
33215,-50.187284,455,,,
33670,-30.839778,455,,,
34125,-65.746414,455,,,
34580,-46.890946,455,0.9523884654045105,6.562884479761124,2.08289548009634
35035,-21.763487,455,,,
35490,-26.341703,455,,,
35945,-25.465818,455,,,
36400,-61.571076,455,,,
36855,36.10803,455,0.9459517002105713,6.5658489763736725,2.7729189932346343
37310,-51.615767,455,,,
37765,-27.009877,455,,,
38220,46.245777,455,,,
38675,-58.974888,455,0.9756719470024109,6.568518084287644,1.448693785071373
39130,32.111317,455,,,
39585,40.490134,455,,,
40040,-24.778241,455,,,
40495,-54.129629,455,,,
40950,50.011612,455,0.962771475315094,6.583875954151154,2.2390333086252214
41405,-7.489937,455,,,
41860,-23.442473,455,,,
42315,-47.522524,455,,,
42770,-12.381831,455,0.9764853715896606,6.600157368183136,1.549352692067623
43225,-24.941773,455,,,
43680,-18.764638,455,,,
44135,-48.717082,455,,,
44590,-19.258532,455,,,
45045,-16.503826,455,0.970462441444397,6.619007891416549,1.766482727229595
45500,57.036484,455,,,
45955,-60.431438,455,,,
46410,-48.176792,455,,,
46865,54.489491,455,0.9749345779418945,6.640575504302978,1.5625044316053391
47320,-22.262985,455,,,
47775,-67.607251,455,,,
48230,-23.341091,455,,,
48685,-61.702037,455,,,
49140,-12.486142,455,0.9753507375717163,6.675050342082978,2.3838880702853205
49595,-56.44566,455,,,
50050,41.873263,455,,,
50505,-24.612769,455,,,
50960,-49.3438,455,0.9570950865745544,6.7084357142448425,1.8530603393912315
51415,50.67291,455,,,
51870,-51.198216,455,,,
52325,53.869979,455,,,
52780,-21.830038,455,,,
53235,-12.895611,455,0.9741165637969971,6.715736812353134,1.9711365923285484
53690,-53.435962,455,,,
54145,-4.483461,455,,,
54600,-49.132956,455,,,
55055,-47.510676,455,0.98176509141922,6.728475362062454,1.6117317602038383
55510,-55.414564,455,,,
55965,-8.712367,455,,,
56420,-17.610978,455,,,
56875,-59.106429,455,,,
57330,-65.951638,455,0.9476586580276489,6.734693473577499,2.611137294769287
57785,0.87576,455,,,
58240,-49.079665,455,,,
58695,-51.891699,455,,,
59150,-44.707948,455,0.9584847688674927,6.734725290536881,1.9552341133356095
59605,-21.736157,455,,,
60060,-21.335804,455,,,
60515,57.555768,455,,,
60970,-26.377796,455,,,
61425,-53.231488,455,0.953056275844574,6.744625192880631,2.509112146496773
61880,-53.877692,455,,,
62335,43.283659,455,,,
62790,-23.581522,455,,,
63245,-14.163612,455,0.9773666858673096,6.764196765422821,1.2587771639227867
63700,-56.935022,455,,,
64155,-11.511406,455,,,
64610,-16.370096,455,,,
65065,-2.161202,455,,,
65520,-47.828357,455,0.9810800552368164,6.782296872138977,1.4223361805081367
65975,-65.731602,455,,,
66430,-8.115056,455,,,
66885,-50.598261,455,,,
67340,53.7853,455,0.9642447829246521,6.781288653612137,1.3897165007889272
67795,-54.037357,455,,,
68250,47.76806,455,,,
68705,-56.139372,455,,,
69160,-52.861665,455,,,
69615,-50.351014,455,0.9799375534057617,6.786148363351822,1.8565036803483963
70070,-21.373212,455,,,
70525,-62.26831,455,,,
70980,65.431746,455,,,
71435,-13.133001,455,0.9761555790901184,6.798394626379013,2.0041066363453863
71890,-57.730124,455,,,
72345,-0.692688,455,,,
72800,-52.449556,455,,,
73255,-43.559063,455,,,
73710,-51.151755,455,0.9800687432289124,6.808318078517914,1.6749569773674011
74165,-60.632065,455,,,
74620,-4.765347,455,,,
75075,68.840636,455,,,
75530,-55.146668,455,0.9624725580215454,6.829965656995773,2.103607125580311
75985,-43.915772,455,,,
76440,8.360945,455,,,
76895,3.889534,455,,,
77350,-12.740253,455,,,
77805,-51.606374,455,0.9823382496833801,6.839526796340943,1.9802805483341217
78260,-4.564019,455,,,
78715,-43.465136,455,,,
79170,-48.333266,455,,,
79625,1.459015,455,0.9731107354164124,6.84960286617279,1.3566640496253968
80080,52.6315,455,,,
80535,66.219346,455,,,
80990,4.317942,455,,,
81445,9.947992,455,,,
81900,76.493066,455,0.9804794192314148,6.868233960866928,1.6859173387289048
82355,12.719189,455,,,
82810,-56.389672,455,,,
83265,-44.597141,455,,,
83720,75.300571,455,0.9821150302886963,6.876319295167923,1.8404226288199426
84175,63.161401,455,,,
84630,-54.749573,455,,,
85085,-54.724094,455,,,
85540,8.272233,455,,,
85995,-17.071699,455,0.9857059121131897,6.892541301250458,1.820570854842663
86450,-8.743862,455,,,
86905,-34.95298,455,,,
87360,-15.553016,455,,,
87815,-17.558803,455,0.979844868183136,6.915503054857254,1.569207026064396
88270,-48.705833,455,,,
88725,18.706654,455,,,
89180,-18.148612,455,,,
89635,-52.495721,455,,,
90090,81.163851,455,0.9629417061805725,6.935031372308731,1.3803218305110931
90545,20.659992,455,,,
91000,-13.428552,455,,,
91455,-45.78002,455,,,
91910,-51.312414,455,0.9818612337112427,6.962848472595215,1.6328454628586768
92365,67.725639,455,,,
92820,-54.048002,455,,,
93275,-18.888827,455,,,
93730,-10.39198,455,,,
94185,24.336377,455,0.9815029501914978,6.982649338245392,1.3711828380823134
94640,-44.109519,455,,,
95095,-50.295606,455,,,
95550,82.156866,455,,,
96005,-41.580454,455,0.9817354679107666,7.005238175392151,1.4485340237617492
96460,-52.96768,455,,,
96915,-53.488836,455,,,
97370,84.754683,455,,,
97825,-45.644291,455,,,
98280,-54.88049,455,0.98314368724823,7.030355435609818,2.091385032236576
98735,16.668258,455,,,
99190,-33.806951,455,,,
99645,4.006951,455,,,
100100,75.660097,455,0.9824763536453247,7.047460830211639,2.152986340224743
100555,19.482517,455,,,
101010,-48.381674,455,,,
101465,-45.422714,455,,,
101920,-44.43271,455,,,
102375,19.288735,455,0.9783410429954529,7.053191071748733,1.593743558228016
102830,-19.05248,455,,,
103285,-49.20642,455,,,
103740,-53.195454,455,,,
104195,93.227474,455,0.9707383513450623,7.06183762550354,1.9646503925323486
104650,-53.249348,455,,,
105105,78.929311,455,,,
105560,-44.1952,455,,,
106015,-13.325821,455,,,
106470,83.150692,455,0.9813637137413025,7.0579239428043365,1.8345902860164642
106925,-54.396297,455,,,
107380,-13.211394,455,,,
107835,-47.069198,455,,,
108290,97.117838,455,0.9821722507476807,7.0751359283924105,1.9060097306966781
108745,-46.854163,455,,,
109200,3.682922,455,,,
109655,-48.429537,455,,,
110110,13.120061,455,,,
110565,80.781043,455,0.9824761748313904,7.109357905387879,1.9181881874799729
111020,-40.860408,455,,,
111475,93.295308,455,,,
111930,-4.014746,455,,,
112385,-16.864611,455,0.9824143052101135,7.110622519254685,1.4828513354063033
112840,8.008026,455,,,
113295,-47.077362,455,,,
113750,-4.689399,455,,,
114205,-50.909116,455,,,
114660,-50.867107,455,0.9822328686714172,7.1211195349693295,1.324442357569933
115115,3.087922,455,,,
115570,93.366029,455,,,
116025,-39.67653,455,,,
116480,-43.728371,455,0.9628691673278809,7.139119791984558,1.9211710005998612
116935,-3.675037,455,,,
117390,-44.880081,455,,,
117845,99.550633,455,,,
118300,91.578153,455,,,
118755,101.487674,455,0.9836642742156982,7.168152010440826,1.4957432478666306
119210,-60.916522,455,,,
119665,94.985733,455,,,
120120,-48.834974,455,,,
120575,-50.852278,455,0.9796501994132996,7.191497963666916,2.4079908028244974
121030,-48.005468,455,,,
121485,-11.720418,455,,,
121940,-45.98965,455,,,
122395,-46.314048,455,,,
122850,-54.023491,455,0.9805663228034973,7.202134084701538,2.4544931992888452
123305,115.460345,455,,,
123760,8.457896,455,,,
124215,-51.785746,455,,,
124670,101.826532,455,0.9690388441085815,7.20876596570015,1.8421593815088273
125125,119.770538,455,,,
125580,7.767143,455,,,
126035,6.515253,455,,,
126490,-52.565426,455,,,
126945,6.634995,455,0.9826940298080444,7.217983210086823,2.4778588593006132
127400,23.239842,455,,,
127855,-19.055804,455,,,
128310,117.928676,455,,,
128765,10.950171,455,0.9803691506385803,7.237761420011521,2.1391465574502946
129220,-47.410533,455,,,
129675,14.709496,455,,,
130130,127.004373,455,,,
130585,-53.978339,455,,,
131040,120.367504,455,0.9873567819595337,7.257649862766266,1.665428204089403
131495,-5.969997,455,,,
131950,-46.876565,455,,,
132405,-52.252889,455,,,
132860,-44.561188,455,0.9843953847885132,7.268747192621231,2.6162210389971734
133315,-48.447873,455,,,
133770,-46.194066,455,,,
134225,-37.938071,455,,,
134680,-4.787486,455,,,
135135,-51.984408,455,0.959325909614563,7.274724006652832,2.1197021901607513
135590,24.414432,455,,,
136045,117.504312,455,,,
136500,111.341311,455,,,
136955,12.335819,455,0.9556084871292114,7.295113909244537,2.1099877551198007
137410,-6.269713,455,,,
137865,-37.773357,455,,,
138320,140.781395,455,,,
138775,-3.295981,455,,,
139230,135.69943,455,0.9839504957199097,7.307893335819244,2.314234858751297
139685,5.219568,455,,,
140140,143.35272,455,,,
140595,22.152464,455,,,
141050,-53.679535,455,0.9870138168334961,7.32942607998848,2.8495684027671815
141505,-50.725858,455,,,
141960,-46.050277,455,,,
142415,140.714491,455,,,
142870,-47.882265,455,,,
143325,-14.177197,455,0.9853483438491821,7.3426281094551085,2.164594094455242
143780,-55.792195,455,,,
144235,124.087471,455,,,
144690,-53.107164,455,,,
145145,-46.392112,455,0.9868733882904053,7.3482850909233095,2.129609356820583
145600,26.59536,455,,,
146055,-3.363201,455,,,
146510,-53.246548,455,,,
146965,33.43809,455,,,
147420,-47.303731,455,0.986953854560852,7.360988503694534,2.2195516273379328
147875,153.876938,455,,,
148330,-41.431623,455,,,
148785,-49.838575,455,,,
149240,143.11177,455,0.978364109992981,7.3956087827682495,1.474974735081196
149695,-40.605469,455,,,
150150,-51.330735,455,,,
150605,24.942938,455,,,
151060,-43.432202,455,,,
151515,-7.519334,455,0.9906397461891174,7.4340951323509215,2.4364911913871765
151970,-50.456113,455,,,
152425,-45.39931,455,,,
152880,14.583183,455,,,
153335,134.461165,455,0.9719095826148987,7.470929282903671,1.3795876681804657
153790,-5.088508,455,,,
154245,-44.944826,455,,,
154700,3.267122,455,,,
