timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-22.183712,455,,,
910,-84.061456,455,,,
1365,-67.801187,455,,,
1820,-73.842142,455,,,
2275,-0.32146,455,,,
2730,-41.894749,455,,,
3185,-14.235902,455,,,
3640,17.380529,455,,,
4095,-36.207295,455,0.012863218784332275,6.388312184810639,8.682180434465408
4550,-40.303261,455,,,
5005,5.126158,455,,,
5460,-69.037571,455,,,
5915,-42.786466,455,0.3119181990623474,6.393351382017135,4.322053259611129
6370,-67.04,455,,,
6825,7.151415,455,,,
7280,-65.564629,455,,,
7735,-36.489025,455,,,
8190,-26.280823,455,0.6314854025840759,6.388563638925552,5.717968359589577
8645,-64.688522,455,,,
9100,-78.304283,455,,,
9555,-62.296348,455,,,
10010,-75.832221,455,0.7973141074180603,6.370052844285965,4.375995594263077
10465,-0.632736,455,,,
10920,-23.711487,455,,,
11375,-21.657714,455,,,
11830,-70.213139,455,,,
12285,-41.942869,455,0.688907265663147,6.389906775951386,6.587449377775192
12740,-45.709851,455,,,
13195,3.873898,455,,,
13650,-28.644875,455,,,
14105,11.138775,455,0.873848557472229,6.4339305579662325,3.7845735609531403
14560,-65.684904,455,,,
15015,-82.774356,455,,,
15470,-0.371432,455,,,
15925,-35.072495,455,,,
16380,-75.427145,455,0.9317517876625061,6.459614408016205,2.758888304233551
16835,-73.741611,455,,,
17290,-43.887976,455,,,
17745,-33.233757,455,,,
18200,-74.915959,455,0.9201841354370117,6.478056001663208,3.749700090289116
18655,-30.391185,455,,,
19110,-68.88108,455,,,
19565,-26.806985,455,,,
20020,-72.511856,455,,,
20475,-66.089466,455,0.9200339317321777,6.4987366676330565,3.1835402876138685
20930,-36.805576,455,,,
21385,-68.256027,455,,,
21840,-17.427634,455,,,
22295,-65.668416,455,0.86717289686203,6.525782203674316,4.158154568076133
22750,8.548395,455,,,
23205,4.070138,455,,,
23660,-77.642334,455,,,
24115,-42.414767,455,,,
24570,-75.698082,455,0.9337890148162842,6.543458902835846,3.120349818468094
25025,-75.650096,455,,,
25480,-67.706425,455,,,
25935,-85.710353,455,,,
26390,7.151201,455,0.962670087814331,6.552955663204193,2.907089051604271
26845,-68.841084,455,,,
27300,-63.309622,455,,,
27755,-74.517555,455,,,
28210,-63.27622,455,,,
28665,-70.102803,455,0.9476551413536072,6.561665731668472,3.9606667876243593
29120,-21.290311,455,,,
29575,-76.853299,455,,,
30030,3.684756,455,,,
30485,-66.915265,455,0.8828067779541016,6.581991225481033,4.0586945623159405
30940,-34.513172,455,,,
31395,-65.773098,455,,,
31850,-70.617029,455,,,
32305,-8.996984,455,,,
32760,-31.109231,455,0.9601231217384338,6.581967729330063,2.399815835058689
33215,-71.542527,455,,,
33670,-32.848575,455,,,
34125,-63.429073,455,,,
34580,-80.763737,455,0.9548516273498535,6.597427088022232,2.12297316044569
35035,-30.466219,455,,,
35490,-31.700689,455,,,
35945,-37.093718,455,,,
36400,-60.994631,455,,,
36855,6.215505,455,0.9419235587120056,6.6249114036560055,3.005380192399025
37310,-74.376286,455,,,
37765,-6.540273,455,,,
38220,7.018587,455,,,
38675,-78.688738,455,0.9805457592010498,6.634486985206604,1.4365224599838258
39130,3.664322,455,,,
39585,10.966742,455,,,
40040,-20.771159,455,,,
40495,-79.741644,455,,,
40950,1.879913,455,0.9696571826934814,6.632045710086823,2.0908528447151182
41405,-38.16622,455,,,
41860,-39.441179,455,,,
42315,-66.167991,455,,,
42770,-28.176688,455,0.9793974757194519,6.62050701379776,1.3969852671027183
43225,-26.616751,455,,,
43680,-36.759705,455,,,
44135,-68.752044,455,,,
44590,-28.15757,455,,,
45045,-22.139284,455,0.9717509746551514,6.624706590175629,1.9195802077651023
45500,6.545025,455,,,
45955,-67.680371,455,,,
46410,-72.063761,455,,,
46865,1.099273,455,0.9753830432891846,6.661712431907654,1.6176013022661209
47320,-36.399037,455,,,
47775,-64.883045,455,,,
48230,-17.317835,455,,,
48685,-64.565237,455,,,
49140,-25.151251,455,0.9829144477844238,6.688167876005172,1.8652818739414214
49595,-73.037704,455,,,
50050,3.932713,455,,,
50505,-17.697358,455,,,
50960,-74.876569,455,0.9634023308753967,6.702237540483475,1.927842615544796
51415,4.674915,455,,,
51870,-67.6014,455,,,
52325,4.699733,455,,,
52780,0.727085,455,,,
53235,-26.476062,455,0.9770879745483398,6.72809162735939,1.7797157749533654
53690,-73.603245,455,,,
54145,-22.020636,455,,,
54600,-67.066847,455,,,
55055,-77.555458,455,0.9801334142684937,6.7440514087677,1.4530206069350242
55510,-72.593674,455,,,
55965,-29.462115,455,,,
56420,-6.499726,455,,,
56875,-63.674503,455,,,
57330,-69.905727,455,0.9509666562080383,6.75474151968956,2.8000226497650145
57785,-23.761452,455,,,
58240,-71.800919,455,,,
58695,-66.28325,455,,,
59150,-72.319676,455,0.9611068367958069,6.758840733766556,2.131293460726738
59605,1.366396,455,,,
60060,-13.122188,455,,,
60515,24.675302,455,,,
60970,-12.523095,455,,,
61425,-75.550367,455,0.965225338935852,6.773483872413635,2.367020584642887
61880,-69.004713,455,,,
62335,24.106896,455,,,
62790,-19.156923,455,,,
63245,-21.271535,455,0.9774448275566101,6.799285060167312,1.4697530746459961
63700,-74.793538,455,,,
64155,2.771681,455,,,
64610,-1.715051,455,,,
65065,-17.837655,455,,,
65520,-74.661849,455,0.9796059727668762,6.832233649492264,1.5547078236937524
65975,-69.254738,455,,,
66430,-16.513485,455,,,
66885,-65.564855,455,,,
67340,16.562072,455,0.96952223777771,6.855114507675171,1.541420616209507
67795,-79.699836,455,,,
68250,24.867489,455,,,
68705,-59.658741,455,,,
69160,-70.135508,455,,,
69615,-79.26864,455,0.9787340760231018,6.858524590730667,2.0529428526759146
70070,6.077037,455,,,
70525,-67.891482,455,,,
70980,19.784546,455,,,
71435,-15.392521,455,0.9771840572357178,6.871072846651077,2.1663352847099304
71890,-65.534699,455,,,
72345,-21.947155,455,,,
72800,-66.247333,455,,,
73255,-68.552102,455,,,
73710,-80.455443,455,0.98292475938797,6.88265181183815,1.4748635277152062
74165,-66.313256,455,,,
74620,-10.610464,455,,,
75075,20.973305,455,,,
75530,-72.461418,455,0.9643417000770569,6.885377132892609,2.217590494453907
75985,-77.421315,455,,,
76440,-19.114136,455,,,
76895,-12.609816,455,,,
77350,1.097319,455,,,
77805,-67.474019,455,0.9830301403999329,6.8892994821071625,1.8483819991350174
78260,-4.613521,455,,,
78715,-70.497191,455,,,
79170,-73.837508,455,,,
79625,-13.434023,455,0.984421968460083,6.900364321470261,1.260994629561901
80080,19.656763,455,,,
80535,26.506915,455,,,
80990,0.317535,455,,,
81445,-6.49694,455,,,
81900,22.03296,455,0.9815895557403564,6.90750093460083,1.8470677375793456
82355,-8.966669,455,,,
82810,-73.050769,455,,,
83265,-78.378199,455,,,
83720,41.748762,455,0.9863187074661255,6.931297844648361,0.886518357694149
84175,24.697007,455,,,
84630,-55.676756,455,,,
85085,-69.026384,455,,,
85540,-10.226034,455,,,
85995,-2.442303,455,0.9814514517784119,6.960108762979507,1.7615873619914055
86450,-4.358234,455,,,
86905,-60.340111,455,,,
87360,1.952976,455,,,
87815,-6.238548,455,0.9776456952095032,6.985855394601822,1.8082438588142395
88270,-65.725605,455,,,
88725,-16.337228,455,,,
89180,4.786768,455,,,
89635,-64.959484,455,,,
90090,35.278427,455,0.9776387810707092,7.004720973968506,1.4653170980513095
90545,-4.04509,455,,,
91000,-9.483283,455,,,
91455,-67.60861,455,,,
91910,-52.502014,455,0.9846869707107544,7.030001997947693,1.0486131630837918
92365,40.223218,455,,,
92820,-63.937751,455,,,
93275,2.33983,455,,,
93730,10.076905,455,,,
94185,-7.210404,455,0.9821223616600037,7.056964910030365,1.310161256045103
94640,-67.412083,455,,,
95095,-62.021385,455,,,
95550,51.379701,455,,,
96005,-53.615395,455,0.9810957312583923,7.0666530430316925,1.438798013329506
96460,-66.849025,455,,,
96915,-64.572815,455,,,
97370,44.273018,455,,,
97825,-63.007875,455,,,
98280,-72.193773,455,0.9794682264328003,7.060733950138092,2.084244576096535
98735,4.408157,455,,,
