timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-37.729694,455,,,
910,-40.397992,455,,,
1365,-33.832526,455,,,
1820,-37.257951,455,,,
2275,18.626473,455,,,
2730,-33.948036,455,,,
3185,-27.346586,455,,,
3640,15.988919,455,,,
4095,-24.081514,455,0.008481144905090332,6.419703435897827,5.837525701522827
4550,-26.521418,455,,,
5005,22.558602,455,,,
5460,-51.373015,455,,,
5915,-34.960377,455,0.27728766202926636,6.463085180521011,3.6188549563288688
6370,-50.387881,455,,,
6825,26.170254,455,,,
7280,-39.456557,455,,,
7735,-46.784442,455,,,
8190,-37.018581,455,0.5459727048873901,6.492024213075638,4.250178009271622
8645,-33.860586,455,,,
9100,-42.901761,455,,,
9555,-34.616286,455,,,
10010,-31.84082,455,0.7872766256332397,6.5175605595111845,2.7808843672275545
10465,23.087577,455,,,
10920,-29.656371,455,,,
11375,-29.114883,455,,,
11830,-48.916383,455,,,
12285,-49.305971,455,0.590538740158081,6.533469897508621,5.239048182964325
12740,-45.401377,455,,,
13195,23.797408,455,,,
13650,-34.418652,455,,,
14105,31.943596,455,0.8490802049636841,6.533243024349213,2.592638935148716
14560,-39.118953,455,,,
15015,-44.921565,455,,,
15470,17.817984,455,,,
15925,-30.004095,455,,,
16380,-50.820081,455,0.9412186741828918,6.5614466547966,2.2208717077970506
16835,-46.876761,455,,,
17290,-39.330838,455,,,
17745,-34.578307,455,,,
18200,-46.205282,455,0.9087682366371155,6.586398267745972,2.4350082233548163
18655,-36.607205,455,,,
19110,-52.383896,455,,,
19565,-22.158738,455,,,
20020,-44.556608,455,,,
20475,-47.102042,455,0.8969865441322327,6.599077308177948,3.0237427979707716
20930,-35.230777,455,,,
21385,-42.298085,455,,,
21840,-28.584653,455,,,
22295,-51.297407,455,0.8388487100601196,6.611773520708084,2.997126117348671
22750,21.049675,455,,,
23205,38.59444,455,,,
23660,-38.962011,455,,,
24115,-23.793274,455,,,
24570,-50.01739,455,0.935587465763092,6.614509391784668,2.3221443220973015
25025,-51.859073,455,,,
25480,-43.172188,455,,,
25935,-50.47537,455,,,
26390,32.399738,455,0.9332721829414368,6.622614061832428,2.7247496396303177
26845,-41.660438,455,,,
27300,-37.434527,455,,,
27755,-40.67337,455,,,
28210,-38.256688,455,,,
28665,-39.523662,455,0.9043288230895996,6.641830682754517,3.4016337782144546
29120,-34.859499,455,,,
29575,-42.299221,455,,,
30030,25.818696,455,,,
30485,-56.100227,455,0.8047465085983276,6.666308343410492,3.4230360060930254
30940,-40.214825,455,,,
31395,-43.801489,455,,,
31850,-41.703611,455,,,
32305,-21.68539,455,,,
32760,-48.445706,455,0.9549751281738281,6.681752073764801,1.8252594128251076
33215,-42.365961,455,,,
33670,-35.170335,455,,,
34125,-52.426116,455,,,
34580,-28.028766,455,0.9421731233596802,6.67052338719368,1.8996035858988762
35035,-26.698972,455,,,
35490,-31.482826,455,,,
35945,-37.891104,455,,,
36400,-50.645141,455,,,
36855,37.581065,455,0.9183017015457153,6.656969326734543,2.629588836431503
37310,-43.238469,455,,,
37765,-32.873384,455,,,
38220,30.0009,455,,,
38675,-39.321992,455,0.9713785648345947,6.656892842054367,1.4313141405582428
39130,29.629063,455,,,
39585,22.758937,455,,,
40040,-32.032762,455,,,
40495,-37.758073,455,,,
40950,34.331797,455,0.9648483991622925,6.664984565973282,1.7123307839035988
41405,-33.641366,455,,,
41860,-43.36011,455,,,
42315,-27.278013,455,,,
42770,-33.094286,455,0.9703280329704285,6.668190294504166,1.476217868924141
43225,-41.231794,455,,,
43680,-45.114188,455,,,
44135,-34.22499,455,,,
44590,-28.503737,455,,,
45045,-40.461615,455,0.9720464944839478,6.68415619134903,1.213135579228401
45500,28.96916,455,,,
45955,-55.483645,455,,,
46410,-46.519977,455,,,
46865,42.581333,455,0.9793716073036194,6.714101028442383,1.0581418007612229
47320,-37.31951,455,,,
47775,-43.403848,455,,,
48230,-32.356862,455,,,
48685,-44.910716,455,,,
49140,-31.102395,455,0.9714111089706421,6.736880898475647,1.6380161359906196
49595,-46.046554,455,,,
50050,27.610001,455,,,
50505,-29.463588,455,,,
50960,-45.000456,455,0.9497058391571045,6.752669960260391,1.7562657058238984
51415,48.508881,455,,,
51870,-37.705206,455,,,
52325,37.918605,455,,,
52780,-26.279101,455,,,
53235,-23.749941,455,0.9695879220962524,6.781393504142761,1.5630443871021271
53690,-38.015259,455,,,
54145,-26.838384,455,,,
54600,-41.135853,455,,,
55055,-40.484496,455,0.9767846465110779,6.809982252120972,1.2188843213021756
55510,-34.253788,455,,,
55965,-35.584809,455,,,
56420,-27.284479,455,,,
56875,-34.781681,455,,,
57330,-41.041911,455,0.9349637031555176,6.839993631839752,2.279252144694328
57785,-21.103593,455,,,
58240,-42.45408,455,,,
58695,-34.795369,455,,,
59150,-25.608426,455,0.9491927623748779,6.856766474246979,1.5726834386587143
59605,-27.930167,455,,,
60060,-27.643709,455,,,
60515,44.64332,455,,,
60970,-27.903278,455,,,
61425,-42.56974,455,0.9490243196487427,6.873016428947449,1.8799566984176637
61880,-39.497571,455,,,
62335,42.428065,455,,,
62790,-26.711091,455,,,
63245,-16.034197,455,0.9754177331924438,6.885562175512314,0.9408577933907509
63700,-38.452775,455,,,
64155,-16.447511,455,,,
64610,-28.745733,455,,,
65065,-22.610936,455,,,
65520,-33.745494,455,0.9725562930107117,6.877923649549484,1.5074887171387672
65975,-37.469676,455,,,
66430,-10.302471,455,,,
66885,-37.552587,455,,,
67340,41.988385,455,0.9709618091583252,6.873297548294067,0.9896102949976922
67795,-41.881977,455,,,
68250,40.774518,455,,,
68705,-42.754404,455,,,
69160,-42.755415,455,,,
69615,-36.535329,455,0.9689892530441284,6.877416402101517,1.8000391378998757
70070,-26.075582,455,,,
70525,-40.154282,455,,,
70980,37.931632,455,,,
71435,-15.301296,455,0.9592410922050476,6.885598719120026,1.9635616675019265
71890,-32.935999,455,,,
72345,-14.414644,455,,,
72800,-40.172816,455,,,
73255,-39.219492,455,,,
73710,-33.072666,455,0.9771339297294617,6.8974934160709385,1.366789285093546
74165,-45.157302,455,,,
74620,-18.584239,455,,,
75075,56.785422,455,,,
75530,-34.089348,455,0.9460158944129944,6.915255099534988,1.9176904901862144
75985,-31.1761,455,,,
76440,-14.171484,455,,,
76895,-13.105096,455,,,
77350,-26.6321,455,,,
77805,-45.799512,455,0.9698850512504578,6.9183456122875215,1.6906486302614212
78260,-8.814843,455,,,
78715,-34.8941,455,,,
79170,-47.289129,455,,,
79625,-12.509444,455,0.9807935953140259,6.924252051115036,0.9794187247753143
80080,55.56554,455,,,
80535,46.995519,455,,,
80990,-7.90728,455,,,
81445,-22.863131,455,,,
81900,56.139855,455,0.9820114374160767,6.9234242796897885,1.2461214706301689
82355,-3.908509,455,,,
82810,-34.202403,455,,,
83265,-36.675085,455,,,
83720,57.065413,455,0.9839073419570923,6.929524636268615,1.3265909902751445
84175,56.012074,455,,,
84630,-36.419341,455,,,
85085,-47.017598,455,,,
85540,-7.310919,455,,,
85995,-22.117034,455,0.9814645051956177,6.9415352761745455,1.3792770937085153
86450,-21.678978,455,,,
86905,-34.767496,455,,,
87360,-14.183491,455,,,
87815,-29.553345,455,0.9765352010726929,6.946693193912506,1.3865391999483108
88270,-36.453856,455,,,
88725,-9.355476,455,,,
89180,-20.883501,455,,,
89635,-34.149954,455,,,
90090,71.282578,455,0.9668537378311157,6.964778697490692,1.1385727502405643
90545,3.868703,455,,,
91000,-24.078222,455,,,
91455,-36.290903,455,,,
91910,-32.766412,455,0.9774280190467834,6.978069418668747,1.5744683943688869
92365,67.631373,455,,,
92820,-38.235261,455,,,
93275,-18.820462,455,,,
93730,-12.02958,455,,,
94185,-1.606984,455,0.982988715171814,6.985485416650772,1.1728819161653519
94640,-37.573094,455,,,
95095,-36.553882,455,,,
95550,74.23604,455,,,
96005,-30.387677,455,0.9840625524520874,7.003775095939636,1.1097539074718952
96460,-45.192871,455,,,
96915,-33.636026,455,,,
97370,74.442141,455,,,
97825,-41.645556,455,,,
98280,-40.169191,455,0.9728990793228149,7.011450558900833,2.1483349457383154
98735,8.788314,455,,,
99190,-35.203539,455,,,
99645,12.496322,455,,,
100100,84.601573,455,0.9744734168052673,7.030749899148941,1.9463939890265465
100555,2.384651,455,,,
101010,-24.502251,455,,,
101465,-31.345307,455,,,
101920,-30.500578,455,,,
102375,8.853736,455,0.9868500232696533,7.049395936727524,1.4242921382188798
102830,-14.335198,455,,,
103285,-30.163717,455,,,
103740,-29.579589,455,,,
104195,75.827679,455,0.9799125790596008,7.066217440366745,1.6283214882016182
104650,-45.254382,455,,,
105105,89.294732,455,,,
105560,-27.683308,455,,,
106015,-17.039218,455,,,
106470,89.313356,455,0.9760451316833496,7.077514094114304,1.729670612514019
106925,-46.042922,455,,,
107380,-10.79566,455,,,
107835,-34.947313,455,,,
108290,86.382954,455,0.979387640953064,7.08395671248436,1.986177697777748
108745,-28.524654,455,,,
109200,10.807156,455,,,
109655,-39.969024,455,,,
110110,3.1364,455,,,
110565,82.663895,455,0.9739826321601868,7.096883767843247,2.169163504242897
111020,-34.164385,455,,,
111475,91.038425,455,,,
111930,-14.536115,455,,,
112385,-20.261152,455,0.9838333129882812,7.114012736082077,1.773864783346653
112840,-0.728673,455,,,
113295,-25.030463,455,,,
113750,-8.212095,455,,,
114205,-30.805538,455,,,
114660,-39.675177,455,0.979012131690979,7.136744648218155,1.779978084564209
115115,6.327604,455,,,
115570,102.935703,455,,,
116025,-25.05579,455,,,
116480,-23.674933,455,0.9803345799446106,7.15615354180336,1.343433965742588
116935,-12.157364,455,,,
117390,-31.186841,455,,,
117845,85.344283,455,,,
118300,80.522003,455,,,
118755,80.928369,455,0.985081136226654,7.156752955913544,1.710673025250435
119210,-25.886194,455,,,
119665,96.29343,455,,,
120120,-33.764402,455,,,
120575,-33.963714,455,0.9815421104431152,7.169827908277512,1.7009449437260629
121030,-43.493595,455,,,
121485,-17.969468,455,,,
121940,-22.148297,455,,,
122395,-33.624562,455,,,
122850,-41.173948,455,0.9762152433395386,7.192697471380233,2.1792938992381097
123305,77.098477,455,,,
