timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,13.109949,139,,,
278,12.750625,139,,,
417,15.305902,139,,,
556,8.062807,139,,,
695,12.708723,139,,,
834,12.924614,139,,,
973,29.329388,139,,,
1112,13.974729,139,,,
1251,16.082352,139,,,
1390,17.128087,139,,,
1529,17.108282,139,,,
1668,17.509897,139,,,
1807,16.188482,139,,,
1946,13.589124,139,,,
2085,13.371988,139,,,
2224,8.706926,139,,,
2363,7.376197,139,,,
2502,13.131413,139,,,
2641,26.094012,139,,,
2780,27.274057,139,,,
2919,20.728511,139,,,
3058,23.585144,139,,,
3197,23.100213,139,,,
3336,17.707414,139,,,
3475,14.463604,139,,,
3614,4.40238,139,,,
3753,13.817629,139,,,
3892,13.107591,139,,,
4031,17.418357,139,0.0008928775787353516,3.471512031555176,10.672778069972992
4170,9.211364,139,,,
4309,11.708406,139,,,
4448,11.50041,139,,,
4587,12.691348,139,,,
4726,23.680336,139,,,
4865,9.997496,139,,,
5004,23.796025,139,,,
5143,15.84866,139,,,
5282,13.438882,139,,,
5421,23.049322,139,,,
5560,14.759317,139,,,
5699,10.414246,139,,,
5838,11.093664,139,,,
5977,16.667001,139,,,
6116,12.089076,139,0.17532223463058472,3.4635925561189653,10.444993495941162
6255,12.303018,139,,,
6394,27.572295,139,,,
6533,19.860486,139,,,
6672,24.597248,139,,,
6811,9.023851,139,,,
6950,11.09697,139,,,
7089,10.479111,139,,,
7228,21.402473,139,,,
7367,18.059182,139,,,
7506,20.14823,139,,,
7645,24.870686,139,,,
7784,22.246131,139,,,
7923,16.102247,139,,,
8062,16.54551,139,0.5040833950042725,3.467845359444618,7.427835512161255
8201,18.547243,139,,,
8340,8.546944,139,,,
8479,17.242251,139,,,
8618,15.974457,139,,,
8757,14.228396,139,,,
8896,18.591544,139,,,
9035,22.106008,139,,,
9174,17.224316,139,,,
9313,10.624507,139,,,
9452,14.393069,139,,,
9591,22.017212,139,,,
9730,9.61222,139,,,
9869,19.493967,139,,,
10008,10.927565,139,,,
10147,15.925725,139,0.6862515211105347,3.4713908582925797,6.715210801362991
10286,18.084769,139,,,
10425,16.924606,139,,,
10564,20.141106,139,,,
10703,9.780301,139,,,
10842,16.444862,139,,,
10981,20.397502,139,,,
11120,12.605397,139,,,
11259,9.532416,139,,,
11398,18.018084,139,,,
11537,19.706537,139,,,
11676,16.644031,139,,,
11815,5.187098,139,,,
11954,13.612157,139,,,
12093,14.660037,139,,,
12232,12.725805,139,0.784059464931488,3.4861384987831117,5.079134780168533
12371,15.449227,139,,,
12510,8.199731,139,,,
12649,17.771964,139,,,
12788,14.06771,139,,,
12927,16.780804,139,,,
13066,15.047711,139,,,
13205,16.201572,139,,,
13344,18.223436,139,,,
13483,18.495609,139,,,
13622,15.642248,139,,,
13761,12.089012,139,,,
13900,20.036182,139,,,
14039,17.237098,139,,,
14178,24.052624,139,,,
14317,12.631548,139,0.7932242155075073,3.4955310016870498,5.187866196036339
14456,20.866202,139,,,
14595,11.655475,139,,,
14734,12.393429,139,,,
14873,21.30111,139,,,
15012,18.249224,139,,,
15151,13.058725,139,,,
15290,22.17107,139,,,
15429,26.761617,139,,,
15568,26.538708,139,,,
15707,19.553313,139,,,
15846,7.677894,139,,,
15985,17.06167,139,,,
16124,14.332753,139,,,
16263,20.421208,139,0.8107545971870422,3.5019780546426773,4.562034597992897
16402,15.699451,139,,,
16541,18.890761,139,,,
16680,18.934032,139,,,
16819,26.33943,139,,,
16958,16.239409,139,,,
17097,13.573068,139,,,
17236,15.832315,139,,,
17375,17.516608,139,,,
17514,15.201566,139,,,
17653,12.219909,139,,,
17792,19.001612,139,,,
17931,28.599878,139,,,
18070,19.542378,139,,,
18209,16.739011,139,,,
18348,22.893051,139,0.8294126987457275,3.5011201441287993,4.461749535799027
18487,18.408253,139,,,
18626,13.532884,139,,,
