timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-8.958655,139,,,
278,-5.458573,139,,,
417,-0.466508,139,,,
556,-0.188165,139,,,
695,5.671685,139,,,
834,-9.369347,139,,,
973,-10.100605,139,,,
1112,-2.53829,139,,,
1251,6.743006,139,,,
1390,-1.695663,139,,,
1529,-0.701406,139,,,
1668,1.681826,139,,,
1807,0.645074,139,,,
1946,-5.541077,139,,,
2085,-2.03722,139,,,
2224,-5.486158,139,,,
2363,-10.811181,139,,,
2502,-1.337969,139,,,
2641,2.508983,139,,,
2780,10.40457,139,,,
2919,4.039527,139,,,
3058,-9.733775,139,,,
3197,-8.236876,139,,,
3336,-5.55233,139,,,
3475,-3.316672,139,,,
3614,0.331036,139,,,
3753,-4.705601,139,,,
3892,-14.957351,139,,,
4031,-4.522234,139,-0.0016791820526123047,3.4997776836156844,12.541367053985596
