timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,10.580819,139,,,
278,13.602249,139,,,
417,16.600291,139,,,
556,19.129337,139,,,
695,21.732487,139,,,
834,8.618774,139,,,
973,7.828752,139,,,
1112,14.463042,139,,,
1251,23.312548,139,,,
1390,13.976143,139,,,
1529,19.621262,139,,,
1668,20.671706,139,,,
1807,19.670105,139,,,
1946,14.197434,139,,,
2085,16.387112,139,,,
2224,13.286055,139,,,
2363,12.152438,139,,,
2502,17.616452,139,,,
2641,21.259882,139,,,
2780,29.838132,139,,,
2919,21.833242,139,,,
3058,9.011976,139,,,
3197,9.526973,139,,,
3336,10.82305,139,,,
3475,17.140355,139,,,
3614,19.022523,139,,,
3753,13.065935,139,,,
3892,3.296549,139,,,
4031,13.951804,139,-0.003250598907470703,3.4954114735126494,12.738103544712066
4170,13.254685,139,,,
4309,15.042262,139,,,
4448,9.77269,139,,,
4587,16.78057,139,,,
4726,21.652716,139,,,
4865,23.880828,139,,,
5004,18.842504,139,,,
5143,15.117414,139,,,
5282,21.048845,139,,,
5421,22.271854,139,,,
5560,17.750464,139,,,
5699,9.543646,139,,,
5838,8.671558,139,,,
5977,20.123083,139,,,
6116,25.703906,139,0.012454807758331299,3.5084884226322175,12.667899930477143
6255,11.429075,139,,,
6394,14.025872,139,,,
6533,20.001798,139,,,
6672,12.12389,139,,,
6811,12.571847,139,,,
6950,11.29365,139,,,
7089,11.420764,139,,,
7228,21.764962,139,,,
7367,21.036403,139,,,
7506,14.216229,139,,,
7645,20.571674,139,,,
7784,23.121381,139,,,
7923,17.551141,139,,,
8062,19.238731,139,0.1333199143409729,3.5087848633527754,10.985442525148391
8201,17.535864,139,,,
8340,14.291851,139,,,
8479,19.071746,139,,,
8618,17.043408,139,,,
8757,16.221598,139,,,
8896,20.677029,139,,,
9035,16.08399,139,,,
9174,9.898354,139,,,
9313,24.725841,139,,,
9452,13.508429,139,,,
9591,21.456836,139,,,
9730,8.136031,139,,,
9869,8.696553,139,,,
10008,18.346004,139,,,
10147,5.888051,139,0.46378517150878906,3.5034047275781632,7.9359947681427006
10286,6.761031,139,,,
10425,15.528993,139,,,
10564,24.231536,139,,,
10703,9.57761,139,,,
10842,10.606141,139,,,
10981,16.430353,139,,,
11120,13.941746,139,,,
11259,14.834646,139,,,
11398,25.617149,139,,,
11537,9.183788,139,,,
11676,22.055522,139,,,
11815,19.874998,139,,,
11954,9.967948,139,,,
12093,9.142373,139,,,
12232,11.930382,139,0.692415177822113,3.5035691887140272,6.70987833738327
12371,21.190411,139,,,
12510,14.210189,139,,,
12649,18.01544,139,,,
12788,28.836835,139,,,
12927,16.079637,139,,,
13066,14.657507,139,,,
13205,12.231593,139,,,
13344,12.288296,139,,,
13483,17.862294,139,,,
13622,18.508055,139,,,
13761,17.908205,139,,,
13900,12.990219,139,,,
14039,21.285502,139,,,
14178,12.699421,139,,,
14317,15.896397,139,0.779881477355957,3.5133257120847703,5.778586187958718
14456,15.810503,139,,,
14595,9.202843,139,,,
14734,14.134264,139,,,
14873,6.423546,139,,,
15012,16.858712,139,,,
15151,13.524801,139,,,
15290,16.238103,139,,,
15429,11.206828,139,,,
15568,25.459917,139,,,
15707,14.96562,139,,,
15846,10.997658,139,,,
15985,19.806571,139,,,
16124,16.514615,139,,,
16263,20.662104,139,0.8145878314971924,3.514453426003456,5.457670092582703
16402,12.054577,139,,,
16541,11.637526,139,,,
16680,19.48888,139,,,
16819,17.288553,139,,,
16958,17.409555,139,,,
17097,19.786879,139,,,
17236,21.816413,139,,,
17375,16.985129,139,,,
17514,22.392999,139,,,
17653,23.274347,139,,,
17792,22.068805,139,,,
17931,8.613269,139,,,
18070,18.141589,139,,,
18209,13.09835,139,,,
18348,23.811749,139,0.8326342105865479,3.51221686899662,5.218916314840317
18487,9.350333,139,,,
18626,11.618408,139,,,
18765,15.164356,139,,,
18904,13.615349,139,,,
19043,18.780766,139,,,
19182,16.020209,139,,,
19321,13.215155,139,,,
19460,19.948058,139,,,
19599,13.586168,139,,,
19738,16.767185,139,,,
19877,14.320546,139,,,
20016,20.651652,139,,,
20155,13.040432,139,,,
20294,20.046108,139,,,
20433,18.193813,139,0.8313793540000916,3.510834205150604,4.516614779829979
20572,14.546336,139,,,
