timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,10.806172,139,,,
278,13.58404,139,,,
417,15.305339,139,,,
556,5.190803,139,,,
695,12.707009,139,,,
834,12.922212,139,,,
973,27.980202,139,,,
1112,13.973819,139,,,
1251,12.409901,139,,,
1390,17.129188,139,,,
1529,18.371914,139,,,
1668,15.735195,139,,,
1807,16.187181,139,,,
1946,14.308242,139,,,
2085,13.370533,139,,,
2224,8.608925,139,,,
2363,7.343967,139,,,
2502,13.057348,139,,,
2641,25.917316,139,,,
2780,27.142874,139,,,
2919,16.721805,139,,,
3058,23.4844,139,,,
3197,22.97292,139,,,
3336,15.725437,139,,,
3475,16.108234,139,,,
3614,6.643103,139,,,
3753,15.168394,139,,,
3892,13.021027,139,,,
4031,17.352819,139,0.0011510848999023438,3.472136580944061,10.556824553012849
