timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,21.657206,139,,,
278,4.24876,139,,,
417,20.721014,139,,,
556,13.509707,139,,,
695,8.775206,139,,,
834,28.660661,139,,,
973,14.468193,139,,,
1112,14.109528,139,,,
1251,22.408983,139,,,
1390,16.000291,139,,,
1529,15.676475,139,,,
1668,15.779457,139,,,
1807,15.366191,139,,,
1946,22.245335,139,,,
2085,12.736382,139,,,
2224,21.578264,139,,,
2363,12.928778,139,,,
2502,12.661138,139,,,
2641,13.812228,139,,,
2780,24.482996,139,,,
2919,19.500677,139,,,
3058,13.590405,139,,,
3197,21.887488,139,,,
3336,17.285482,139,,,
3475,15.137255,139,,,
3614,15.152259,139,,,
3753,12.473893,139,,,
3892,23.929417,139,,,
4031,12.51133,139,-0.001338958740234375,3.485151708126068,14.117475128173828
4170,11.711131,139,,,
4309,14.205578,139,,,
4448,9.517627,139,,,
4587,12.678066,139,,,
4726,8.540912,139,,,
4865,16.941423,139,,,
5004,23.368717,139,,,
5143,15.577285,139,,,
5282,19.279924,139,,,
5421,7.057576,139,,,
5560,26.644406,139,,,
5699,14.266249,139,,,
5838,8.751904,139,,,
5977,18.73994,139,,,
6116,21.981817,139,0.0554274320602417,3.4867767661809923,12.317733359336852
6255,20.261347,139,,,
6394,16.710794,139,,,
6533,9.242428,139,,,
6672,21.37868,139,,,
6811,21.432951,139,,,
6950,17.386648,139,,,
7089,14.366187,139,,,
7228,14.264089,139,,,
7367,9.330229,139,,,
7506,13.03737,139,,,
7645,15.963874,139,,,
7784,9.200927,139,,,
7923,15.660558,139,,,
8062,21.288742,139,0.2188587188720703,3.489882603287697,9.707261061668396
8201,9.356283,139,,,
8340,13.270563,139,,,
8479,18.062045,139,,,
8618,30.198865,139,,,
8757,15.657582,139,,,
8896,20.358921,139,,,
9035,28.328085,139,,,
9174,10.681695,139,,,
9313,14.645281,139,,,
9452,13.249895,139,,,
9591,23.263347,139,,,
9730,26.364404,139,,,
9869,18.174631,139,,,
10008,20.956493,139,,,
10147,18.107387,139,0.5269365906715393,3.4897902995347976,7.022753870487213
10286,16.180737,139,,,
10425,20.214157,139,,,
10564,11.73385,139,,,
10703,12.517972,139,,,
10842,12.125126,139,,,
10981,16.636839,139,,,
11120,14.885654,139,,,
11259,18.078234,139,,,
11398,21.806183,139,,,
11537,16.767201,139,,,
11676,3.166815,139,,,
11815,19.969182,139,,,
11954,13.733086,139,,,
12093,16.734258,139,,,
12232,20.989512,139,0.7275853157043457,3.4921098828315733,6.508372330665589
12371,21.574333,139,,,
12510,18.722132,139,,,
12649,18.406771,139,,,
12788,20.342879,139,,,
12927,21.891398,139,,,
13066,18.042536,139,,,
13205,22.816627,139,,,
13344,18.425584,139,,,
13483,17.220931,139,,,
13622,17.444196,139,,,
13761,11.496336,139,,,
13900,16.600274,139,,,
14039,19.672102,139,,,
14178,9.935936,139,,,
14317,17.110178,139,0.8015261888504028,3.492725658416748,4.968576231598854
14456,25.989457,139,,,
14595,11.35076,139,,,
14734,16.806016,139,,,
14873,15.957842,139,,,
15012,16.977905,139,,,
15151,24.447903,139,,,
15290,9.890007,139,,,
15429,20.403424,139,,,
15568,11.958472,139,,,
15707,18.607108,139,,,
15846,14.442239,139,,,
15985,29.00877,139,,,
16124,11.575282,139,,,
16263,11.70998,139,0.8207000494003296,3.491176649928093,5.280637741088867
16402,26.777191,139,,,
16541,21.615711,139,,,
16680,22.090034,139,,,
16819,21.59146,139,,,
16958,17.933521,139,,,
17097,11.62453,139,,,
17236,19.528238,139,,,
17375,12.275196,139,,,
