timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-7.766198,139,,,
278,-5.459153,139,,,
417,-0.467319,139,,,
556,-0.189996,139,,,
695,2.977614,139,,,
834,-10.130661,139,,,
973,-11.571554,139,,,
1112,-3.95995,139,,,
1251,4.691416,139,,,
1390,-4.062319,139,,,
1529,1.469251,139,,,
1668,1.681903,139,,,
1807,-0.807785,139,,,
1946,-5.541088,139,,,
2085,-2.97363,139,,,
2224,-5.555665,139,,,
2363,-7.672733,139,,,
2502,-0.872701,139,,,
2641,2.477169,139,,,
2780,10.336866,139,,,
2919,4.034546,139,,,
3058,-9.692864,139,,,
3197,-9.603321,139,,,
3336,-7.736416,139,,,
3475,-1.317559,139,,,
3614,0.292395,139,,,
3753,-5.905372,139,,,
3892,-15.796062,139,,,
4031,-5.315489,139,-0.0015735626220703125,3.5003358095884325,11.991569590568542
4170,-5.045331,139,,,
4309,-3.394151,139,,,
4448,-8.243208,139,,,
4587,-0.903037,139,,,
4726,1.954162,139,,,
4865,5.191527,139,,,
5004,-0.786103,139,,,
5143,-4.511975,139,,,
5282,2.493052,139,,,
5421,3.669378,139,,,
5560,-2.404593,139,,,
5699,-9.236942,139,,,
5838,-11.276535,139,,,
5977,1.712437,139,,,
6116,7.179359,139,0.029098808765411377,3.516330525279045,11.58309073448181
6255,-8.500483,139,,,
6394,-5.947079,139,,,
6533,0.725126,139,,,
6672,-6.292007,139,,,
6811,-6.974566,139,,,
6950,-6.931098,139,,,
7089,-5.713509,139,,,
7228,2.57277,139,,,
7367,3.379067,139,,,
7506,-4.251167,139,,,
7645,0.866629,139,,,
7784,4.936587,139,,,
7923,-0.776398,139,,,
8062,0.381317,139,0.23607784509658813,3.517346167564392,8.157718771696091
8201,-1.781668,139,,,
8340,-4.760385,139,,,
8479,0.640856,139,,,
8618,-1.855768,139,,,
8757,-2.95961,139,,,
8896,1.143323,139,,,
9035,-2.463632,139,,,
9174,-8.84093,139,,,
9313,6.478035,139,,,
9452,-4.805973,139,,,
9591,3.964152,139,,,
9730,-9.68111,139,,,
9869,-9.535105,139,,,
10008,-2.442744,139,,,
10147,-13.519192,139,0.5743500590324402,3.515339085459709,6.399091619253158
10286,-13.280977,139,,,
10425,-2.308362,139,,,
10564,6.201278,139,,,
10703,-8.706908,139,,,
10842,-9.061694,139,,,
10981,-1.407431,139,,,
11120,-5.187269,139,,,
11259,-3.038592,139,,,
11398,7.53438,139,,,
11537,-9.621937,139,,,
11676,4.022317,139,,,
11815,2.520119,139,,,
11954,-9.049411,139,,,
12093,-9.271568,139,,,
12232,-6.654911,139,0.7020355463027954,3.517679813504219,5.770230859518051
12371,3.239846,139,,,
12510,-4.339337,139,,,
12649,-0.96783,139,,,
12788,10.147031,139,,,
12927,-1.422885,139,,,
13066,-4.07827,139,,,
13205,-7.463321,139,,,
13344,-6.95432,139,,,
13483,-1.416049,139,,,
13622,-0.20036,139,,,
13761,-0.08154,139,,,
13900,-5.17109,139,,,
14039,3.852249,139,,,
14178,-6.515626,139,,,
14317,-1.916516,139,0.7668110728263855,3.5277276575565337,4.6119089156389235
14456,-2.7469,139,,,
14595,-9.329048,139,,,
14734,-4.507913,139,,,
14873,-11.489483,139,,,
15012,-1.463423,139,,,
15151,-5.09603,139,,,
15290,-3.114662,139,,,
15429,-7.125992,139,,,
15568,6.332848,139,,,
15707,-2.926307,139,,,
15846,-6.938545,139,,,
15985,1.180677,139,,,
16124,-1.384831,139,,,
16263,1.922026,139,0.7988908886909485,3.5320037573575975,4.417745104432106
16402,-6.550057,139,,,
16541,-5.649522,139,,,
16680,0.346795,139,,,
16819,-1.030198,139,,,
16958,-1.022856,139,,,
17097,1.511324,139,,,
17236,2.230621,139,,,
17375,-2.174631,139,,,
17514,4.008133,139,,,
17653,5.660004,139,,,
17792,3.559606,139,,,
17931,-9.498411,139,,,
18070,0.5094,139,,,
18209,-5.082282,139,,,
18348,4.89813,139,0.8357793688774109,3.5339891612529755,3.8505978316068648
18487,-8.727356,139,,,
18626,-6.636015,139,,,
18765,-3.325698,139,,,
18904,-4.572719,139,,,
19043,0.313401,139,,,
19182,-1.219276,139,,,
19321,-5.07884,139,,,
19460,1.854803,139,,,
19599,-4.08337,139,,,
19738,-1.329924,139,,,
19877,-3.154668,139,,,
20016,2.169291,139,,,
20155,-4.798489,139,,,
20294,1.668598,139,,,
20433,-0.388916,139,0.8202539682388306,3.5379081070423126,3.4957620024681093
20572,-3.609326,139,,,
20711,1.888026,139,,,
20850,-7.816731,139,,,
20989,-0.702272,139,,,
21128,1.15469,139,,,
21267,-1.138456,139,,,
21406,4.988307,139,,,
21545,2.783873,139,,,
21684,-0.127125,139,,,
21823,-5.2587,139,,,
21962,-1.815886,139,,,
22101,5.75218,139,,,
22240,-3.611905,139,,,
22379,-0.507364,139,,,
22518,-2.502571,139,0.8347523808479309,3.547251212596893,3.2274004608392715
22657,1.85994,139,,,
22796,-5.071135,139,,,
22935,-10.711747,139,,,
23074,-2.691158,139,,,
23213,-2.349444,139,,,
23352,2.269649,139,,,
23491,-6.523372,139,,,
23630,1.693243,139,,,
23769,-1.89774,139,,,
23908,-4.346049,139,,,
24047,0.855017,139,,,
24186,0.494441,139,,,
24325,-11.165042,139,,,
24464,-1.823396,139,0.8655965328216553,3.5596432089805603,2.7722144067287444
24603,2.996212,139,,,
24742,-3.673666,139,,,
24881,-1.559132,139,,,
25020,-3.629156,139,,,
25159,9.101107,139,,,
25298,-0.979098,139,,,
25437,5.557284,139,,,
25576,-4.054031,139,,,
25715,4.938289,139,,,
25854,3.051048,139,,,
25993,2.291545,139,,,
26132,-1.747671,139,,,
26271,5.413213,139,,,
26410,0.537996,139,,,
26549,2.061708,139,0.8516433835029602,3.5652642339468,2.935498762130737
26688,3.97451,139,,,
26827,-1.291365,139,,,
26966,-0.854812,139,,,
27105,-0.335416,139,,,
27244,1.023352,139,,,
27383,-1.890908,139,,,
27522,8.41138,139,,,
27661,3.255834,139,,,
27800,0.501129,139,,,
27939,6.0573,139,,,
28078,-4.838698,139,,,
28217,-3.383306,139,,,
28356,2.191614,139,,,
28495,5.553811,139,,,
28634,-2.437874,139,0.8492153882980347,3.571150282025337,2.9392219096422196
28773,-4.113113,139,,,
28912,3.467441,139,,,
29051,4.014169,139,,,
29190,2.268193,139,,,
29329,1.24968,139,,,
29468,-6.128294,139,,,
29607,7.337119,139,,,
29746,0.196613,139,,,
29885,3.972999,139,,,
30024,-0.280151,139,,,
30163,-4.868895,139,,,
30302,-0.698928,139,,,
30441,-3.363468,139,,,
30580,-5.304565,139,,,
30719,3.771677,139,0.8666802048683167,3.572110652923584,2.5602718025445936
30858,3.475414,139,,,
30997,9.653796,139,,,
31136,0.381598,139,,,
31275,2.225666,139,,,
31414,-6.399744,139,,,
31553,4.138994,139,,,
31692,1.249508,139,,,
31831,-2.858429,139,,,
31970,7.226036,139,,,
32109,-2.595205,139,,,
32248,0.781097,139,,,
32387,4.013284,139,,,
32526,-2.070878,139,,,
32665,0.499103,139,0.8612455129623413,3.5742478638887407,2.7484137773513795
32804,-6.628931,139,,,
32943,1.450647,139,,,
33082,0.696125,139,,,
33221,-3.422685,139,,,
33360,4.193578,139,,,
33499,8.680042,139,,,
33638,13.312478,139,,,
33777,2.427596,139,,,
33916,0.43919,139,,,
34055,0.55011,139,,,
34194,-0.184862,139,,,
34333,-2.163209,139,,,
34472,3.473158,139,,,
34611,-4.77499,139,,,
34750,0.993328,139,0.8795259594917297,3.580468851327896,2.591762951016426
34889,-3.674746,139,,,
35028,0.423744,139,,,
35167,0.039901,139,,,
35306,5.553353,139,,,
35445,-1.494577,139,,,
35584,-2.65943,139,,,
35723,1.155286,139,,,
35862,8.061188,139,,,
36001,4.562087,139,,,
36140,-7.506805,139,,,
36279,4.422133,139,,,
36418,2.979465,139,,,
36557,4.449004,139,,,
36696,-2.562363,139,,,
36835,3.040635,139,0.8412335515022278,3.5929069429636002,3.2342236548662187
36974,-0.782001,139,,,
37113,-3.95674,139,,,
37252,1.061825,139,,,
37391,14.534134,139,,,
37530,3.011219,139,,,
37669,-8.40443,139,,,
37808,-2.718816,139,,,
37947,2.655929,139,,,
38086,1.468377,139,,,
38225,-4.270696,139,,,
38364,-3.623602,139,,,
38503,7.441633,139,,,
38642,2.676469,139,,,
38781,-5.545364,139,0.8680149912834167,3.5982079923152925,2.4073946982622147
38920,-1.414521,139,,,
39059,-2.297498,139,,,
39198,-1.769157,139,,,
39337,10.35182,139,,,
39476,-0.446145,139,,,
39615,1.32346,139,,,
39754,4.012182,139,,,
39893,6.394568,139,,,
40032,-3.69153,139,,,
40171,1.733341,139,,,
40310,3.434265,139,,,
40449,3.307593,139,,,
40588,-0.466255,139,,,
40727,-1.445059,139,,,
40866,5.93657,139,0.8438446521759033,3.6011324137449265,2.7263321608304976
41005,-2.086227,139,,,
41144,-4.79043,139,,,
41283,-5.726474,139,,,
41422,-1.639652,139,,,
41561,1.632157,139,,,
41700,7.875616,139,,,
41839,-3.842528,139,,,
41978,-7.680132,139,,,
42117,5.007374,139,,,
42256,2.340326,139,,,
42395,-1.662176,139,,,
42534,4.663566,139,,,
42673,0.903701,139,,,
42812,1.028953,139,,,
42951,1.434463,139,0.8721605539321899,3.6102526634931564,2.3742565155029296
43090,0.426132,139,,,
43229,1.982989,139,,,
43368,3.22079,139,,,
43507,0.018815,139,,,
43646,9.043157,139,,,
43785,3.912675,139,,,
43924,6.152348,139,,,
44063,4.250613,139,,,
44202,3.148785,139,,,
44341,-0.365538,139,,,
44480,4.817431,139,,,
44619,-0.384178,139,,,
44758,6.847153,139,,,
44897,4.697402,139,,,
45036,3.70894,139,0.8774003386497498,3.6219039440155028,2.2296861305832865
45175,-0.908268,139,,,
45314,-0.486447,139,,,
45453,6.487611,139,,,
45592,-3.272787,139,,,
45731,3.247181,139,,,
45870,1.091325,139,,,
46009,-1.936853,139,,,
46148,6.819698,139,,,
46287,0.893399,139,,,
46426,8.974953,139,,,
46565,7.875547,139,,,
46704,0.009692,139,,,
46843,4.838095,139,,,
46982,6.338935,139,0.8889836668968201,3.643468090891838,2.2834596425294875
47121,1.823774,139,,,
47260,-8.893345,139,,,
47399,2.519218,139,,,
47538,5.660392,139,,,
47677,-0.225637,139,,,
47816,2.091251,139,,,
47955,-3.279254,139,,,
48094,11.36466,139,,,
48233,-0.351382,139,,,
48372,3.146222,139,,,
48511,3.05343,139,,,
48650,11.74687,139,,,
48789,-10.938232,139,,,
48928,0.971648,139,,,
49067,-2.962198,139,0.8847215175628662,3.657766318321228,2.21450534760952
49206,-3.155106,139,,,
49345,12.270245,139,,,
49484,4.063146,139,,,
49623,0.741117,139,,,
49762,0.730579,139,,,
49901,2.387796,139,,,
50040,-1.783231,139,,,
50179,11.000989,139,,,
50318,3.646697,139,,,
50457,13.396097,139,,,
50596,2.744341,139,,,
50735,-0.241704,139,,,
50874,3.215754,139,,,
51013,9.602122,139,,,
51152,1.094695,139,0.8841866254806519,3.6654816955327987,2.4006336092948914
51291,-8.571363,139,,,
51430,-2.303242,139,,,
51569,3.316282,139,,,
51708,3.930895,139,,,
51847,7.17936,139,,,
51986,6.654038,139,,,
52125,8.407122,139,,,
52264,-0.380359,139,,,
52403,10.593201,139,,,
52542,16.771677,139,,,
52681,7.843411,139,,,
52820,3.087683,139,,,
52959,-7.357779,139,,,
53098,8.510146,139,,,
53237,1.622356,139,0.8926361799240112,3.6678925454616547,2.1306854724884032
53376,11.863281,139,,,
53515,4.436232,139,,,
53654,9.684892,139,,,
53793,17.553719,139,,,
53932,8.405426,139,,,
54071,3.123464,139,,,
54210,-3.11478,139,,,
54349,-8.497451,139,,,
54488,13.747474,139,,,
54627,7.392267,139,,,
54766,1.096731,139,,,
54905,1.365374,139,,,
55044,1.6055,139,,,
55183,5.289958,139,0.8830006122589111,3.6623224437236788,2.3752506881952287
55322,-2.89274,139,,,
55461,1.033609,139,,,
55600,5.577517,139,,,
55739,5.962876,139,,,
55878,5.456785,139,,,
56017,8.932652,139,,,
56156,11.288053,139,,,
56295,7.538847,139,,,
56434,4.56565,139,,,
56573,0.433616,139,,,
56712,2.166021,139,,,
56851,-0.884107,139,,,
56990,0.245105,139,,,
57129,5.564068,139,,,
57268,-3.234069,139,0.8785444498062134,3.6696563333272936,2.697201645374298
57407,2.549942,139,,,
57546,0.163739,139,,,
57685,3.323788,139,,,
57824,7.337476,139,,,
57963,3.231705,139,,,
58102,14.824731,139,,,
58241,6.317963,139,,,
58380,9.732058,139,,,
58519,-1.891198,139,,,
58658,9.638021,139,,,
58797,2.08056,139,,,
58936,5.880437,139,,,
59075,2.39423,139,,,
59214,4.693616,139,,,
59353,8.36546,139,0.8829910755157471,3.6904540449380874,2.635342592000961
59492,6.472918,139,,,
59631,10.892979,139,,,
59770,-5.079962,139,,,
59909,6.004144,139,,,
60048,1.079744,139,,,
60187,0.743633,139,,,
60326,4.861753,139,,,
60465,10.279722,139,,,
60604,11.45314,139,,,
60743,14.96315,139,,,
60882,16.516251,139,,,
61021,9.115438,139,,,
61160,12.06993,139,,,
61299,2.830185,139,,,
61438,11.684858,139,0.8965182304382324,3.7048832893371584,2.6573779076337813
61577,10.881514,139,,,
61716,5.177146,139,,,
61855,3.87053,139,,,
61994,-0.745669,139,,,
62133,3.687587,139,,,
62272,-1.132574,139,,,
62411,9.126916,139,,,
62550,6.028989,139,,,
62689,2.560136,139,,,
62828,4.312792,139,,,
62967,7.599994,139,,,
63106,11.913842,139,,,
63245,6.109571,139,,,
63384,9.9975,139,0.9054976105690002,3.7093662142753603,2.5101353585720063
63523,0.42531,139,,,
63662,4.850637,139,,,
63801,10.13733,139,,,
63940,5.860802,139,,,
64079,-0.375276,139,,,
64218,5.933936,139,,,
64357,6.968734,139,,,
64496,-1.334645,139,,,
64635,3.786631,139,,,
64774,3.108383,139,,,
64913,14.76979,139,,,
65052,10.018965,139,,,
65191,-4.391032,139,,,
65330,8.614099,139,,,
65469,13.498644,139,0.9083884954452515,3.7097233325242995,2.184232507646084
65608,8.172993,139,,,
65747,1.088259,139,,,
65886,8.176729,139,,,
66025,9.733845,139,,,
66164,7.239742,139,,,
66303,7.571274,139,,,
66442,13.016282,139,,,
66581,2.920178,139,,,
66720,16.068456,139,,,
66859,2.306855,139,,,
66998,4.676671,139,,,
67137,6.228185,139,,,
67276,11.077233,139,,,
67415,10.372979,139,,,
67554,-0.088077,139,0.9037284851074219,3.7187541246414186,2.089198462665081
67693,12.662034,139,,,
67832,1.092128,139,,,
67971,6.969948,139,,,
68110,8.483653,139,,,
68249,11.320191,139,,,
68388,13.252054,139,,,
68527,12.187192,139,,,
68666,5.097107,139,,,
68805,4.806818,139,,,
68944,7.733148,139,,,
69083,3.915072,139,,,
69222,7.435828,139,,,
69361,18.549502,139,,,
69500,8.851887,139,0.9011637568473816,3.737444946169853,2.44088426977396
69639,11.798189,139,,,
69778,7.367262,139,,,
69917,4.795597,139,,,
70056,9.661366,139,,,
70195,0.742722,139,,,
70334,12.572075,139,,,
70473,6.069945,139,,,
70612,8.401021,139,,,
70751,0.842688,139,,,
70890,7.762897,139,,,
71029,6.863485,139,,,
71168,9.231953,139,,,
71307,4.091078,139,,,
71446,5.771319,139,,,
71585,9.877348,139,0.9174598455429077,3.764735150337219,2.221214881539345
71724,4.163805,139,,,
71863,11.162682,139,,,
72002,8.277641,139,,,
72141,6.095112,139,,,
72280,7.421394,139,,,
72419,14.700504,139,,,
72558,-4.902519,139,,,
72697,17.017408,139,,,
72836,9.556377,139,,,
72975,8.650194,139,,,
73114,10.477105,139,,,
73253,3.881821,139,,,
73392,9.248257,139,,,
73531,6.707905,139,,,
73670,8.445054,139,0.9255719780921936,3.7986245900392532,2.1018968358635903
73809,6.960718,139,,,
73948,5.872162,139,,,
74087,7.559839,139,,,
74226,14.86356,139,,,
74365,8.217354,139,,,
74504,10.946383,139,,,
74643,-5.16929,139,,,
74782,1.664108,139,,,
74921,4.429704,139,,,
75060,11.279508,139,,,
75199,14.117382,139,,,
75338,13.506048,139,,,
75477,8.187443,139,,,
75616,9.675047,139,,,
75755,9.978267,139,0.9159222841262817,3.827844280004501,2.2446642488241197
75894,5.445182,139,,,
76033,20.841023,139,,,
76172,10.992724,139,,,
76311,17.512749,139,,,
76450,12.41811,139,,,
76589,8.375842,139,,,
76728,21.234825,139,,,
76867,11.087563,139,,,
77006,24.060026,139,,,
77145,10.247795,139,,,
77284,8.703293,139,,,
77423,-0.5107,139,,,
77562,12.648125,139,,,
77701,14.407741,139,0.9091778993606567,3.8472979843616484,2.284936098754406
77840,8.888645,139,,,
77979,9.660235,139,,,
78118,8.220936,139,,,
78257,21.421521,139,,,
78396,11.633576,139,,,
78535,13.714092,139,,,
78674,9.409711,139,,,
78813,8.306729,139,,,
78952,12.355622,139,,,
79091,6.62216,139,,,
79230,10.395322,139,,,
79369,8.024304,139,,,
79508,21.250588,139,,,
79647,10.589368,139,,,
79786,-0.39115,139,0.9099254608154297,3.8616177529096603,2.27541306912899
79925,14.848467,139,,,
80064,8.638318,139,,,
80203,12.039537,139,,,
80342,7.875642,139,,,
80481,18.66945,139,,,
80620,5.595209,139,,,
80759,8.35734,139,,,
80898,10.337277,139,,,
81037,8.08488,139,,,
81176,7.474193,139,,,
81315,9.28131,139,,,
81454,2.69776,139,,,
81593,5.617126,139,,,
81732,15.083601,139,,,
81871,17.044281,139,0.9257404804229736,3.8696230560541154,1.9479296609759331
82010,14.194026,139,,,
82149,10.736245,139,,,
82288,13.881828,139,,,
82427,6.616556,139,,,
82566,7.440481,139,,,
82705,16.008452,139,,,
82844,7.699205,139,,,
