timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-7.911287,139,,,
278,-5.527243,139,,,
417,-3.456258,139,,,
556,-15.53235,139,,,
695,-4.979247,139,,,
834,-5.994589,139,,,
973,8.924179,139,,,
1112,-4.404564,139,,,
1251,-6.888224,139,,,
1390,-2.345556,139,,,
1529,-0.282346,139,,,
1668,-2.915312,139,,,
1807,-3.654792,139,,,
1946,-5.521758,139,,,
2085,-5.931412,139,,,
2224,-9.731086,139,,,
2363,-11.087874,139,,,
2502,-4.857164,139,,,
2641,6.604938,139,,,
2780,7.454567,139,,,
2919,-2.145061,139,,,
3058,4.473932,139,,,
3197,4.444983,139,,,
3336,-2.339929,139,,,
3475,-2.740311,139,,,
3614,-12.514094,139,,,
3753,-2.166892,139,,,
3892,-5.291298,139,,,
4031,-2.548584,139,0.00037109851837158203,3.473223924636841,10.233001101016999
4170,-8.392552,139,,,
4309,-8.65676,139,,,
4448,-8.496546,139,,,
4587,-4.766721,139,,,
4726,4.101209,139,,,
4865,-5.291489,139,,,
5004,3.177223,139,,,
5143,-3.141236,139,,,
5282,-7.165478,139,,,
5421,3.858093,139,,,
5560,-4.489085,139,,,
5699,-9.06139,139,,,
5838,-7.107936,139,,,
5977,-5.450971,139,,,
6116,-6.167619,139,0.17996984720230103,3.465457355976105,9.108542609214783
6255,-4.769711,139,,,
6394,5.932704,139,,,
6533,3.17801,139,,,
6672,2.280254,139,,,
6811,-11.045398,139,,,
6950,-1.924072,139,,,
7089,-5.540002,139,,,
7228,-0.212974,139,,,
7367,0.426025,139,,,
7506,-0.866491,139,,,
7645,5.492924,139,,,
7784,3.168262,139,,,
7923,-1.065133,139,,,
8062,0.433516,139,0.5547144412994385,3.4770241528749466,6.505747616291046
8201,1.118571,139,,,
8340,-10.629002,139,,,
8479,-2.951859,139,,,
8618,-1.587273,139,,,
8757,-2.388752,139,,,
8896,-0.302219,139,,,
9035,-1.514398,139,,,
9174,-1.719745,139,,,
9313,-8.487441,139,,,
9452,-7.074431,139,,,
9591,6.068344,139,,,
9730,-9.43349,139,,,
9869,1.160766,139,,,
10008,-6.610995,139,,,
10147,-2.050487,139,0.6774775981903076,3.4920292437076568,5.8735435009002686
10286,0.342356,139,,,
10425,-2.34739,139,,,
10564,2.384393,139,,,
10703,-9.092902,139,,,
10842,-3.250202,139,,,
10981,1.325455,139,,,
11120,-6.148569,139,,,
11259,-7.200193,139,,,
11398,-1.357023,139,,,
11537,1.054317,139,,,
11676,-1.872833,139,,,
11815,-14.372158,139,,,
11954,-5.554442,139,,,
12093,-2.378555,139,,,
12232,-5.568026,139,0.7549501061439514,3.5073478907346725,4.782186904549599
12371,-4.506841,139,,,
12510,-11.25913,139,,,
12649,-1.372256,139,,,
12788,-5.062072,139,,,
12927,-2.435599,139,,,
13066,-3.877988,139,,,
13205,-2.848472,139,,,
13344,-0.977384,139,,,
13483,0.753845,139,,,
13622,-6.581217,139,,,
13761,-6.619725,139,,,
13900,4.050869,139,,,
14039,-1.429852,139,,,
14178,5.312242,139,,,
14317,-6.091397,139,0.7716454863548279,3.521007278561592,4.724969455599785
14456,0.097995,139,,,
14595,-2.464697,139,,,
14734,-6.105939,139,,,
14873,-0.307673,139,,,
15012,-0.894176,139,,,
15151,-7.260864,139,,,
15290,3.586766,139,,,
15429,7.288688,139,,,
15568,8.019057,139,,,
15707,-0.058993,139,,,
15846,-11.378016,139,,,
15985,-3.567178,139,,,
16124,-3.589355,139,,,
16263,2.243044,139,0.7694917917251587,3.531920462846756,4.266319733858109
16402,-4.260825,139,,,
16541,-0.975882,139,,,
16680,-0.148485,139,,,
16819,0.652119,139,,,
16958,-5.094426,139,,,
17097,-7.704612,139,,,
17236,-3.197946,139,,,
17375,-1.713173,139,,,
17514,-3.153296,139,,,
17653,-8.240978,139,,,
17792,-0.034228,139,,,
17931,10.30944,139,,,
18070,0.389658,139,,,
18209,-2.422081,139,,,
18348,2.012505,139,0.7966168522834778,3.5390705853700637,4.075788062810898
18487,-2.718013,139,,,
18626,-4.527172,139,,,
18765,-4.638207,139,,,
18904,-2.074657,139,,,
19043,0.775053,139,,,
19182,5.014297,139,,,
19321,19.232618,139,,,
19460,-2.327883,139,,,
19599,0.967368,139,,,
19738,-1.547849,139,,,
19877,4.661907,139,,,
20016,2.521778,139,,,
20155,-8.136715,139,,,
20294,5.761247,139,,,
20433,1.02667,139,0.803575873374939,3.541432097554207,3.6763880640268325
20572,1.015216,139,,,
20711,-9.068253,139,,,
20850,-3.689291,139,,,
20989,3.101408,139,,,
21128,-4.901691,139,,,
21267,-9.788203,139,,,
21406,-0.204508,139,,,
21545,-0.813879,139,,,
21684,-7.558055,139,,,
21823,-12.022854,139,,,
21962,6.096198,139,,,
22101,6.847414,139,,,
22240,-2.899786,139,,,
22379,3.028323,139,,,
22518,-7.266357,139,0.8067845106124878,3.5503010004758835,3.822136989235878
22657,3.398194,139,,,
22796,-1.705135,139,,,
22935,-10.909973,139,,,
23074,1.684602,139,,,
23213,-12.90452,139,,,
23352,-0.47525,139,,,
23491,-4.3587,139,,,
23630,5.380937,139,,,
23769,-6.691148,139,,,
23908,5.178191,139,,,
24047,1.739702,139,,,
24186,-0.607872,139,,,
24325,-0.545012,139,,,
24464,-1.968158,139,0.8282201290130615,3.56688511967659,3.5082732856273653
