timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,31.456194,455,,,
910,34.779603,455,,,
1365,46.487036,455,,,
1820,31.063676,455,,,
2275,40.788491,455,,,
2730,34.035948,455,,,
3185,33.299226,455,,,
3640,37.392663,455,,,
4095,28.742302,455,-0.006590843200683594,6.384895527362824,10.368420422077179
4550,37.174837,455,,,
5005,40.259403,455,,,
5460,47.449018,455,,,
5915,36.211917,455,0.17158842086791992,6.389549028873444,6.711418011784554
6370,38.780557,455,,,
6825,35.871744,455,,,
7280,44.18024,455,,,
7735,37.36446,455,,,
8190,30.081623,455,0.49664509296417236,6.41295377612114,5.562880283594131
8645,34.420357,455,,,
9100,44.533582,455,,,
9555,37.180259,455,,,
10010,36.863886,455,0.6244360208511353,6.42032578587532,6.305978134274483
10465,31.569502,455,,,
10920,37.522557,455,,,
11375,34.887007,455,,,
11830,41.490803,455,,,
12285,37.145527,455,0.39517760276794434,6.408561342954636,7.394456297159195
12740,34.030723,455,,,
13195,34.82573,455,,,
13650,38.424619,455,,,
14105,36.056967,455,0.7730376720428467,6.407777053117752,4.068573778867721
14560,41.453906,455,,,
15015,26.068842,455,,,
15470,34.848452,455,,,
15925,34.906156,455,,,
16380,25.230169,455,0.8763457536697388,6.429698485136032,2.7189346089959145
16835,42.810857,455,,,
17290,40.737886,455,,,
17745,33.779546,455,,,
18200,31.014838,455,0.7566531300544739,6.440612059831619,5.441224980354309
18655,34.058878,455,,,
19110,43.286721,455,,,
19565,38.701262,455,,,
20020,39.921231,455,,,
20475,20.42735,455,0.8325756192207336,6.441966205835342,3.8792629331350326
20930,35.920066,455,,,
21385,39.272952,455,,,
21840,36.221663,455,,,
22295,35.539731,455,0.8165314793586731,6.452306455373764,4.274728289246559
22750,41.451444,455,,,
23205,38.68254,455,,,
23660,52.846054,455,,,
24115,37.653285,455,,,
24570,27.567032,455,0.8666213750839233,6.468011021614075,3.5148046910762787
25025,46.839043,455,,,
25480,46.116869,455,,,
25935,37.812938,455,,,
26390,46.489225,455,0.8799771070480347,6.478271436691284,3.4651682049036028
26845,43.316475,455,,,
27300,43.277293,455,,,
27755,40.668249,455,,,
28210,32.638862,455,,,
28665,44.041259,455,0.8069363832473755,6.477413034439087,3.78695769906044
29120,40.310563,455,,,
29575,48.170469,455,,,
30030,38.500486,455,,,
30485,30.990072,455,0.7163703441619873,6.472016322612762,4.587860888242721
30940,47.772918,455,,,
31395,47.021709,455,,,
31850,46.010739,455,,,
32305,41.732376,455,,,
32760,36.202363,455,0.858401358127594,6.474198341369629,3.2959348291158674
33215,38.460864,455,,,
33670,37.623863,455,,,
34125,34.465381,455,,,
34580,40.738005,455,0.8856362104415894,6.474833530187607,3.208359906077385
35035,42.152062,455,,,
35490,41.175056,455,,,
35945,46.119634,455,,,
36400,39.636113,455,,,
36855,48.172637,455,0.847917914390564,6.467122954130173,3.8123624294996263
37310,32.508321,455,,,
37765,49.247218,455,,,
38220,40.478055,455,,,
38675,41.58625,455,0.9433152079582214,6.4690185487270355,2.1583576545119287
