timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,16.550262,455,,,
910,0.687752,455,,,
1365,-5.840499,455,,,
1820,-11.630651,455,,,
2275,17.172263,455,,,
2730,12.185436,455,,,
3185,16.458882,455,,,
3640,13.488007,455,,,
4095,7.962042,455,0.016718387603759766,6.375361013412475,5.885558849573135
4550,9.536284,455,,,
5005,15.119919,455,,,
5460,-0.363462,455,,,
5915,16.390599,455,0.4209202527999878,6.360774892568588,4.04244077205658
6370,5.938823,455,,,
6825,16.674725,455,,,
7280,-14.337561,455,,,
7735,11.787756,455,,,
8190,9.187801,455,0.6581100821495056,6.352339208126068,4.223902469873428
8645,-6.295996,455,,,
9100,2.163828,455,,,
9555,-12.871911,455,,,
10010,-8.726992,455,0.7440229058265686,6.355747044086456,4.224454393982887
10465,14.684493,455,,,
10920,12.028596,455,,,
11375,13.51096,455,,,
11830,-3.967146,455,,,
12285,20.163298,455,0.43454545736312866,6.357476741075516,4.710355678200722
12740,14.110206,455,,,
13195,12.609527,455,,,
13650,19.673257,455,,,
14105,17.071034,455,0.8502965569496155,6.347853302955627,2.810402625799179
14560,2.214204,455,,,
15015,4.125842,455,,,
15470,12.930658,455,,,
15925,14.113354,455,,,
16380,-0.982557,455,0.9120599031448364,6.355744701623917,1.828452828526497
16835,3.560782,455,,,
17290,12.544371,455,,,
17745,19.032823,455,,,
18200,3.082583,455,0.831143319606781,6.374562418460846,3.0506258755922318
18655,14.503527,455,,,
19110,-2.168149,455,,,
19565,17.886495,455,,,
20020,0.787676,455,,,
20475,-2.949083,455,0.8927724957466125,6.3893319308757786,2.1922184586524964
20930,18.624353,455,,,
21385,-8.719961,455,,,
21840,20.156776,455,,,
22295,-3.114163,455,0.8881028294563293,6.392801421880722,2.981876862049103
22750,17.350434,455,,,
23205,17.276322,455,,,
23660,-5.388051,455,,,
24115,16.251955,455,,,
24570,-2.942877,455,0.916318416595459,6.381343907117843,2.0728373914957046
25025,-11.737859,455,,,
25480,-4.626415,455,,,
25935,-2.56767,455,,,
26390,15.992887,455,0.9330607652664185,6.381571292877197,2.3176178827881815
26845,-9.79539,455,,,
27300,-3.284143,455,,,
27755,0.896756,455,,,
28210,5.848934,455,,,
28665,-5.321217,455,0.9011812210083008,6.393918913602829,2.3210328191518785
29120,17.593809,455,,,
29575,3.132203,455,,,
30030,18.028621,455,,,
30485,-7.159574,455,0.8279880881309509,6.397033041715622,2.938952323794365
30940,19.602716,455,,,
31395,-1.532549,455,,,
31850,-2.310021,455,,,
32305,14.787453,455,,,
32760,12.259742,455,0.9358610510826111,6.395721030235291,1.878320576250553
33215,0.415904,455,,,
33670,21.483157,455,,,
34125,-6.92179,455,,,
34580,-2.738831,455,0.9408842921257019,6.395506531000137,1.9909554600715638
35035,19.201363,455,,,
35490,14.978999,455,,,
35945,18.511297,455,,,
36400,-7.894249,455,,,
36855,18.28583,455,0.9171862006187439,6.400735729932785,2.1925778076052667
37310,1.128887,455,,,
37765,21.250746,455,,,
38220,25.140441,455,,,
38675,3.630804,455,0.9542921781539917,6.3983180046081545,1.7013368010520935
39130,13.947186,455,,,
39585,19.507377,455,,,
40040,16.742418,455,,,
40495,-8.621151,455,,,
40950,23.257589,455,0.9439452886581421,6.397137451171875,1.7940786600112915
41405,20.485787,455,,,
41860,21.938374,455,,,
42315,-3.313526,455,,,
42770,14.214311,455,0.9599817395210266,6.399178463220596,1.5137168765068054
43225,16.260068,455,,,
43680,24.329592,455,,,
44135,-1.705115,455,,,
44590,19.30468,455,,,
45045,20.720821,455,0.9617570042610168,6.387379002571106,1.3274979300796985
45500,16.376928,455,,,
45955,6.235706,455,,,
46410,-3.082059,455,,,
46865,16.277151,455,0.9649152755737305,6.38186075091362,1.3570069536566733
47320,24.849475,455,,,
47775,-5.495494,455,,,
48230,16.193285,455,,,
48685,-7.61809,455,,,
49140,18.660005,455,0.9498230814933777,6.386707019805908,1.5308047965168954
49595,0.070865,455,,,
50050,18.76816,455,,,
50505,19.464057,455,,,
50960,0.445406,455,0.9549307823181152,6.38618832230568,1.746289137005806
51415,21.342756,455,,,
51870,4.133482,455,,,
52325,22.526813,455,,,
52780,20.314909,455,,,
53235,22.941633,455,0.9561765789985657,6.378531938791275,1.4643458500504494
53690,-5.590361,455,,,
54145,19.665091,455,,,
54600,3.892999,455,,,
55055,-4.229489,455,0.9644352793693542,6.3799768626689914,1.2551713719964028
55510,5.704208,455,,,
55965,27.767747,455,,,
56420,19.956055,455,,,
56875,-6.507618,455,,,
57330,-5.211665,455,0.9195287227630615,6.384462577104569,1.946572121977806
57785,21.041967,455,,,
58240,-8.130584,455,,,
58695,1.242171,455,,,
59150,-3.732044,455,0.9557057619094849,6.385776221752167,1.8117058023810386
59605,24.414802,455,,,
60060,21.801361,455,,,
60515,21.898751,455,,,
60970,22.233499,455,,,
61425,9.055432,455,0.9324058294296265,6.383838212490081,2.059085562825203
61880,-5.544153,455,,,
62335,18.591894,455,,,
62790,20.472623,455,,,
63245,21.908328,455,0.9673586487770081,6.384046411514282,1.257414523512125
63700,-8.615416,455,,,
64155,24.833891,455,,,
64610,25.525764,455,,,
65065,20.980338,455,,,
65520,6.020763,455,0.9684360027313232,6.397852843999862,1.228483472764492
65975,4.799518,455,,,
66430,17.775599,455,,,
66885,-0.352975,455,,,
67340,19.020078,455,0.9647650718688965,6.387133532762528,1.311168298125267
67795,-0.55679,455,,,
68250,23.602721,455,,,
68705,0.244956,455,,,
69160,5.954601,455,,,
69615,9.696013,455,0.9575185179710388,6.390543329715729,1.5839127972722054
70070,28.07783,455,,,
70525,-7.50583,455,,,
70980,27.710782,455,,,
71435,22.374764,455,0.9301924705505371,6.4165084064006805,2.0002612963318827
71890,-10.627922,455,,,
72345,22.694379,455,,,
72800,-2.535349,455,,,
73255,17.032362,455,,,
73710,-3.240252,455,0.9646369218826294,6.4321269094944,1.2308590926229954
74165,2.610773,455,,,
74620,25.968903,455,,,
75075,24.32346,455,,,
75530,-4.689267,455,0.9356136918067932,6.445471411943435,2.185904698073864
75985,7.339767,455,,,
76440,23.178377,455,,,
76895,26.524418,455,,,
77350,25.864442,455,,,
77805,6.26207,455,0.9570504426956177,6.453164047002792,1.7227913230657577
78260,27.903698,455,,,
78715,-1.693911,455,,,
79170,-8.589584,455,,,
79625,25.36093,455,0.9710314273834229,6.457720822095871,1.2431104876101018
80080,27.748724,455,,,
80535,22.453246,455,,,
80990,27.994324,455,,,
81445,23.398602,455,,,
81900,29.440683,455,0.9569497108459473,6.464350259304046,1.3281294725835324
82355,26.6039,455,,,
82810,6.366095,455,,,
83265,-7.012475,455,,,
83720,22.743269,455,0.9749813079833984,6.480992925167084,0.9696089655160904
84175,28.629003,455,,,
84630,0.99628,455,,,
85085,3.105292,455,,,
85540,26.558048,455,,,
85995,24.09594,455,0.9598912000656128,6.486686909198761,1.2646347172558308
86450,25.743634,455,,,
86905,-2.565633,455,,,
87360,27.07488,455,,,
87815,27.393264,455,0.9693641662597656,6.479480165243149,1.3095844954252243
88270,0.814018,455,,,
88725,27.578337,455,,,
89180,24.676747,455,,,
89635,-1.656698,455,,,
90090,25.822716,455,0.9704350233078003,6.483360570669174,1.098390206694603
90545,23.914584,455,,,
91000,23.499718,455,,,
91455,3.183296,455,,,
91910,13.943225,455,0.9688513278961182,6.4889056324958805,1.1645970597863198
92365,26.486768,455,,,
92820,-1.744316,455,,,
93275,25.057054,455,,,
93730,28.345894,455,,,
94185,32.862782,455,0.9556323289871216,6.495162636041641,1.200518388301134
94640,7.466667,455,,,
95095,0.435473,455,,,
95550,30.891968,455,,,
96005,9.233323,455,0.9727842807769775,6.492022705078125,1.0607000969350338
96460,5.808609,455,,,
96915,5.615748,455,,,
97370,25.369395,455,,,
97825,9.129673,455,,,
98280,0.727878,455,0.9311427474021912,6.484178847074508,1.7045800775289535
98735,25.378609,455,,,
99190,9.107426,455,,,
99645,21.515897,455,,,
100100,29.145627,455,0.9386150240898132,6.492019861936569,1.67838297188282
100555,25.708486,455,,,
101010,11.381223,455,,,
101465,3.067778,455,,,
101920,-3.398905,455,,,
102375,29.563235,455,0.9676541090011597,6.504169034957886,0.971391087770462
102830,27.680601,455,,,
103285,2.561893,455,,,
103740,4.214625,455,,,
104195,26.661066,455,0.9567762613296509,6.495720624923706,1.4962314173579216
104650,-13.067133,455,,,
105105,33.148992,455,,,
105560,11.146933,455,,,
106015,26.956904,455,,,
106470,31.355528,455,0.956364631652832,6.481054568290711,1.2842928230762483
106925,7.602314,455,,,
107380,21.119479,455,,,
107835,4.29653,455,,,
108290,25.296985,455,0.9610506296157837,6.478481155633927,1.321653750538826
108745,-2.311252,455,,,
109200,29.153381,455,,,
109655,6.444163,455,,,
110110,31.351658,455,,,
110565,27.607701,455,0.9565979242324829,6.486698108911514,1.3416653901338578
111020,-4.004406,455,,,
111475,28.726811,455,,,
111930,28.857373,455,,,
112385,27.570067,455,0.9701470136642456,6.499983716011047,1.199109698086977
112840,25.179991,455,,,
113295,-14.793485,455,,,
113750,28.688481,455,,,
114205,0.622649,455,,,
114660,7.099539,455,0.9688923954963684,6.511082249879837,0.9563965849578381
115115,34.201292,455,,,
115570,32.485267,455,,,
116025,3.974638,455,,,
116480,2.249312,455,0.9534622430801392,6.505869859457016,1.6744064390659332
116935,29.092491,455,,,
117390,2.96975,455,,,
117845,31.167225,455,,,
118300,31.382828,455,,,
118755,27.951475,455,0.966709315776825,6.499336433410645,1.202596080303192
119210,4.588682,455,,,
119665,34.113758,455,,,
120120,10.182698,455,,,
120575,-4.746956,455,0.9722195863723755,6.510028862953186,0.982497675716877
121030,0.796795,455,,,
121485,24.761023,455,,,
121940,-9.621868,455,,,
122395,-0.020075,455,,,
122850,-6.795065,455,0.9471966028213501,6.514607095718384,1.4664667800068856
123305,30.80818,455,,,
123760,30.907415,455,,,
124215,4.980648,455,,,
124670,33.553629,455,0.9389411211013794,6.503812700510025,1.6777329176664353
125125,30.814835,455,,,
125580,31.344133,455,,,
126035,34.097337,455,,,
126490,1.901292,455,,,
126945,29.635418,455,0.969723105430603,6.521504163742065,0.9671390667557717
127400,29.721068,455,,,
127855,29.696871,455,,,
128310,23.667068,455,,,
128765,31.927296,455,0.9757661819458008,6.523133689165116,0.9409852758049965
129220,-1.604227,455,,,
129675,27.604525,455,,,
130130,31.815878,455,,,
130585,8.47884,455,,,
131040,31.232014,455,0.978685200214386,6.49899325966835,0.7700666792690753
131495,28.754704,455,,,
131950,2.941725,455,,,
132405,-3.745767,455,,,
132860,2.273467,455,0.9710519909858704,6.48831193447113,1.1057663343846797
133315,6.477109,455,,,
133770,10.884938,455,,,
134225,9.197819,455,,,
134680,33.345792,455,,,
135135,5.736954,455,0.9557405114173889,6.488900750875473,1.5717928662896157
135590,28.260743,455,,,
136045,30.246804,455,,,
136500,29.900268,455,,,
136955,34.403481,455,0.9328265190124512,6.483954685926437,1.622462247312069
137410,30.910568,455,,,
137865,1.256186,455,,,
138320,32.698908,455,,,
138775,35.12212,455,,,
139230,35.213956,455,0.9769028425216675,6.4594334185123445,0.6346411604434252
139685,33.226204,455,,,
140140,30.911012,455,,,
140595,37.991267,455,,,
141050,7.856978,455,0.9735805988311768,6.447233742475509,0.9315196514129639
141505,-0.514225,455,,,
141960,13.432381,455,,,
142415,35.684327,455,,,
142870,8.330606,455,,,
143325,31.826868,455,0.9738088846206665,6.43960473537445,1.0129483461380004
143780,9.611143,455,,,
144235,30.940924,455,,,
144690,1.60832,455,,,
145145,6.436693,455,0.9616358876228333,6.433927524089813,1.3859929509460926
145600,33.671394,455,,,
146055,34.405198,455,,,
146510,5.111689,455,,,
146965,36.633948,455,,,
147420,9.319671,455,0.9465115070343018,6.432044285535812,1.4002503603696823
147875,35.533382,455,,,
148330,9.706537,455,,,
148785,10.789637,455,,,
149240,35.116264,455,0.9664958119392395,6.43517234325409,1.131572837382555
149695,0.761222,455,,,
150150,-1.069442,455,,,
150605,34.423095,455,,,
151060,0.957843,455,,,
151515,35.030755,455,0.9537064433097839,6.437047010660171,1.2253257758915423
151970,4.317259,455,,,
152425,0.03569,455,,,
152880,32.529124,455,,,
153335,34.572315,455,0.9595149159431458,6.450210702419281,1.349444679915905
153790,32.934044,455,,,
154245,-0.338785,455,,,
154700,33.722318,455,,,
155155,6.373331,455,,,
155610,35.272189,455,0.9682474732398987,6.464330941438675,1.2465046666562558
156065,37.097295,455,,,
156520,38.907488,455,,,
156975,38.201671,455,,,
157430,-2.981194,455,0.9732287526130676,6.472261893749237,1.2728790506720542
157885,-1.611533,455,,,
158340,36.240495,455,,,
158795,3.27434,455,,,
159250,34.421198,455,,,
159705,37.320204,455,0.9772528409957886,6.475614553689956,0.9614701412618161
160160,14.683207,455,,,
160615,31.998535,455,,,
161070,36.216781,455,,,
161525,1.566144,455,0.9768708348274231,6.472688853740692,0.9686407171189785
161980,8.519748,455,,,
162435,36.611946,455,,,
162890,31.577879,455,,,
163345,9.794348,455,,,
163800,2.385029,455,0.9664534330368042,6.479166954755783,1.1870598293840886
164255,35.837674,455,,,
164710,35.330999,455,,,
165165,5.249433,455,,,
165620,12.84887,455,0.9677966833114624,6.490943467617035,1.3203094281256198
166075,4.832509,455,,,
166530,3.18432,455,,,
166985,34.438951,455,,,
167440,7.337194,455,,,
167895,36.277328,455,0.9665926098823547,6.512105506658554,1.1617431737482549
168350,5.406588,455,,,
168805,8.963856,455,,,
169260,4.872129,455,,,
169715,6.283637,455,0.9685940742492676,6.51757550239563,1.2042641364037991
170170,31.184516,455,,,
170625,40.161733,455,,,
171080,35.409268,455,,,
171535,2.514896,455,,,
171990,5.061211,455,0.9167273044586182,6.507986146211624,1.5395365536212922
172445,34.787071,455,,,
172900,7.776321,455,,,
173355,8.583178,455,,,
173810,6.248037,455,0.9763942956924438,6.496324449777603,0.9315482169389725
174265,33.411777,455,,,
174720,7.069162,455,,,
175175,35.191696,455,,,
175630,34.949211,455,,,
176085,5.521494,455,0.94316166639328,6.475139647722244,1.5118557453155517
176540,1.738818,455,,,
176995,36.655286,455,,,
177450,38.603454,455,,,
177905,35.473157,455,0.9718068838119507,6.481398051977157,1.0314372397959233
178360,27.249145,455,,,
178815,33.466496,455,,,
179270,33.676025,455,,,
179725,39.242657,455,,,
180180,10.598171,455,0.9718754291534424,6.481563019752502,0.7144674774259329
180635,25.684188,455,,,
181090,4.544686,455,,,
181545,11.506768,455,,,
182000,5.311767,455,0.976453959941864,6.468226373195648,0.8263928323984147
182455,11.035545,455,,,
182910,32.917348,455,,,
183365,9.409428,455,,,
183820,8.711043,455,,,
184275,1.683828,455,0.9438437223434448,6.466279739141465,1.449510657787323
184730,36.807013,455,,,
185185,9.219751,455,,,
185640,38.01592,455,,,
186095,8.397809,455,0.9511072039604187,6.461847984790802,1.4054996430873872
186550,29.99985,455,,,
187005,42.650297,455,,,
187460,37.019546,455,,,
187915,35.747349,455,,,
188370,32.599941,455,0.9657373428344727,6.448657059669495,1.1364202439785003
188825,36.68486,455,,,
189280,36.753652,455,,,
189735,35.251497,455,,,
190190,40.518586,455,0.9761219024658203,6.452296471595764,0.6743211306631565
190645,38.278663,455,,,
191100,-0.515616,455,,,
191555,36.238435,455,,,
192010,5.183269,455,,,
192465,33.315975,455,0.9817032217979431,6.462198078632355,0.5793351143598556
192920,15.797809,455,,,
193375,30.324584,455,,,
193830,36.32807,455,,,
194285,30.546981,455,0.9733605980873108,6.463128590583802,1.0577127061784268
194740,40.95407,455,,,
195195,14.074101,455,,,
195650,35.5613,455,,,
196105,4.77136,455,,,
196560,35.123979,455,0.9789377450942993,6.462564700841904,0.7616658974438906
197015,36.443309,455,,,
197470,33.455509,455,,,
197925,34.782944,455,,,
198380,36.030042,455,0.9705232977867126,6.460237377882004,1.125325146317482
198835,-0.594424,455,,,
199290,9.799582,455,,,
199745,6.484126,455,,,
200200,34.803884,455,,,
200655,38.587983,455,0.978187084197998,6.45403568148613,0.8572668135166168
