timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-25.429825,455,,,
910,30.510738,455,,,
1365,22.413098,455,,,
1820,17.274929,455,,,
2275,-25.409598,455,,,
2730,-26.411635,455,,,
3185,-21.730431,455,,,
3640,-22.520971,455,,,
4095,-26.395463,455,-0.01861417293548584,6.396568715572357,5.362245562672615
4550,-20.857799,455,,,
5005,-21.909063,455,,,
5460,39.848032,455,,,
5915,-19.658957,455,0.3004882335662842,6.401542788743972,4.623763352632523
6370,36.429306,455,,,
6825,-26.289797,455,,,
7280,28.298484,455,,,
7735,-22.004188,455,,,
8190,-27.887412,455,0.559380054473877,6.390860813856125,3.99884013235569
8645,35.260818,455,,,
9100,25.13275,455,,,
9555,32.001022,455,,,
10010,29.754683,455,0.7559309005737305,6.3881441116333,3.113060051202774
10465,-23.918073,455,,,
10920,-21.284139,455,,,
11375,-26.299973,455,,,
11830,25.756431,455,,,
12285,-23.714601,455,0.7300024032592773,6.375651293992997,3.1025621086359023
12740,-19.841558,455,,,
13195,-22.862825,455,,,
13650,-21.275714,455,,,
14105,-22.140188,455,0.8519505262374878,6.365084379911423,2.307223366200924
14560,23.592893,455,,,
15015,17.532486,455,,,
15470,-23.345023,455,,,
15925,-21.693183,455,,,
16380,31.30249,455,0.8935057520866394,6.366597139835358,1.969637829065323
16835,18.084261,455,,,
17290,-19.716148,455,,,
17745,-20.809982,455,,,
18200,24.427541,455,0.8794559836387634,6.3688488602638245,1.946446542441845
18655,-23.351351,455,,,
19110,33.802797,455,,,
19565,-21.26108,455,,,
20020,26.508273,455,,,
20475,30.609852,455,0.9191350340843201,6.382740592956543,2.2767390444874764
20930,-20.142129,455,,,
21385,35.381089,455,,,
21840,-17.167752,455,,,
22295,33.88838,455,0.9131948947906494,6.397293001413345,2.092736837267876
22750,-22.160943,455,,,
23205,-23.398565,455,,,
23660,19.819878,455,,,
24115,-19.225406,455,,,
24570,33.766179,455,0.9326654672622681,6.400598376989365,1.8935642048716546
25025,19.779803,455,,,
25480,23.100224,455,,,
