timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-25.803907,455,,,
910,-5.819288,455,,,
1365,-13.683015,455,,,
1820,-0.296519,455,,,
2275,-28.956079,455,,,
2730,-26.737647,455,,,
3185,-30.999752,455,,,
3640,-30.398422,455,,,
4095,-26.790346,455,-0.018534183502197266,6.392375135421753,6.274557375907898
4550,-34.641477,455,,,
5005,-24.44642,455,,,
5460,-3.790928,455,,,
5915,-26.954483,455,0.27492356300354004,6.398602688312531,5.0699880629777905
6370,-4.7445,455,,,
6825,-35.056398,455,,,
7280,-4.700871,455,,,
7735,-28.968561,455,,,
8190,-31.882371,455,0.5470350980758667,6.397859328985215,4.234789073467255
8645,-6.218786,455,,,
9100,-9.799239,455,,,
9555,-1.141912,455,,,
10010,-12.100207,455,0.6915339827537537,6.387508368492126,4.299934616684913
10465,-35.719935,455,,,
10920,-31.069291,455,,,
11375,-31.436773,455,,,
11830,-4.054097,455,,,
12285,-29.206287,455,0.6273190975189209,6.397901403903961,4.591611218452454
12740,-30.537492,455,,,
13195,-28.288328,455,,,
13650,-29.060821,455,,,
14105,-34.947337,455,0.8082097768783569,6.420718461275101,3.069180318713188
14560,4.631833,455,,,
15015,-7.186069,455,,,
15470,-33.244987,455,,,
15925,-31.959073,455,,,
16380,-7.083596,455,0.8900858759880066,6.424431431293487,1.963394583761692
16835,-8.700599,455,,,
17290,-25.25584,455,,,
17745,-31.894017,455,,,
18200,-10.815758,455,0.8362756371498108,6.422986805438995,3.128634935617447
18655,-31.789925,455,,,
19110,-13.299763,455,,,
19565,-27.170683,455,,,
20020,-4.484891,455,,,
20475,-13.502397,455,0.867446780204773,6.437159198522568,2.98571185618639
20930,-22.65527,455,,,
21385,-13.397644,455,,,
21840,-24.900823,455,,,
22295,-12.822889,455,0.8792382478713989,6.445403301715851,2.9138127237558367
22750,-27.524374,455,,,
23205,-27.68954,455,,,
23660,-7.828961,455,,,
24115,-23.311881,455,,,
24570,-8.138884,455,0.8948765993118286,6.453923124074936,2.584004078805447
25025,-16.29415,455,,,
