timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-3.564667,455,,,
910,40.184767,455,,,
1365,46.466279,455,,,
1820,37.691781,455,,,
2275,-6.696733,455,,,
2730,-8.462121,455,,,
3185,-5.939236,455,,,
3640,-5.32818,455,,,
4095,-8.313733,455,-0.012763619422912598,6.386301493644714,10.028869521617889
4550,-5.941863,455,,,
5005,-7.834892,455,,,
5460,41.295121,455,,,
5915,-6.420603,455,0.2250509262084961,6.385048973560333,7.96278600692749
6370,59.151863,455,,,
6825,-7.150205,455,,,
7280,47.927013,455,,,
7735,-11.08952,455,,,
8190,-7.577094,455,0.500554621219635,6.386977607011795,7.929926115274429
8645,44.172061,455,,,
9100,36.287694,455,,,
9555,46.362922,455,,,
10010,45.993904,455,0.6760855913162231,6.377562659978866,5.813549309968948
10465,-7.414738,455,,,
10920,-6.373051,455,,,
11375,-8.521635,455,,,
11830,45.702859,455,,,
12285,-7.289386,455,0.4380514621734619,6.3737680315971375,7.043875110149384
12740,-6.297732,455,,,
13195,-6.751757,455,,,
13650,-8.795134,455,,,
14105,-3.50774,455,0.7947231531143188,6.382998770475387,3.9718985110521317
14560,27.09512,455,,,
15015,38.598333,455,,,
15470,-4.100991,455,,,
15925,-2.297836,455,,,
16380,32.666531,455,0.8827841281890869,6.391403621435165,3.4922650158405304
16835,30.838339,455,,,
17290,-6.453235,455,,,
17745,-7.102312,455,,,
18200,49.414704,455,0.8107444047927856,6.374523240327835,4.108205288648605
18655,1.298999,455,,,
19110,46.315709,455,,,
19565,-0.932301,455,,,
20020,38.555433,455,,,
20475,28.004975,455,0.8734242916107178,6.368750029802323,4.483443820476532
20930,-3.557345,455,,,
21385,33.912052,455,,,
21840,-1.77203,455,,,
22295,25.094121,455,0.8687191009521484,6.378840970993042,4.357000848650932
22750,-4.170816,455,,,
23205,-3.421171,455,,,
23660,58.802821,455,,,
24115,-0.921224,455,,,
24570,41.771316,455,0.9119743704795837,6.387304317951203,3.141259175539017
25025,38.951089,455,,,
25480,42.371039,455,,,
25935,42.212575,455,,,
26390,-11.12399,455,0.916975200176239,6.398125857114792,3.3099212676286696
26845,40.484291,455,,,
27300,35.277491,455,,,
27755,32.207966,455,,,
28210,34.125601,455,,,
28665,40.523402,455,0.8717894554138184,6.406854724884033,3.799305444955826
29120,0.056397,455,,,
29575,42.955218,455,,,
30030,-2.277539,455,,,
30485,49.424418,455,0.6930726766586304,6.412252670526504,3.6339374095201493
30940,-2.965619,455,,,
31395,36.609231,455,,,
31850,50.037776,455,,,
32305,3.35584,455,,,
32760,-3.406643,455,0.8924559950828552,6.4163475930690765,3.209493285417557
33215,50.664276,455,,,
33670,-3.627966,455,,,
34125,46.792704,455,,,
34580,47.308443,455,0.9358285665512085,6.410838043689727,2.37840725928545
35035,1.255207,455,,,
35490,1.608953,455,,,
35945,2.818926,455,,,
36400,44.137721,455,,,
36855,-0.412318,455,0.9090639352798462,6.402137130498886,2.9904275342822073
37310,40.316723,455,,,
37765,-8.964916,455,,,
38220,1.068339,455,,,
38675,39.284289,455,0.95828777551651,6.408910024166107,2.1436979815363886
39130,-1.180528,455,,,
39585,-4.112118,455,,,
40040,3.707021,455,,,
40495,26.254204,455,,,
40950,-0.475384,455,0.9426173567771912,6.410637086629867,2.7729185044765474
41405,-5.305588,455,,,
41860,3.127921,455,,,
42315,35.514208,455,,,
42770,0.54487,455,0.9636480212211609,6.402326357364655,1.87710183262825
43225,0.595312,455,,,
43680,6.948988,455,,,
44135,37.83146,455,,,
44590,1.215681,455,,,
45045,3.118186,455,0.9680857062339783,6.402199625968933,1.7936537265777588
45500,4.157023,455,,,
45955,35.668356,455,,,
46410,49.732279,455,,,
46865,0.035399,455,0.9671235084533691,6.419920319318772,2.101158107817173
47320,0.67755,455,,,
47775,38.738963,455,,,
48230,3.303017,455,,,
48685,45.00968,455,,,
49140,4.252775,455,0.9584259390830994,6.431255328655243,2.146471504867077
49595,48.439868,455,,,
50050,-1.397864,455,,,
50505,6.231378,455,,,
50960,37.441308,455,0.9668447375297546,6.439079642295837,2.092112402617931
51415,-0.755561,455,,,
51870,56.800008,455,,,
52325,4.548618,455,,,
52780,-1.599886,455,,,
53235,5.983997,455,0.9466702938079834,6.446274763345718,2.3899210289120676
53690,46.352293,455,,,
54145,6.00479,455,,,
54600,52.915232,455,,,
55055,35.865547,455,0.9705735445022583,6.449267327785492,1.5991536766290664
55510,46.68427,455,,,
55965,0.201662,455,,,
56420,5.877445,455,,,
56875,52.991139,455,,,
57330,46.268887,455,0.9203948974609375,6.461460590362549,3.1091174095869065
57785,2.351614,455,,,
58240,41.960733,455,,,
58695,42.573085,455,,,
59150,39.755565,455,0.9581215381622314,6.480550700426102,2.3223137676715853
59605,8.186368,455,,,
60060,11.261252,455,,,
60515,8.251712,455,,,
60970,4.390054,455,,,
61425,49.274361,455,0.9398054480552673,6.491610950231552,2.666411983966827
61880,48.345352,455,,,
62335,4.457887,455,,,
62790,6.140096,455,,,
63245,5.290488,455,0.9779586791992188,6.486594039201736,1.4542833730578422
63700,45.202254,455,,,
64155,10.28364,455,,,
64610,8.683594,455,,,
65065,9.291134,455,,,
65520,39.118549,455,0.9729488492012024,6.492065918445587,1.8486648470163345
65975,47.507146,455,,,
66430,14.83994,455,,,
66885,46.231122,455,,,
67340,8.347689,455,0.9743425250053406,6.509247142076492,1.5696345277130603
67795,44.991287,455,,,
68250,15.38173,455,,,
68705,36.942523,455,,,
69160,45.204965,455,,,
69615,41.704898,455,0.9648236632347107,6.524820035696029,2.175989019870758
70070,10.660711,455,,,
70525,49.744845,455,,,
70980,6.440358,455,,,
71435,12.811312,455,0.938785195350647,6.513534104824066,2.593652054667473
71890,49.561071,455,,,
72345,10.412107,455,,,
72800,45.025952,455,,,
73255,46.478167,455,,,
73710,40.265012,455,0.9776870608329773,6.51521002650261,1.5536241136491298
74165,49.749965,455,,,
74620,6.39305,455,,,
75075,12.570923,455,,,
75530,30.902755,455,0.9406211376190186,6.5217444717884065,2.619650687277317
75985,39.29691,455,,,
76440,13.414283,455,,,
76895,15.429671,455,,,
77350,12.437515,455,,,
77805,43.430423,455,0.9630173444747925,6.518812811374664,2.045402969419956
78260,14.239323,455,,,
78715,53.934015,455,,,
79170,35.843938,455,,,
79625,17.839281,455,0.9776793122291565,6.513789856433869,1.4218964882194995
80080,14.715744,455,,,
80535,8.212742,455,,,
80990,14.986911,455,,,
81445,11.937759,455,,,
81900,14.725191,455,0.9709933400154114,6.50178354382515,1.8150737509131432
82355,8.269769,455,,,
82810,50.252314,455,,,
83265,52.491332,455,,,
83720,19.011913,455,0.9855042695999146,6.502215051651001,0.9786083444952964
84175,16.323821,455,,,
84630,37.564763,455,,,
85085,55.730672,455,,,
85540,12.410121,455,,,
85995,8.637145,455,0.9668273329734802,6.498880839347839,1.8279008254408837
86450,19.525019,455,,,
86905,49.920844,455,,,
87360,11.505038,455,,,
87815,10.490838,455,0.9718816876411438,6.502156192064286,1.6761377990245818
88270,42.474569,455,,,
88725,22.542883,455,,,
89180,20.87331,455,,,
89635,34.682702,455,,,
90090,16.15047,455,0.9699996709823608,6.515819042921066,1.581724539399147
90545,13.424546,455,,,
91000,25.681546,455,,,
91455,46.815643,455,,,
91910,31.710841,455,0.9765616655349731,6.515373063087464,1.2333041734993457
92365,18.468262,455,,,
92820,46.080803,455,,,
93275,13.84159,455,,,
93730,23.56043,455,,,
94185,15.965676,455,0.9656405448913574,6.50862762928009,1.8067675337195397
94640,47.863363,455,,,
95095,49.760014,455,,,
95550,13.944326,455,,,
96005,45.732512,455,0.9759765267372131,6.533276623487472,1.1908419027924537
96460,42.571226,455,,,
96915,49.620241,455,,,
97370,14.349858,455,,,
97825,48.78362,455,,,
98280,45.25873,455,0.9424961805343628,6.566286075115204,2.558802033960819
98735,20.359743,455,,,
99190,43.499952,455,,,
99645,16.411223,455,,,
100100,22.8188,455,0.9330587387084961,6.579752367734909,2.169704996049404
100555,20.945508,455,,,
101010,32.99719,455,,,
101465,43.743238,455,,,
101920,41.035661,455,,,
102375,15.113295,455,0.9805164337158203,6.588450139760971,1.1211190305650234
102830,25.649726,455,,,
103285,31.195377,455,,,
103740,48.804781,455,,,
104195,26.64004,455,0.9627596139907837,6.597531503438949,2.052584484219551
104650,50.761977,455,,,
105105,22.748892,455,,,
105560,52.88788,455,,,
106015,30.477503,455,,,
106470,23.682689,455,0.9651966691017151,6.597244453430176,1.6522544890642166
106925,46.822582,455,,,
107380,27.230901,455,,,
107835,40.095474,455,,,
108290,21.995905,455,0.9760039448738098,6.58860496878624,1.3146167278289795
108745,52.790511,455,,,
109200,21.164033,455,,,
109655,51.536387,455,,,
110110,23.521898,455,,,
110565,23.573606,455,0.9750273823738098,6.581179785728454,1.5484465092420578
111020,43.633045,455,,,
111475,27.974629,455,,,
111930,19.644956,455,,,
112385,24.724888,455,0.981415331363678,6.56116019487381,1.1070568315684794
112840,24.329951,455,,,
113295,37.379906,455,,,
113750,23.474155,455,,,
114205,56.261025,455,,,
114660,46.323392,455,0.982189416885376,6.54027983546257,1.1882045730948447
115115,29.760972,455,,,
115570,20.478842,455,,,
116025,41.657486,455,,,
116480,47.402007,455,0.9659129977226257,6.521252357959748,1.837655283510685
116935,23.629281,455,,,
117390,46.552595,455,,,
117845,20.886467,455,,,
118300,29.609687,455,,,
118755,28.139875,455,0.9702058434486389,6.502217161655426,1.5432955786585807
119210,55.398741,455,,,
