timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-89.171479,455,,,
910,-63.530669,455,,,
1365,-61.099468,455,,,
1820,-62.106406,455,,,
2275,-87.439211,455,,,
2730,-93.310236,455,,,
3185,-89.547355,455,,,
3640,-94.143123,455,,,
4095,-88.468392,455,-0.01819169521331787,6.406717503070832,7.186224442720413
4550,-84.861846,455,,,
5005,-89.695287,455,,,
5460,-67.347605,455,,,
5915,-86.268875,455,0.08462649583816528,6.426395153999328,9.945207357406616
6370,-69.41482,455,,,
6825,-88.344555,455,,,
7280,-66.281854,455,,,
7735,-89.464085,455,,,
8190,-83.402729,455,0.34484779834747314,6.45007883310318,7.666509383916855
8645,-67.427797,455,,,
9100,-71.389688,455,,,
9555,-63.366376,455,,,
10010,-67.536261,455,0.5478072166442871,6.4810144901275635,7.634064650535583
10465,-88.439523,455,,,
10920,-85.02656,455,,,
11375,-88.624177,455,,,
11830,-54.706921,455,,,
12285,-86.880807,455,0.3872951865196228,6.492821604013443,6.080863839387893
12740,-90.329234,455,,,
13195,-88.544158,455,,,
13650,-83.799556,455,,,
14105,-86.662431,455,0.7691853046417236,6.510120004415512,5.730537378787995
14560,-67.564328,455,,,
15015,-69.220236,455,,,
15470,-87.581027,455,,,
15925,-94.31248,455,,,
16380,-68.135905,455,0.8270295858383179,6.531069529056549,5.287939980626106
16835,-76.66173,455,,,
17290,-91.775139,455,,,
17745,-88.724545,455,,,
18200,-64.481033,455,0.8015605211257935,6.551487100124359,4.600364777445793
18655,-89.831622,455,,,
19110,-69.016904,455,,,
19565,-85.525308,455,,,
20020,-56.092517,455,,,
20475,-66.5728,455,0.8166244029998779,6.558900773525238,5.173117071390152
20930,-80.331725,455,,,
21385,-60.426882,455,,,
21840,-84.735402,455,,,
22295,-67.398805,455,0.8614870309829712,6.5560526847839355,3.899613234400749
22750,-87.955923,455,,,
23205,-84.657141,455,,,
23660,-62.788305,455,,,
24115,-81.039096,455,,,
24570,-61.309757,455,0.8554812669754028,6.557955574989319,3.984267529845238
25025,-72.723992,455,,,
25480,-62.129158,455,,,
25935,-70.316099,455,,,
26390,-86.941038,455,0.8962128162384033,6.5690239548683165,3.323129639029503
26845,-48.938842,455,,,
27300,-69.728574,455,,,
27755,-58.986126,455,,,
28210,-79.66285,455,,,
28665,-61.389874,455,0.858768880367279,6.5785427451133724,3.338031107187271
29120,-79.07167,455,,,
29575,-67.855696,455,,,
30030,-86.509973,455,,,
30485,-58.479263,455,0.8531433343887329,6.594226509332657,2.9691815078258514
30940,-86.839463,455,,,
31395,-68.984232,455,,,
