timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-24.295128,455,,,
910,-49.7713,455,,,
1365,-50.673481,455,,,
1820,-48.846668,455,,,
2275,-21.203426,455,,,
2730,-18.885249,455,,,
3185,-19.993367,455,,,
3640,-24.154892,455,,,
4095,-22.860873,455,-0.0075321197509765625,6.38899148106575,9.525284951925277
4550,-16.300113,455,,,
5005,-20.479813,455,,,
5460,-54.048892,455,,,
5915,-20.990317,455,0.10387474298477173,6.400982683897018,7.156013602018357
6370,-50.749396,455,,,
6825,-25.914838,455,,,
7280,-53.01679,455,,,
7735,-17.849711,455,,,
8190,-22.45741,455,0.2635264992713928,6.414713042974472,6.604077577590942
8645,-47.778319,455,,,
9100,-56.601937,455,,,
9555,-45.66749,455,,,
10010,-54.13024,455,0.54044508934021,6.419918256998062,5.048470622301101
10465,-20.956952,455,,,
10920,-18.495423,455,,,
11375,-17.97261,455,,,
11830,-55.227616,455,,,
12285,-21.053511,455,0.5262375473976135,6.4200399160385135,6.059089654684067
12740,-19.197444,455,,,
13195,-22.719049,455,,,
13650,-20.43075,455,,,
14105,-15.69069,455,0.798265278339386,6.414474248886108,3.174627113342285
14560,-59.373304,455,,,
15015,-46.412207,455,,,
15470,-24.981926,455,,,
15925,-18.588556,455,,,
16380,-43.851468,455,0.8521559238433838,6.4122871398925785,2.27388369590044
16835,-51.709473,455,,,
17290,-19.875241,455,,,
17745,-18.932832,455,,,
18200,-56.203979,455,0.8065668344497681,6.410150504112243,3.8665063321590423
18655,-21.642592,455,,,
19110,-48.012196,455,,,
19565,-13.53461,455,,,
20020,-45.747539,455,,,
20475,-48.946395,455,0.8647180795669556,6.421215122938156,2.7920304775238036
20930,-17.233063,455,,,
21385,-52.707803,455,,,
21840,-19.586528,455,,,
22295,-50.444208,455,0.8504914045333862,6.43282133936882,2.9251930505037307
22750,-10.037654,455,,,
23205,-19.997686,455,,,
23660,-41.811257,455,,,
24115,-16.731681,455,,,
24570,-56.379641,455,0.8947434425354004,6.442644560337067,2.3478011175990106
25025,-50.530996,455,,,
25480,-49.993437,455,,,
25935,-49.495873,455,,,
26390,-15.665832,455,0.9069594144821167,6.443485081195831,2.2570230796933175
26845,-50.140783,455,,,
27300,-43.778292,455,,,
27755,-41.231321,455,,,
28210,-48.726713,455,,,
28665,-41.012708,455,0.8310307264328003,6.453735041618347,3.61686230301857
29120,-10.369277,455,,,
29575,-50.285651,455,,,
30030,-15.737977,455,,,
30485,-56.499052,455,0.7857731580734253,6.463494259119034,4.601352390646935
30940,-19.12861,455,,,
31395,-48.929944,455,,,
31850,-51.232218,455,,,
32305,-15.608537,455,,,
