timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-74.619042,455,,,
910,-30.990812,455,,,
1365,-23.813085,455,,,
1820,-32.878262,455,,,
2275,-78.893557,455,,,
2730,-82.374877,455,,,
3185,-76.710791,455,,,
3640,-78.092219,455,,,
4095,-79.263485,455,-0.010227203369140625,6.392919760942459,10.467095404863358
4550,-76.122907,455,,,
5005,-80.711006,455,,,
5460,-30.434732,455,,,
5915,-78.707352,455,0.1399744153022766,6.404799902439118,10.393667948246001
6370,-10.799148,455,,,
6825,-78.385716,455,,,
7280,-21.464556,455,,,
7735,-81.686149,455,,,
8190,-78.284869,455,0.31306350231170654,6.415336716175079,10.89317990541458
8645,-26.092972,455,,,
9100,-35.070649,455,,,
9555,-24.078534,455,,,
10010,-24.20006,455,0.47736358642578125,6.411009573936463,8.746362966299056
10465,-78.740199,455,,,
10920,-75.769799,455,,,
11375,-78.209649,455,,,
11830,-24.50872,455,,,
12285,-78.925479,455,0.3135709762573242,6.419305044412613,7.515922355651855
12740,-77.219613,455,,,
13195,-77.347716,455,,,
13650,-79.59262,455,,,
14105,-73.368777,455,0.6484940648078918,6.438010591268539,6.5426121890544895
14560,-42.948633,455,,,
15015,-32.137299,455,,,
15470,-74.7231,455,,,
15925,-73.09317,455,,,
16380,-36.251024,455,0.7436856031417847,6.450853431224823,5.817784935235977
16835,-38.266953,455,,,
17290,-77.566421,455,,,
17745,-77.509003,455,,,
18200,-21.403566,455,0.7106643915176392,6.4403697609901425,5.5139725506305695
18655,-69.79786,455,,,
19110,-24.629087,455,,,
19565,-70.066148,455,,,
20020,-30.694151,455,,,
20475,-41.881127,455,0.7665936350822449,6.437398082017898,5.726726168394089
20930,-70.736591,455,,,
21385,-35.21654,455,,,
21840,-71.628282,455,,,
22295,-45.881404,455,0.7798618078231812,6.454564529657364,4.988696318864823
22750,-74.151499,455,,,
23205,-71.341505,455,,,
23660,-12.195547,455,,,
24115,-69.072441,455,,,
24570,-28.226794,455,0.841077446937561,6.476139205694198,4.01660204231739
25025,-32.828965,455,,,
25480,-26.439427,455,,,
25935,-28.715514,455,,,
