timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-5.969606,139,,,
278,-5.459428,139,,,
417,-0.467478,139,,,
556,-0.190325,139,,,
695,2.833,139,,,
834,-10.751673,139,,,
973,-10.18378,139,,,
1112,-4.451076,139,,,
1251,4.377861,139,,,
1390,-6.676279,139,,,
1529,-1.380355,139,,,
1668,1.681984,139,,,
1807,-0.209622,139,,,
1946,-5.540932,139,,,
2085,-3.245087,139,,,
2224,-5.485627,139,,,
2363,-7.976863,139,,,
2502,-2.980839,139,,,
2641,2.565555,139,,,
2780,10.432835,139,,,
2919,4.100595,139,,,
3058,-9.70822,139,,,
3197,-8.558399,139,,,
3336,-8.679077,139,,,
3475,-1.545786,139,,,
3614,0.364816,139,,,
3753,-5.867282,139,,,
3892,-18.525744,139,,,
4031,-6.843828,139,-0.0015140771865844727,3.4988543927669524,12.23402405977249
4170,-4.701448,139,,,
4309,-4.485173,139,,,
4448,-8.17497,139,,,
4587,-0.89968,139,,,
4726,1.999379,139,,,
4865,3.047997,139,,,
5004,-0.713948,139,,,
5143,-4.458607,139,,,
5282,1.504119,139,,,
5421,4.941225,139,,,
5560,-2.353035,139,,,
5699,-10.499035,139,,,
5838,-11.239152,139,,,
5977,-0.587449,139,,,
6116,7.292548,139,0.03124988079071045,3.514932098984718,11.85579867362976
6255,-8.27335,139,,,
6394,-8.943191,139,,,
6533,0.940499,139,,,
6672,-7.921739,139,,,
6811,-6.720995,139,,,
6950,-6.196516,139,,,
7089,-5.686118,139,,,
7228,2.885584,139,,,
7367,3.946618,139,,,
7506,-4.143281,139,,,
7645,1.003102,139,,,
7784,5.059757,139,,,
7923,-0.578194,139,,,
8062,0.795841,139,0.25690561532974243,3.516094070672989,8.048585504293442
8201,-1.599747,139,,,
8340,-4.687858,139,,,
8479,0.652129,139,,,
8618,-2.042862,139,,,
8757,-2.998034,139,,,
8896,1.73509,139,,,
9035,-2.395846,139,,,
9174,-10.417076,139,,,
9313,6.260338,139,,,
9452,-4.191309,139,,,
9591,3.835761,139,,,
9730,-9.864438,139,,,
9869,-9.140718,139,,,
10008,-2.818312,139,,,
10147,-13.304728,139,0.5835456848144531,3.513792210817337,6.456581264734268
10286,-13.862133,139,,,
10425,-2.301437,139,,,
10564,5.839701,139,,,
10703,-10.926409,139,,,
10842,-9.294218,139,,,
10981,-1.232877,139,,,
11120,-5.311034,139,,,
11259,-2.245676,139,,,
11398,7.535933,139,,,
11537,-10.502662,139,,,
11676,2.527427,139,,,
11815,2.242229,139,,,
11954,-8.734449,139,,,
12093,-10.378387,139,,,
12232,-6.20151,139,0.7217813730239868,3.5159541845321653,5.420362558960915
12371,3.180489,139,,,
12510,-5.076616,139,,,
12649,-2.346733,139,,,
12788,9.745927,139,,,
12927,-1.569903,139,,,
13066,-5.644883,139,,,
13205,-6.631879,139,,,
13344,-6.12398,139,,,
13483,-1.231133,139,,,
13622,-1.589466,139,,,
13761,-1.267843,139,,,
13900,-5.795822,139,,,
14039,3.894119,139,,,
14178,-6.300885,139,,,
14317,-3.365819,139,0.7868068218231201,3.5269860297441484,4.398384508490563
14456,-2.252505,139,,,
14595,-9.139059,139,,,
14734,-7.157515,139,,,
14873,-11.511318,139,,,
15012,-0.267784,139,,,
15151,-5.000399,139,,,
15290,-5.501946,139,,,
15429,-5.33033,139,,,
15568,6.192192,139,,,
15707,-3.708411,139,,,
15846,-7.013442,139,,,
15985,0.700283,139,,,
16124,-1.206445,139,,,
16263,-0.223423,139,0.8225199580192566,3.5313787877559664,4.040434655547142
16402,-6.626481,139,,,
16541,-6.533239,139,,,
16680,0.475981,139,,,
16819,-0.788881,139,,,
16958,-0.860634,139,,,
17097,1.044392,139,,,
17236,3.699712,139,,,
17375,-2.014903,139,,,
17514,4.342508,139,,,
17653,7.659977,139,,,
17792,3.586164,139,,,
17931,-9.413832,139,,,
18070,0.372228,139,,,
18209,-5.745162,139,,,
18348,6.424182,139,0.8415115475654602,3.5333160668611527,3.5830860316753386
18487,-8.03117,139,,,
18626,-5.873395,139,,,
18765,-3.392931,139,,,
18904,-4.632293,139,,,
19043,0.034897,139,,,
19182,-1.802876,139,,,
19321,-5.986166,139,,,
19460,1.686558,139,,,
19599,-4.184928,139,,,
19738,-2.07047,139,,,
19877,-6.352747,139,,,
20016,1.764062,139,,,
20155,-4.819582,139,,,
20294,1.170406,139,,,
20433,-0.142062,139,0.8326506614685059,3.5370843559503555,3.2267427772283552
20572,-3.662176,139,,,
20711,1.791754,139,,,
20850,-8.939376,139,,,
20989,-0.957056,139,,,
21128,0.556161,139,,,
21267,-1.290259,139,,,
21406,5.514095,139,,,
21545,2.571625,139,,,
