timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-54.535947,455,,,
910,-70.589658,455,,,
1365,-76.110271,455,,,
1820,-82.181614,455,,,
2275,-54.191803,455,,,
2730,-60.833046,455,,,
3185,-53.447712,455,,,
3640,-58.40531,455,,,
4095,-61.971018,455,0.02034473419189453,6.382009965181351,6.758836770057679
4550,-60.929526,455,,,
5005,-57.942106,455,,,
5460,-71.397633,455,,,
5915,-56.193595,455,0.3001944422721863,6.3726088285446165,5.4609925001859665
6370,-63.465195,455,,,
6825,-54.807089,455,,,
7280,-83.170605,455,,,
7735,-59.736662,455,,,
8190,-61.738147,455,0.593166708946228,6.370299994945526,5.4498132318258286
8645,-74.835273,455,,,
9100,-68.289154,455,,,
9555,-81.780941,455,,,
10010,-77.025762,455,0.692351758480072,6.384103631973266,5.770822107791901
10465,-57.320378,455,,,
10920,-58.485859,455,,,
11375,-57.410749,455,,,
11830,-72.295757,455,,,
12285,-52.531169,455,0.26191246509552,6.397491896152497,7.107670688629151
12740,-57.955539,455,,,
13195,-58.668009,455,,,
13650,-51.765732,455,,,
14105,-53.58652,455,0.8873427510261536,6.397153329849243,4.038416531682015
14560,-67.223069,455,,,
15015,-65.708555,455,,,
15470,-58.989103,455,,,
15925,-58.071164,455,,,
16380,-69.31083,455,0.9283244609832764,6.4117172956466675,2.1990482553839685
16835,-65.034576,455,,,
17290,-60.281763,455,,,
17745,-53.181452,455,,,
18200,-67.883487,455,0.8505498170852661,6.450775462388992,4.392620554566383
18655,-58.329839,455,,,
19110,-72.042652,455,,,
19565,-51.991972,455,,,
20020,-68.238904,455,,,
20475,-73.107177,455,0.9088226556777954,6.478676545619964,2.899088588356972
20930,-51.029354,455,,,
21385,-77.662597,455,,,
21840,-52.17208,455,,,
22295,-73.693329,455,0.9171468019485474,6.487691521644592,3.5370148599147795
22750,-54.817583,455,,,
23205,-53.284299,455,,,
23660,-76.30365,455,,,
24115,-54.572072,455,,,
24570,-73.012758,455,0.9329029321670532,6.484149581193924,2.4852880090475082
25025,-84.134178,455,,,
25480,-74.435171,455,,,
25935,-74.097364,455,,,
26390,-54.675777,455,0.9523820877075195,6.4858670949935915,2.5134211242198945
26845,-79.218808,455,,,
27300,-71.599974,455,,,
27755,-70.672722,455,,,
28210,-64.311459,455,,,
28665,-73.910253,455,0.9197319746017456,6.492702752351761,3.0841268092393874
29120,-50.583239,455,,,
29575,-66.845038,455,,,
30030,-54.536563,455,,,
30485,-76.39488,455,0.8581360578536987,6.486126899719238,3.618302655220032
30940,-53.197432,455,,,
31395,-71.691428,455,,,
31850,-72.462256,455,,,
32305,-55.238528,455,,,
32760,-58.368628,455,0.9461693167686462,6.484563970565796,2.355278940498829
33215,-69.113316,455,,,
33670,-49.073924,455,,,
34125,-76.714456,455,,,
34580,-72.538159,455,0.9554509520530701,6.498060774803162,2.2116259559988976
35035,-50.540097,455,,,
35490,-55.152121,455,,,
35945,-52.508896,455,,,
36400,-76.03476,455,,,
36855,-49.82152,455,0.9348233938217163,6.507804214954376,2.635498803853989
37310,-68.524385,455,,,
37765,-50.295653,455,,,
38220,-46.388139,455,,,
38675,-66.190966,455,0.9719669222831726,6.512640100717545,1.8784856662154197
39130,-56.035412,455,,,
39585,-51.128751,455,,,
40040,-54.030896,455,,,
40495,-77.714204,455,,,
40950,-48.016627,455,0.9600100517272949,6.524022358655929,2.069431722164154
41405,-49.229356,455,,,
41860,-50.918433,455,,,
42315,-71.553961,455,,,
42770,-55.531602,455,0.9750882387161255,6.537269747257232,1.6161612123250961
43225,-54.819249,455,,,
43680,-50.749714,455,,,
44135,-72.458412,455,,,
44590,-50.136345,455,,,
45045,-48.544839,455,0.9777413010597229,6.536448335647583,1.4719252973794936
45500,-54.000994,455,,,
45955,-63.030038,455,,,
46410,-73.94125,455,,,
46865,-52.798664,455,0.9797815084457397,6.540125411748886,1.4490818485617638
47320,-46.675312,455,,,
47775,-77.395677,455,,,
48230,-53.970398,455,,,
48685,-79.518603,455,,,
49140,-52.622987,455,0.9629164338111877,6.55932834148407,1.848298417031765
49595,-69.397241,455,,,
50050,-51.583334,455,,,
50505,-50.837191,455,,,
50960,-66.989175,455,0.9727217555046082,6.571904957294464,1.8375494867563247
51415,-49.386136,455,,,
51870,-64.349975,455,,,
52325,-48.178267,455,,,
52780,-50.041022,455,,,
53235,-45.982446,455,0.9707105159759521,6.56979421377182,1.7063934743404388
53690,-75.524865,455,,,
54145,-52.273513,455,,,
54600,-65.811931,455,,,
55055,-72.631297,455,0.9784246683120728,6.585309910774231,1.4460020020604134
55510,-63.720729,455,,,
55965,-44.305234,455,,,
56420,-47.623348,455,,,
56875,-75.801771,455,,,
57330,-73.735389,455,0.939257025718689,6.609791082143784,2.32319315969944
57785,-46.088634,455,,,
58240,-77.195355,455,,,
58695,-68.486481,455,,,
59150,-71.640383,455,0.969782829284668,6.623238611221313,2.143057291209698
59605,-46.124391,455,,,
60060,-50.282234,455,,,
60515,-48.130335,455,,,
60970,-49.194158,455,,,
61425,-60.377222,455,0.9508512616157532,6.622346752882004,2.1841391533613206
61880,-73.008908,455,,,
62335,-50.512016,455,,,
62790,-51.328228,455,,,
63245,-48.474414,455,0.9758578538894653,6.631924235820771,1.3656053051352501
63700,-77.94978,455,,,
64155,-43.793557,455,,,
64610,-44.245895,455,,,
65065,-46.34535,455,,,
65520,-61.464206,455,0.977257490158081,6.66142767071724,1.2772040717303752
65975,-62.314123,455,,,
66430,-50.651243,455,,,
66885,-68.776584,455,,,
67340,-48.402727,455,0.9755489826202393,6.686996346712112,1.5791734918951987
67795,-69.270849,455,,,
68250,-46.84842,455,,,
68705,-67.462082,455,,,
69160,-60.949402,455,,,
69615,-57.722321,455,0.9710382223129272,6.710816615819931,1.6343503773212433
70070,-42.27354,455,,,
70525,-76.334379,455,,,
70980,-44.961916,455,,,
71435,-49.968475,455,0.9542115926742554,6.759627437591552,2.056544691324234
71890,-81.182526,455,,,
72345,-47.855032,455,,,
72800,-73.640976,455,,,
73255,-50.960158,455,,,
73710,-70.111126,455,0.9769178032875061,6.7908782184123995,1.4053120225667954
74165,-65.766729,455,,,
74620,-45.317064,455,,,
75075,-46.771907,455,,,
75530,-74.995933,455,0.9522805213928223,6.812682622671128,2.175032326579094
75985,-58.63006,455,,,
76440,-48.954326,455,,,
76895,-43.80019,455,,,
77350,-43.804733,455,,,
77805,-61.474908,455,0.9724991917610168,6.841900509595871,1.5706240758299828
78260,-43.375886,455,,,
78715,-68.163109,455,,,
79170,-73.561768,455,,,
79625,-45.543312,455,0.9812606573104858,6.870835149288178,1.1731533855199814
80080,-41.057237,455,,,
80535,-48.5978,455,,,
80990,-42.170639,455,,,
81445,-46.763285,455,,,
81900,-41.307037,455,0.972537636756897,6.897768431901932,1.3749816417694092
82355,-43.243317,455,,,
82810,-61.253868,455,,,
83265,-73.620361,455,,,
83720,-45.556013,455,0.9861524701118469,6.918735474348068,1.1150133781135083
84175,-42.323668,455,,,
84630,-65.056653,455,,,
85085,-64.939765,455,,,
85540,-41.696092,455,,,
85995,-45.390463,455,0.9716646671295166,6.92993985414505,1.4583953455090524
86450,-45.975492,455,,,
86905,-68.277391,455,,,
87360,-43.876769,455,,,
87815,-46.258445,455,0.9760828018188477,6.94103712439537,1.5489509865641593
88270,-64.381727,455,,,
88725,-42.423322,455,,,
89180,-46.599526,455,,,
89635,-67.138949,455,,,
90090,-43.051387,455,0.9820130467414856,6.958609139919281,1.189273552596569
90545,-45.521692,455,,,
91000,-46.856035,455,,,
91455,-62.166546,455,,,
91910,-51.476483,455,0.9791536927223206,6.982866948843002,1.3007426954805852
92365,-42.465901,455,,,
92820,-71.714776,455,,,
93275,-43.397818,455,,,
93730,-42.369629,455,,,
94185,-37.339431,455,0.9680625200271606,6.997327435016632,1.394896987080574
94640,-59.882575,455,,,
95095,-66.698,455,,,
95550,-40.357862,455,,,
96005,-58.593055,455,0.9823113679885864,7.007095831632614,1.1020821191370487
96460,-62.090382,455,,,
96915,-60.018688,455,,,
97370,-43.638012,455,,,
97825,-57.588477,455,,,
98280,-64.032202,455,0.958924412727356,7.013050377368927,1.91181181371212
98735,-42.101411,455,,,
99190,-58.860059,455,,,
99645,-45.577334,455,,,
100100,-38.532374,455,0.9604112505912781,7.035260945558548,1.832897286117077
100555,-42.895072,455,,,
101010,-55.772526,455,,,
101465,-62.100639,455,,,
101920,-68.863773,455,,,
102375,-41.074796,455,0.9807029366493225,7.058034539222717,1.1339404374361037
102830,-40.90348,455,,,
103285,-64.013949,455,,,
103740,-59.388708,455,,,
104195,-39.440679,455,0.9726607203483582,7.07125933766365,1.5170782044529916
104650,-76.854159,455,,,
105105,-37.022083,455,,,
105560,-55.132646,455,,,
106015,-43.407974,455,,,
106470,-36.935774,455,0.9749773740768433,7.077861785888672,1.4273911379277706
106925,-59.044777,455,,,
107380,-46.87202,455,,,
107835,-62.732164,455,,,
108290,-45.228775,455,0.9744055271148682,7.08787094950676,1.2987985223531724
108745,-66.263421,455,,,
109200,-37.867941,455,,,
109655,-56.535793,455,,,
110110,-37.632342,455,,,
110565,-43.304002,455,0.9698076844215393,7.1095778226852415,1.4567844048142433
111020,-69.458044,455,,,
111475,-41.328788,455,,,
111930,-40.821859,455,,,
112385,-40.790926,455,0.9806811809539795,7.133486300706863,1.2513848811388015
112840,-42.784335,455,,,
113295,-75.919374,455,,,
113750,-40.98814,455,,,
114205,-61.479025,455,,,
114660,-60.037817,455,0.9800820350646973,7.154133695363998,0.9913919493556023
115115,-34.749663,455,,,
115570,-36.347469,455,,,
116025,-60.388177,455,,,
116480,-59.115016,455,0.9742208123207092,7.169414168596267,1.610789605975151
116935,-39.348867,455,,,
117390,-57.974752,455,,,
117845,-37.811192,455,,,
118300,-36.405056,455,,,
118755,-39.769496,455,0.9773319959640503,7.186507195234299,1.2034458056092263
119210,-57.986124,455,,,
119665,-33.141876,455,,,
120120,-56.531967,455,,,
120575,-65.85673,455,0.9826695919036865,7.229253512620926,0.9927337065339088
121030,-65.489144,455,,,
121485,-44.393177,455,,,
121940,-69.935848,455,,,
122395,-64.200363,455,,,
122850,-70.461575,455,0.9642577767372131,7.264127361774444,1.583160512149334
123305,-35.372854,455,,,
123760,-34.874356,455,,,
124215,-58.910898,455,,,
124670,-35.43168,455,0.9693313837051392,7.270812624692917,1.7668100833892821
125125,-42.492827,455,,,
125580,-36.261978,455,,,
126035,-34.088684,455,,,
126490,-60.674461,455,,,
126945,-40.248233,455,0.9820799231529236,7.2941370666027066,1.0546964451670646
127400,-40.310851,455,,,
127855,-37.979941,455,,,
128310,-43.051208,455,,,
128765,-37.180336,455,0.9852327108383179,7.318300199508667,1.0207550950348376
129220,-65.149855,455,,,
129675,-42.998667,455,,,
130130,-38.319893,455,,,
130585,-53.205034,455,,,
131040,-36.916996,455,0.9897754788398743,7.341694486141205,0.8496099203824997
131495,-43.929752,455,,,
131950,-61.259657,455,,,
132405,-70.113008,455,,,
132860,-64.158619,455,0.9828944206237793,7.366355943679809,1.1955969132483006
133315,-58.801219,455,,,
133770,-54.37992,455,,,
134225,-55.011305,455,,,
134680,-39.01931,455,,,
135135,-54.622663,455,0.9735967516899109,7.390769892930985,1.5019374907016754
135590,-44.681597,455,,,
136045,-38.246223,455,,,
136500,-43.426681,455,,,
136955,-36.811798,455,0.9671686291694641,7.399378001689911,1.5500614553689958
137410,-40.444385,455,,,
137865,-60.876444,455,,,
138320,-39.001418,455,,,
138775,-37.59325,455,,,
139230,-37.396394,455,0.9868090152740479,7.396416872739792,0.7754723690450191
139685,-35.597586,455,,,
140140,-38.684955,455,,,
140595,-32.584077,455,,,
141050,-56.746445,455,0.9857062697410583,7.404509192705154,1.1716679885983468
141505,-61.124143,455,,,
141960,-51.993829,455,,,
142415,-36.103071,455,,,
142870,-55.079913,455,,,
143325,-39.820094,455,0.9877172708511353,7.427737772464752,1.053589680045843
143780,-55.839539,455,,,
144235,-38.982566,455,,,
144690,-62.78473,455,,,
145145,-56.565735,455,0.973024308681488,7.44988506436348,1.3615841209888457
145600,-35.255119,455,,,
146055,-37.42747,455,,,
146510,-59.599058,455,,,
146965,-32.984271,455,,,
147420,-55.431337,455,0.9694378972053528,7.464135855436325,1.4241013064980508
147875,-31.596368,455,,,
148330,-56.340469,455,,,
148785,-53.162874,455,,,
149240,-34.922805,455,0.9807685017585754,7.484368205070496,1.2406366892158984
149695,-62.634865,455,,,
150150,-62.495735,455,,,
150605,-34.715021,455,,,
151060,-64.07312,455,,,
151515,-35.631044,455,0.9787946939468384,7.497227740287781,1.22137650847435
151970,-61.496264,455,,,
152425,-60.047078,455,,,
152880,-36.529979,455,,,
153335,-35.892784,455,0.9763467311859131,7.529681998491287,1.1875914171338082
153790,-33.538442,455,,,
154245,-66.929241,455,,,
154700,-32.34858,455,,,
155155,-56.747736,455,,,
155610,-37.358217,455,0.9781527519226074,7.571465462446213,1.094510804116726
156065,-34.599837,455,,,
156520,-35.467202,455,,,
156975,-33.766972,455,,,
157430,-64.014243,455,0.9852503538131714,7.597378867864609,1.144147627055645
157885,-65.045483,455,,,
158340,-34.551496,455,,,
158795,-59.159988,455,,,
159250,-35.983198,455,,,
159705,-31.413619,455,0.9882356524467468,7.624408459663391,0.9203567266464233
160160,-51.823141,455,,,
160615,-38.647741,455,,,
161070,-34.094356,455,,,
161525,-64.189433,455,0.9868807792663574,7.656263291835785,0.9698096498847008
161980,-56.806546,455,,,
162435,-34.835259,455,,,
162890,-38.303634,455,,,
163345,-49.770683,455,,,
163800,-61.589348,455,0.9812699556350708,7.6967530190944675,1.1781681537628175
164255,-35.977502,455,,,
164710,-36.734403,455,,,
165165,-55.859326,455,,,
