timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-0.25943,455,,,
910,-5.91543,455,,,
1365,-13.970412,455,,,
1820,-0.47184,455,,,
2275,1.064239,455,,,
2730,1.014318,455,,,
3185,-1.250202,455,,,
3640,-0.299608,455,,,
4095,1.655173,455,-0.013308048248291016,6.388345175981522,3.7677594870328903
4550,-0.834762,455,,,
5005,-0.091504,455,,,
5460,-4.466153,455,,,
5915,-0.344403,455,0.5106580853462219,6.4018555104732515,0.8023569576442242
6370,-5.006625,455,,,
6825,1.748991,455,,,
7280,-5.568943,455,,,
7735,2.011079,455,,,
8190,3.267836,455,0.5374701023101807,6.41482920050621,1.807293739914894
8645,-7.08561,455,,,
9100,-10.651422,455,,,
9555,-1.52709,455,,,
10010,-12.566966,455,0.608259916305542,6.411108446121216,1.9910859495401383
10465,1.633083,455,,,
10920,-0.644317,455,,,
11375,0.776179,455,,,
11830,-4.156678,455,,,
12285,4.808655,455,0.6855101585388184,6.401032584905624,3.522450953722
12740,4.10318,455,,,
13195,1.020183,455,,,
13650,3.043847,455,,,
14105,1.226575,455,0.8278441429138184,6.412448233366012,1.2588954992592334
14560,4.214806,455,,,
15015,-8.494072,455,,,
15470,3.928545,455,,,
15925,4.331586,455,,,
16380,-8.182176,455,0.9061996936798096,6.418246185779571,0.5948168341070413
16835,-9.558755,455,,,
17290,5.052498,455,,,
17745,4.044128,455,,,
18200,-11.038852,455,0.8219260573387146,6.422476822137833,2.384641520678997
18655,5.43588,455,,,
19110,-12.642926,455,,,
19565,-1.492181,455,,,
20020,-4.72702,455,,,
20475,-12.926235,455,0.86539626121521,6.433405232429505,1.8992393910884857
20930,7.070189,455,,,
21385,-13.701172,455,,,
21840,4.151995,455,,,
22295,-12.593294,455,0.8711720705032349,6.435719531774521,2.4897551387548447
22750,6.198314,455,,,
23205,6.595514,455,,,
23660,-6.575946,455,,,
24115,6.554775,455,,,
24570,-8.329693,455,0.8859942555427551,6.428010922670365,1.7084084078669548
25025,-15.970959,455,,,
25480,-18.513661,455,,,
25935,-17.322311,455,,,
26390,9.405844,455,0.9114885926246643,6.435549718141556,1.4150717750191688
26845,-9.483822,455,,,
27300,-15.496715,455,,,
27755,-4.857918,455,,,
28210,-11.697584,455,,,
28665,-14.040921,455,0.9062297344207764,6.444102132320404,2.345469002425671
29120,9.094944,455,,,
29575,0.911256,455,,,
30030,7.621945,455,,,
30485,-7.657716,455,0.9029368758201599,6.452998143434525,3.023605379462242
30940,8.381624,455,,,
31395,0.214438,455,,,
31850,1.502154,455,,,
32305,7.407356,455,,,
32760,7.357823,455,0.9230732321739197,6.45824870467186,1.3561262503266334
33215,-16.676544,455,,,
33670,9.960692,455,,,
34125,4.129862,455,,,
34580,8.55326,455,0.9290496706962585,6.474544161558152,1.2937606267631054
35035,10.995955,455,,,
35490,11.958128,455,,,
35945,8.272657,455,,,
36400,-2.857922,455,,,
36855,11.468027,455,0.9234551191329956,6.4782516896724704,1.794761909544468
37310,2.950004,455,,,
37765,9.845693,455,,,
38220,7.552487,455,,,
38675,-2.998504,455,0.938849151134491,6.46456087231636,0.7256808172911405
39130,9.866165,455,,,
39585,10.088954,455,,,
40040,11.831742,455,,,
40495,2.367291,455,,,
40950,11.253066,455,0.9355660676956177,6.471633315086365,1.1812839590013027
41405,11.797835,455,,,
41860,12.503484,455,,,
42315,-7.688311,455,,,
42770,11.467462,455,0.9493328928947449,6.485582369565964,0.6257952325046062
43225,11.454616,455,,,
43680,14.791754,455,,,
44135,-17.000971,455,,,
44590,13.983527,455,,,
45045,13.654806,455,0.9523648023605347,6.485302209854126,0.6193047288805247
45500,12.254854,455,,,
45955,-7.096703,455,,,
