timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-3.035123,455,,,
910,1.365373,455,,,
1365,-2.172761,455,,,
1820,-7.775995,455,,,
2275,-5.038916,455,,,
2730,-4.162838,455,,,
3185,-4.143001,455,,,
3640,-1.682164,455,,,
4095,-3.366459,455,0.021671831607818604,6.409076994657516,5.4717310726642605
4550,-2.000349,455,,,
5005,-1.684632,455,,,
5460,-3.042829,455,,,
5915,-3.021699,455,0.3897801637649536,6.427281898260117,0.5853397034108638
6370,2.114434,455,,,
6825,-3.038971,455,,,
7280,-2.800953,455,,,
7735,-1.950946,455,,,
8190,-3.72222,455,0.3715023994445801,6.444368129968643,2.118227806687355
8645,0.404662,455,,,
9100,5.54414,455,,,
9555,13.626555,455,,,
10010,-5.385851,455,0.5389816164970398,6.463423407077789,2.361235572397709
10465,-0.91609,455,,,
10920,-1.534772,455,,,
11375,0.156291,455,,,
11830,-10.881913,455,,,
12285,-1.715328,455,0.5517586469650269,6.466793483495712,4.87294342815876
12740,0.966964,455,,,
13195,-0.971719,455,,,
13650,0.167438,455,,,
14105,1.196186,455,0.8044372797012329,6.460918742418289,1.2563020221889019
14560,4.516443,455,,,
15015,-3.405555,455,,,
15470,-1.701935,455,,,
15925,-1.778994,455,,,
16380,1.572026,455,0.8898270130157471,6.435370475053787,0.5051911734044552
16835,-10.804719,455,,,
17290,1.756235,455,,,
17745,5.775929,455,,,
18200,-13.441905,455,0.7766988277435303,6.419370627403259,2.6915238738059997
18655,1.500697,455,,,
19110,-4.51145,455,,,
19565,-4.337398,455,,,
20020,7.023822,455,,,
20475,1.786486,455,0.7988599538803101,6.4225434303283695,2.0861818864941597
20930,5.397295,455,,,
21385,5.834122,455,,,
21840,1.943753,455,,,
22295,-18.289902,455,0.8216854333877563,6.4330546200275425,2.6206556051969527
22750,1.308982,455,,,
23205,2.407719,455,,,
23660,7.860724,455,,,
24115,4.014965,455,,,
24570,-9.129703,455,0.8227425217628479,6.438089203834534,1.993569864332676
25025,-3.064739,455,,,
25480,-2.183268,455,,,
25935,0.432675,455,,,
26390,3.183565,455,0.8489652872085571,6.442150020599366,1.8968195140361785
26845,-3.289565,455,,,
27300,2.00281,455,,,
27755,3.151455,455,,,
28210,-5.656751,455,,,
28665,8.107256,455,0.8559955358505249,6.444944906234741,2.926387944817543
29120,3.052695,455,,,
29575,7.93339,455,,,
30030,5.227542,455,,,
30485,2.127094,455,0.8809484839439392,6.449979221820831,3.169979527592659
30940,2.871639,455,,,
31395,2.781186,455,,,
31850,-1.050876,455,,,
32305,3.103548,455,,,
32760,4.01213,455,0.8989570140838623,6.471396404504776,1.3599362403154374
33215,1.252261,455,,,
33670,6.809408,455,,,
34125,6.920474,455,,,
34580,-1.947375,455,0.8988280296325684,6.485907959938049,1.5392386689782143
35035,6.5359,455,,,
35490,7.434929,455,,,
35945,8.613843,455,,,
36400,-1.120099,455,,,
36855,6.749362,455,0.8976510763168335,6.4876016736030575,2.065203441679478
37310,7.887946,455,,,
37765,5.318342,455,,,
38220,7.8254,455,,,
38675,2.324714,455,0.9254664182662964,6.483903688192368,0.7187455385923386
39130,7.031626,455,,,
39585,9.773038,455,,,
40040,10.488008,455,,,
40495,5.664015,455,,,
40950,7.887902,455,0.923332929611206,6.489119404554367,1.189000479876995
41405,8.129908,455,,,
41860,11.701548,455,,,
42315,3.181945,455,,,
42770,11.785522,455,0.9323793053627014,6.500938677787781,0.5950481195002795
43225,11.646503,455,,,
43680,11.538505,455,,,
44135,-2.208295,455,,,
44590,12.718687,455,,,
45045,11.722804,455,0.9344907402992249,6.514028018712997,0.5528315249830484
45500,8.883256,455,,,
45955,10.074624,455,,,
46410,2.921132,455,,,
46865,10.945208,455,0.9096019864082336,6.513972514867783,0.7053136937320232
47320,12.193697,455,,,
47775,4.807571,455,,,
48230,11.822836,455,,,
48685,12.113747,455,,,
49140,14.198217,455,0.923879861831665,6.523347175121307,1.0894738383591176
49595,3.700467,455,,,
50050,13.832071,455,,,
50505,12.414984,455,,,
50960,1.517417,455,0.9042669534683228,6.528103935718536,1.2258024014532567
51415,13.828599,455,,,
51870,13.709487,455,,,
52325,11.979538,455,,,
52780,13.768964,455,,,
53235,15.376915,455,0.9177939891815186,6.505698364973068,1.0350902140140534
53690,-5.649772,455,,,
54145,14.024053,455,,,
54600,-1.194647,455,,,
55055,8.794562,455,0.9181444644927979,6.487022626399994,0.6622556313872338
55510,7.497411,455,,,
55965,14.382782,455,,,
56420,14.76964,455,,,
56875,10.855722,455,,,
57330,2.470263,455,0.9107555747032166,6.4862121641635895,2.003316494822502
57785,16.704913,455,,,
58240,8.194104,455,,,
58695,0.579449,455,,,
59150,16.888489,455,0.9313716888427734,6.50082888007164,1.244487852603197
59605,14.503793,455,,,
60060,16.128211,455,,,
