timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,73.245363,455,,,
910,35.081179,455,,,
1365,46.715432,455,,,
1820,31.174817,455,,,
2275,74.713914,455,,,
2730,73.73099,455,,,
3185,67.46923,455,,,
3640,66.359443,455,,,
4095,73.227473,455,-0.03130793571472168,6.37772661447525,10.384770774841309
4550,72.784833,455,,,
5005,74.134151,455,,,
5460,47.041963,455,,,
5915,71.440159,455,0.25978487730026245,6.35183846950531,8.637613254785538
6370,38.111192,455,,,
6825,67.013693,455,,,
7280,43.383653,455,,,
7735,71.323749,455,,,
8190,72.774918,455,0.6244953870773315,6.331852781772613,8.856193178892136
8645,34.123934,455,,,
9100,44.088793,455,,,
9555,37.217045,455,,,
10010,36.681425,455,0.643364429473877,6.331464087963104,9.78302571773529
10465,70.570621,455,,,
10920,69.928825,455,,,
11375,71.017884,455,,,
11830,41.325509,455,,,
12285,68.212828,455,0.40687209367752075,6.334440052509308,7.499235153198242
12740,71.168022,455,,,
13195,66.876326,455,,,
13650,72.9848,455,,,
14105,62.714328,455,0.7671313881874084,6.333697158098221,7.449646818637848
14560,41.291716,455,,,
15015,25.305461,455,,,
15470,67.177479,455,,,
15925,74.757459,455,,,
16380,25.681571,455,0.8361213803291321,6.328142249584198,5.537035185098648
16835,44.231013,455,,,
17290,76.174346,455,,,
17745,75.50616,455,,,
18200,31.173317,455,0.7477731704711914,6.32389115691185,6.652125465869903
18655,73.469665,455,,,
19110,42.586534,455,,,
19565,66.325297,455,,,
20020,40.604806,455,,,
20475,20.600444,455,0.8303773403167725,6.330536425113678,5.774905622005463
20930,72.237085,455,,,
21385,39.156715,455,,,
21840,71.341361,455,,,
22295,36.109433,455,0.7503007650375366,6.332101881504059,6.910262537002564
22750,67.903487,455,,,
23205,72.826791,455,,,
23660,53.297301,455,,,
24115,75.585398,455,,,
24570,29.820111,455,0.8539029359817505,6.346261072158813,4.8261393249034885
25025,47.34452,455,,,
25480,47.165346,455,,,
25935,38.760816,455,,,
26390,69.187711,455,0.8600346446037292,6.365007334947586,6.117866384983063
26845,45.612349,455,,,
27300,46.621942,455,,,
27755,42.988624,455,,,
28210,35.113247,455,,,
28665,45.173537,455,0.8470511436462402,6.367214649915695,4.3383061170578
29120,72.036328,455,,,
29575,48.68384,455,,,
30030,73.857143,455,,,
30485,33.505812,455,0.8280194997787476,6.3644219696521755,3.974380561709404
30940,71.756194,455,,,
31395,49.011606,455,,,
31850,48.352252,455,,,
32305,71.19168,455,,,
32760,72.551731,455,0.8935287594795227,6.364922058582306,3.6202888965606688
33215,38.864389,455,,,
33670,76.048292,455,,,
34125,34.819388,455,,,
34580,43.155886,455,0.9029041528701782,6.3578549206256865,4.261349761486054
35035,73.730816,455,,,
35490,71.402354,455,,,
35945,76.178932,455,,,
36400,42.142979,455,,,
36855,76.896653,455,0.8859899044036865,6.350300735235214,4.020994994044304
37310,33.95659,455,,,
37765,74.179397,455,,,
38220,73.125376,455,,,
38675,44.354136,455,0.9239089488983154,6.361150735616684,3.4765086233615876
39130,72.290899,455,,,
39585,76.272174,455,,,
40040,74.978272,455,,,
40495,36.89662,455,,,
40950,71.752457,455,0.9311997294425964,6.3770537853240965,2.858626201748848
41405,75.33893,455,,,
41860,72.449218,455,,,
42315,46.160248,455,,,
42770,74.701446,455,0.9447524547576904,6.401422935724258,2.94960972815752
43225,73.293364,455,,,
43680,76.756457,455,,,
44135,38.818488,455,,,
44590,74.778636,455,,,
45045,74.094467,455,0.9536206126213074,6.429191654920578,2.372093364596367
45500,78.456408,455,,,
45955,45.659801,455,,,
46410,33.564686,455,,,
46865,70.952578,455,0.9614364504814148,6.4468112766742705,2.303337174654007
47320,73.816542,455,,,
47775,45.400303,455,,,
48230,64.945161,455,,,
48685,37.53185,455,,,
49140,76.367362,455,0.9469311833381653,6.4531273484230045,2.4133359506726264
49595,49.564787,455,,,
50050,73.910139,455,,,
50505,72.212532,455,,,
50960,31.346782,455,0.9392460584640503,6.4624537348747255,3.2492223381996155
51415,74.505059,455,,,
51870,33.513023,455,,,
52325,79.000525,455,,,
52780,74.458332,455,,,
53235,74.563119,455,0.9579691290855408,6.4686969995498655,2.0609469652175902
53690,45.821103,455,,,
54145,73.671424,455,,,
54600,36.879177,455,,,
55055,46.732621,455,0.9673871994018555,6.464901012182236,1.9667911916971206
55510,34.094854,455,,,
55965,75.601061,455,,,
56420,76.550308,455,,,
56875,44.016642,455,,,
57330,43.360009,455,0.9329801201820374,6.458145189285278,2.5989497527480125
57785,77.732533,455,,,
58240,49.545897,455,,,
58695,43.567739,455,,,
59150,47.277611,455,0.9620349407196045,6.46151556968689,2.2640902951359747
59605,76.317848,455,,,
60060,77.58952,455,,,
60515,74.617977,455,,,
60970,77.113552,455,,,
61425,37.134684,455,0.9436546564102173,6.456261718273163,2.349672432243824
61880,31.841627,455,,,
62335,80.111547,455,,,
62790,78.111744,455,,,
63245,78.721995,455,0.9721214175224304,6.44498850107193,1.7624318584799767
63700,43.50691,455,,,
64155,75.757192,455,,,
64610,71.268377,455,,,
65065,76.909346,455,,,
65520,35.884594,455,0.9742703437805176,6.440473073720932,1.4867434188723565
65975,56.630167,455,,,
66430,77.700479,455,,,
66885,36.674751,455,,,
67340,77.459144,455,0.9383909106254578,6.444542533159256,2.476226660609245
67795,55.234373,455,,,
68250,78.33241,455,,,
68705,46.402367,455,,,
69160,42.523038,455,,,
69615,51.201453,455,0.9645718336105347,6.443232017755508,2.0286227747797967
70070,79.532697,455,,,
70525,47.535243,455,,,
70980,77.59448,455,,,
71435,78.674538,455,0.9526274800300598,6.4242428839206696,2.237586170434952
71890,44.616157,455,,,
72345,81.210765,455,,,
72800,46.610854,455,,,
73255,42.428615,455,,,
73710,50.700475,455,0.9774205088615417,6.413310557603836,1.3927190840244292
74165,35.914942,455,,,
74620,81.102688,455,,,
75075,74.804285,455,,,
75530,48.560344,455,0.9473903775215149,6.406301027536392,2.446025924384594
75985,38.419187,455,,,
76440,80.856875,455,,,
76895,80.807486,455,,,
77350,79.559289,455,,,
77805,41.313788,455,0.9703946113586426,6.397526609897613,1.8704156532883645
78260,79.215771,455,,,
78715,37.684046,455,,,
79170,34.123757,455,,,
79625,80.336103,455,0.9808582663536072,6.378924703598022,1.4179230377078056
80080,80.295574,455,,,
80535,76.999435,455,,,
80990,81.341885,455,,,
81445,77.042147,455,,,
81900,82.902719,455,0.9748039841651917,6.368595772981644,1.618885236978531
82355,81.512872,455,,,
82810,43.129383,455,,,
83265,38.112688,455,,,
83720,80.592721,455,0.9889213442802429,6.368795049190521,0.8386538468301297
84175,80.647785,455,,,
84630,45.517374,455,,,
85085,40.504635,455,,,
85540,83.812302,455,,,
85995,82.965967,455,0.9770746231079102,6.366326195001602,1.425036609172821
86450,79.143056,455,,,
86905,45.947172,455,,,
87360,83.141699,455,,,
87815,82.435681,455,0.9805468320846558,6.36819297671318,1.5727816477417946
88270,44.815369,455,,,
88725,77.988489,455,,,
89180,82.332322,455,,,
89635,49.55094,455,,,
90090,79.039148,455,0.9844813346862793,6.375593537092209,1.089098083227873
90545,82.710675,455,,,
91000,81.378536,455,,,
91455,46.568836,455,,,
91910,48.950948,455,0.9814928770065308,6.376453530788422,1.3728321850299836
92365,81.431904,455,,,
92820,51.969737,455,,,
93275,85.345722,455,,,
93730,79.440759,455,,,
94185,79.953398,455,0.9796409606933594,6.36691614985466,1.2561154969036579
94640,43.420971,455,,,
95095,50.118646,455,,,
95550,84.003919,455,,,
96005,45.940038,455,0.9862915277481079,6.373383474349976,1.1173527091741562
96460,55.140567,455,,,
96915,43.911765,455,,,
97370,80.184271,455,,,
97825,51.468886,455,,,
98280,49.008216,455,0.9551364779472351,6.376853829622268,2.0688955917954446
98735,85.063521,455,,,
99190,44.332243,455,,,
99645,85.393322,455,,,
100100,84.233009,455,0.9541543126106262,6.396586865186691,2.2359352082014086
100555,85.57933,455,,,
101010,56.080072,455,,,
101465,46.551843,455,,,
101920,50.471309,455,,,
102375,85.000675,455,0.9886400699615479,6.42564811706543,0.8304941300302744
102830,85.53175,455,,,
103285,52.079228,455,,,
103740,34.347519,455,,,
104195,84.073582,455,0.9750286340713501,6.44834263920784,1.9205985859036445
104650,51.908048,455,,,
105105,86.948408,455,,,
105560,46.513317,455,,,
106015,85.749133,455,,,
106470,85.985204,455,0.9754908680915833,6.449318957328797,1.6970801189541818
106925,53.742169,455,,,
107380,83.850149,455,,,
107835,55.310402,455,,,
108290,82.170931,455,0.9832375645637512,6.457138055562973,1.253806321322918
108745,53.74928,455,,,
109200,81.268068,455,,,
109655,65.237861,455,,,
110110,85.014782,455,,,
110565,80.295928,455,0.9759979844093323,6.467004632949829,1.5200938001275062
111020,44.249418,455,,,
111475,84.812029,455,,,
111930,80.335779,455,,,
112385,84.83142,455,0.9821068644523621,6.478065890073776,1.3402383916079998
112840,88.641524,455,,,
113295,51.177555,455,,,
113750,81.747777,455,,,
114205,46.086343,455,,,
114660,41.013308,455,0.9894121885299683,6.4873017311096195,0.7652063775807619
115115,84.14222,455,,,
115570,87.106309,455,,,
116025,48.967613,455,,,
116480,50.578129,455,0.9741839170455933,6.494261467456818,1.9300276145339013
116935,86.227645,455,,,
117390,47.834394,455,,,
117845,86.216057,455,,,
118300,86.539422,455,,,
118755,80.260581,455,0.979072093963623,6.512723898887634,1.3783442325890065
119210,61.336058,455,,,
119665,81.413864,455,,,
120120,49.13808,455,,,
120575,63.384924,455,0.9896959066390991,6.531104075908661,0.8759655013680459
121030,45.581562,455,,,
