timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,4.467991,455,,,
910,-31.048713,455,,,
1365,-23.7241,455,,,
1820,-32.804173,455,,,
2275,4.666526,455,,,
2730,2.720965,455,,,
3185,3.150136,455,,,
3640,-1.333618,455,,,
4095,9.308239,455,-0.025974035263061523,6.400392568111419,9.06946728825569
4550,5.455062,455,,,
5005,2.795054,455,,,
5460,-29.737055,455,,,
5915,5.433277,455,0.2394479513168335,6.423559182882309,5.248199823498726
6370,-10.008451,455,,,
6825,0.751217,455,,,
7280,-21.508424,455,,,
7735,5.53699,455,,,
8190,7.825724,455,0.650336742401123,6.437199503183365,6.710394102334976
8645,-25.373337,455,,,
9100,-33.915737,455,,,
9555,-23.615936,455,,,
10010,-23.699035,455,0.8076651096343994,6.415430015325546,4.933813187479973
10465,4.32919,455,,,
10920,2.773322,455,,,
11375,6.98344,455,,,
11830,-24.675073,455,,,
12285,2.552175,455,0.5593112707138062,6.3990381240844725,7.402464962005615
12740,4.969404,455,,,
13195,-3.131814,455,,,
13650,5.301248,455,,,
14105,-1.964224,455,0.886549711227417,6.412555205821991,3.5612365394830703
14560,-41.794733,455,,,
15015,-30.485115,455,,,
15470,1.669552,455,,,
15925,3.548035,455,,,
16380,-35.559869,455,0.9175683259963989,6.427223294973373,3.3046843111515045
16835,-37.572082,455,,,
17290,5.507302,455,,,
17745,4.111385,455,,,
18200,-20.693039,455,0.9038208723068237,6.4243493497371675,3.767374089360237
18655,1.376846,455,,,
19110,-23.499418,455,,,
19565,5.050837,455,,,
20020,-30.210406,455,,,
20475,-42.060793,455,0.9352843165397644,6.418855202198029,3.324403727054596
20930,6.920748,455,,,
21385,-35.297026,455,,,
21840,4.293327,455,,,
22295,-44.993812,455,0.7606894969940186,6.429812955856323,5.261901170015335
22750,1.385478,455,,,
23205,6.306528,455,,,
23660,-12.632119,455,,,
24115,7.407506,455,,,
24570,-27.83873,455,0.9408935308456421,6.440214848518371,2.841422000527382
25025,-32.556359,455,,,
25480,-26.034051,455,,,
25935,-29.660888,455,,,
26390,-0.037743,455,0.938878059387207,6.440555244684219,3.147878813743591
26845,-27.849469,455,,,
27300,-34.348359,455,,,
27755,-37.718523,455,,,
28210,-34.244893,455,,,
28665,-27.352098,455,0.9147034883499146,6.446966063976288,3.2198569625616074
29120,7.070609,455,,,
29575,-26.157203,455,,,
30030,5.246528,455,,,
30485,-18.851965,455,0.8291362524032593,6.450847464799881,3.211790865659714
30940,4.794754,455,,,
31395,-32.241853,455,,,
31850,-18.743081,455,,,
32305,6.533199,455,,,
32760,6.248286,455,0.9672468304634094,6.455779695510865,2.1048490807414053
33215,-17.695566,455,,,
33670,8.352419,455,,,
34125,-22.134627,455,,,
34580,-22.531515,455,0.9650780558586121,6.462380129098892,2.067232868075371
35035,5.948562,455,,,
35490,8.567995,455,,,
35945,6.188916,455,,,
36400,-24.558007,455,,,
36855,11.210142,455,0.9550666213035583,6.4764688372612,2.355147252976894
37310,-29.691078,455,,,
37765,6.540852,455,,,
38220,6.098634,455,,,
38675,-28.857569,455,0.9827782511711121,6.486547917127609,1.1985139489173888
39130,6.083599,455,,,
39585,5.783333,455,,,
40040,7.280012,455,,,
40495,-43.426746,455,,,
40950,0.68077,455,0.9685083031654358,6.496284377574921,1.9803697496652604
41405,6.339074,455,,,
41860,5.496054,455,,,
42315,-33.46273,455,,,
42770,5.871172,455,0.9813806414604187,6.5193472623825075,1.2212318740785122
43225,4.53671,455,,,
43680,3.264703,455,,,
44135,-30.511118,455,,,
44590,11.456023,455,,,
45045,10.127196,455,0.9856687784194946,6.561987102031708,1.1027065172791481
45500,9.426286,455,,,
45955,-33.615994,455,,,
46410,-20.064059,455,,,
46865,3.805514,455,0.9870316982269287,6.603716737031936,1.0187846541404724
47320,6.770385,455,,,
47775,-31.90262,455,,,
48230,-1.025969,455,,,
48685,-27.209025,455,,,
49140,7.534771,455,0.9769327640533447,6.611794131994247,1.7386365801095962
49595,-20.848401,455,,,
50050,3.913313,455,,,
50505,9.118832,455,,,
50960,-32.513401,455,0.9708917140960693,6.613816183805466,1.947054459154606
51415,7.536149,455,,,
51870,-11.32234,455,,,
52325,9.457306,455,,,
52780,5.143727,455,,,
53235,8.046099,455,0.9777798056602478,6.635633754730224,1.6204123422503471
53690,-22.06294,455,,,
54145,5.488604,455,,,
54600,-14.552134,455,,,
55055,-30.756549,455,0.988034188747406,6.667225325107575,0.9018819995224476
55510,-22.869637,455,,,
55965,8.214042,455,,,
56420,10.699985,455,,,
56875,-17.517027,455,,,
57330,-24.796453,455,0.9492591619491577,6.702194309234619,2.3432477191090584
57785,11.136771,455,,,
58240,-27.052377,455,,,
58695,-26.488773,455,,,
59150,-27.218159,455,0.9757262468338013,6.737694245576859,1.5583851918578149
59605,11.65229,455,,,
60060,7.232741,455,,,
60515,6.942964,455,,,
60970,8.698376,455,,,
61425,-20.237011,455,0.9713497161865234,6.758881896734238,1.860449732840061
61880,-19.280722,455,,,
62335,12.032585,455,,,
62790,6.597278,455,,,
63245,9.935391,455,0.9896727800369263,6.773619538545608,0.8159089632332325
63700,-23.917118,455,,,
64155,10.549834,455,,,
64610,2.942438,455,,,
65065,10.206848,455,,,
65520,-28.134638,455,0.986037015914917,6.788142794370652,1.1425947859883308
65975,-19.153694,455,,,
66430,12.156493,455,,,
66885,-22.652162,455,,,
67340,12.065144,455,0.9648902416229248,6.794693785905838,1.5350288704037667
67795,-23.270154,455,,,
68250,10.69894,455,,,
68705,-32.453941,455,,,
69160,-22.619598,455,,,
69615,-25.318939,455,0.9783617258071899,6.8038683295249935,1.5275647163391113
70070,13.764152,455,,,
70525,-21.623276,455,,,
70980,12.3994,455,,,
71435,9.175776,455,0.957612156867981,6.811622273921967,2.141816335916519
71890,-20.839924,455,,,
72345,10.5052,455,,,
72800,-26.248318,455,,,
73255,-19.480292,455,,,
73710,-27.199871,455,0.9879510998725891,6.825279033184051,0.975335118919611
74165,-18.214633,455,,,
74620,11.764669,455,,,
75075,8.633181,455,,,
75530,-38.741343,455,0.9587451219558716,6.842393457889557,2.050104984641075
75985,-26.746078,455,,,
76440,11.66429,455,,,
76895,12.659936,455,,,
77350,8.95411,455,,,
77805,-25.844403,455,0.9805583953857422,6.861461848020554,1.5229369938373565
78260,9.270824,455,,,
