timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-74.11168,455,,,
910,-70.065375,455,,,
1365,-72.576675,455,,,
1820,-78.575515,455,,,
2275,-76.423751,455,,,
2730,-77.038151,455,,,
3185,-73.897957,455,,,
3640,-73.480787,455,,,
4095,-73.235028,455,0.019842088222503662,6.419061815738678,6.751338529586792
4550,-71.980979,455,,,
5005,-74.343946,455,,,
5460,-74.452433,455,,,
5915,-75.064974,455,0.159623384475708,6.449708688259125,1.6591479539871217
6370,-67.587386,455,,,
6825,-74.165908,455,,,
7280,-72.78397,455,,,
7735,-72.886704,455,,,
8190,-74.606889,455,0.21649402379989624,6.478340977430344,3.703744149208069
8645,-69.561911,455,,,
9100,-65.553192,455,,,
9555,-56.152623,455,,,
10010,-75.629101,455,0.37620091438293457,6.5167136490345,4.186371213197708
10465,-73.178272,455,,,
10920,-72.230384,455,,,
11375,-70.81408,455,,,
11830,-80.699781,455,,,
12285,-74.433445,455,0.40545690059661865,6.52793140411377,7.922082144021988
12740,-70.960699,455,,,
13195,-72.66086,455,,,
13650,-71.996465,455,,,
14105,-69.810692,455,0.7562577128410339,6.5317926704883575,2.3587750419974327
14560,-66.975046,455,,,
15015,-74.1908,455,,,
15470,-73.249353,455,,,
15925,-73.627606,455,,,
16380,-67.973755,455,0.8775836825370789,6.542498004436493,1.1335436262190342
16835,-81.322237,455,,,
17290,-71.562367,455,,,
17745,-67.224822,455,,,
18200,-85.077537,455,0.6935258507728577,6.557552790641784,4.716939997673035
18655,-71.20525,455,,,
19110,-75.806832,455,,,
19565,-72.728306,455,,,
20020,-63.217683,455,,,
20475,-69.622476,455,0.7864768505096436,6.563402706384659,3.582007500529289
20930,-65.687807,455,,,
21385,-65.090552,455,,,
21840,-70.855184,455,,,
22295,-90.315968,455,0.7825927734375,6.58148667216301,4.578017699718475
22750,-71.26516,455,,,
23205,-70.09348,455,,,
23660,-64.460956,455,,,
24115,-67.819427,455,,,
24570,-81.22585,455,0.8688446283340454,6.595180648565292,3.097633945941925
25025,-75.634539,455,,,
25480,-73.464823,455,,,
25935,-71.752516,455,,,
26390,-68.715607,455,0.8797584176063538,6.607344925403595,3.2759968101978303
26845,-74.325016,455,,,
27300,-68.107028,455,,,
27755,-67.534114,455,,,
28210,-76.586671,455,,,
28665,-61.259069,455,0.8551304936408997,6.620813852548599,4.5014396727085115
29120,-67.093438,455,,,
29575,-63.889752,455,,,
30030,-68.032565,455,,,
30485,-68.030269,455,0.8865369558334351,6.629088813066483,4.931188845634461
30940,-70.722714,455,,,
31395,-69.687814,455,,,
31850,-72.644906,455,,,
32305,-69.249994,455,,,
