timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-56.9613,455,,,
910,-40.919579,455,,,
1365,-34.125893,455,,,
1820,-37.782149,455,,,
2275,-55.687162,455,,,
2730,-55.6843,455,,,
3185,-52.994924,455,,,
3640,-55.881293,455,,,
4095,-54.152166,455,0.07196658849716187,6.431404584646225,5.984854078292846
4550,-51.609276,455,,,
5005,-55.360584,455,,,
5460,-52.898461,455,,,
5915,-54.922361,455,0.2014371156692505,6.472965955734253,3.25401958078146
6370,-51.599013,455,,,
6825,-56.814178,455,,,
7280,-40.831289,455,,,
7735,-53.065659,455,,,
8190,-53.135833,455,0.5527554750442505,6.49614709019661,3.60513950586319
8645,-35.744768,455,,,
9100,-45.287131,455,,,
9555,-36.904594,455,,,
10010,-33.822668,455,0.7918941378593445,6.536160844564438,2.376676508784294
10465,-54.466695,455,,,
10920,-53.869017,455,,,
11375,-57.014472,455,,,
11830,-49.316928,455,,,
12285,-54.687892,455,0.4719361662864685,6.548153430223465,5.281100016832352
12740,-56.094864,455,,,
13195,-55.111789,455,,,
13650,-56.69279,455,,,
14105,-52.051561,455,0.8678833246231079,6.538318520784378,2.0501962691545486
14560,-40.632892,455,,,
15015,-45.804233,455,,,
15470,-53.156405,455,,,
15925,-54.992979,455,,,
16380,-51.920458,455,0.9340399503707886,6.539883041381836,1.5340125657618047
16835,-47.366361,455,,,
17290,-56.575076,455,,,
17745,-53.961471,455,,,
18200,-47.800089,455,0.891065239906311,6.5503340542316435,2.517148497700691
18655,-55.007301,455,,,
19110,-53.995586,455,,,
19565,-52.409638,455,,,
20020,-45.179847,455,,,
20475,-48.01881,455,0.9050865769386292,6.561216026544571,2.3644842609763144
20930,-49.396781,455,,,
21385,-44.20437,455,,,
21840,-52.4665,455,,,
22295,-52.470688,455,0.8054933547973633,6.574132442474365,4.078416830301284
22750,-53.135972,455,,,
23205,-52.884349,455,,,
23660,-38.850286,455,,,
24115,-50.417569,455,,,
24570,-50.355284,455,0.9328327775001526,6.587751471996308,1.9413506746292115
25025,-52.492831,455,,,
25480,-42.444729,455,,,
25935,-50.708719,455,,,
26390,-53.722438,455,0.9502682685852051,6.598326247930527,1.8635234892368318
26845,-42.238786,455,,,
27300,-36.466605,455,,,
27755,-41.106442,455,,,
28210,-36.808789,455,,,
28665,-39.994954,455,0.8950003981590271,6.6071534872055055,2.6295630782842636
29120,-51.397389,455,,,
29575,-42.705822,455,,,
30030,-52.553158,455,,,
30485,-55.547733,455,0.8227789998054504,6.619584190845489,2.7489966332912443
30940,-55.563972,455,,,
31395,-43.738558,455,,,
31850,-42.776438,455,,,
32305,-49.634894,455,,,
32760,-51.184338,455,0.9517319202423096,6.624734550714493,1.4617714151740073
33215,-42.49815,455,,,
33670,-51.983611,455,,,
34125,-52.469509,455,,,
34580,-28.411657,455,0.9628706574440002,6.61644036769867,1.476956057548523
35035,-50.726918,455,,,
35490,-50.61361,455,,,
35945,-50.725811,455,,,
36400,-51.614256,455,,,
36855,-47.522175,455,0.9243109822273254,6.610487425327301,2.015609879791737
37310,-43.642502,455,,,
37765,-51.595735,455,,,
38220,-56.09797,455,,,
38675,-38.477064,455,0.9829491972923279,6.617503798007965,0.8391837283968926
39130,-49.829849,455,,,
39585,-51.915643,455,,,
40040,-52.459404,455,,,
40495,-38.744666,455,,,
40950,-51.153145,455,0.9603071212768555,6.636257582902909,1.4549893990159035
41405,-48.685846,455,,,
41860,-54.040652,455,,,
42315,-26.913569,455,,,
42770,-51.989407,455,0.9831880927085876,6.660104817152023,0.8499226570129395
43225,-49.124218,455,,,
43680,-53.577894,455,,,
44135,-32.802573,455,,,
44590,-47.652604,455,,,
45045,-48.357841,455,0.9800081253051758,6.681890064477921,0.8368818633258343
45500,-48.267146,455,,,
45955,-53.697351,455,,,
46410,-45.945905,455,,,
46865,-51.205084,455,0.9833175539970398,6.722788804769516,0.838987224549055
47320,-50.355809,455,,,
47775,-43.883315,455,,,
48230,-50.049547,455,,,
48685,-44.913689,455,,,
49140,-50.079625,455,0.9621694684028625,6.74745090007782,1.3013639450073242
49595,-45.228314,455,,,
50050,-51.355362,455,,,
50505,-46.532002,455,,,
50960,-42.866489,455,0.9639108777046204,6.755929571390152,1.4309367902576924
51415,-50.119987,455,,,
51870,-37.591202,455,,,
52325,-50.14586,455,,,
52780,-47.042825,455,,,
53235,-48.836078,455,0.966279149055481,6.786268705129624,1.4132479578256607
53690,-37.588597,455,,,
54145,-50.00964,455,,,
54600,-40.328752,455,,,
