timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-70.660456,455,,,
910,-70.773536,455,,,
1365,-71.493855,455,,,
1820,-71.575362,455,,,
2275,-73.207817,455,,,
2730,-72.85455,455,,,
3185,-70.942764,455,,,
3640,-73.397783,455,,,
4095,-72.758321,455,0.0412941575050354,6.3905938267707825,6.004698169231415
4550,-68.08471,455,,,
5005,-74.061256,455,,,
5460,-79.757687,455,,,
5915,-74.679693,455,0.22487038373947144,6.386783140897751,1.71483398899436
6370,-69.358516,455,,,
6825,-69.666343,455,,,
7280,-83.811478,455,,,
7735,-67.730727,455,,,
8190,-73.118144,455,0.27542370557785034,6.37719823718071,3.4294362366199493
8645,-72.172213,455,,,
9100,-77.703596,455,,,
9555,-70.029275,455,,,
10010,-75.638571,455,0.41749686002731323,6.384655910730362,4.069315978884697
10465,-70.287886,455,,,
10920,-68.019454,455,,,
11375,-66.197697,455,,,
11830,-64.562861,455,,,
12285,-70.115482,455,0.4751429557800293,6.413150864839554,6.804135376214981
12740,-70.396571,455,,,
13195,-68.167478,455,,,
13650,-70.527563,455,,,
14105,-68.732111,455,0.6233974695205688,6.435413533449173,2.7765574872493746
14560,-78.076509,455,,,
15015,-80.440003,455,,,
15470,-71.132936,455,,,
15925,-69.112633,455,,,
16380,-69.930028,455,0.78254234790802,6.436459702253342,1.5448487251996994
16835,-74.082559,455,,,
17290,-67.141461,455,,,
17745,-64.811781,455,,,
18200,-77.892787,455,0.7250661849975586,6.4300891101360325,3.735786896944046
18655,-69.688831,455,,,
19110,-77.426573,455,,,
19565,-69.026999,455,,,
20020,-76.517925,455,,,
20475,-68.100365,455,0.7997379899024963,6.4308914005756375,3.2144734770059586
20930,-64.605301,455,,,
21385,-83.024074,455,,,
21840,-68.60312,455,,,
22295,-72.914913,455,0.7591418027877808,6.456433892250061,4.486066097021103
22750,-67.406793,455,,,
23205,-67.500163,455,,,
23660,-67.040459,455,,,
24115,-66.245717,455,,,
24570,-73.829148,455,0.8480222225189209,6.482264310121536,3.1478715360164644
25025,-75.343996,455,,,
25480,-69.703719,455,,,
25935,-72.19036,455,,,
26390,-66.16824,455,0.9051427841186523,6.514655184745789,2.6057248905301096
26845,-67.448308,455,,,
27300,-63.642795,455,,,
27755,-76.719802,455,,,
28210,-75.266501,455,,,
28665,-60.080749,455,0.864848256111145,6.539308387041092,4.526430991292
29120,-66.566456,455,,,
29575,-74.371984,455,,,
30030,-69.033101,455,,,
30485,-67.660163,455,0.8761801719665527,6.5575448155403135,4.9545314610004425
30940,-68.879035,455,,,
31395,-74.982333,455,,,
31850,-84.870681,455,,,
32305,-66.468718,455,,,
32760,-63.544772,455,0.9265615344047546,6.56143211722374,2.219496268033981
33215,-67.074461,455,,,
33670,-66.729629,455,,,
34125,-69.19057,455,,,
34580,-80.752229,455,0.9157164096832275,6.572018247842789,2.722443659603596
35035,-68.954907,455,,,
35490,-63.302656,455,,,
35945,-66.905362,455,,,
36400,-70.498382,455,,,
36855,-65.059204,455,0.9206796288490295,6.590044873952865,2.89289990067482
37310,-66.365242,455,,,
37765,-65.474916,455,,,
38220,-63.752081,455,,,
38675,-65.396126,455,0.959257960319519,6.596230387687683,1.1694925799965858
39130,-63.949648,455,,,
39585,-68.53464,455,,,
40040,-65.336009,455,,,
40495,-64.473917,455,,,
40950,-68.026052,455,0.9374213218688965,6.5933232486248015,2.0928400084376335
41405,-63.068903,455,,,
41860,-66.507988,455,,,
42315,-71.936728,455,,,
42770,-61.284815,455,0.9664353132247925,6.59622762799263,1.0015706785023213
43225,-67.79397,455,,,
43680,-68.412612,455,,,
44135,-72.457039,455,,,
44590,-62.953249,455,,,
45045,-65.507717,455,0.9611749053001404,6.621563321352005,1.0513062819838523
45500,-64.056446,455,,,
45955,-90.31028,455,,,
46410,-72.288561,455,,,
46865,-61.751833,455,0.963027834892273,6.650387799739837,1.0607623852789403
47320,-69.122261,455,,,
47775,-64.294096,455,,,
48230,-63.525127,455,,,
48685,-85.643397,455,,,
49140,-62.870446,455,0.939842700958252,6.6478973686695095,1.9641687825322152
49595,-77.04964,455,,,
50050,-62.156953,455,,,
50505,-61.505186,455,,,
50960,-77.08707,455,0.9423892498016357,6.643138021230698,1.8165594965219498
51415,-61.108531,455,,,
51870,-68.938346,455,,,
52325,-59.662816,455,,,
52780,-65.420316,455,,,
53235,-60.821019,455,0.9432699680328369,6.652852791547775,1.6814653873443604
53690,-77.721408,455,,,
54145,-64.648527,455,,,
54600,-68.766331,455,,,
55055,-68.486679,455,0.9628687500953674,6.673573988676071,0.9202861815690995
55510,-65.878043,455,,,
55965,-63.622144,455,,,
56420,-58.613482,455,,,
56875,-68.606177,455,,,
57330,-76.133762,455,0.9355952143669128,6.695948898792267,2.7584133774042128
57785,-57.985858,455,,,
58240,-69.114636,455,,,
58695,-62.680448,455,,,
59150,-72.497093,455,0.9561575055122375,6.720595687627792,1.6771507292985917
59605,-61.199027,455,,,
60060,-58.543675,455,,,
60515,-60.254788,455,,,
60970,-60.52365,455,,,
61425,-69.408898,455,0.9509830474853516,6.740978682041169,2.033574542403221
61880,-71.053948,455,,,
62335,-59.198681,455,,,
62790,-61.132479,455,,,
63245,-58.614867,455,0.9666303992271423,6.762904250621796,0.8014461480081081
63700,-63.366951,455,,,
64155,-57.731979,455,,,
64610,-72.820892,455,,,
65065,-59.776792,455,,,
65520,-72.428618,455,0.9531557559967041,6.7865122079849245,1.3899093441665173
65975,-69.646468,455,,,
66430,-59.46211,455,,,
66885,-70.297259,455,,,
67340,-58.809503,455,0.9501226544380188,6.799667102098465,1.2385456442832947
67795,-66.826268,455,,,
68250,-56.51365,455,,,
68705,-68.36199,455,,,
69160,-70.382885,455,,,
69615,-74.320872,455,0.957740306854248,6.811362224817276,1.6219851061701775
70070,-60.886143,455,,,
70525,-76.525469,455,,,
70980,-59.435517,455,,,
71435,-59.378405,455,0.9531785845756531,6.8117540836334225,2.260447861254215
71890,-64.742971,455,,,
72345,-55.343942,455,,,
72800,-71.169112,455,,,
73255,-69.51973,455,,,
73710,-56.113065,455,0.9681349992752075,6.825855028629303,1.067484237998724
74165,-68.614167,455,,,
74620,-56.838917,455,,,
75075,-59.966324,455,,,
75530,-65.036542,455,0.9508662223815918,6.839106160402298,2.420453613996506
75985,-59.042236,455,,,
76440,-58.072684,455,,,
76895,-54.870693,455,,,
77350,-58.438553,455,,,
77805,-68.323196,455,0.9591296315193176,6.839697021245956,1.7592662766575813
78260,-55.409209,455,,,
78715,-57.234533,455,,,
79170,-71.062524,455,,,
79625,-55.310001,455,0.9686580300331116,6.8445705473423,0.8997777327895164
80080,-55.761692,455,,,
80535,-56.32056,455,,,
80990,-51.697855,455,,,
81445,-56.46761,455,,,
81900,-54.02802,455,0.9669812917709351,6.862036401033402,1.262258592247963
82355,-49.791169,455,,,
82810,-69.248207,455,,,
83265,-71.991466,455,,,
83720,-52.582493,455,0.9851561188697815,6.915618431568146,0.24649124220013618
84175,-54.685206,455,,,
84630,-71.505133,455,,,
85085,-69.789945,455,,,
85540,-49.488822,455,,,
85995,-54.062858,455,0.9671378135681152,6.960475534200668,1.2184082821011544
